Date,Adj Close_GREENPANEL.NS,Close_GREENPANEL.NS,High_GREENPANEL.NS,Low_GREENPANEL.NS,Open_GREENPANEL.NS,Volume_GREENPANEL.NS,Date
2020-07-13,38.09592819213867,38.599998474121094,39.29999923706055,36.5,37.0,95042,2020-07-13
2020-07-20,37.79985427856445,38.29999923706055,39.0,35.900001525878906,36.79999923706055,362069,2020-07-20
2020-07-27,37.50376892089844,38.0,39.0,36.599998474121094,36.79999923706055,356995,2020-07-27
2020-08-03,38.8854866027832,39.400001525878906,39.650001525878906,37.0,37.599998474121094,185418,2020-08-03
2020-08-10,43.8201904296875,44.400001525878906,47.29999923706055,38.599998474121094,39.0,259479,2020-08-10
2020-08-17,49.19902420043945,49.849998474121094,51.099998474121094,44.650001525878906,44.650001525878906,250026,2020-08-17
2020-08-24,48.31077575683594,48.95000076293945,52.5,44.20000076293945,48.54999923706055,581894,2020-08-24
2020-08-31,45.251251220703125,45.849998474121094,51.349998474121094,42.70000076293945,49.04999923706055,330267,2020-08-31
2020-09-07,44.165618896484375,44.75,48.29999923706055,42.0,45.5,168600,2020-09-07
2020-09-14,47.07710266113281,47.70000076293945,51.54999923706055,43.150001525878906,46.650001525878906,387318,2020-09-14
2020-09-21,44.51105499267578,45.099998474121094,48.599998474121094,44.04999923706055,47.70000076293945,220320,2020-09-21
2020-09-28,50.43269348144531,51.099998474121094,51.099998474121094,44.0,45.5,405358,2020-09-28
2020-10-05,63.95379638671875,64.80000305175781,65.1500015258789,52.650001525878906,53.650001525878906,1367537,2020-10-05
2020-10-12,60.84492874145508,61.650001525878906,67.5999984741211,59.099998474121094,67.5999984741211,471523,2020-10-12
2020-10-19,70.91172790527344,71.8499984741211,73.19999694824219,61.54999923706055,61.54999923706055,666870,2020-10-19
2020-10-26,72.39213562011719,73.3499984741211,73.3499984741211,66.5,71.0,428288,2020-10-26
2020-11-02,85.07432556152344,86.19999694824219,86.19999694824219,76.0999984741211,77.0,1233158,2020-11-02
2020-11-09,82.80436706542969,83.9000015258789,90.5,76.0,86.4000015258789,712426,2020-11-09
2020-11-16,81.07722473144531,82.1500015258789,85.0,78.19999694824219,81.69999694824219,442717,2020-11-16
2020-11-23,84.23543548583984,85.3499984741211,87.25,79.0,82.1500015258789,1415971,2020-11-23
2020-11-30,92.27900695800781,93.5,93.80000305175781,83.05000305175781,85.3499984741211,992769,2020-11-30
2020-12-07,111.47501373291016,112.94999694824219,119.19999694824219,94.25,94.25,2286141,2020-12-07
2020-12-14,110.14264678955078,111.5999984741211,123.5,107.3499984741211,113.6500015258789,961301,2020-12-14
2020-12-21,113.69562530517578,115.19999694824219,116.75,100.9000015258789,114.0,438261,2020-12-21
2020-12-28,125.14414978027344,126.80000305175781,128.8000030517578,113.69999694824219,120.94999694824219,1407976,2020-12-28
2021-01-04,147.25161743164062,149.1999969482422,149.1999969482422,127.0,129.0,1105085,2021-01-04
2021-01-11,176.31704711914062,178.64999389648438,178.64999389648438,148.85000610351562,156.64999389648438,1751543,2021-01-11
2021-01-18,168.8162841796875,171.0500030517578,187.5,157.39999389648438,186.9499969482422,1130230,2021-01-18
2021-01-25,168.0760955810547,170.3000030517578,179.60000610351562,163.0,174.0,1987943,2021-01-25
2021-02-01,190.18357849121094,192.6999969482422,203.35000610351562,171.0,176.89999389648438,1481139,2021-02-01
2021-02-08,170.54345703125,172.8000030517578,199.9499969482422,165.3000030517578,199.9499969482422,1163204,2021-02-08
2021-02-15,172.96144104003906,175.25,180.5,170.10000610351562,173.10000610351562,810467,2021-02-15
2021-02-22,175.82359313964844,178.14999389648438,184.0,165.0500030517578,174.0,570849,2021-02-22
