Date,Adj Close_MRF.NS,Close_MRF.NS,High_MRF.NS,Low_MRF.NS,Open_MRF.NS,Volume_MRF.NS,Date
2020-07-13,64919.39453125,65360.55078125,65870.8515625,62431.3515625,64677.0,37810,2020-07-13
2020-07-20,62551.44140625,62976.5,65900.0,62700.0,65500.0,65086,2020-07-20
2020-07-27,60636.5078125,61048.55078125,63580.0,60602.0,63580.0,62231,2020-07-27
2020-08-03,62279.59765625,62702.80078125,63260.0,60802.25,61000.0,67794,2020-08-03
2020-08-10,61019.109375,61433.75,64600.0,61200.0,62798.0,110183,2020-08-10
2020-08-17,59224.69140625,59627.1484375,62282.1484375,59235.6484375,62199.0,138500,2020-08-17
2020-08-24,59177.7109375,59579.8515625,60537.5,59067.25,60000.0,94582,2020-08-24
2020-08-31,58031.05859375,58425.3984375,59999.0,57520.05078125,59999.0,64038,2020-08-31
2020-09-07,58826.953125,59226.69921875,59400.0,57867.0,58425.3984375,59170,2020-09-07
2020-09-14,58552.71484375,58950.6015625,59970.0,58199.8515625,59230.05078125,111036,2020-09-14
2020-09-21,57164.34375,57461.44921875,59079.8984375,55300.0,58950.6015625,66966,2020-09-21
2020-09-28,60265.0703125,60578.30078125,60695.0,57800.0,57800.0,63062,2020-09-28
2020-10-05,58480.9453125,58784.8984375,61233.94921875,58542.6484375,60800.0,58860,2020-10-05
2020-10-12,57713.1328125,58013.1015625,59439.19921875,57860.05078125,59298.0,57447,2020-10-12
2020-10-19,63290.15234375,63619.1015625,63985.0,58100.0,58300.94921875,124646,2020-10-19
2020-10-26,64965.59375,65303.25,69608.453125,62863.94921875,63800.0,268232,2020-10-26
2020-11-02,68162.578125,68516.8515625,69900.0,64760.05078125,65500.0,176742,2020-11-02
2020-11-09,71554.09375,71926.0,72499.0,67919.1484375,69100.0,191028,2020-11-09
2020-11-16,78660.546875,79069.3984375,79500.0,71826.203125,71826.203125,255044,2020-11-16
2020-11-23,77339.8203125,77738.6484375,81249.3984375,74305.25,81160.0,528670,2020-11-23
2020-11-30,78294.3984375,78698.1484375,80102.3515625,77738.6484375,77738.6484375,160440,2020-11-30
2020-12-07,77478.8203125,77878.3515625,79995.0,77300.0,77887.296875,110968,2020-12-07
2020-12-14,77173.578125,77571.546875,79180.3984375,76800.0,78400.0,114152,2020-12-14
2020-12-21,75502.9921875,75892.3515625,77793.1484375,73777.75,77638.0,81711,2020-12-21
2020-12-28,75631.640625,76021.6484375,77672.75,74860.0,76100.0,90235,2020-12-28
2021-01-04,80188.5859375,80602.1015625,81399.0,75900.0,76200.6484375,137605,2021-01-04
2021-01-11,87102.578125,87551.75,89938.1015625,80500.0,80700.0,307196,2021-01-11
2021-01-18,91832.3828125,92305.953125,96479.703125,85111.25,87800.0,334866,2021-01-18
2021-01-25,83637.8515625,84069.1484375,93879.953125,83455.703125,93879.953125,226987,2021-01-25
2021-02-01,90227.7578125,90693.046875,93780.0,83900.046875,84888.0,254789,2021-02-01
2021-02-08,90809.7578125,91278.046875,98599.953125,89120.0,92249.8984375,499489,2021-02-08
2021-02-15,87668.015625,88120.1015625,92450.0,87000.0,92373.3984375,223876,2021-02-15
2021-02-22,84067.453125,84498.1484375,88800.0,83803.546875,88800.0,153632,2021-02-22
2021-03-01,88209.84375,88661.75,90801.0,85152.046875,85200.0,163075,2021-03-01
2021-03-08,88322.8671875,88775.3515625,90300.0,87202.046875,88661.75,88362,2021-03-08
2021-03-15,84108.890625,84539.796875,89490.5,80605.796875,89200.0,157093,2021-03-15
2021-03-22,81591.4453125,82009.453125,85499.0,80702.703125,84500.0,130866,2021-03-22
2021-03-29,82709.3671875,83133.1015625,83946.0,81325.046875,82009.453125,71721,2021-03-29
2021-04-05,81470.7578125,81888.1484375,84492.1484375,81211.1015625,82310.0,88600,2021-04-05
2021-04-12,80951.2734375,81366.0,83100.0,78900.0,81300.0,111966,2021-04-12
2021-04-19,77815.484375,78214.1484375,80650.1015625,77634.3515625,79205.0,113394,2021-04-19
2021-04-26,80309.1171875,80720.546875,81699.0,77200.0,78550.0,131457,2021-04-26
2021-05-03,77051.46875,77446.203125,81127.953125,77200.0,80399.8984375,98802,2021-05-03
2021-05-10,75747.6796875,76135.75,79225.1015625,75950.0,78200.0,75256,2021-05-10
2021-05-17,81759.34375,82178.203125,82483.6484375,76000.0,76780.0,110461,2021-05-17
2021-05-24,82957.09375,83382.1015625,83650.0,81355.6015625,82360.0,66099,2021-05-24
2021-05-31,84485.859375,84918.703125,85336.0,82800.0,83237.0,52586,2021-05-31
2021-06-07,81752.671875,82171.5,87300.0,80009.0,85598.8984375,148916,2021-06-07
2021-06-14,82222.859375,82644.1015625,83357.75,80500.0,82000.0,81483,2021-06-14
2021-06-21,80103.8203125,80514.203125,82500.0,80375.0,81000.0,36022,2021-06-21
2021-06-28,80728.7109375,81142.296875,81489.6015625,79527.75,80899.0,47588,2021-06-28
2021-07-05,79586.953125,79994.703125,81827.75,79880.0,81190.0,41400,2021-07-05
2021-07-12,82029.6171875,82449.8515625,83450.0,79880.0,80300.0,72724,2021-07-12
2021-07-19,80761.09375,81174.8515625,82964.953125,81000.0,81800.0,25416,2021-07-19
2021-07-26,79500.1640625,79907.453125,81599.546875,79201.046875,81349.0,35109,2021-07-26
2021-08-02,78756.1640625,79159.6484375,81600.453125,79000.0,80499.0,40913,2021-08-02
2021-08-09,78470.828125,78872.8515625,82664.796875,77300.0,79489.953125,126176,2021-08-09
2021-08-16,77679.0,78076.953125,79500.0,77805.0,78951.703125,32846,2021-08-16
2021-08-23,76561.2265625,76953.453125,78699.0,75950.0,78699.0,53996,2021-08-23
2021-08-30,81977.875,82397.8515625,82600.1015625,77000.0,77000.0,65404,2021-08-30
2021-09-06,79460.8203125,79867.8984375,83200.0,79800.0,82700.0,45975,2021-09-06
2021-09-13,78992.5546875,79397.25,80995.0,78851.0,79800.0,46231,2021-09-13
2021-09-20,79051.5,79456.5,80999.0,78050.0,79190.0,56403,2021-09-20
2021-09-27,78591.7734375,78994.3984375,82000.0,78510.0,79949.0,85597,2021-09-27
2021-10-04,85422.828125,85860.453125,86373.453125,78500.0,79477.203125,101303,2021-10-04
2021-10-11,84732.3515625,85166.453125,87550.0,84380.203125,85860.0,64595,2021-10-11
