Date,Adj Close_ANUHPHR.NS,Close_ANUHPHR.NS,High_ANUHPHR.NS,Low_ANUHPHR.NS,Open_ANUHPHR.NS,Volume_ANUHPHR.NS,Date
2024-12-16,222.85000610351562,222.85000610351562,245.6999969482422,220.0800018310547,232.0,111243,2024-12-16
2024-12-23,217.55999755859375,217.55999755859375,229.88999938964844,208.16000366210938,229.88999938964844,122413,2024-12-23
2024-12-30,226.2100067138672,226.2100067138672,243.0,217.0,228.88999938964844,709521,2024-12-30
2025-01-06,213.61000061035156,213.61000061035156,229.60000610351562,209.9600067138672,229.60000610351562,242700,2025-01-06
2025-01-13,204.75,204.75,213.4600067138672,200.00999450683594,210.39999389648438,184118,2025-01-13
2025-01-20,202.0500030517578,202.0500030517578,212.19000244140625,196.7100067138672,205.8000030517578,135129,2025-01-20
2025-01-27,197.36000061035156,197.36000061035156,203.69000244140625,189.5,202.0,192672,2025-01-27
2025-02-03,203.86000061035156,203.86000061035156,208.0,192.0,200.0,95509,2025-02-03
2025-02-10,168.55999755859375,168.55999755859375,195.0500030517578,166.9199981689453,195.0500030517578,247945,2025-02-10
2025-02-17,163.3800048828125,163.3800048828125,170.22000122070312,158.00999450683594,167.10000610351562,211916,2025-02-17
2025-02-24,153.9600067138672,153.9600067138672,163.89999389648438,153.47999572753906,163.89999389648438,96860,2025-02-24
2025-03-03,166.5,166.5,168.5,149.97999572753906,156.67999267578125,116897,2025-03-03
2025-03-10,153.52000427246094,153.52000427246094,169.75,153.0,169.75,71449,2025-03-10
2025-03-17,157.9600067138672,157.9600067138672,161.75,149.1999969482422,153.52000427246094,223384,2025-03-17
2025-03-24,149.19000244140625,149.19000244140625,162.88999938964844,148.5,161.88999938964844,308471,2025-03-24
2025-03-31,177.14999389648438,177.14999389648438,189.6999969482422,149.25,149.25,386123,2025-03-31
2025-04-07,171.99000549316406,171.99000549316406,173.8800048828125,159.99000549316406,163.60000610351562,155352,2025-04-07
2025-04-14,171.33999633789062,171.33999633789062,179.5,170.0399932861328,179.5,54370,2025-04-14
2025-04-21,174.27999877929688,174.27999877929688,185.75,170.10000610351562,174.75,149879,2025-04-21
2025-04-28,168.02999877929688,168.02999877929688,177.3800048828125,167.10000610351562,174.27999877929688,59601,2025-04-28
2025-05-05,162.1199951171875,162.1199951171875,172.3000030517578,161.0,166.02000427246094,85126,2025-05-05
2025-05-12,180.67999267578125,180.67999267578125,182.69000244140625,163.74000549316406,166.94000244140625,90568,2025-05-12
2025-05-19,207.38999938964844,207.38999938964844,219.61000061035156,180.2899932861328,180.2899932861328,487139,2025-05-19
2025-05-26,210.5,210.5,218.89999389648438,201.89999389648438,205.0,304143,2025-05-26
2025-06-02,211.47000122070312,211.47000122070312,228.58999633789062,208.4600067138672,211.97999572753906,238902,2025-06-02
2025-06-09,215.9199981689453,215.9199981689453,229.8000030517578,209.0,214.64999389648438,312203,2025-06-09
2025-06-16,206.5399932861328,206.5399932861328,218.0,205.11000061035156,211.0,152596,2025-06-16
2025-06-23,210.64999389648438,210.64999389648438,213.38999938964844,202.5500030517578,204.0,160314,2025-06-23
2025-06-30,215.52000427246094,215.52000427246094,219.99000549316406,207.97000122070312,208.1999969482422,184406,2025-06-30
2025-07-07,102.95999908447266,102.95999908447266,114.83499908447266,102.00499725341797,108.29499816894531,1050106,2025-07-07
2025-07-14,106.12999725341797,106.12999725341797,107.5,102.26000213623047,104.0,795054,2025-07-14
