Date,Adj Close_TANLA.NS,Close_TANLA.NS,High_TANLA.NS,Low_TANLA.NS,Open_TANLA.NS,Volume_TANLA.NS,Date
2020-07-13,83.00926971435547,87.5999984741211,91.5,82.5,82.5,2390396,2020-07-13
2020-07-20,109.1155014038086,115.1500015258789,115.1500015258789,88.05000305175781,89.0,5952802,2020-07-20
2020-07-27,112.43207550048828,118.6500015258789,121.94999694824219,104.0,118.4000015258789,4278442,2020-07-27
2020-08-03,141.00205993652344,148.8000030517578,151.4499969482422,117.5,119.9000015258789,3197920,2020-08-03
2020-08-10,162.89149475097656,171.89999389648438,185.64999389648438,150.0500030517578,151.6999969482422,6099408,2020-08-10
2020-08-17,197.76296997070312,208.6999969482422,208.6999969482422,152.0,172.14999389648438,4754024,2020-08-17
2020-08-24,228.32289123535156,240.9499969482422,266.25,212.64999389648438,219.10000610351562,3925554,2020-08-24
2020-08-31,215.90940856933594,227.85000610351562,252.9499969482422,198.10000610351562,228.9499969482422,2695165,2020-08-31
2020-09-07,253.76577758789062,267.79998779296875,286.79998779296875,234.1999969482422,239.1999969482422,3937549,2020-09-07
2020-09-14,250.6861114501953,264.54998779296875,286.0,257.8999938964844,268.0,1701085,2020-09-14
2020-09-21,248.80392456054688,261.6000061035156,276.0,239.39999389648438,267.20001220703125,1677424,2020-09-21
2020-09-28,263.1177673339844,276.6499938964844,301.95001220703125,266.95001220703125,268.0,1784393,2020-09-28
2020-10-05,272.10546875,286.1000061035156,303.5,268.29998779296875,279.79998779296875,2217786,2020-10-05
2020-10-12,273.05657958984375,287.1000061035156,301.8999938964844,275.1499938964844,281.5,983659,2020-10-12
2020-10-19,272.5335388183594,286.54998779296875,295.0,280.0,291.25,699962,2020-10-19
2020-10-26,309.1502990722656,325.04998779296875,325.54998779296875,272.8999938964844,286.54998779296875,2411812,2020-10-26
2020-11-02,331.6910400390625,348.75,372.1000061035156,326.1000061035156,341.29998779296875,2489617,2020-11-02
2020-11-09,375.8689270019531,395.20001220703125,395.20001220703125,340.0,352.95001220703125,1308099,2020-11-09
2020-11-16,456.75872802734375,480.25,480.25,376.3999938964844,376.3999938964844,2086676,2020-11-16
2020-11-23,582.6824340820312,612.6500244140625,612.6500244140625,498.70001220703125,504.25,5393750,2020-11-23
2020-11-30,708.1781005859375,744.5999755859375,744.5999755859375,612.6500244140625,612.6500244140625,2710371,2020-11-30
2020-12-07,817.6480712890625,859.7000122070312,904.9000244140625,749.0,779.0,3265123,2020-12-07
2020-12-14,632.8045654296875,665.3499755859375,816.75,665.3499755859375,816.75,297989,2020-12-14
2020-12-21,629.6185302734375,662.0,665.0,570.5,642.0,4001969,2020-12-21
2020-12-28,653.2053833007812,686.7999877929688,766.2999877929688,665.2000122070312,687.0,3043997,2020-12-28
2021-01-04,728.6264038085938,766.0999755859375,797.7999877929688,647.0,700.5499877929688,3832089,2021-01-04
2021-01-11,713.2189331054688,749.9000244140625,790.0,717.1500244140625,786.0,1185524,2021-01-11
2021-01-18,696.3846435546875,732.2000122070312,805.0,725.0,764.0,3356276,2021-01-18
2021-01-25,645.1211547851562,678.2999877929688,746.0,663.7000122070312,746.0,864527,2021-01-25
2021-02-01,669.89697265625,704.3499755859375,717.75,660.0,678.2999877929688,1382187,2021-02-01
2021-02-08,703.6604614257812,739.8499755859375,739.8499755859375,669.2999877929688,739.5499877929688,2336804,2021-02-08
2021-02-15,826.2553100585938,868.75,896.2999877929688,731.0,765.0,2847389,2021-02-15
2021-02-22,852.7430419921875,896.5999755859375,999.5,851.2000122070312,898.9500122070312,2843721,2021-02-22
2021-03-01,918.7008666992188,965.9500122070312,1030.0,908.1500244140625,933.9500122070312,1758880,2021-03-01
2021-03-08,938.4833984375,986.75,1014.4000244140625,956.5,984.9000244140625,1206992,2021-03-08
