Date,Adj Close_ENIL.NS,Close_ENIL.NS,High_ENIL.NS,Low_ENIL.NS,Open_ENIL.NS,Volume_ENIL.NS,Date
2020-07-13,126.18130493164062,130.1999969482422,135.25,123.05000305175781,125.69999694824219,64909,2020-07-13
2020-07-20,125.2606430053711,129.25,135.8000030517578,127.8499984741211,130.25,57104,2020-07-20
2020-07-27,120.99645233154297,124.8499984741211,129.6999969482422,120.0999984741211,126.30000305175781,27762,2020-07-27
2020-08-03,123.95230865478516,127.9000015258789,135.0,121.0999984741211,130.5,32945,2020-08-03
2020-08-10,136.35720825195312,140.6999969482422,143.9499969482422,121.30000305175781,127.9000015258789,588366,2020-08-10
2020-08-17,152.7840576171875,157.64999389648438,166.0,145.4499969482422,149.5500030517578,485155,2020-08-17
2020-08-24,167.03033447265625,172.35000610351562,184.9499969482422,154.35000610351562,157.64999389648438,425025,2020-08-24
2020-08-31,151.86337280273438,156.6999969482422,172.35000610351562,155.14999389648438,172.35000610351562,101552,2020-08-31
2020-09-07,149.73129272460938,154.5,163.9499969482422,146.0500030517578,156.6999969482422,42547,2020-09-07
2020-09-14,158.06585693359375,163.10000610351562,166.89999389648438,155.0500030517578,158.1999969482422,47232,2020-09-14
2020-09-21,149.73806762695312,153.5500030517578,166.10000610351562,146.3000030517578,165.5,120261,2020-09-21
2020-09-28,151.4446258544922,155.3000030517578,161.1999969482422,148.39999389648438,155.89999389648438,29568,2020-09-28
2020-10-05,144.76466369628906,148.4499969482422,158.9499969482422,147.64999389648438,156.9499969482422,62372,2020-10-05
2020-10-12,139.54750061035156,143.10000610351562,156.89999389648438,141.10000610351562,152.5,55097,2020-10-12
2020-10-19,141.79039001464844,145.39999389648438,152.5,136.6999969482422,151.5,175408,2020-10-19
2020-10-26,140.62017822265625,144.1999969482422,153.35000610351562,141.0,145.39999389648438,35856,2020-10-26
2020-11-02,141.6441192626953,145.25,155.5,138.1999969482422,146.0,82405,2020-11-02
2020-11-09,143.35067749023438,147.0,154.9499969482422,141.0500030517578,147.25,59017,2020-11-09
2020-11-16,142.91183471679688,146.5500030517578,151.89999389648438,143.4499969482422,143.4499969482422,45194,2020-11-16
2020-11-23,151.6396484375,155.5,159.8000030517578,145.0500030517578,150.0,74989,2020-11-23
2020-11-30,158.36834716796875,162.39999389648438,171.39999389648438,152.1999969482422,155.5,100822,2020-11-30
2020-12-07,160.5137481689453,164.60000610351562,179.0,157.0,165.10000610351562,894988,2020-12-07
2020-12-14,163.82933044433594,168.0,171.5,160.14999389648438,164.60000610351562,777974,2020-12-14
