Date,Adj Close_NAUKRI.NS,Close_NAUKRI.NS,High_NAUKRI.NS,Low_NAUKRI.NS,Open_NAUKRI.NS,Volume_NAUKRI.NS,Date
2020-07-13,618.806640625,622.0599975585938,630.0,581.2000122070312,581.2000122070312,7495295,2020-07-13
2020-07-20,629.8485717773438,633.1599731445312,663.5599975585938,621.989990234375,622.0,10379295,2020-07-20
2020-07-27,635.5487060546875,638.8900146484375,653.989990234375,618.0,638.0700073242188,7665925,2020-07-27
2020-08-03,659.1148071289062,662.5800170898438,688.0999755859375,622.4299926757812,642.0900268554688,12199215,2020-08-03
2020-08-10,645.8345947265625,649.22998046875,716.8800048828125,646.7000122070312,664.0,13089875,2020-08-10
2020-08-17,644.4717407226562,647.8599853515625,670.1099853515625,644.0,658.4500122070312,7786015,2020-08-17
2020-08-24,674.4441528320312,677.989990234375,681.0,644.7999877929688,655.27001953125,8146980,2020-08-24
2020-08-31,664.088623046875,667.5800170898438,711.0,648.0999755859375,679.780029296875,10819220,2020-08-31
2020-09-07,673.429443359375,676.969970703125,686.9600219726562,648.0,675.8200073242188,17069055,2020-09-07
2020-09-14,693.8123779296875,697.4600219726562,723.6099853515625,676.2000122070312,676.969970703125,15476690,2020-09-14
2020-09-21,686.4212646484375,690.030029296875,716.7100219726562,655.0800170898438,695.0,14003245,2020-09-21
2020-09-28,718.054931640625,721.8300170898438,740.6199951171875,690.0399780273438,699.0,12499755,2020-09-28
2020-10-05,687.76416015625,691.3800048828125,729.7999877929688,683.0499877929688,722.2000122070312,8989710,2020-10-05
2020-10-12,716.2941284179688,720.0599975585938,757.1799926757812,691.760009765625,695.989990234375,19898240,2020-10-12
2020-10-19,725.21728515625,729.030029296875,734.9400024414062,672.530029296875,726.5499877929688,14671360,2020-10-19
2020-10-26,706.0778198242188,709.7899780273438,747.0,695.0,729.030029296875,16622185,2020-10-26
2020-11-02,715.3889770507812,719.1500244140625,733.989990234375,705.0,713.0,10178595,2020-11-02
2020-11-09,772.8170166015625,776.8800048828125,782.0,680.4000244140625,725.0,19350370,2020-11-09
2020-11-16,791.9166259765625,796.0800170898438,811.5999755859375,756.7999877929688,771.989990234375,18701140,2020-11-16
2020-11-23,856.7656860351562,861.27001953125,875.1500244140625,791.0,805.0,15052115,2020-11-23
2020-11-30,842.769287109375,847.2000122070312,885.2999877929688,827.0399780273438,861.27001953125,8897275,2020-11-30
2020-12-07,899.5408325195312,904.27001953125,947.97998046875,845.010009765625,846.0,15677035,2020-12-07
2020-12-14,923.9921875,928.8499755859375,945.3599853515625,896.2000122070312,912.0,12677295,2020-12-14
2020-12-21,919.8340454101562,924.6699829101562,941.8400268554688,873.3900146484375,932.5800170898438,8066540,2020-12-21
2020-12-28,945.9666748046875,950.9400024414062,965.0,923.489990234375,930.0,9673635,2020-12-28
2021-01-04,1076.77880859375,1082.43994140625,1176.0,947.510009765625,952.0499877929688,45086775,2021-01-04
2021-01-11,997.4758911132812,1002.719970703125,1106.550048828125,998.3300170898438,1086.800048828125,12893390,2021-01-11
2021-01-18,1062.8123779296875,1068.4000244140625,1075.1600341796875,971.4099731445312,1008.0,22992670,2021-01-18
2021-01-25,868.2353515625,872.7999877929688,1088.989990234375,866.0,1077.5999755859375,23669805,2021-01-25
2021-02-01,958.4908447265625,963.530029296875,990.0,842.2000122070312,880.0,21391485,2021-02-01
2021-02-08,1069.13916015625,1074.760009765625,1101.989990234375,970.0,972.7899780273438,22633070,2021-02-08
2021-02-15,1028.6221923828125,1034.030029296875,1117.780029296875,965.5999755859375,1070.0,37239055,2021-02-15
2021-02-22,976.9338989257812,982.0700073242188,1050.0,950.8800048828125,1030.800048828125,17119835,2021-02-22
2021-03-01,983.867431640625,989.0399780273438,1020.0,974.1099853515625,984.0,9531340,2021-03-01
2021-03-08,955.6954956054688,960.719970703125,1002.1300048828125,954.7999877929688,990.219970703125,9937240,2021-03-08
2021-03-15,915.6461181640625,920.4600219726562,975.0,861.6099853515625,970.1900024414062,15195055,2021-03-15
2021-03-22,889.5134887695312,894.1900024414062,966.8900146484375,874.27001953125,939.5999755859375,13210125,2021-03-22
2021-03-29,848.15087890625,852.6099853515625,906.27001953125,804.780029296875,894.1900024414062,18422440,2021-03-29
2021-04-05,953.268310546875,958.280029296875,984.0,840.489990234375,854.0900268554688,26283270,2021-04-05
2021-04-12,929.9409790039062,934.8300170898438,960.0,874.510009765625,930.0,13964910,2021-04-12
2021-04-19,970.1594848632812,975.260009765625,989.760009765625,890.3200073242188,900.0,15506970,2021-04-19
2021-04-26,977.79931640625,982.9400024414062,1019.7000122070312,968.5999755859375,983.989990234375,13011445,2021-04-26
2021-05-03,930.567626953125,935.4600219726562,982.2000122070312,930.5999755859375,976.0,10871375,2021-05-03
2021-05-10,853.841064453125,858.3300170898438,943.6900024414062,856.0,934.0,10973215,2021-05-10
2021-05-17,862.2069702148438,866.739990234375,905.3599853515625,848.0,860.0,18357140,2021-05-17
2021-05-24,887.6830444335938,892.3499755859375,915.260009765625,863.5999755859375,874.2000122070312,20662515,2021-05-24
2021-05-31,909.4984741210938,914.280029296875,925.780029296875,866.4299926757812,894.989990234375,14705985,2021-05-31
2021-06-07,932.8755493164062,937.780029296875,949.5800170898438,907.2000122070312,913.0,12633990,2021-06-07
2021-06-14,994.5213623046875,999.75,1009.5999755859375,916.02001953125,933.5999755859375,18469745,2021-06-14
2021-06-21,985.6580200195312,990.8400268554688,1002.7999877929688,945.739990234375,989.5999755859375,15992175,2021-06-21
2021-06-28,1069.1192626953125,1073.02001953125,1078.0,980.6199951171875,992.0,25869040,2021-06-28
2021-07-05,1072.467041015625,1076.3800048828125,1125.800048828125,1060.199951171875,1097.0,20865955,2021-07-05
2021-07-12,1016.8001098632812,1020.510009765625,1086.5799560546875,1016.0,1086.3800048828125,13048325,2021-07-12
