Date,Adj Close_BAJAJELEC.NS,Close_BAJAJELEC.NS,High_BAJAJELEC.NS,Low_BAJAJELEC.NS,Open_BAJAJELEC.NS,Volume_BAJAJELEC.NS,Date
2020-07-13,382.6377258300781,386.1861267089844,389.3855285644531,357.862060546875,365.0606994628906,1042170,2020-07-13
2020-07-20,383.3369445800781,386.8918762207031,407.3586120605469,378.7992858886719,386.1861267089844,2712069,2020-07-20
2020-07-27,395.9237365722656,399.5953674316406,423.2615051269531,374.75299072265625,387.73876953125,2510983,2020-07-27
2020-08-03,401.05169677734375,404.7708740234375,431.4482116699219,395.3608703613281,398.9837341308594,2574581,2020-08-03
2020-08-10,436.5277404785156,440.5758972167969,445.7513732910156,393.6200256347656,407.3586120605469,2774306,2020-08-10
2020-08-17,440.7699279785156,444.8574523925781,462.6893615722656,434.74169921875,446.5041809082031,2849826,2020-08-17
2020-08-24,487.9003601074219,492.4249572753906,512.797607421875,445.0926818847656,448.5743713378906,5502177,2020-08-24
2020-08-31,456.66656494140625,460.9014892578125,503.3405456542969,438.1293029785156,498.7296447753906,1796307,2020-08-31
2020-09-07,429.53509521484375,433.5184020996094,467.6766662597656,420.8619689941406,463.2069396972656,1399538,2020-09-07
2020-09-14,460.48919677734375,464.75958251953125,489.696044921875,435.2121887207031,435.5885925292969,2200627,2020-09-14
2020-09-21,459.5102233886719,463.7715148925781,473.7931823730469,415.96875,468.4294738769531,1124782,2020-09-21
2020-09-28,460.3959655761719,464.66546630859375,483.4854736328125,449.6565246582031,466.78271484375,1454361,2020-09-28
2020-10-05,486.0356750488281,490.54296875,502.0701904296875,459.2076721191406,467.3943786621094,1658672,2020-10-05
2020-10-12,478.9031677246094,483.34429931640625,502.49365234375,466.0299377441406,497.7886657714844,1556038,2020-10-12
2020-10-19,478.15728759765625,482.5915222167969,495.9066467285156,462.9716796875,485.7909240722656,1283469,2020-10-19
2020-10-26,454.4754943847656,458.69012451171875,483.6266174316406,452.05609130859375,483.6266174316406,570638,2020-10-26
2020-11-02,465.71038818359375,470.0291748046875,484.52056884765625,451.6796875,457.32568359375,1592787,2020-11-02
2020-11-09,504.5894775390625,509.2688293457031,521.5488891601562,461.0896911621094,477.6512756347656,3752495,2020-11-09
2020-11-16,529.5765380859375,534.4876098632812,548.2732543945312,508.18670654296875,509.17474365234375,2204928,2020-11-16
2020-11-23,533.8187255859375,538.7691650390625,543.8976440429688,509.0806579589844,536.8401489257812,1434512,2020-11-23
2020-11-30,567.989501953125,573.2567749023438,575.8916015625,538.1104736328125,538.7691650390625,1063062,2020-11-30
2020-12-07,561.6029663085938,566.8109741210938,596.311279296875,559.9887084960938,573.068603515625,1068926,2020-12-07
2020-12-14,589.9929809570312,595.46435546875,600.3576049804688,556.130615234375,571.1395263671875,997901,2020-12-14
2020-12-21,569.7609252929688,575.044677734375,610.5203857421875,489.3196716308594,594.7116088867188,1054748,2020-12-21
2020-12-28,569.481201171875,574.7623901367188,586.2426147460938,569.3046264648438,584.7369995117188,385121,2020-12-28
2021-01-04,620.3411254882812,626.0939331054688,632.4456787109375,566.7168579101562,578.714599609375,1284205,2021-01-04
2021-01-11,691.7593383789062,698.1744384765625,807.3303833007812,623.882568359375,632.3515625,7511895,2021-01-11
2021-01-18,709.0079345703125,715.5829467773438,749.9765014648438,658.6995239257812,698.3156127929688,1235022,2021-01-18
2021-01-25,676.0958251953125,682.3656616210938,733.9794921875,669.5210571289062,715.8181762695312,884157,2021-01-25
2021-02-01,859.6762084960938,867.6484375,867.6484375,671.1207275390625,683.306640625,7468356,2021-02-01
2021-02-08,996.6854248046875,1005.9282836914062,1058.2008056640625,882.5162353515625,888.0210571289062,12045780,2021-02-08
2021-02-15,930.8147583007812,939.4467163085938,1020.9843139648438,917.474365234375,1014.3972778320312,1974065,2021-02-15
