Date,Adj Close_VGUARD.NS,Close_VGUARD.NS,High_VGUARD.NS,Low_VGUARD.NS,Open_VGUARD.NS,Volume_VGUARD.NS,Date
2020-07-13,167.05599975585938,170.0500030517578,172.64999389648438,168.5500030517578,172.10000610351562,607045,2020-07-13
2020-07-20,165.82803344726562,168.8000030517578,174.60000610351562,168.39999389648438,170.5,1302351,2020-07-20
2020-07-27,159.98277282714844,162.85000610351562,170.9499969482422,162.0,168.8000030517578,1364005,2020-07-27
2020-08-03,161.50547790527344,164.39999389648438,167.0,161.5,162.85000610351562,1107276,2020-08-03
2020-08-10,157.0355987548828,159.85000610351562,166.0,159.60000610351562,165.0,4244512,2020-08-10
2020-08-17,170.00320434570312,173.0500030517578,174.8000030517578,159.35000610351562,161.8000030517578,15738113,2020-08-17
2020-08-24,172.26271057128906,175.35000610351562,182.60000610351562,170.0,173.0,7994884,2020-08-24
2020-08-31,165.97537231445312,168.9499969482422,179.8000030517578,165.0,179.8000030517578,2891951,2020-08-31
2020-09-07,165.28770446777344,168.25,172.5,163.0,167.5,2306249,2020-09-07
2020-09-14,170.0523223876953,173.10000610351562,180.0,169.0,169.0,3558583,2020-09-14
2020-09-21,162.1931610107422,165.10000610351562,178.10000610351562,162.60000610351562,172.0,2284728,2020-09-21
2020-09-28,165.82803344726562,168.8000030517578,173.35000610351562,164.5,167.25,1395854,2020-09-28
2020-10-05,162.34051513671875,165.25,170.85000610351562,163.3000030517578,169.25,1677725,2020-10-05
2020-10-12,164.1088409423828,167.0500030517578,168.0,163.5,166.10000610351562,1591052,2020-10-12
2020-10-19,161.65284729003906,164.5500030517578,168.6999969482422,163.5,168.5,1517902,2020-10-19
2020-10-26,166.76129150390625,169.75,173.89999389648438,164.0500030517578,164.89999389648438,3994850,2020-10-26
2020-11-02,165.92625427246094,168.89999389648438,172.4499969482422,167.5,172.4499969482422,852377,2020-11-02
2020-11-09,170.494384765625,173.5500030517578,174.60000610351562,163.85000610351562,170.89999389648438,4570154,2020-11-09
2020-11-16,173.785400390625,176.89999389648438,179.89999389648438,168.0,171.85000610351562,4242778,2020-11-16
2020-11-23,181.69366455078125,184.9499969482422,186.0,175.60000610351562,180.0,5433189,2020-11-23
2020-11-30,186.45828247070312,189.8000030517578,196.0,183.6999969482422,184.9499969482422,3816558,2020-11-30
2020-12-07,183.56021118164062,186.85000610351562,193.0,182.6999969482422,190.0,3349769,2020-12-07
2020-12-14,189.6019287109375,193.0,199.85000610351562,186.0,188.0,4933784,2020-12-14
2020-12-21,185.0338134765625,188.35000610351562,196.35000610351562,177.9499969482422,193.0,2276280,2020-12-21
2020-12-28,183.95318603515625,187.25,192.60000610351562,185.3000030517578,189.89999389648438,1531238,2020-12-28
2021-01-04,210.77252197265625,214.5500030517578,220.39999389648438,187.5,188.0,8912594,2021-01-04
2021-01-11,216.42127990722656,220.3000030517578,223.1999969482422,208.1999969482422,215.0,4584472,2021-01-11
2021-01-18,227.7679443359375,231.85000610351562,242.0,212.14999389648438,220.0500030517578,9310183,2021-01-18
