Date,Adj Close_FLAIR.NS,Close_FLAIR.NS,High_FLAIR.NS,Low_FLAIR.NS,Open_FLAIR.NS,Volume_FLAIR.NS,Date
2024-09-30,295.54998779296875,295.54998779296875,316.0,293.95001220703125,313.3500061035156,313568,2024-09-30
2024-10-07,297.6499938964844,297.6499938964844,307.0,278.5,299.8999938964844,391141,2024-10-07
2024-10-14,296.6499938964844,296.6499938964844,302.3999938964844,289.1000061035156,301.5,192026,2024-10-14
2024-10-21,277.79998779296875,277.79998779296875,298.1499938964844,277.0,298.1499938964844,907824,2024-10-21
2024-10-28,282.8999938964844,282.8999938964844,289.5,274.1000061035156,274.1000061035156,1065727,2024-10-28
2024-11-04,276.70001220703125,276.70001220703125,291.3999938964844,274.20001220703125,281.20001220703125,224908,2024-11-04
2024-11-11,261.1000061035156,261.1000061035156,279.20001220703125,251.10000610351562,277.54998779296875,401524,2024-11-11
2024-11-18,261.75,261.75,273.6000061035156,256.0,261.20001220703125,727254,2024-11-18
2024-11-25,281.6499938964844,281.6499938964844,294.0,261.75,263.8999938964844,583019,2024-11-25
2024-12-02,294.3999938964844,294.3999938964844,297.0,281.1499938964844,282.0,387068,2024-12-02
2024-12-09,322.3999938964844,322.3999938964844,342.5,291.1499938964844,294.3999938964844,2169669,2024-12-09
2024-12-16,303.25,303.25,328.95001220703125,301.1000061035156,323.8500061035156,582830,2024-12-16
2024-12-23,302.95001220703125,302.95001220703125,310.0,294.1499938964844,304.79998779296875,350171,2024-12-23
2024-12-30,287.8999938964844,287.8999938964844,303.1000061035156,282.0,301.3999938964844,394382,2024-12-30
2025-01-06,261.04998779296875,261.04998779296875,292.0,250.0,289.3500061035156,1174165,2025-01-06
2025-01-13,259.95001220703125,259.95001220703125,269.8999938964844,250.0,260.0,292921,2025-01-13
2025-01-20,246.14999389648438,246.14999389648438,267.0,244.35000610351562,259.95001220703125,208698,2025-01-20
2025-01-27,262.95001220703125,262.95001220703125,268.20001220703125,223.64999389648438,245.9499969482422,1227101,2025-01-27
2025-02-03,244.64999389648438,244.64999389648438,262.45001220703125,236.5,262.45001220703125,530156,2025-02-03
2025-02-10,219.3000030517578,219.3000030517578,246.9499969482422,216.3000030517578,244.64999389648438,471365,2025-02-10
2025-02-17,225.14999389648438,225.14999389648438,232.14999389648438,200.85000610351562,218.0,661631,2025-02-17
2025-02-24,214.10000610351562,214.10000610351562,228.0,211.10000610351562,224.0,508282,2025-02-24
2025-03-03,221.3800048828125,221.3800048828125,232.77000427246094,200.25999450683594,221.3000030517578,1034243,2025-03-03
2025-03-10,204.19000244140625,204.19000244140625,225.0,194.02999877929688,220.5,444186,2025-03-10
2025-03-17,237.39999389648438,237.39999389648438,239.75,194.99000549316406,204.99000549316406,937796,2025-03-17
2025-03-24,225.08999633789062,225.08999633789062,247.39999389648438,223.75,237.4499969482422,670098,2025-03-24
2025-03-31,235.3699951171875,235.3699951171875,248.0,223.6999969482422,225.08999633789062,426953,2025-03-31
2025-04-07,232.86000061035156,232.86000061035156,240.94000244140625,217.61000061035156,221.10000610351562,347044,2025-04-07
2025-04-14,259.8999938964844,259.8999938964844,262.0299987792969,232.9199981689453,232.9199981689453,303652,2025-04-14
2025-04-21,249.88999938964844,249.88999938964844,268.6499938964844,246.05999755859375,259.95001220703125,562076,2025-04-21
2025-04-28,254.4499969482422,254.4499969482422,256.0,246.0,249.0,174723,2025-04-28
2025-05-05,274.760009765625,274.760009765625,277.7200012207031,255.0,263.95001220703125,693961,2025-05-05
2025-05-12,282.3800048828125,282.3800048828125,289.79998779296875,273.54998779296875,282.0299987792969,321597,2025-05-12
2025-05-19,277.1400146484375,277.1400146484375,289.8999938964844,263.0,282.3800048828125,578624,2025-05-19
2025-05-26,278.6099853515625,278.6099853515625,288.0,273.5,277.0,400577,2025-05-26
2025-06-02,262.70001220703125,262.70001220703125,279.79998779296875,261.3999938964844,273.0,238912,2025-06-02
2025-06-09,255.4499969482422,255.4499969482422,268.8999938964844,253.10000610351562,265.0,184696,2025-06-09
2025-06-16,249.89999389648438,249.89999389648438,259.3999938964844,246.1999969482422,256.0,408555,2025-06-16
2025-06-23,254.64999389648438,254.64999389648438,266.0,245.0,245.0,325016,2025-06-23
2025-06-30,270.0,270.0,285.0,255.5,258.6000061035156,1742283,2025-06-30
2025-07-07,300.04998779296875,300.04998779296875,312.20001220703125,269.0,271.79998779296875,2519343,2025-07-07
2025-07-14,320.0,320.0,323.6000061035156,299.8500061035156,300.0,1289518,2025-07-14
