Date,Adj Close_FLAIR.NS,Close_FLAIR.NS,High_FLAIR.NS,Low_FLAIR.NS,Open_FLAIR.NS,Volume_FLAIR.NS,Date
2023-11-27,450.8999938964844,450.8999938964844,514.4000244140625,450.8999938964844,501.0,12732683,2023-11-27
2023-12-04,372.95001220703125,372.95001220703125,425.95001220703125,371.25,405.8500061035156,14784035,2023-12-04
2023-12-11,373.0,373.0,397.0,366.1499938964844,376.0,6238716,2023-12-11
2023-12-18,360.8500061035156,360.8500061035156,381.8500061035156,346.0,374.95001220703125,3380887,2023-12-18
2023-12-25,348.6499938964844,348.6499938964844,364.8500061035156,346.1499938964844,360.8500061035156,1621139,2023-12-25
2024-01-01,361.5,361.5,362.8999938964844,340.1499938964844,349.0,2548043,2024-01-01
2024-01-08,351.6499938964844,351.6499938964844,368.0,347.70001220703125,362.0,2070091,2024-01-08
2024-01-15,331.20001220703125,331.20001220703125,351.6499938964844,330.3500061035156,351.6499938964844,874989,2024-01-15
2024-01-22,322.25,322.25,341.95001220703125,321.1000061035156,331.20001220703125,659413,2024-01-22
2024-01-29,323.8999938964844,323.8999938964844,336.0,321.0,326.8500061035156,792653,2024-01-29
2024-02-05,322.79998779296875,322.79998779296875,332.8999938964844,316.0,327.8999938964844,750797,2024-02-05
2024-02-12,277.79998779296875,277.79998779296875,309.0,258.04998779296875,297.25,2673700,2024-02-12
2024-02-19,281.5,281.5,283.79998779296875,273.0,278.0,1202594,2024-02-19
2024-02-26,279.79998779296875,279.79998779296875,289.6000061035156,276.8999938964844,282.75,1318345,2024-02-26
2024-03-04,273.25,273.25,286.70001220703125,268.54998779296875,284.1000061035156,765764,2024-03-04
2024-03-11,259.79998779296875,259.79998779296875,276.04998779296875,246.10000610351562,273.3500061035156,1172528,2024-03-11
2024-03-18,260.70001220703125,260.70001220703125,264.95001220703125,258.3999938964844,264.95001220703125,556875,2024-03-18
2024-03-25,250.85000610351562,250.85000610351562,269.79998779296875,247.0500030517578,260.70001220703125,1042012,2024-03-25
2024-04-01,294.25,294.25,295.6000061035156,251.0,251.0,1217470,2024-04-01
2024-04-08,290.25,290.25,303.0,287.04998779296875,297.70001220703125,567395,2024-04-08
2024-04-15,311.79998779296875,311.79998779296875,317.0,275.29998779296875,280.20001220703125,1050216,2024-04-15
2024-04-22,304.29998779296875,304.29998779296875,315.70001220703125,299.1000061035156,315.70001220703125,541459,2024-04-22
2024-04-29,303.75,303.75,312.95001220703125,298.04998779296875,307.8999938964844,404431,2024-04-29
2024-05-06,283.5,283.5,304.70001220703125,277.04998779296875,303.75,521577,2024-05-06
2024-05-13,299.25,299.25,301.0,280.0,281.25,367456,2024-05-13
2024-05-20,295.79998779296875,295.79998779296875,311.0,290.20001220703125,293.6499938964844,259055,2024-05-20
2024-05-27,285.45001220703125,285.45001220703125,310.45001220703125,283.54998779296875,296.29998779296875,725118,2024-05-27
2024-06-03,288.95001220703125,288.95001220703125,297.54998779296875,282.29998779296875,289.75,652746,2024-06-03
2024-06-10,293.0,293.0,302.79998779296875,289.0,292.0,427887,2024-06-10
2024-06-17,294.6499938964844,294.6499938964844,298.6000061035156,288.45001220703125,293.0,653235,2024-06-17
2024-06-24,300.20001220703125,300.20001220703125,306.0,293.29998779296875,296.95001220703125,696290,2024-06-24
2024-07-01,331.20001220703125,331.20001220703125,336.5,297.20001220703125,299.0,1934545,2024-07-01
2024-07-08,314.1499938964844,314.1499938964844,335.8999938964844,307.3999938964844,334.8999938964844,629226,2024-07-08
2024-07-15,312.29998779296875,312.29998779296875,325.0,305.0,316.45001220703125,444100,2024-07-15
2024-07-22,305.95001220703125,305.95001220703125,313.6000061035156,292.79998779296875,305.5,434357,2024-07-22
2024-07-29,322.1499938964844,322.1499938964844,330.0,304.95001220703125,305.0,738219,2024-07-29
2024-08-05,312.5,312.5,320.0,301.0,320.0,335537,2024-08-05
2024-08-12,289.75,289.75,303.1000061035156,287.1000061035156,302.5,331762,2024-08-12
2024-08-19,309.20001220703125,309.20001220703125,313.5,287.0,292.0,509345,2024-08-19
2024-08-26,307.70001220703125,307.70001220703125,317.25,304.25,312.0,382952,2024-08-26
2024-09-02,299.75,299.75,315.0,295.04998779296875,311.79998779296875,404175,2024-09-02
2024-09-09,328.6000061035156,328.6000061035156,333.5,298.1499938964844,303.0,1563937,2024-09-09
2024-09-16,312.6499938964844,312.6499938964844,335.0,308.04998779296875,329.95001220703125,740914,2024-09-16
2024-09-23,308.3999938964844,308.3999938964844,318.6499938964844,304.3999938964844,318.6499938964844,635340,2024-09-23
