Date,Adj Close_RAILTEL.NS,Close_RAILTEL.NS,High_RAILTEL.NS,Low_RAILTEL.NS,Open_RAILTEL.NS,Volume_RAILTEL.NS,Date
2021-02-22,112.89714050292969,121.3499984741211,127.8499984741211,101.0,109.0,128128642,2021-02-22
2021-03-01,147.92459106445312,159.0,189.6999969482422,127.4000015258789,128.85000610351562,160434519,2021-03-01
2021-03-08,134.94631958007812,145.0500030517578,165.25,141.1999969482422,163.0,28483448,2021-03-08
2021-03-15,121.50283813476562,130.60000610351562,145.75,125.05000305175781,145.6999969482422,17491846,2021-03-15
2021-03-22,118.61875915527344,127.5,143.8000030517578,124.5999984741211,131.75,21494337,2021-03-22
2021-03-29,119.82820892333984,128.8000030517578,130.6999969482422,125.69999694824219,127.5,6305164,2021-03-29
2021-04-05,114.5855941772461,122.19999694824219,129.0,122.05000305175781,128.9499969482422,10244590,2021-04-05
2021-04-12,107.74046325683594,114.9000015258789,120.0,111.0,120.0,5924241,2021-04-12
2021-04-19,115.52326965332031,123.19999694824219,127.30000305175781,108.44999694824219,111.6500015258789,17197699,2021-04-19
2021-04-26,114.11673736572266,121.69999694824219,127.30000305175781,120.0,125.0,9924432,2021-04-26
2021-05-03,114.6324691772461,122.25,126.30000305175781,118.4000015258789,121.0,6921162,2021-05-03
2021-05-10,117.82063293457031,125.6500015258789,133.5,121.05000305175781,123.25,11440160,2021-05-10
2021-05-17,123.54052734375,131.75,135.0,126.5999984741211,127.94999694824219,14779499,2021-05-17
2021-05-24,120.44613647460938,128.4499969482422,132.8000030517578,127.9000015258789,132.10000610351562,5987403,2021-05-24
2021-05-31,124.33755493164062,132.60000610351562,134.85000610351562,126.1500015258789,128.8000030517578,8950252,2021-05-31
2021-06-07,140.55955505371094,149.89999389648438,164.60000610351562,134.0,134.0,54309647,2021-06-07
2021-06-14,135.3554229736328,144.35000610351562,155.39999389648438,140.0,148.0,13278831,2021-06-14
2021-06-21,138.3560028076172,147.5500030517578,151.5,140.1999969482422,140.35000610351562,7594837,2021-06-21
2021-06-28,133.0580596923828,141.89999389648438,146.89999389648438,138.5500030517578,146.89999389648438,5826353,2021-06-28
2021-07-05,133.43312072753906,142.3000030517578,146.6999969482422,141.5500030517578,143.89999389648438,6452172,2021-07-05
2021-07-12,137.2307891845703,146.35000610351562,150.39999389648438,141.3000030517578,143.8000030517578,10563861,2021-07-12
2021-07-19,132.2610321044922,141.0500030517578,146.25,140.25,144.0,3101306,2021-07-19
2021-07-26,130.33876037597656,139.0,146.0,136.5500030517578,140.9499969482422,3919113,2021-07-26
2021-08-02,126.68179321289062,135.10000610351562,142.14999389648438,134.0,139.60000610351562,3238267,2021-08-02
2021-08-09,123.39988708496094,131.60000610351562,137.4499969482422,126.5,135.1999969482422,3699238,2021-08-09
2021-08-16,117.16423034667969,124.94999694824219,132.0,123.0,131.89999389648438,1935705,2021-08-16
2021-08-23,117.07046508789062,124.8499984741211,127.3499984741211,120.0,126.0,1827716,2021-08-23
2021-08-30,121.33694458007812,129.39999389648438,131.0,123.0,125.3499984741211,3983920,2021-08-30
2021-09-06,122.08710479736328,130.1999969482422,134.75,128.0,129.39999389648438,4287778,2021-09-06
2021-09-13,122.55593872070312,130.6999969482422,134.9499969482422,126.80000305175781,130.39999389648438,5455865,2021-09-13
2021-09-20,120.91499328613281,128.9499969482422,143.39999389648438,128.5500030517578,136.14999389648438,11071607,2021-09-20
2021-09-27,120.96926879882812,127.8499984741211,130.64999389648438,126.80000305175781,129.39999389648438,2823954,2021-09-27
2021-10-04,130.24183654785156,137.64999389648438,139.10000610351562,127.0999984741211,128.10000610351562,11823759,2021-10-04
2021-10-11,127.11947631835938,134.35000610351562,138.85000610351562,131.0,138.85000610351562,5253418,2021-10-11
2021-10-18,129.62681579589844,137.0,141.9499969482422,128.3000030517578,135.60000610351562,14366450,2021-10-18
2021-10-25,118.41458892822266,125.1500015258789,137.35000610351562,124.30000305175781,137.0,5355493,2021-10-25
2021-11-01,116.85338592529297,123.5,127.80000305175781,120.0,127.80000305175781,7159262,2021-11-01
2021-11-08,118.98229217529297,125.75,129.0,122.4000015258789,124.80000305175781,5831351,2021-11-08
2021-11-15,114.67715454101562,121.19999694824219,126.6500015258789,120.19999694824219,126.3499984741211,2521079,2021-11-15
2021-11-22,112.4536361694336,118.8499984741211,122.5,117.5,121.69999694824219,3111058,2021-11-22
2021-11-29,112.83211517333984,119.25,121.69999694824219,112.0999984741211,117.05000305175781,3671405,2021-11-29
2021-12-06,115.85989379882812,122.44999694824219,124.69999694824219,116.5,119.5,4878823,2021-12-06
2021-12-13,110.60859680175781,116.9000015258789,123.69999694824219,116.25,123.0,1946693,2021-12-13
2021-12-20,109.33125305175781,115.55000305175781,117.9000015258789,112.6500015258789,116.0,2525554,2021-12-20
2021-12-27,110.65589141845703,116.94999694824219,118.4000015258789,114.80000305175781,116.80000305175781,1822220,2021-12-27
2022-01-03,113.25789642333984,119.69999694824219,122.0,116.5999984741211,117.5,4257865,2022-01-03
2022-01-10,113.39983367919922,119.8499984741211,122.5,117.19999694824219,120.5,7610735,2022-01-10
2022-01-17,111.36553955078125,117.69999694824219,122.4000015258789,117.30000305175781,120.9000015258789,4271302,2022-01-17
2022-01-24,110.22708892822266,114.80000305175781,117.55000305175781,111.0999984741211,117.0,2462436,2022-01-24
2022-01-31,109.41093444824219,113.94999694824219,117.5,113.3499984741211,116.0,2872841,2022-01-31
2022-02-07,107.05853271484375,111.5,114.19999694824219,110.75,113.5999984741211,1956041,2022-02-07
2022-02-14,98.80110168457031,102.9000015258789,110.80000305175781,89.19999694824219,110.0,3287753,2022-02-14
2022-02-21,91.35980987548828,95.1500015258789,102.8499984741211,92.9000015258789,102.55000305175781,3214951,2022-02-21
2022-02-28,87.42312622070312,91.05000305175781,96.9000015258789,90.8499984741211,96.9000015258789,3325598,2022-02-28
2022-03-07,88.91139221191406,92.5999984741211,94.0,87.19999694824219,91.0,4065687,2022-03-07
2022-03-14,87.27910614013672,90.9000015258789,93.25,88.9000015258789,92.9000015258789,3081111,2022-03-14
2022-03-21,85.64682006835938,89.19999694824219,93.4000015258789,88.55000305175781,91.55000305175781,6794141,2022-03-21
2022-03-28,82.57428741455078,86.0,89.6500015258789,84.0,89.1500015258789,7679265,2022-03-28
2022-04-04,106.72246551513672,111.1500015258789,112.0999984741211,86.5999984741211,86.5999984741211,22627660,2022-04-04
2022-04-11,106.72246551513672,111.1500015258789,112.5,103.5999984741211,112.0,6499053,2022-04-11
2022-04-18,112.29142761230469,116.94999694824219,120.8499984741211,108.0999984741211,110.0,18442408,2022-04-18
2022-04-25,104.0820083618164,108.4000015258789,117.6500015258789,107.19999694824219,117.0,5615771,2022-04-25
2022-05-02,97.26483917236328,101.30000305175781,109.8499984741211,98.44999694824219,106.69999694824219,3808842,2022-05-02
2022-05-09,91.98392486572266,95.80000305175781,102.0,91.80000305175781,101.94999694824219,3594958,2022-05-09
2022-05-16,93.8082275390625,97.69999694824219,101.69999694824219,94.5,99.0,3041186,2022-05-16
2022-05-23,92.89608001708984,96.75,104.8499984741211,92.19999694824219,98.44999694824219,5758133,2022-05-23
2022-05-30,100.1933364868164,104.3499984741211,105.19999694824219,96.25,98.0999984741211,5180045,2022-05-30
2022-06-06,93.23213195800781,97.0999984741211,103.9000015258789,96.5999984741211,103.80000305175781,2654562,2022-06-06
2022-06-13,87.85520935058594,91.5,97.19999694824219,90.5,95.0,2038636,2022-06-13
2022-06-20,89.63151550292969,93.3499984741211,94.75,87.5,91.80000305175781,2162633,2022-06-20
2022-06-27,87.42312622070312,91.05000305175781,94.5999984741211,90.5999984741211,94.5999984741211,1201332,2022-06-27
2022-07-04,89.96756744384766,93.69999694824219,94.6500015258789,90.9000015258789,91.05000305175781,1491453,2022-07-04
2022-07-11,89.87155151367188,93.5999984741211,97.69999694824219,93.0,93.80000305175781,1331495,2022-07-11
2022-07-18,93.04010772705078,96.9000015258789,98.4000015258789,94.0,94.30000305175781,1147508,2022-07-18
2022-07-25,93.47217559814453,97.3499984741211,98.0,91.75,97.0,1290153,2022-07-25
2022-08-01,94.6723861694336,98.5999984741211,101.94999694824219,97.30000305175781,98.5,1893388,2022-08-01
2022-08-08,94.62438201904297,98.55000305175781,100.0,96.1500015258789,98.80000305175781,1363387,2022-08-08
2022-08-15,93.13611602783203,97.0,100.94999694824219,96.5,98.55000305175781,2226892,2022-08-15
2022-08-22,92.75204467773438,96.5999984741211,98.05000305175781,94.5,97.0,1837177,2022-08-22
2022-08-29,96.83275604248047,100.8499984741211,104.25,94.19999694824219,95.0,5765096,2022-08-29
2022-09-05,102.9298095703125,107.19999694824219,109.69999694824219,100.19999694824219,101.5999984741211,8646403,2022-09-05
2022-09-12,100.1933364868164,104.3499984741211,112.30000305175781,102.4000015258789,107.8499984741211,6301169,2022-09-12
2022-09-19,101.53758239746094,105.75,110.69999694824219,101.5999984741211,104.9000015258789,3726171,2022-09-19
2022-09-26,99.84542846679688,103.3499984741211,107.0,101.4000015258789,105.9000015258789,2904090,2022-09-26
2022-10-03,109.40972900390625,113.25,114.5,103.05000305175781,103.1500015258789,6474538,2022-10-03
2022-10-10,105.73859405517578,109.44999694824219,117.4000015258789,108.0999984741211,111.94999694824219,7463049,2022-10-10
2022-10-17,100.71492004394531,104.25,109.80000305175781,103.0999984741211,109.0,3231232,2022-10-17
2022-10-24,114.1918716430664,118.19999694824219,120.0,105.0,105.75,10353789,2022-10-24
2022-10-31,120.27824401855469,124.5,129.0,113.69999694824219,119.0,17112885,2022-10-31
2022-11-07,123.22482299804688,127.55000305175781,134.39999389648438,122.25,125.5,18828245,2022-11-07
2022-11-14,132.7891082763672,137.4499969482422,145.25,124.69999694824219,128.0,40146885,2022-11-14
2022-11-21,138.6339569091797,143.5,146.4499969482422,130.8000030517578,137.10000610351562,33214134,2022-11-21
2022-11-28,130.5670928955078,135.14999389648438,148.6999969482422,134.35000610351562,144.25,22333562,2022-11-28
2022-12-05,122.79007720947266,127.0999984741211,136.89999389648438,126.0,135.85000610351562,9434347,2022-12-05
2022-12-12,130.85694885253906,135.4499969482422,137.60000610351562,125.4000015258789,126.5,15178417,2022-12-12
2022-12-19,110.5207290649414,114.4000015258789,140.5500030517578,113.05000305175781,136.1999969482422,14668803,2022-12-19
2022-12-26,122.45194244384766,126.75,128.39999389648438,113.55000305175781,114.94999694824219,8165773,2022-12-26
2023-01-02,121.77568817138672,126.05000305175781,134.0,124.6500015258789,127.0,10577185,2023-01-02
2023-01-09,127.95864868164062,132.4499969482422,133.1999969482422,121.8499984741211,126.80000305175781,8657808,2023-01-09
2023-01-16,122.69346618652344,127.0,133.9499969482422,126.0,133.0500030517578,5711400,2023-01-16
2023-01-23,116.22065734863281,120.30000305175781,128.35000610351562,118.0,127.19999694824219,2580673,2023-01-23
2023-01-30,105.83518981933594,109.55000305175781,126.5,108.19999694824219,122.0,10153058,2023-01-30
2023-02-06,111.2936019897461,115.19999694824219,116.0,104.5999984741211,109.1500015258789,8206013,2023-02-06
2023-02-13,113.03658294677734,115.3499984741211,117.0,108.8499984741211,115.19999694824219,4727476,2023-02-13
