Date,Adj Close_LORDSCHLO.NS,Close_LORDSCHLO.NS,High_LORDSCHLO.NS,Low_LORDSCHLO.NS,Open_LORDSCHLO.NS,Volume_LORDSCHLO.NS,Date
2023-08-28,175.0500030517578,175.0500030517578,195.0,161.0,170.0,283255,2023-08-28
2023-09-04,166.3000030517578,166.3000030517578,182.0,164.9499969482422,182.0,115921,2023-09-04
2023-09-11,166.0,166.0,169.9499969482422,155.5500030517578,169.9499969482422,92565,2023-09-11
2023-09-18,169.75,169.75,180.0,167.0500030517578,168.0,127819,2023-09-18
2023-09-25,166.8000030517578,166.8000030517578,173.0,166.5,167.14999389648438,36362,2023-09-25
2023-10-02,161.5,161.5,169.5,159.0,165.5500030517578,32478,2023-10-02
2023-10-09,166.0,166.0,174.9499969482422,155.5500030517578,160.5,90352,2023-10-09
2023-10-16,166.35000610351562,166.35000610351562,175.35000610351562,163.0,169.85000610351562,91662,2023-10-16
2023-10-23,159.0,159.0,169.89999389648438,152.0,169.89999389648438,35169,2023-10-23
2023-10-30,155.6999969482422,155.6999969482422,162.3000030517578,150.1999969482422,162.3000030517578,35704,2023-10-30
2023-11-06,153.75,153.75,161.1999969482422,145.0,156.14999389648438,40073,2023-11-06
2023-11-13,152.10000610351562,152.10000610351562,158.1999969482422,150.0,158.1999969482422,22243,2023-11-13
2023-11-20,146.14999389648438,146.14999389648438,155.0,139.14999389648438,152.8000030517578,56364,2023-11-20
2023-11-27,145.6999969482422,145.6999969482422,151.14999389648438,144.9499969482422,148.9499969482422,43620,2023-11-27
2023-12-04,156.0500030517578,156.0500030517578,168.14999389648438,143.10000610351562,146.5,99778,2023-12-04
2023-12-11,174.64999389648438,174.64999389648438,185.0,152.5500030517578,156.0500030517578,339197,2023-12-11
2023-12-18,170.3000030517578,170.3000030517578,186.5,164.0,183.0,194705,2023-12-18
2023-12-25,169.9499969482422,169.9499969482422,182.5,155.89999389648438,182.5,498330,2023-12-25
2024-01-01,155.4499969482422,155.4499969482422,177.9499969482422,152.3000030517578,172.5,610569,2024-01-01
2024-01-08,157.0500030517578,157.0500030517578,162.0,145.5500030517578,154.0,603561,2024-01-08
2024-01-15,152.3000030517578,152.3000030517578,160.1999969482422,145.8000030517578,156.0,418345,2024-01-15
2024-01-22,138.8000030517578,138.8000030517578,153.5,136.64999389648438,152.3000030517578,488996,2024-01-22
2024-01-29,141.6999969482422,141.6999969482422,144.10000610351562,132.0,139.0,361385,2024-01-29
2024-02-05,137.8000030517578,137.8000030517578,146.0,135.5500030517578,141.6999969482422,198472,2024-02-05
2024-02-12,135.9499969482422,135.9499969482422,140.0500030517578,125.30000305175781,138.5,129169,2024-02-12
2024-02-19,137.6999969482422,137.6999969482422,142.0,126.1500015258789,136.60000610351562,390389,2024-02-19
2024-02-26,129.5,129.5,139.64999389648438,125.0,137.75,118251,2024-02-26
