Date,Adj Close_VETO.NS,Close_VETO.NS,High_VETO.NS,Low_VETO.NS,Open_VETO.NS,Volume_VETO.NS,Date
2021-04-05,139.0167236328125,143.64999389648438,152.0,118.5,121.8499984741211,394773,2021-04-05
2021-04-12,132.24249267578125,136.64999389648438,144.89999389648438,125.6500015258789,140.0,183201,2021-04-12
2021-04-19,127.11344909667969,131.35000610351562,135.10000610351562,117.55000305175781,135.10000610351562,298153,2021-04-19
2021-04-26,126.3392562866211,130.5500030517578,137.0,126.5,134.89999389648438,117824,2021-04-26
2021-05-03,121.88761901855469,125.94999694824219,133.0,121.44999694824219,132.9499969482422,187341,2021-05-03
2021-05-10,120.38761138916016,124.4000015258789,130.89999389648438,118.5,130.89999389648438,67008,2021-05-10
2021-05-17,121.54889678955078,125.5999984741211,131.8000030517578,119.6500015258789,125.0,194884,2021-05-17
2021-05-24,122.56503295898438,126.6500015258789,130.0500030517578,119.05000305175781,124.0,152841,2021-05-24
2021-05-31,123.14568328857422,127.25,130.64999389648438,122.19999694824219,126.6500015258789,96791,2021-05-31
2021-06-07,136.64573669433594,141.1999969482422,154.0,128.5,130.3000030517578,1035801,2021-06-07
2021-06-14,118.69405364990234,122.6500015258789,142.89999389648438,119.05000305175781,140.25,506664,2021-06-14
2021-06-21,124.54891204833984,128.6999969482422,131.89999389648438,119.25,123.0,224784,2021-06-21
2021-06-28,145.3070526123047,150.14999389648438,153.5,126.0,129.8000030517578,2075077,2021-06-28
2021-07-05,157.98452758789062,163.25,169.0,153.25,156.0,5553412,2021-07-05
2021-07-12,144.0973663330078,148.89999389648438,172.0,147.8000030517578,167.89999389648438,4728959,2021-07-12
2021-07-19,123.62955474853516,127.75,148.64999389648438,126.5,148.64999389648438,1597363,2021-07-19
2021-07-26,135.2908935546875,139.8000030517578,147.0,124.8499984741211,126.05000305175781,2680968,2021-07-26
2021-08-02,125.90377044677734,130.10000610351562,138.85000610351562,126.4000015258789,136.0,698892,2021-08-02
2021-08-09,103.59722137451172,107.05000305175781,131.0,101.75,131.0,1577786,2021-08-09
2021-08-16,93.14556121826172,96.25,108.44999694824219,93.0999984741211,108.25,643742,2021-08-16
2021-08-23,107.5649642944336,111.1500015258789,116.8499984741211,85.6500015258789,99.0,2557930,2021-08-23
2021-08-30,102.5326919555664,105.94999694824219,114.0999984741211,104.0,111.19999694824219,606838,2021-08-30
2021-09-06,99.48429870605469,102.80000305175781,108.0,100.1500015258789,106.0,357921,2021-09-06
2021-09-13,100.79075622558594,104.1500015258789,111.80000305175781,101.1500015258789,103.5999984741211,549400,2021-09-13
2021-09-20,98.90364074707031,102.19999694824219,105.5,100.05000305175781,103.3499984741211,247280,2021-09-20
2021-09-27,106.48400115966797,108.94999694824219,110.69999694824219,99.44999694824219,103.80000305175781,645291,2021-09-27
2021-10-04,117.28388977050781,120.0,127.8499984741211,108.0999984741211,108.19999694824219,1883076,2021-10-04
2021-10-11,114.9870834350586,117.6500015258789,126.0,116.0,120.9000015258789,597884,2021-10-11
2021-10-18,109.61157989501953,112.1500015258789,120.0,111.0,118.80000305175781,456679,2021-10-18
2021-10-25,109.66044616699219,112.19999694824219,122.5,109.0,115.0,412860,2021-10-25
2021-11-01,114.59613037109375,117.25,118.94999694824219,114.0,115.4000015258789,421936,2021-11-01
2021-11-08,110.97988891601562,113.55000305175781,119.19999694824219,112.05000305175781,119.0,212552,2021-11-08
2021-11-15,109.85591125488281,112.4000015258789,117.9000015258789,112.0999984741211,117.0,204225,2021-11-15
2021-11-22,106.97268676757812,109.44999694824219,117.0,106.3499984741211,116.5,207158,2021-11-22
2021-11-29,103.9428482055664,106.3499984741211,110.0,103.25,108.55000305175781,163099,2021-11-29
2021-12-06,106.09305572509766,108.55000305175781,111.55000305175781,105.0,106.05000305175781,133497,2021-12-06
2021-12-13,102.57453918457031,104.94999694824219,115.75,104.0,110.4000015258789,331756,2021-12-13
2021-12-20,100.66867065429688,103.0,108.8499984741211,98.0,104.5,615062,2021-12-20
2021-12-27,100.91301727294922,103.25,110.4000015258789,96.6500015258789,102.5,308172,2021-12-27
2022-01-03,111.2730941772461,113.8499984741211,122.30000305175781,103.80000305175781,104.0,2349811,2022-01-03
2022-01-10,113.66764068603516,116.30000305175781,124.9000015258789,114.30000305175781,114.5,1725818,2022-01-10
2022-01-17,110.83328247070312,113.4000015258789,125.30000305175781,112.69999694824219,116.30000305175781,1197424,2022-01-17
2022-01-24,107.4124984741211,109.9000015258789,114.9000015258789,101.5,114.0,325807,2022-01-24
2022-01-31,109.318359375,111.8499984741211,116.69999694824219,106.5999984741211,109.9000015258789,403871,2022-01-31
2022-02-07,108.2432632446289,110.75,116.80000305175781,107.6500015258789,112.19999694824219,429685,2022-02-07
2022-02-14,101.98811340332031,104.3499984741211,109.44999694824219,98.0999984741211,105.05000305175781,391447,2022-02-14
2022-02-21,87.18102264404297,89.19999694824219,104.5,78.30000305175781,103.0,742664,2022-02-21
2022-02-28,87.37649536132812,89.4000015258789,94.1500015258789,82.0999984741211,90.0,308509,2022-02-28
2022-03-07,90.30860137939453,92.4000015258789,96.80000305175781,86.0999984741211,88.4000015258789,268480,2022-03-07
2022-03-14,92.16559600830078,94.30000305175781,97.3499984741211,90.05000305175781,92.0,388438,2022-03-14
2022-03-21,90.84614562988281,92.94999694824219,102.25,90.3499984741211,96.4000015258789,316136,2022-03-21
2022-03-28,99.00715637207031,101.30000305175781,104.5999984741211,89.0,94.69999694824219,1191552,2022-03-28
2022-04-04,105.84871673583984,108.30000305175781,113.5999984741211,103.19999694824219,105.0999984741211,777814,2022-04-04
2022-04-11,103.9428482055664,106.3499984741211,108.44999694824219,104.19999694824219,107.5,182673,2022-04-11
2022-04-18,104.57814025878906,107.0,115.0,105.4000015258789,108.4000015258789,561458,2022-04-18
2022-04-25,102.08585357666016,104.44999694824219,107.1500015258789,102.0,105.94999694824219,201313,2022-04-25
2022-05-02,94.65787506103516,96.8499984741211,106.0,95.0,102.0999984741211,229634,2022-05-02
2022-05-09,88.59820556640625,90.6500015258789,98.19999694824219,87.0,98.19999694824219,214904,2022-05-09
2022-05-16,90.06426239013672,92.1500015258789,101.75,89.9000015258789,92.80000305175781,228958,2022-05-16
2022-05-23,92.1167221069336,94.25,96.5999984741211,88.8499984741211,93.44999694824219,186361,2022-05-23
2022-05-30,92.2633285522461,94.4000015258789,96.55000305175781,92.3499984741211,95.6500015258789,123260,2022-05-30
2022-06-06,88.6470718383789,90.69999694824219,95.30000305175781,89.5999984741211,93.30000305175781,69829,2022-06-06
2022-06-13,80.19286346435547,82.05000305175781,91.3499984741211,80.25,88.1500015258789,102771,2022-06-13
2022-06-20,80.24172973632812,82.0999984741211,84.9000015258789,77.0,84.9000015258789,89990,2022-06-20
2022-06-27,79.75304412841797,81.5999984741211,86.4000015258789,80.4000015258789,84.4000015258789,119017,2022-06-27
2022-07-04,79.60643768310547,81.44999694824219,84.0999984741211,79.0,82.75,130894,2022-07-04
2022-07-11,95.6841049194336,97.9000015258789,101.3499984741211,80.30000305175781,80.30000305175781,896191,2022-07-11
2022-07-18,97.10128784179688,99.3499984741211,104.0,94.3499984741211,99.0,666227,2022-07-18
2022-07-25,93.43616485595703,95.5999984741211,101.5,93.0,99.9000015258789,221833,2022-07-25
2022-08-01,94.169189453125,96.3499984741211,99.94999694824219,92.0,96.30000305175781,231149,2022-08-01
2022-08-08,102.86775207519531,105.25,109.1500015258789,95.1500015258789,95.1500015258789,781567,2022-08-08
2022-08-15,99.83792114257812,102.1500015258789,107.94999694824219,100.5,105.25,394121,2022-08-15
2022-08-22,105.11569213867188,107.55000305175781,111.9000015258789,100.30000305175781,101.9000015258789,799377,2022-08-22
2022-08-29,104.72474670410156,107.1500015258789,111.94999694824219,104.05000305175781,104.0999984741211,574955,2022-08-29
2022-09-05,111.61516571044922,114.19999694824219,122.0,101.30000305175781,106.5,1530839,2022-09-05
2022-09-12,111.8106460571289,114.4000015258789,122.0,110.0,115.0,1973071,2022-09-12
2022-09-19,110.24687194824219,112.80000305175781,119.0,112.5,115.94999694824219,696626,2022-09-19
2022-09-26,106.78584289550781,108.30000305175781,113.5,103.5,113.5,374609,2022-09-26
2022-10-03,108.5606689453125,110.0999984741211,112.55000305175781,106.8499984741211,109.8499984741211,193585,2022-10-03
2022-10-10,102.69386291503906,104.1500015258789,111.55000305175781,104.0,109.69999694824219,252279,2022-10-10
2022-10-17,103.08827209472656,104.55000305175781,106.30000305175781,103.0,105.5,184375,2022-10-17
2022-10-24,107.91976165771484,109.44999694824219,110.9000015258789,104.55000305175781,104.55000305175781,381051,2022-10-24
2022-10-31,126.55552673339844,128.35000610351562,131.4499969482422,107.0,110.80000305175781,3250722,2022-10-31
2022-11-07,119.9491958618164,121.6500015258789,132.4499969482422,120.0,129.6999969482422,1152505,2022-11-07
2022-11-14,112.01173400878906,113.5999984741211,125.0,112.0999984741211,123.44999694824219,529066,2022-11-14
2022-11-21,113.19496154785156,114.80000305175781,132.89999389648438,109.5,113.5999984741211,1451730,2022-11-21
2022-11-28,112.1596450805664,113.75,118.4000015258789,112.25,116.9000015258789,549116,2022-11-28
2022-12-05,119.60408782958984,121.30000305175781,129.0,113.55000305175781,116.0,2845328,2022-12-05
2022-12-12,113.88517761230469,115.5,124.44999694824219,115.19999694824219,120.0999984741211,813142,2022-12-12
2022-12-19,96.48194885253906,97.8499984741211,119.0,97.0,117.30000305175781,620072,2022-12-19
2022-12-26,108.60997772216797,110.1500015258789,113.6500015258789,95.8499984741211,97.8499984741211,567576,2022-12-26
2023-01-02,111.6173324584961,113.19999694824219,117.19999694824219,109.0999984741211,109.0999984741211,534476,2023-01-02
2023-01-09,110.33551788330078,111.9000015258789,115.5999984741211,109.5,113.80000305175781,301946,2023-01-09
2023-01-16,107.0816421508789,108.5999984741211,115.1500015258789,108.0,113.44999694824219,256063,2023-01-16
2023-01-23,101.75714111328125,103.19999694824219,108.5999984741211,103.0,108.5999984741211,162280,2023-01-23
2023-01-30,99.5385971069336,100.94999694824219,106.5999984741211,100.0,104.9000015258789,243931,2023-01-30
2023-02-06,101.85574340820312,103.30000305175781,104.5999984741211,99.6500015258789,101.69999694824219,132636,2023-02-06
2023-02-13,95.20011901855469,96.55000305175781,103.3499984741211,91.9000015258789,102.1500015258789,295846,2023-02-13
2023-02-20,92.78437042236328,94.0999984741211,97.94999694824219,90.6500015258789,95.55000305175781,248041,2023-02-20
2023-02-27,86.03014373779297,87.25,95.30000305175781,79.80000305175781,95.30000305175781,492129,2023-02-27
2023-03-06,86.76966094970703,88.0,90.9000015258789,84.30000305175781,90.25,255485,2023-03-06
2023-03-13,82.72698211669922,83.9000015258789,88.44999694824219,81.75,88.30000305175781,324910,2023-03-13
2023-03-20,78.68431091308594,79.80000305175781,84.0,78.75,83.9000015258789,168293,2023-03-20
2023-03-27,74.14861297607422,75.19999694824219,80.94999694824219,71.44999694824219,80.94999694824219,416721,2023-03-27
2023-04-03,83.86090087890625,85.05000305175781,87.30000305175781,75.0999984741211,75.80000305175781,248237,2023-04-03
2023-04-10,85.63573455810547,86.8499984741211,91.0,83.5,83.75,246351,2023-04-10
2023-04-17,84.10741424560547,85.30000305175781,90.5,82.6500015258789,86.5,265779,2023-04-17
2023-04-24,90.6151351928711,91.9000015258789,94.25,84.05000305175781,86.19999694824219,509084,2023-04-24
2023-05-01,95.44662475585938,96.80000305175781,99.25,91.3499984741211,91.9000015258789,385722,2023-05-01
2023-05-08,101.16553497314453,102.5999984741211,103.75,93.44999694824219,96.80000305175781,359169,2023-05-08
2023-05-15,105.60261535644531,107.0999984741211,111.69999694824219,100.3499984741211,104.25,1737644,2023-05-15
2023-05-22,105.4054183959961,106.9000015258789,111.9000015258789,105.0,106.9000015258789,341215,2023-05-22
2023-05-29,100.62322998046875,102.05000305175781,109.80000305175781,94.6500015258789,108.5999984741211,1084377,2023-05-29
2023-06-05,102.15155029296875,103.5999984741211,107.0,101.69999694824219,102.8499984741211,386569,2023-06-05
2023-06-12,98.35537719726562,99.75,108.5,97.69999694824219,103.5999984741211,903852,2023-06-12
2023-06-19,97.56655883789062,98.94999694824219,103.80000305175781,97.80000305175781,99.9000015258789,431676,2023-06-19
2023-06-26,99.39070129394531,100.80000305175781,104.69999694824219,98.55000305175781,104.69999694824219,573003,2023-06-26
2023-07-03,107.18024444580078,108.69999694824219,114.5,100.5,101.5999984741211,1818962,2023-07-03
2023-07-10,103.82778930664062,105.30000305175781,118.0,104.3499984741211,109.5,1520843,2023-07-10
