Date,Adj Close_IRCTC.NS,Close_IRCTC.NS,High_IRCTC.NS,Low_IRCTC.NS,Open_IRCTC.NS,Volume_IRCTC.NS,Date
2020-07-13,265.14935302734375,274.19000244140625,280.0,267.0,273.0299987792969,9448950,2020-07-13
2020-07-20,262.6156921386719,271.57000732421875,282.44000244140625,271.20001220703125,276.0,14568615,2020-07-20
2020-07-27,258.3608093261719,267.1700134277344,273.79998779296875,266.42999267578125,271.6000061035156,7195960,2020-07-27
2020-08-03,257.49041748046875,266.2699890136719,272.3999938964844,266.0,267.3999938964844,6558425,2020-08-03
2020-08-10,264.69482421875,273.7200012207031,282.79998779296875,263.010009765625,266.3999938964844,24278495,2020-08-10
2020-08-17,259.5115661621094,268.3599853515625,280.7200012207031,266.45001220703125,275.6000061035156,17652745,2020-08-17
2020-08-24,264.28863525390625,273.29998779296875,277.44000244140625,267.05999755859375,268.3999938964844,12346560,2020-08-24
2020-08-31,264.0372009277344,273.0400085449219,279.79998779296875,267.20001220703125,279.79998779296875,9906950,2020-08-31
2020-09-07,265.0719299316406,274.1099853515625,291.9800109863281,264.2300109863281,278.0,47130250,2020-09-07
2020-09-14,271.802490234375,281.07000732421875,284.0,270.0,272.0,12380350,2020-09-14
2020-09-21,261.49395751953125,270.4100036621094,286.0,266.0199890136719,285.0,12066050,2020-09-21
2020-09-28,266.76422119140625,275.8599853515625,283.8999938964844,271.0,272.0,8038455,2020-09-28
2020-10-05,261.2909240722656,270.20001220703125,278.2099914550781,269.70001220703125,278.0,7116850,2020-10-05
2020-10-12,256.8618469238281,265.6199951171875,273.9599914550781,265.0,271.0,6650690,2020-10-12
2020-10-19,256.8328552246094,265.5899963378906,268.7799987792969,265.05999755859375,266.0,3320380,2020-10-19
2020-10-26,254.84666442871094,263.0400085449219,268.0,259.4100036621094,265.79998779296875,4204415,2020-10-26
2020-11-02,254.07159423828125,262.239990234375,264.3500061035156,258.010009765625,264.0400085449219,3137635,2020-11-02
2020-11-09,271.016845703125,279.7300109863281,283.3699951171875,262.20001220703125,263.6000061035156,19498840,2020-11-09
2020-11-16,267.6258239746094,276.2300109863281,281.3999938964844,270.4200134277344,277.8500061035156,7307500,2020-11-16
2020-11-23,262.25836181640625,270.69000244140625,275.8399963378906,269.260009765625,273.6000061035156,5293805,2020-11-23
2020-11-30,304.3355712890625,314.1199951171875,319.3999938964844,269.30999755859375,270.69000244140625,57201810,2020-11-30
2020-12-07,275.34759521484375,284.20001220703125,360.0,280.0,317.0,222815460,2020-12-07
2020-12-14,276.0257263183594,284.8999938964844,301.739990234375,282.0,284.9800109863281,114379080,2020-12-14
2020-12-21,273.0126647949219,281.7900085449219,287.5,267.2900085449219,284.760009765625,40566660,2020-12-21
2020-12-28,279.9980163574219,289.0,293.0,281.6000061035156,284.0,38491550,2020-12-28
2021-01-04,285.13299560546875,294.29998779296875,302.9800109863281,286.2900085449219,292.3999938964844,49370615,2021-01-04
2021-01-11,279.2616882324219,288.239990234375,299.3999938964844,287.3999938964844,296.4700012207031,30678690,2021-01-11
2021-01-18,277.5661926269531,286.489990234375,296.6300048828125,283.5400085449219,289.69000244140625,22539670,2021-01-18
