Date,Adj Close_CYIENTDLM.NS,Close_CYIENTDLM.NS,High_CYIENTDLM.NS,Low_CYIENTDLM.NS,Open_CYIENTDLM.NS,Volume_CYIENTDLM.NS,Date
2023-07-10,501.8999938964844,501.8999938964844,547.0,403.0,403.0,48440172,2023-07-10
2023-07-17,496.79998779296875,496.79998779296875,532.3499755859375,492.0,507.5,5187294,2023-07-17
2023-07-24,509.29998779296875,509.29998779296875,531.2000122070312,450.04998779296875,470.1499938964844,4637685,2023-07-24
2023-07-31,504.70001220703125,504.70001220703125,523.4000244140625,483.04998779296875,523.3499755859375,2228230,2023-07-31
2023-08-07,487.75,487.75,510.0,479.0,509.0,1336444,2023-08-07
2023-08-14,515.4000244140625,515.4000244140625,518.0,466.04998779296875,487.0,948906,2023-08-14
2023-08-21,574.5,574.5,586.0499877929688,512.5,519.4000244140625,3154155,2023-08-21
2023-08-28,622.4000244140625,622.4000244140625,630.0,548.0,580.0,2135271,2023-08-28
2023-09-04,699.2000122070312,699.2000122070312,778.9000244140625,616.7999877929688,626.0,4908521,2023-09-04
2023-09-11,679.2000122070312,679.2000122070312,717.0,650.0,709.7000122070312,687418,2023-09-11
2023-09-18,667.5499877929688,667.5499877929688,687.4500122070312,650.0,677.0,543534,2023-09-18
2023-09-25,720.5999755859375,720.5999755859375,741.7000122070312,663.0,675.6500244140625,2103095,2023-09-25
2023-10-02,668.25,668.25,722.2000122070312,646.8499755859375,720.5999755859375,1302786,2023-10-02
2023-10-09,686.5499877929688,686.5499877929688,713.5,654.5,668.9000244140625,1818423,2023-10-09
2023-10-16,696.8499755859375,696.8499755859375,747.7000122070312,685.0,696.6500244140625,3109675,2023-10-16
2023-10-23,648.7999877929688,648.7999877929688,710.0,605.2000122070312,702.0,1247820,2023-10-23
2023-10-30,637.1500244140625,637.1500244140625,661.0,630.0,660.0,595145,2023-10-30
2023-11-06,633.75,633.75,646.1500244140625,629.0,640.0,581148,2023-11-06
2023-11-13,666.75,666.75,692.0,635.0,644.9500122070312,869231,2023-11-13
2023-11-20,644.9500122070312,644.9500122070312,680.0,639.5,673.0,655554,2023-11-20
2023-11-27,650.4000244140625,650.4000244140625,663.0,633.0499877929688,644.9500122070312,431954,2023-11-27
2023-12-04,640.7000122070312,640.7000122070312,684.2999877929688,638.0,659.6500244140625,1012441,2023-12-04
