Date,Adj Close_CYIENTDLM.NS,Close_CYIENTDLM.NS,High_CYIENTDLM.NS,Low_CYIENTDLM.NS,Open_CYIENTDLM.NS,Volume_CYIENTDLM.NS,Date
2023-12-11,652.0499877929688,652.0499877929688,682.0,612.2999877929688,643.6500244140625,3049689,2023-12-11
2023-12-18,666.9500122070312,666.9500122070312,678.6500244140625,624.4000244140625,653.75,1263738,2023-12-18
2023-12-25,674.75,674.75,695.7999877929688,651.2999877929688,666.9500122070312,1397070,2023-12-25
2024-01-01,665.7999877929688,665.7999877929688,688.0,656.2000122070312,685.0,751468,2024-01-01
2024-01-08,670.2999877929688,670.2999877929688,674.25,635.5499877929688,669.0,990827,2024-01-08
2024-01-15,668.9500122070312,668.9500122070312,717.0,653.5499877929688,670.2999877929688,1070488,2024-01-15
2024-01-22,679.4500122070312,679.4500122070312,700.0,637.4500122070312,668.9500122070312,1567454,2024-01-22
2024-01-29,677.25,677.25,698.8499755859375,657.7000122070312,698.8499755859375,1389493,2024-01-29
2024-02-05,775.5999755859375,775.5999755859375,799.0,666.1500244140625,680.0,4321232,2024-02-05
2024-02-12,784.8499755859375,784.8499755859375,833.25,721.0,789.0,2409629,2024-02-12
2024-02-19,839.3499755859375,839.3499755859375,845.0,756.5999755859375,792.2000122070312,1628261,2024-02-19
2024-02-26,805.4000244140625,805.4000244140625,883.7999877929688,791.0,841.6500244140625,2442501,2024-02-26
2024-03-04,778.4000244140625,778.4000244140625,818.9500122070312,746.5499877929688,818.9500122070312,746960,2024-03-04
2024-03-11,694.0999755859375,694.0999755859375,778.2999877929688,656.6500244140625,778.2999877929688,961707,2024-03-11
2024-03-18,689.9500122070312,689.9500122070312,700.0,650.0999755859375,695.0,903570,2024-03-18
2024-03-25,720.4000244140625,720.4000244140625,726.4500122070312,679.0,689.9500122070312,370367,2024-03-25
2024-04-01,703.8499755859375,703.8499755859375,732.5499877929688,700.0,725.0,749196,2024-04-01
2024-04-08,705.5,705.5,720.0,696.7999877929688,713.0,472534,2024-04-08
2024-04-15,661.0,661.0,701.0,656.2000122070312,690.0499877929688,910091,2024-04-15
2024-04-22,691.5999755859375,691.5999755859375,780.0,666.7999877929688,679.0,6695788,2024-04-22
2024-04-29,684.9500122070312,684.9500122070312,701.0,680.0,695.0,788156,2024-04-29
2024-05-06,675.0,675.0,689.0,659.0,689.0,844137,2024-05-06
2024-05-13,689.75,689.75,692.6500244140625,660.0999755859375,673.0,793521,2024-05-13
2024-05-20,661.0999755859375,661.0999755859375,693.8499755859375,659.0,675.5,1023177,2024-05-20
2024-05-27,629.6500244140625,629.6500244140625,667.0,627.2000122070312,666.9500122070312,652139,2024-05-27
2024-06-03,663.2000122070312,663.2000122070312,669.8499755859375,580.5999755859375,633.0,3057994,2024-06-03
2024-06-10,688.1500244140625,688.1500244140625,702.0,663.0,674.0,2162555,2024-06-10
2024-06-17,732.4000244140625,732.4000244140625,765.8499755859375,688.1500244140625,688.1500244140625,4115199,2024-06-17
2024-06-24,747.25,747.25,761.7999877929688,725.2000122070312,737.6500244140625,2312624,2024-06-24
2024-07-01,785.7999877929688,785.7999877929688,788.9500122070312,735.4000244140625,747.0,1344069,2024-07-01
2024-07-08,765.6500244140625,765.6500244140625,795.2999877929688,735.7000122070312,791.9500122070312,2851977,2024-07-08
2024-07-15,762.75,762.75,799.0,749.0,775.0,2108060,2024-07-15
2024-07-22,775.9500122070312,775.9500122070312,787.7999877929688,726.0,757.0,2773154,2024-07-22
2024-07-29,784.5999755859375,784.5999755859375,870.0,755.25,775.9000244140625,2808218,2024-07-29
2024-08-05,769.5,769.5,780.0,741.5499877929688,764.0,1008830,2024-08-05
2024-08-12,784.8499755859375,784.8499755859375,793.0,747.7000122070312,764.0,643293,2024-08-12
2024-08-19,800.5,800.5,840.7999877929688,762.25,786.0,3641768,2024-08-19
2024-08-26,747.1500244140625,747.1500244140625,814.8499755859375,742.5499877929688,807.9500122070312,1527250,2024-08-26
2024-09-02,711.0499877929688,711.0499877929688,750.7999877929688,694.9500122070312,745.0499877929688,1309241,2024-09-02
2024-09-09,703.5,703.5,724.6500244140625,695.0,708.0,2139816,2024-09-09
2024-09-16,691.75,691.75,710.0,680.0,706.9500122070312,1191994,2024-09-16
2024-09-23,672.4000244140625,672.4000244140625,695.9000244140625,664.0499877929688,693.9500122070312,1724465,2024-09-23
2024-09-30,681.7999877929688,681.7999877929688,715.0,661.5999755859375,678.0499877929688,1984014,2024-09-30
2024-10-07,694.6500244140625,694.6500244140625,714.7000122070312,669.5,686.4500122070312,1727066,2024-10-07
2024-10-14,691.0499877929688,691.0499877929688,716.0,676.6500244140625,693.0,651250,2024-10-14
2024-10-21,613.9000244140625,613.9000244140625,721.9000244140625,610.0,693.9000244140625,1975231,2024-10-21
2024-10-28,660.6500244140625,660.6500244140625,664.2999877929688,600.25,623.0499877929688,970427,2024-10-28
2024-11-04,661.3499755859375,661.3499755859375,668.9000244140625,625.2000122070312,666.0,1710739,2024-11-04
2024-11-11,629.9500122070312,629.9500122070312,663.9500122070312,611.2000122070312,663.9500122070312,491677,2024-11-11
2024-11-18,628.9000244140625,628.9000244140625,642.4000244140625,618.4000244140625,631.0499877929688,650135,2024-11-18
2024-11-25,699.25,699.25,705.0999755859375,625.9500122070312,646.9000244140625,1406910,2024-11-25
2024-12-02,673.6500244140625,673.6500244140625,744.25,671.0499877929688,697.9500122070312,2270913,2024-12-02
2024-12-09,657.5,657.5,680.2999877929688,647.3499755859375,677.0,1250891,2024-12-09
2024-12-16,677.8499755859375,677.8499755859375,688.7000122070312,648.9000244140625,658.0999755859375,1161909,2024-12-16
2024-12-23,676.9000244140625,676.9000244140625,696.5499877929688,662.75,678.5999755859375,691704,2024-12-23
2024-12-30,667.5,667.5,689.9500122070312,660.7999877929688,671.1500244140625,595202,2024-12-30
2025-01-06,618.5,618.5,671.75,611.0,671.75,788033,2025-01-06
2025-01-13,598.75,598.75,618.5499877929688,584.0,618.5,701650,2025-01-13
2025-01-20,498.70001220703125,498.70001220703125,619.9500122070312,495.0,599.9500122070312,4625710,2025-01-20
2025-01-27,494.1499938964844,494.1499938964844,542.4000244140625,453.29998779296875,496.8500061035156,2500072,2025-01-27
2025-02-03,451.25,451.25,498.0,440.0,489.0,1476333,2025-02-03
2025-02-10,434.29998779296875,434.29998779296875,455.0,413.8500061035156,451.20001220703125,2390074,2025-02-10
2025-02-17,430.6000061035156,430.6000061035156,444.8999938964844,402.5,434.0,2269123,2025-02-17
2025-02-24,402.8500061035156,402.8500061035156,431.0,391.20001220703125,430.79998779296875,902259,2025-02-24
2025-03-03,428.8999938964844,428.8999938964844,433.3500061035156,381.0,402.79998779296875,1232196,2025-03-03
2025-03-10,400.8500061035156,400.8500061035156,433.95001220703125,400.0,429.0,714612,2025-03-10
2025-03-17,417.6499938964844,417.6499938964844,423.0,389.0,403.75,883974,2025-03-17
2025-03-24,457.6499938964844,457.6499938964844,483.70001220703125,381.95001220703125,423.5,5088993,2025-03-24
2025-03-31,431.95001220703125,431.95001220703125,483.0,427.04998779296875,457.6499938964844,1106157,2025-03-31
2025-04-07,445.29998779296875,445.29998779296875,449.8999938964844,378.6000061035156,386.1000061035156,693398,2025-04-07
2025-04-14,465.29998779296875,465.29998779296875,473.1499938964844,450.45001220703125,455.0,536130,2025-04-14
2025-04-21,461.70001220703125,461.70001220703125,540.0,454.3999938964844,469.8500061035156,5665490,2025-04-21
2025-04-28,438.3500061035156,438.3500061035156,470.6000061035156,438.04998779296875,458.70001220703125,1035852,2025-04-28
2025-05-05,426.1000061035156,426.1000061035156,447.0,415.0,445.6000061035156,1146888,2025-05-05
2025-05-12,484.75,484.75,492.0,443.45001220703125,454.95001220703125,2428315,2025-05-12
2025-05-19,477.45001220703125,477.45001220703125,496.6000061035156,473.0,492.0,1059261,2025-05-19
2025-05-26,483.8999938964844,483.8999938964844,490.6499938964844,470.20001220703125,479.0,1058153,2025-05-26
2025-06-02,484.8500061035156,484.8500061035156,501.5,475.1000061035156,484.8999938964844,985988,2025-06-02
2025-06-09,458.1000061035156,458.1000061035156,490.45001220703125,450.95001220703125,482.3999938964844,1880508,2025-06-09
2025-06-16,454.29998779296875,454.29998779296875,467.3999938964844,443.25,455.79998779296875,732729,2025-06-16
2025-06-23,466.0,466.0,479.0,446.29998779296875,446.29998779296875,753420,2025-06-23
2025-06-30,484.70001220703125,484.70001220703125,489.29998779296875,467.3999938964844,467.3999938964844,731093,2025-06-30
2025-07-07,482.70001220703125,482.70001220703125,505.5,480.5,482.25,1516082,2025-07-07
2025-07-14,484.25,484.25,488.20001220703125,470.95001220703125,483.0,332159,2025-07-14
