Date,Adj Close_GOKEX.NS,Close_GOKEX.NS,High_GOKEX.NS,Low_GOKEX.NS,Open_GOKEX.NS,Volume_GOKEX.NS,Date
2020-07-13,39.198692321777344,39.25,40.150001525878906,37.20000076293945,38.849998474121094,331512,2020-07-13
2020-07-20,47.987186431884766,48.04999923706055,48.04999923706055,38.599998474121094,39.75,3008890,2020-07-20
2020-07-27,43.19346237182617,43.25,51.29999923706055,41.900001525878906,49.400001525878906,4154909,2020-07-27
2020-08-03,47.13829803466797,47.20000076293945,50.25,41.29999923706055,44.20000076293945,1775912,2020-08-03
2020-08-10,52.08182907104492,52.150001525878906,57.0,47.0,47.0,1615871,2020-08-10
2020-08-17,58.52339553833008,58.599998474121094,60.5,52.04999923706055,54.5,1031482,2020-08-17
2020-08-24,57.52470016479492,57.599998474121094,61.45000076293945,56.54999923706055,59.900001525878906,835887,2020-08-24
2020-08-31,55.876861572265625,55.95000076293945,58.849998474121094,51.400001525878906,57.599998474121094,426905,2020-08-31
2020-09-07,59.771759033203125,59.849998474121094,63.95000076293945,52.54999923706055,56.79999923706055,896215,2020-09-07
2020-09-14,63.91633605957031,64.0,68.25,59.29999923706055,62.0,929322,2020-09-14
2020-09-21,57.374900817871094,57.45000076293945,65.5,55.25,64.25,405964,2020-09-21
2020-09-28,70.55764770507812,70.6500015258789,72.19999694824219,57.650001525878906,57.650001525878906,959592,2020-09-28
2020-10-05,74.15293884277344,74.25,78.4000015258789,70.5,72.0999984741211,1489314,2020-10-05
2020-10-12,71.70614624023438,71.80000305175781,79.0,68.05000305175781,79.0,1021503,2020-10-12
2020-10-19,79.8454818725586,79.94999694824219,86.0,71.5,72.5,2613484,2020-10-19
2020-10-26,71.3066635131836,71.4000015258789,80.30000305175781,70.0999984741211,80.30000305175781,732812,2020-10-26
2020-11-02,71.8060073852539,71.9000015258789,73.0,69.0999984741211,71.5,305657,2020-11-02
2020-11-09,69.7586898803711,69.8499984741211,72.9000015258789,68.05000305175781,72.8499984741211,396722,2020-11-09
2020-11-16,68.9597396850586,69.05000305175781,71.69999694824219,68.0999984741211,69.3499984741211,604869,2020-11-16
2020-11-23,77.44862365722656,77.55000305175781,83.69999694824219,68.19999694824219,69.80000305175781,5052010,2020-11-23
2020-11-30,79.74561309814453,79.8499984741211,82.0999984741211,74.1500015258789,77.55000305175781,1106433,2020-11-30
2020-12-07,83.09123229980469,83.19999694824219,87.4000015258789,79.0999984741211,79.0999984741211,2347644,2020-12-07
2020-12-14,87.73515319824219,87.8499984741211,99.5,82.0,83.75,5419315,2020-12-14
2020-12-21,89.18326568603516,89.30000305175781,95.75,77.80000305175781,88.25,1624535,2020-12-21
2020-12-28,94.67607879638672,94.80000305175781,98.44999694824219,86.69999694824219,89.8499984741211,2321292,2020-12-28
2021-01-04,90.18196105957031,90.30000305175781,96.0,88.5,95.0,1409893,2021-01-04
2021-01-11,86.93621063232422,87.05000305175781,94.0,86.55000305175781,93.0,925608,2021-01-11
2021-01-18,84.83894348144531,84.94999694824219,91.80000305175781,82.19999694824219,91.80000305175781,529753,2021-01-18
2021-01-25,88.38430786132812,88.5,92.0,83.44999694824219,84.94999694824219,599117,2021-01-25
2021-02-01,80.2948989868164,80.4000015258789,87.5,78.5999984741211,86.0,728720,2021-02-01
2021-02-08,77.4985580444336,77.5999984741211,82.19999694824219,75.25,80.5,687712,2021-02-08
2021-02-15,81.3934555053711,81.5,87.80000305175781,77.69999694824219,77.69999694824219,1025000,2021-02-15
2021-02-22,83.84025573730469,83.94999694824219,85.5,78.0,81.44999694824219,791684,2021-02-22
2021-03-01,79.94535827636719,80.05000305175781,84.80000305175781,79.6500015258789,84.0,773957,2021-03-01
2021-03-08,79.09646606445312,79.19999694824219,82.80000305175781,78.0999984741211,82.44999694824219,743532,2021-03-08
2021-03-15,79.39607238769531,79.5,89.0,77.75,79.8499984741211,3522279,2021-03-15
2021-03-22,79.19633483886719,79.30000305175781,85.0999984741211,76.0,80.69999694824219,821303,2021-03-22
2021-03-29,79.0465316772461,79.1500015258789,81.94999694824219,77.80000305175781,79.30000305175781,323358,2021-03-29
2021-04-05,79.59580993652344,79.69999694824219,81.8499984741211,76.80000305175781,79.0,654309,2021-04-05
2021-04-12,81.24365234375,81.3499984741211,84.5,77.19999694824219,77.80000305175781,647248,2021-04-12
2021-04-19,79.99528503417969,80.0999984741211,83.0,75.1500015258789,77.44999694824219,441571,2021-04-19
2021-04-26,90.83110046386719,90.94999694824219,97.5999984741211,80.25,80.8499984741211,3503734,2021-04-26
2021-05-03,100.81803131103516,100.94999694824219,107.19999694824219,88.4000015258789,90.94999694824219,6084278,2021-05-03
2021-05-10,105.51189422607422,105.6500015258789,109.80000305175781,93.4000015258789,100.55000305175781,4775321,2021-05-10
2021-05-17,129.180908203125,129.35000610351562,138.75,104.80000305175781,107.6500015258789,13020574,2021-05-17
2021-05-24,132.62640380859375,132.8000030517578,141.89999389648438,120.0,130.4499969482422,3386567,2021-05-24
2021-05-31,149.35450744628906,149.5500030517578,153.8000030517578,122.19999694824219,133.0500030517578,4471969,2021-05-31
2021-06-07,137.56993103027344,137.75,151.5,133.0,151.5,1809178,2021-06-07
2021-06-14,139.7670440673828,139.9499969482422,144.39999389648438,131.0,138.75,2054639,2021-06-14
2021-06-21,143.66195678710938,143.85000610351562,153.9499969482422,135.14999389648438,137.6999969482422,3192188,2021-06-21
2021-06-28,154.54769897460938,154.75,154.75,138.8000030517578,144.0,2109693,2021-06-28
2021-07-05,175.81985473632812,176.0500030517578,184.0,155.5,157.8000030517578,5631600,2021-07-05
2021-07-12,206.72940063476562,207.0,226.0,177.1999969482422,177.35000610351562,5335759,2021-07-12
2021-07-19,186.80548095703125,187.0500030517578,209.9499969482422,185.39999389648438,205.0,1155224,2021-07-19
2021-07-26,197.59136962890625,197.85000610351562,212.9499969482422,181.8000030517578,187.0,2480885,2021-07-26
2021-08-02,229.69932556152344,230.0,230.0,190.0,190.0,2307534,2021-08-02
2021-08-09,217.8148956298828,218.10000610351562,233.6999969482422,204.10000610351562,233.6999969482422,2133030,2021-08-09
2021-08-16,199.0394744873047,199.3000030517578,218.10000610351562,199.3000030517578,218.10000610351562,817051,2021-08-16
2021-08-23,185.15762329101562,185.39999389648438,202.9499969482422,181.60000610351562,200.0500030517578,1087023,2021-08-23
2021-08-30,197.94090270996094,198.1999969482422,198.1999969482422,180.5500030517578,194.64999389648438,1490030,2021-08-30
2021-09-06,205.63082885742188,205.89999389648438,212.0,193.5500030517578,202.0,1776740,2021-09-06
2021-09-13,196.59266662597656,196.85000610351562,214.89999389648438,192.39999389648438,208.39999389648438,893605,2021-09-13
2021-09-20,192.44808959960938,192.6999969482422,199.5500030517578,185.0,192.5,573331,2021-09-20
2021-09-27,203.53358459472656,203.8000030517578,204.5,188.8000030517578,197.0,811909,2021-09-27
2021-10-04,219.06326293945312,219.35000610351562,224.60000610351562,203.0,203.0,1837979,2021-10-04
2021-10-11,220.9607696533203,221.25,230.3000030517578,214.0,227.8000030517578,1253624,2021-10-11
2021-10-18,195.9934539794922,196.25,231.0,194.6999969482422,227.35000610351562,1392129,2021-10-18
2021-10-25,215.16835021972656,215.4499969482422,215.4499969482422,186.4499969482422,197.0,1374260,2021-10-25
2021-11-01,237.23947143554688,237.5500030517578,256.45001220703125,222.4499969482422,226.1999969482422,1667396,2021-11-01
2021-11-08,249.17384338378906,249.5,262.75,234.14999389648438,239.6999969482422,2812059,2021-11-08
2021-11-15,257.4130554199219,257.75,268.70001220703125,238.0500030517578,250.0,1579948,2021-11-15
2021-11-22,277.38690185546875,277.75,298.0,243.0500030517578,252.0,2034683,2021-11-22
2021-11-29,277.1871643066406,277.54998779296875,286.79998779296875,255.25,275.0,1487663,2021-11-29
2021-12-06,270.5958251953125,270.95001220703125,285.0,267.0,279.6000061035156,630552,2021-12-06
2021-12-13,284.6773681640625,285.04998779296875,299.8999938964844,276.6000061035156,284.0,1245191,2021-12-13
2021-12-20,314.9377746582031,315.3500061035156,327.5,263.20001220703125,276.79998779296875,1714653,2021-12-20
2021-12-27,324.125732421875,324.54998779296875,354.0,302.0,315.04998779296875,1953819,2021-12-27
2022-01-03,359.67919921875,360.1499938964844,365.25,318.70001220703125,324.95001220703125,1616334,2022-01-03
2022-01-10,393.53485107421875,394.04998779296875,395.25,348.79998779296875,363.8500061035156,1963846,2022-01-10
2022-01-17,407.91607666015625,408.45001220703125,409.79998779296875,364.6000061035156,395.04998779296875,2671863,2022-01-17
2022-01-24,396.2313537597656,396.75,410.0,335.1000061035156,410.0,2947782,2022-01-24
2022-01-31,404.1210021972656,404.6499938964844,428.04998779296875,384.29998779296875,408.0,1758861,2022-01-31
2022-02-07,380.6517333984375,381.1499938964844,424.8999938964844,374.79998779296875,411.8999938964844,1115652,2022-02-07
2022-02-14,358.9801330566406,359.45001220703125,393.0,336.0,371.0,1566219,2022-02-14
2022-02-21,342.35186767578125,342.79998779296875,368.95001220703125,325.25,361.0,1582857,2022-02-21
2022-02-28,377.3560485839844,377.8500061035156,388.04998779296875,332.0,340.0,960707,2022-02-28
2022-03-07,369.0169677734375,369.5,403.6000061035156,356.1000061035156,372.1000061035156,1387659,2022-03-07
2022-03-14,362.0760498046875,362.54998779296875,381.20001220703125,348.0,369.0,661702,2022-03-14
2022-03-21,409.0645446777344,409.6000061035156,423.75,362.8500061035156,364.0,3009057,2022-03-21
2022-03-28,389.9895324707031,390.5,438.79998779296875,382.25,411.70001220703125,3529205,2022-03-28
2022-04-04,378.1549987792969,378.6499938964844,403.04998779296875,367.70001220703125,390.70001220703125,1582498,2022-04-04
2022-04-11,377.2561950683594,377.75,395.0,375.1000061035156,380.6499938964844,726981,2022-04-11
2022-04-18,368.218017578125,368.70001220703125,393.29998779296875,361.75,381.1000061035156,1366682,2022-04-18
2022-04-25,399.177490234375,399.70001220703125,414.0,351.25,371.0,4083395,2022-04-25
2022-05-02,473.13067626953125,473.75,488.0,395.0,402.3999938964844,14938512,2022-05-02
2022-05-09,419.900390625,420.45001220703125,481.6000061035156,375.6000061035156,472.6499938964844,3209385,2022-05-09
2022-05-16,456.3526611328125,456.95001220703125,519.9000244140625,418.25,420.5,5891847,2022-05-16
2022-05-23,442.97015380859375,443.54998779296875,466.5,410.0,456.0,2665262,2022-05-23
2022-05-30,457.55108642578125,458.1499938964844,488.25,440.0,449.0,3079814,2022-05-30
2022-06-06,412.75970458984375,413.29998779296875,458.6000061035156,407.0,454.0,1296261,2022-06-06
2022-06-13,367.369140625,367.8500061035156,414.0,357.5,400.0,2513710,2022-06-13
2022-06-20,354.9353942871094,355.3999938964844,372.0,337.25,368.95001220703125,1890201,2022-06-20
2022-06-27,340.65411376953125,341.1000061035156,365.45001220703125,334.0,362.8500061035156,946659,2022-06-27
2022-07-04,343.84991455078125,344.29998779296875,361.0,337.3500061035156,342.6000061035156,1236638,2022-07-04
2022-07-11,319.23211669921875,319.6499938964844,355.1000061035156,301.1000061035156,338.0,3836169,2022-07-11
2022-07-18,360.528076171875,361.0,377.3999938964844,308.95001220703125,314.0,6545041,2022-07-18
2022-07-25,349.4425964355469,349.8999938964844,385.0,342.0,364.79998779296875,3700467,2022-07-25
2022-08-01,344.8486022949219,345.29998779296875,354.5,326.0,351.0,1729298,2022-08-01
2022-08-08,335.0115051269531,335.45001220703125,349.70001220703125,332.1499938964844,347.0,942316,2022-08-08
2022-08-15,350.9905700683594,351.45001220703125,357.79998779296875,331.0,335.45001220703125,1958448,2022-08-15
2022-08-22,364.273193359375,364.75,368.0,343.29998779296875,348.0,2804445,2022-08-22
2022-08-29,347.9445495605469,348.3999938964844,371.6000061035156,347.5,351.5,1104693,2022-08-29
2022-09-05,354.1364440917969,354.6000061035156,382.0,350.0,350.0,1922920,2022-09-05
2022-09-12,338.40704345703125,338.8500061035156,371.75,328.0,355.0,1744227,2022-09-12
2022-09-19,346.6961975097656,347.1499938964844,362.95001220703125,333.3999938964844,339.0,1920411,2022-09-19
2022-09-26,347.64495849609375,348.1000061035156,365.79998779296875,336.0,342.04998779296875,1913707,2022-09-26
2022-10-03,397.18011474609375,397.70001220703125,424.70001220703125,352.8500061035156,352.8999938964844,4726868,2022-10-03
2022-10-10,384.2470397949219,384.75,407.0,357.0,386.29998779296875,3763065,2022-10-10
2022-10-17,351.9892578125,352.45001220703125,384.75,348.5,384.75,1694694,2022-10-17
2022-10-24,378.9040222167969,379.3999938964844,395.0,350.70001220703125,355.6000061035156,3334168,2022-10-24
