Date,Adj Close_AARVEEDEN.NS,Close_AARVEEDEN.NS,High_AARVEEDEN.NS,Low_AARVEEDEN.NS,Open_AARVEEDEN.NS,Volume_AARVEEDEN.NS,Date
2020-07-13,10.649999618530273,10.649999618530273,11.0,10.25,10.5,14211,2020-07-13
2020-07-20,10.300000190734863,10.300000190734863,11.149999618530273,10.100000381469727,10.850000381469727,13583,2020-07-20
2020-07-27,10.0,10.0,10.75,9.899999618530273,10.300000190734863,21172,2020-07-27
2020-08-03,9.949999809265137,9.949999809265137,10.649999618530273,9.600000381469727,10.0,33002,2020-08-03
2020-08-10,10.699999809265137,10.699999809265137,10.699999809265137,9.5,10.350000381469727,83418,2020-08-10
2020-08-17,11.850000381469727,11.850000381469727,11.899999618530273,10.25,11.0,103023,2020-08-17
2020-08-24,12.75,12.75,13.149999618530273,11.850000381469727,12.0,146315,2020-08-24
2020-08-31,12.5,12.5,13.100000381469727,11.899999618530273,13.100000381469727,52556,2020-08-31
2020-09-07,11.899999618530273,11.899999618530273,13.0,11.25,13.0,77645,2020-09-07
2020-09-14,12.149999618530273,12.149999618530273,13.149999618530273,11.899999618530273,12.449999809265137,55481,2020-09-14
2020-09-21,10.550000190734863,10.550000190734863,12.449999809265137,10.399999618530273,11.850000381469727,54480,2020-09-21
2020-09-28,11.0,11.0,11.25,10.550000190734863,10.600000381469727,11699,2020-09-28
2020-10-05,11.100000381469727,11.100000381469727,11.5,10.449999809265137,11.5,55399,2020-10-05
2020-10-12,10.399999618530273,10.399999618530273,11.350000381469727,10.350000381469727,10.949999809265137,12753,2020-10-12
2020-10-19,10.699999809265137,10.699999809265137,11.149999618530273,9.75,10.649999618530273,27110,2020-10-19
2020-10-26,10.649999618530273,10.649999618530273,11.0,10.050000190734863,10.5,22282,2020-10-26
2020-11-02,10.600000381469727,10.600000381469727,10.800000190734863,9.300000190734863,10.649999618530273,17101,2020-11-02
2020-11-09,10.25,10.25,10.649999618530273,9.600000381469727,10.300000190734863,16878,2020-11-09
2020-11-16,10.649999618530273,10.649999618530273,11.0,10.0,10.0,36194,2020-11-16
2020-11-23,11.550000190734863,11.550000190734863,12.300000190734863,9.600000381469727,10.449999809265137,97129,2020-11-23
2020-11-30,12.0,12.0,12.5,10.850000381469727,11.550000190734863,73668,2020-11-30
2020-12-07,13.75,13.75,14.75,12.199999809265137,12.5,206249,2020-12-07
