Date,Adj Close_MARICO.NS,Close_MARICO.NS,High_MARICO.NS,Low_MARICO.NS,Open_MARICO.NS,Volume_MARICO.NS,Date
2020-07-13,331.1252136230469,355.1000061035156,356.79998779296875,338.75,348.75,5683834,2020-07-13
2020-07-20,332.9901428222656,357.1000061035156,359.6499938964844,347.25,355.0,12986086,2020-07-20
2020-07-27,338.91143798828125,363.45001220703125,368.8999938964844,347.3500061035156,359.79998779296875,23901152,2020-07-27
2020-08-03,345.0191955566406,370.0,373.45001220703125,361.1000061035156,363.3999938964844,13628888,2020-08-03
2020-08-10,341.5690002441406,366.29998779296875,378.3999938964844,362.25,370.0,15098688,2020-08-10
2020-08-17,350.8006286621094,376.20001220703125,377.79998779296875,363.3999938964844,366.6499938964844,8806308,2020-08-17
2020-08-24,349.02886962890625,374.29998779296875,380.70001220703125,366.6000061035156,378.0,11339645,2020-08-24
2020-08-31,348.6092529296875,373.8500061035156,382.79998779296875,363.45001220703125,374.29998779296875,15598848,2020-08-31
2020-09-07,341.9420166015625,366.70001220703125,375.6499938964844,360.20001220703125,373.8999938964844,8446485,2020-09-07
2020-09-14,338.0255432128906,362.5,371.70001220703125,356.45001220703125,367.3999938964844,8635510,2020-09-14
2020-09-21,329.6332092285156,353.5,363.04998779296875,333.0,362.0,17971684,2020-09-21
2020-09-28,337.466064453125,361.8999938964844,366.3500061035156,353.75,354.5,11306828,2020-09-28
2020-10-05,344.4130859375,369.3500061035156,379.45001220703125,362.04998779296875,362.1000061035156,22633566,2020-10-05
2020-10-12,338.0255432128906,362.5,373.20001220703125,358.5,370.95001220703125,14625266,2020-10-12
2020-10-19,334.38885498046875,358.6000061035156,369.25,355.8500061035156,362.95001220703125,14150554,2020-10-19
2020-10-26,332.570556640625,356.6499938964844,366.75,345.75,359.20001220703125,29674151,2020-10-26
2020-11-02,354.8103332519531,380.5,382.54998779296875,357.1000061035156,359.8999938964844,17662059,2020-11-02
2020-11-09,348.48681640625,370.70001220703125,389.75,364.29998779296875,383.8999938964844,16989516,2020-11-09
2020-11-16,351.96514892578125,374.3999938964844,381.0,365.75,369.29998779296875,13609809,2020-11-16
2020-11-23,345.6666564941406,367.70001220703125,380.0,361.8999938964844,374.3999938964844,14830250,2020-11-23
2020-11-30,371.37774658203125,395.04998779296875,398.29998779296875,362.5,367.70001220703125,14413340,2020-11-30
2020-12-07,390.0853576660156,414.95001220703125,416.25,391.1499938964844,395.0,17302958,2020-12-07
2020-12-14,384.7738952636719,409.29998779296875,420.79998779296875,405.29998779296875,417.95001220703125,13909806,2020-12-14
2020-12-21,377.2532653808594,401.29998779296875,412.25,389.04998779296875,409.0,10475989,2020-12-21
2020-12-28,381.7656555175781,406.1000061035156,410.5,401.0,404.3999938964844,7206622,2020-12-28
2021-01-04,399.2510681152344,424.70001220703125,425.79998779296875,406.95001220703125,406.95001220703125,14438312,2021-01-04
2021-01-11,391.9654846191406,416.95001220703125,432.5,413.1499938964844,427.0,12406379,2021-01-11
2021-01-18,393.6575927734375,418.75,424.20001220703125,405.1000061035156,416.8999938964844,9383934,2021-01-18
2021-01-25,390.69635009765625,415.6000061035156,424.0,402.25,420.0,16488547,2021-01-25
2021-02-01,383.7397766113281,408.20001220703125,430.45001220703125,406.0,416.8999938964844,11765293,2021-02-01
2021-02-08,386.9830627441406,411.6499938964844,419.0,407.8500061035156,410.20001220703125,8285307,2021-02-08
2021-02-15,399.39208984375,424.8500061035156,427.8999938964844,405.70001220703125,415.0,11880541,2021-02-15
2021-02-22,373.7279357910156,397.54998779296875,433.95001220703125,390.70001220703125,428.3500061035156,19737669,2021-02-22
2021-03-01,377.4882507324219,401.54998779296875,412.0,396.04998779296875,400.8999938964844,11858925,2021-03-01
2021-03-08,370.29669189453125,393.8999938964844,404.6499938964844,392.3999938964844,403.95001220703125,6758325,2021-03-08
2021-03-15,375.4468078613281,394.8999938964844,396.8999938964844,379.1000061035156,394.0,10152183,2021-03-15
2021-03-22,382.0544738769531,401.8500061035156,405.5,394.0,394.8999938964844,7752621,2021-03-22
2021-03-29,387.1885070800781,407.25,412.45001220703125,401.8500061035156,401.8500061035156,3165535,2021-03-29
2021-04-05,399.8808288574219,420.6000061035156,421.79998779296875,399.0,411.25,8326891,2021-04-05
2021-04-12,403.06585693359375,423.95001220703125,427.6000061035156,406.0,415.0,6858818,2021-04-12
2021-04-19,391.3241882324219,411.6000061035156,425.29998779296875,407.45001220703125,423.95001220703125,5757729,2021-04-19
2021-04-26,391.18157958984375,411.45001220703125,422.20001220703125,401.70001220703125,413.1000061035156,10027967,2021-04-26
2021-05-03,450.5077209472656,473.8500061035156,478.6000061035156,416.1000061035156,420.04998779296875,43717416,2021-05-03
2021-05-10,451.1732177734375,474.54998779296875,487.6000061035156,465.0,473.0,11410573,2021-05-10
2021-05-17,437.0547180175781,459.70001220703125,480.75,457.6000061035156,474.54998779296875,11038253,2021-05-17
2021-05-24,447.8456115722656,471.04998779296875,477.70001220703125,456.70001220703125,461.8999938964844,11792467,2021-05-24
2021-05-31,462.9148254394531,486.8999938964844,498.6000061035156,471.1499938964844,473.8999938964844,11614256,2021-05-31
2021-06-07,468.0013122558594,492.25,497.29998779296875,482.29998779296875,487.0,6482436,2021-06-07
2021-06-14,495.4776306152344,521.1500244140625,524.9000244140625,486.6000061035156,494.75,15551179,2021-06-14
2021-06-21,486.4456481933594,511.6499938964844,527.25,509.8500061035156,514.0999755859375,5674591,2021-06-21
2021-06-28,494.2416687011719,519.8499755859375,543.7999877929688,506.25,512.7999877929688,20838674,2021-06-28
2021-07-05,505.74566650390625,531.9500122070312,538.5,519.0,526.0,9839456,2021-07-05
2021-07-12,498.8527526855469,524.7000122070312,549.5999755859375,522.2999877929688,534.0499877929688,11499746,2021-07-12
2021-07-19,507.6471252441406,533.9500122070312,537.7000122070312,521.0499877929688,521.9500122070312,7021222,2021-07-19
2021-07-26,519.76904296875,546.7000122070312,553.2000122070312,527.0,533.9000244140625,11645770,2021-07-26
2021-08-02,498.5199890136719,524.3499755859375,552.1500244140625,522.5,550.0,13021977,2021-08-02
2021-08-09,489.91583251953125,515.2999877929688,538.0,513.1500244140625,536.8499755859375,10775499,2021-08-09
2021-08-16,511.40252685546875,537.9000244140625,543.7000122070312,512.0,514.6500244140625,9843546,2021-08-16
2021-08-23,499.0904235839844,524.9500122070312,541.5,511.0,540.0,17469493,2021-08-23
2021-08-30,533.1744384765625,560.7999877929688,572.0,524.1500244140625,527.5499877929688,18549854,2021-08-30
2021-09-06,546.6749267578125,575.0,575.9000244140625,550.8499755859375,561.7999877929688,10550587,2021-09-06
2021-09-13,532.5089111328125,560.0999755859375,587.3499755859375,552.75,581.0,18104742,2021-09-13
2021-09-20,529.8943481445312,557.3499755859375,573.0999755859375,556.0,559.0,13413148,2021-09-20
2021-09-27,522.4785766601562,549.5499877929688,561.0,541.0499877929688,559.7999877929688,8812270,2021-09-27
2021-10-04,536.026611328125,563.7999877929688,590.0,545.2999877929688,554.1500244140625,15163924,2021-10-04
2021-10-11,550.7630004882812,579.2999877929688,591.9500122070312,561.5999755859375,565.7999877929688,8766399,2021-10-11
