Date,Adj Close_PKTEA.NS,Close_PKTEA.NS,High_PKTEA.NS,Low_PKTEA.NS,Open_PKTEA.NS,Volume_PKTEA.NS,Date
2020-07-13,113.33344268798828,114.94999694824219,115.0,104.19999694824219,108.30000305175781,570,2020-07-13
2020-07-20,113.38274383544922,115.0,119.5,110.0999984741211,115.5,991,2020-07-20
2020-07-27,125.41117095947266,127.19999694824219,135.64999389648438,109.5999984741211,109.75,14472,2020-07-27
2020-08-03,126.15061950683594,127.94999694824219,131.9499969482422,120.0,129.0,3778,2020-08-03
2020-08-10,126.84076690673828,128.64999389648438,138.0,124.0,127.94999694824219,3962,2020-08-10
2020-08-17,151.63710021972656,153.8000030517578,164.0500030517578,122.4000015258789,134.0,16200,2020-08-17
2020-08-24,137.63681030273438,139.60000610351562,165.0,136.0500030517578,154.0500030517578,14589,2020-08-24
2020-08-31,131.62257385253906,133.5,146.5,123.0,146.5,2900,2020-08-31
2020-09-07,167.90504455566406,170.3000030517578,170.3000030517578,139.0,140.0,25764,2020-09-07
2020-09-14,211.87782287597656,214.89999389648438,216.6999969482422,178.8000030517578,178.8000030517578,34293,2020-09-14
2020-09-21,184.5697479248047,186.75,225.0,180.0,225.0,17844,2020-09-21
2020-09-28,201.86544799804688,204.25,221.60000610351562,180.0,186.75,16884,2020-09-28
2020-10-05,187.78179931640625,190.0,214.0,187.0500030517578,194.0500030517578,2845,2020-10-05
2020-10-12,175.427734375,177.5,198.60000610351562,168.14999389648438,190.0,1628,2020-10-12
2020-10-19,170.53555297851562,172.5500030517578,178.0,168.64999389648438,168.64999389648438,2229,2020-10-19
2020-10-26,170.53555297851562,172.5500030517578,178.89999389648438,161.25,172.0,2271,2020-10-26
2020-11-02,167.07638549804688,169.0500030517578,177.6999969482422,160.0,174.10000610351562,1589,2020-11-02
2020-11-09,196.47906494140625,198.8000030517578,204.0,162.1999969482422,162.1999969482422,12710,2020-11-09
2020-11-16,207.99305725097656,210.4499969482422,227.5,190.0,195.6999969482422,13683,2020-11-16
2020-11-23,207.40005493164062,209.85000610351562,220.0,200.0,210.4499969482422,13201,2020-11-23
2020-11-30,235.41909790039062,238.1999969482422,238.1999969482422,205.0,209.85000610351562,10843,2020-11-30
2020-12-07,208.04248046875,210.5,250.10000610351562,207.0,250.0,5281,2020-12-07
2020-12-14,208.53665161132812,211.0,229.64999389648438,201.0,211.0,5146,2020-12-14
2020-12-21,201.1241912841797,203.5,220.85000610351562,200.0,212.0,3582,2020-12-21
2020-12-28,213.97242736816406,216.5,225.0,200.0,205.0,6694,2020-12-28
2021-01-04,208.53665161132812,211.0,219.9499969482422,204.3000030517578,215.5500030517578,1896,2021-01-04
2021-01-11,196.67674255371094,199.0,211.0,187.5,210.9499969482422,2408,2021-01-11
2021-01-18,182.0000762939453,184.14999389648438,203.60000610351562,184.0,199.0,2834,2021-01-18
2021-01-25,170.0413818359375,172.0500030517578,185.89999389648438,171.10000610351562,183.5500030517578,2253,2021-01-25
2021-02-01,177.40438842773438,179.5,184.5500030517578,163.85000610351562,171.0,4556,2021-02-01
2021-02-08,178.8868865966797,181.0,185.0,170.5500030517578,184.35000610351562,5450,2021-02-08
2021-02-15,201.5689239501953,203.9499969482422,211.75,176.0,189.89999389648438,9923,2021-02-15
2021-02-22,212.48992919921875,215.0,230.0,200.0,203.9499969482422,4255,2021-02-22
2021-03-01,217.4315643310547,220.0,236.6999969482422,208.0,211.75,24121,2021-03-01
2021-03-08,221.38487243652344,224.0,237.3000030517578,221.0,229.9499969482422,3529,2021-03-08
2021-03-15,230.7245330810547,233.4499969482422,245.75,216.25,224.0,5028,2021-03-15
2021-03-22,222.37318420410156,225.0,237.9499969482422,222.0,224.0,1315,2021-03-22
2021-03-29,226.77122497558594,229.4499969482422,235.0,216.0,225.0,512,2021-03-29
2021-04-05,207.5482940673828,210.0,230.0,206.0500030517578,230.0,1011,2021-04-05
2021-04-12,208.09188842773438,210.5500030517578,218.0,200.10000610351562,210.0,351,2021-04-12
2021-04-19,206.85650634765625,209.3000030517578,210.5500030517578,190.10000610351562,210.5500030517578,882,2021-04-19
2021-04-26,207.49888610839844,209.9499969482422,211.89999389648438,198.89999389648438,200.14999389648438,694,2021-04-26
2021-05-03,222.37318420410156,225.0,231.25,200.10000610351562,200.10000610351562,3879,2021-05-03
2021-05-10,216.34439086914062,218.89999389648438,235.60000610351562,213.85000610351562,213.85000610351562,1285,2021-05-10
2021-05-17,214.51600646972656,217.0500030517578,240.0,216.5500030517578,225.0500030517578,2807,2021-05-17
2021-05-24,222.37318420410156,225.0,229.85000610351562,211.75,216.0,2470,2021-05-24
