Date,Adj Close_BECTORFOOD.NS,Close_BECTORFOOD.NS,High_BECTORFOOD.NS,Low_BECTORFOOD.NS,Open_BECTORFOOD.NS,Volume_BECTORFOOD.NS,Date
2020-12-21,581.54638671875,594.2000122070312,600.0,500.0,500.0,37066792,2020-12-21
2020-12-28,491.99493408203125,502.70001220703125,624.0,501.25,604.2999877929688,29083829,2020-12-28
2021-01-04,447.0723571777344,456.79998779296875,505.3999938964844,450.1000061035156,503.20001220703125,10792765,2021-01-04
2021-01-11,439.48736572265625,449.04998779296875,465.0,422.45001220703125,465.0,5656189,2021-01-11
2021-01-18,388.10540771484375,396.54998779296875,453.0,394.0,453.0,5944539,2021-01-18
2021-01-25,366.96539306640625,374.95001220703125,400.6000061035156,372.5,397.25,2434417,2021-01-25
2021-02-01,402.10089111328125,410.8500061035156,426.8999938964844,370.6000061035156,372.0,4506881,2021-02-01
2021-02-08,382.771484375,391.1000061035156,421.8999938964844,386.20001220703125,417.79998779296875,3362715,2021-02-08
2021-02-15,394.9074401855469,403.5,418.8500061035156,380.20001220703125,392.0,3085297,2021-02-15
2021-02-22,391.6287536621094,400.1499938964844,415.95001220703125,393.6000061035156,406.6499938964844,2199248,2021-02-22
2021-03-01,385.41400146484375,393.79998779296875,407.0,390.20001220703125,405.0,2388828,2021-03-01
2021-03-08,372.8865661621094,381.0,397.45001220703125,380.04998779296875,394.1000061035156,1129511,2021-03-08
2021-03-15,338.4851379394531,345.8500061035156,382.3500061035156,337.5,381.0,1769750,2021-03-15
2021-03-22,324.3427734375,331.3999938964844,356.0,330.0,344.3999938964844,1892391,2021-03-22
2021-03-29,338.0446472167969,345.3999938964844,350.75,328.3999938964844,331.3999938964844,1182167,2021-03-29
2021-04-05,352.13800048828125,359.79998779296875,374.45001220703125,338.29998779296875,343.5,2186180,2021-04-05
2021-04-12,352.48052978515625,360.1499938964844,365.0,338.04998779296875,341.0,1093027,2021-04-12
2021-04-19,358.94000244140625,366.75,369.8999938964844,344.0,353.0,1040698,2021-04-19
2021-04-26,347.978515625,355.54998779296875,370.79998779296875,354.04998779296875,366.75,703150,2021-04-26
2021-05-03,383.6033935546875,391.95001220703125,406.70001220703125,351.0,354.8500061035156,2970205,2021-05-03
2021-05-10,382.0863342285156,390.3999938964844,404.70001220703125,381.54998779296875,395.0,1341811,2021-05-10
2021-05-17,390.11175537109375,398.6000061035156,421.0,388.0,390.0,2761434,2021-05-17
2021-05-24,408.07098388671875,416.95001220703125,435.5,398.3500061035156,401.0,4319844,2021-05-24
2021-05-31,413.6006774902344,422.6000061035156,435.0,410.1000061035156,413.04998779296875,1935413,2021-05-31
2021-06-07,410.126220703125,419.04998779296875,451.70001220703125,417.04998779296875,427.0,4858481,2021-06-07
2021-06-14,391.8734130859375,400.3999938964844,424.70001220703125,395.1000061035156,419.1000061035156,1122184,2021-06-14
2021-06-21,392.6564025878906,401.20001220703125,412.8999938964844,396.29998779296875,400.0,784261,2021-06-21
2021-06-28,392.4606628417969,401.0,411.0,397.0,402.04998779296875,737699,2021-06-28
2021-07-05,405.28167724609375,414.1000061035156,429.3999938964844,402.3999938964844,404.6499938964844,2291885,2021-07-05
2021-07-12,429.4556884765625,438.79998779296875,447.3999938964844,416.0,418.0,3133304,2021-07-12
2021-07-19,445.7511291503906,455.45001220703125,464.1000061035156,430.1000061035156,435.0,3913811,2021-07-19
2021-07-26,419.7664489746094,428.8999938964844,460.5,427.1000061035156,457.0,1302802,2021-07-26
2021-08-02,418.20123291015625,425.0,438.0,421.0,432.3500061035156,956296,2021-08-02
2021-08-09,398.914794921875,405.3999938964844,427.3999938964844,381.79998779296875,425.0,1072619,2021-08-09
2021-08-16,397.8323669433594,404.29998779296875,409.5,385.70001220703125,404.5,547052,2021-08-16
2021-08-23,388.5827331542969,394.8999938964844,411.8999938964844,386.0,411.8999938964844,613193,2021-08-23
2021-08-30,382.2851257324219,388.5,400.5,388.0,397.0,581980,2021-08-30
2021-09-06,383.61358642578125,389.8500061035156,394.29998779296875,388.5,390.0,355782,2021-09-06
2021-09-13,400.8827819824219,407.3999938964844,427.95001220703125,389.8500061035156,390.0,2312647,2021-09-13
2021-09-20,402.4571838378906,409.0,422.0,393.04998779296875,409.6499938964844,865028,2021-09-20
2021-09-27,403.4903869628906,410.04998779296875,417.45001220703125,406.6000061035156,414.8999938964844,936237,2021-09-27
2021-10-04,427.0572509765625,434.0,439.8999938964844,406.6000061035156,411.1000061035156,2088767,2021-10-04
2021-10-11,418.20123291015625,425.0,443.1000061035156,422.79998779296875,440.0,945713,2021-10-11
2021-10-18,399.1607971191406,405.6499938964844,431.0,405.0,430.0,877447,2021-10-18
2021-10-25,395.6676025390625,402.1000061035156,410.3999938964844,391.1000061035156,406.0,483353,2021-10-25
2021-11-01,415.1016540527344,421.8500061035156,425.0,400.04998779296875,402.20001220703125,541443,2021-11-01
2021-11-08,398.32440185546875,404.79998779296875,427.70001220703125,402.3999938964844,427.70001220703125,786142,2021-11-08
2021-11-15,393.650390625,400.04998779296875,413.0,394.54998779296875,406.20001220703125,537782,2021-11-15
2021-11-22,386.7623291015625,393.04998779296875,406.54998779296875,388.1000061035156,401.0,434694,2021-11-22
2021-11-29,387.7463073730469,394.04998779296875,398.70001220703125,374.0,390.0,420900,2021-11-29
2021-12-06,396.7007751464844,403.1499938964844,408.5,386.0,393.1000061035156,614244,2021-12-06
2021-12-13,375.79071044921875,381.8999938964844,407.5,380.54998779296875,407.0,510054,2021-12-13
2021-12-20,372.44512939453125,378.5,385.0,367.0,383.8999938964844,316598,2021-12-20
2021-12-27,375.79071044921875,381.8999938964844,383.45001220703125,373.95001220703125,380.0,197275,2021-12-27
2022-01-03,373.0355224609375,379.1000061035156,387.79998779296875,377.04998779296875,382.8999938964844,297168,2022-01-03
2022-01-10,373.57672119140625,379.6499938964844,385.8500061035156,377.0,381.6000061035156,405492,2022-01-10
2022-01-17,366.44268798828125,372.3999938964844,384.1000061035156,370.20001220703125,380.5,570069,2022-01-17
2022-01-24,360.4894714355469,366.3500061035156,377.8500061035156,355.29998779296875,371.0,286819,2022-01-24
2022-01-31,357.2422180175781,363.04998779296875,372.45001220703125,362.5,367.0,268357,2022-01-31
2022-02-07,353.5030822753906,359.25,369.79998779296875,355.0,369.79998779296875,264073,2022-02-07
2022-02-14,331.116943359375,336.5,352.1499938964844,332.1000061035156,350.0,442762,2022-02-14
2022-02-21,303.860107421875,308.79998779296875,338.29998779296875,290.0,336.0,765891,2022-02-21
2022-02-28,315.2669982910156,319.1000061035156,326.8500061035156,301.54998779296875,308.0,326537,2022-02-28
2022-03-07,300.0025939941406,303.6499938964844,315.95001220703125,297.04998779296875,315.0,661346,2022-03-07
2022-03-14,300.7435302734375,304.3999938964844,310.75,294.3500061035156,305.8999938964844,443368,2022-03-14
2022-03-21,293.1854553222656,296.75,308.3999938964844,295.25,308.3999938964844,410925,2022-03-21
2022-03-28,332.3591613769531,336.3999938964844,336.3999938964844,278.0,299.0,2232545,2022-03-28
2022-04-04,343.6716613769531,347.8500061035156,372.8500061035156,327.20001220703125,349.0,2902582,2022-04-04
2022-04-11,302.8183288574219,306.5,364.79998779296875,303.0,349.5,17857657,2022-04-11
2022-04-18,304.5967102050781,308.29998779296875,317.70001220703125,295.1000061035156,307.29998779296875,2693125,2022-04-18
2022-04-25,300.39776611328125,304.04998779296875,312.70001220703125,301.20001220703125,304.0,1496577,2022-04-25
2022-05-02,301.1387634277344,304.79998779296875,307.79998779296875,295.0,304.0,1158345,2022-05-02
2022-05-09,284.2935485839844,287.75,311.0,276.6000061035156,301.0,905058,2022-05-09
2022-05-16,287.7514953613281,291.25,299.79998779296875,285.3999938964844,290.0,339392,2022-05-16
2022-05-23,278.0692443847656,281.45001220703125,298.95001220703125,274.0,294.79998779296875,378752,2022-05-23
2022-05-30,283.3055419921875,286.75,294.95001220703125,279.0,282.0,379570,2022-05-30
2022-06-06,264.3362121582031,267.54998779296875,288.95001220703125,266.1499938964844,285.0,768457,2022-06-06
2022-06-13,254.30813598632812,257.3999938964844,274.54998779296875,255.60000610351562,263.45001220703125,512594,2022-06-13
2022-06-20,262.0638122558594,265.25,274.20001220703125,245.0,260.75,367752,2022-06-20
2022-06-27,275.9945068359375,279.3500061035156,281.0,266.25,269.79998779296875,500109,2022-06-27
2022-07-04,304.3003234863281,308.0,313.8999938964844,278.75,279.3500061035156,1280369,2022-07-04
2022-07-11,297.1374206542969,300.75,313.0,298.25,307.0,359760,2022-07-11
2022-07-18,306.52325439453125,310.25,317.5,303.29998779296875,305.0,745678,2022-07-18
2022-07-25,311.0680847167969,314.8500061035156,318.3999938964844,306.0,312.0,690688,2022-07-25
2022-08-01,333.10015869140625,337.1499938964844,344.45001220703125,314.8500061035156,315.0,2042855,2022-08-01
2022-08-08,346.73443603515625,350.95001220703125,356.0,332.6000061035156,343.0,1316597,2022-08-08
2022-08-15,350.1923522949219,354.45001220703125,374.0,340.1499938964844,350.95001220703125,1610193,2022-08-15
2022-08-22,349.9947814941406,354.25,367.04998779296875,344.70001220703125,350.95001220703125,667134,2022-08-22
2022-08-29,342.8318176269531,347.0,356.3999938964844,343.0,345.0,367742,2022-08-29
