Date,Adj Close_CHEVIOT.NS,Close_CHEVIOT.NS,High_CHEVIOT.NS,Low_CHEVIOT.NS,Open_CHEVIOT.NS,Volume_CHEVIOT.NS,Date
2022-06-20,1116.3848876953125,1194.6500244140625,1254.0,1105.0,1240.0999755859375,12505,2022-06-20
2022-06-27,1143.8590087890625,1224.050048828125,1239.949951171875,1155.550048828125,1209.949951171875,10889,2022-06-27
2022-07-04,1135.308349609375,1214.9000244140625,1250.0,1181.0999755859375,1239.800048828125,6746,2022-07-04
2022-07-11,1203.8529052734375,1288.25,1300.0,1206.0,1224.0,12453,2022-07-11
2022-07-18,1245.811279296875,1333.1500244140625,1365.800048828125,1286.9000244140625,1307.0,17097,2022-07-18
2022-07-25,1287.2091064453125,1377.449951171875,1388.0,1333.8499755859375,1345.0,19062,2022-07-25
2022-08-01,1207.3104248046875,1291.949951171875,1499.8499755859375,1290.0,1397.0,92856,2022-08-01
2022-08-08,1174.767578125,1204.550048828125,1287.0999755859375,1175.0,1285.0,34562,2022-08-08
2022-08-15,1176.2791748046875,1206.0999755859375,1230.0,1188.050048828125,1204.550048828125,11306,2022-08-15
2022-08-22,1134.196044921875,1162.949951171875,1203.75,1151.0,1203.75,17667,2022-08-22
2022-08-29,1154.189208984375,1183.449951171875,1189.949951171875,1146.9000244140625,1165.699951171875,4747,2022-08-29
2022-09-05,1140.437744140625,1169.3499755859375,1197.4000244140625,1161.0,1183.0,8754,2022-09-05
2022-09-12,1131.319091796875,1160.0,1182.0,1154.0,1171.0,14213,2022-09-12
2022-09-19,1117.908935546875,1146.25,1179.1500244140625,1132.300048828125,1160.0,8866,2022-09-19
2022-09-26,1102.69482421875,1130.6500244140625,1173.25,1075.0,1131.0,6615,2022-09-26
2022-10-03,1194.0780029296875,1224.3499755859375,1244.9000244140625,1120.0,1145.9000244140625,14151,2022-10-03
2022-10-10,1130.1488037109375,1158.800048828125,1225.050048828125,1147.550048828125,1191.550048828125,10603,2022-10-10
2022-10-17,1146.094482421875,1175.1500244140625,1187.9000244140625,1147.050048828125,1164.550048828125,5710,2022-10-17
2022-10-24,1139.706298828125,1168.5999755859375,1198.5999755859375,1155.5999755859375,1177.0,3393,2022-10-24
2022-10-31,1220.069091796875,1251.0,1284.699951171875,1181.050048828125,1181.050048828125,28458,2022-10-31
2022-11-07,1234.2105712890625,1265.5,1348.8499755859375,1194.0999755859375,1242.0999755859375,30846,2022-11-07
2022-11-14,1199.344482421875,1229.75,1260.0,1208.0,1208.0,13100,2022-11-14
2022-11-21,1170.9151611328125,1200.5999755859375,1232.699951171875,1178.0,1232.699951171875,13137,2022-11-21
2022-11-28,1202.1240234375,1232.5999755859375,1260.0,1200.0,1204.75,7369,2022-11-28
2022-12-05,1184.8616943359375,1214.9000244140625,1240.0,1195.25,1235.800048828125,8311,2022-12-05
2022-12-12,1163.0643310546875,1192.550048828125,1240.0,1171.75,1190.3499755859375,10496,2022-12-12
2022-12-19,1083.920654296875,1111.4000244140625,1212.0,1106.050048828125,1211.949951171875,7624,2022-12-19
2022-12-26,1136.097900390625,1164.9000244140625,1176.9000244140625,1108.0999755859375,1120.0,4757,2022-12-26
2023-01-02,1134.5374755859375,1163.300048828125,1224.9000244140625,1156.5999755859375,1212.0,9351,2023-01-02
2023-01-09,1127.7105712890625,1156.300048828125,1184.949951171875,1150.050048828125,1174.9000244140625,4062,2023-01-09
2023-01-16,1106.498291015625,1134.550048828125,1162.0,1111.0,1161.75,6940,2023-01-16
2023-01-23,1094.55126953125,1122.300048828125,1168.699951171875,1110.0,1132.0999755859375,5239,2023-01-23
2023-01-30,1075.777099609375,1103.050048828125,1143.300048828125,1080.0,1112.050048828125,6533,2023-01-30
2023-02-06,1090.5037841796875,1118.1500244140625,1128.5999755859375,1094.25,1114.3499755859375,5420,2023-02-06
2023-02-13,1058.9537353515625,1085.800048828125,1115.0,1070.0,1100.0,7397,2023-02-13
2023-02-20,1094.6973876953125,1122.449951171875,1180.0,1040.199951171875,1085.0999755859375,33652,2023-02-20
