Date,Adj Close_SCPL.NS,Close_SCPL.NS,High_SCPL.NS,Low_SCPL.NS,Open_SCPL.NS,Volume_SCPL.NS,Date
2022-11-21,639.6500244140625,639.6500244140625,694.0,628.0,689.9500122070312,61547,2022-11-21
2022-11-28,598.8499755859375,598.8499755859375,645.0,571.0999755859375,645.0,104146,2022-11-28
2022-12-05,630.7000122070312,630.7000122070312,682.0,595.0499877929688,598.0,205184,2022-12-05
2022-12-12,614.4000244140625,614.4000244140625,640.0,603.3499755859375,638.0,62519,2022-12-12
2022-12-19,537.0,537.0,625.0,523.0,620.9000244140625,109810,2022-12-19
2022-12-26,636.2000122070312,636.2000122070312,674.0,537.0999755859375,575.0,226837,2022-12-26
2023-01-02,591.9500122070312,591.9500122070312,652.75,586.2999877929688,645.75,48236,2023-01-02
2023-01-09,577.6500244140625,577.6500244140625,626.0,575.0,593.7999877929688,51970,2023-01-09
2023-01-16,569.2000122070312,569.2000122070312,617.5499877929688,565.0499877929688,592.0,67558,2023-01-16
2023-01-23,544.3499755859375,544.3499755859375,572.75,536.0,545.0,70520,2023-01-23
2023-01-30,539.1500244140625,539.1500244140625,564.7000122070312,516.9000244140625,559.0,50441,2023-01-30
2023-02-06,549.8499755859375,549.8499755859375,595.0,533.1500244140625,545.0,51001,2023-02-06
2023-02-13,528.8499755859375,528.8499755859375,558.0,520.0,558.0,29796,2023-02-13
2023-02-20,527.5,527.5,539.9500122070312,512.7999877929688,537.0,28614,2023-02-20
2023-02-27,517.0999755859375,517.0999755859375,536.25,505.04998779296875,520.0499877929688,32324,2023-02-27
2023-03-06,561.8499755859375,561.8499755859375,595.2999877929688,521.5499877929688,526.7000122070312,134922,2023-03-06
2023-03-13,551.75,551.75,570.0,530.9000244140625,546.5,178534,2023-03-13
2023-03-20,541.9500122070312,541.9500122070312,585.0,535.0,559.7999877929688,157840,2023-03-20
2023-03-27,523.75,523.75,540.0,496.70001220703125,540.0,130648,2023-03-27
2023-04-03,612.25,612.25,666.0,528.5,537.9500122070312,272165,2023-04-03
2023-04-10,654.6500244140625,654.6500244140625,691.9500122070312,625.5499877929688,640.0,269755,2023-04-10
2023-04-17,546.1500244140625,546.1500244140625,717.0499877929688,505.8999938964844,642.2999877929688,707196,2023-04-17
2023-04-24,539.4000244140625,539.4000244140625,568.0,509.0,548.0,337327,2023-04-24
2023-05-01,495.20001220703125,495.20001220703125,545.0,486.29998779296875,539.4000244140625,210858,2023-05-01
2023-05-08,510.3500061035156,510.3500061035156,515.0,488.1000061035156,497.8999938964844,176029,2023-05-08
2023-05-15,500.3999938964844,500.3999938964844,519.3499755859375,490.25,511.8999938964844,187890,2023-05-15
2023-05-22,471.70001220703125,471.70001220703125,500.45001220703125,449.6000061035156,500.3999938964844,264791,2023-05-22
2023-05-29,429.54998779296875,429.54998779296875,469.95001220703125,410.0,463.0,339379,2023-05-29
2023-06-05,449.70001220703125,449.70001220703125,459.0,422.1499938964844,439.54998779296875,231951,2023-06-05
2023-06-12,443.70001220703125,443.70001220703125,456.95001220703125,428.54998779296875,456.29998779296875,78453,2023-06-12
2023-06-19,439.1000061035156,439.1000061035156,449.20001220703125,431.25,443.70001220703125,39334,2023-06-19
2023-06-26,426.1000061035156,426.1000061035156,443.04998779296875,425.0,439.0,37018,2023-06-26
2023-07-03,374.70001220703125,374.70001220703125,435.0,371.6000061035156,435.0,120576,2023-07-03
2023-07-10,410.3999938964844,410.3999938964844,426.0,365.29998779296875,383.0,41144,2023-07-10
2023-07-17,458.1499938964844,458.1499938964844,474.70001220703125,390.25,415.79998779296875,65889,2023-07-17
2023-07-24,428.20001220703125,428.20001220703125,469.8999938964844,420.0,469.8999938964844,32325,2023-07-24
2023-07-31,408.29998779296875,408.29998779296875,434.79998779296875,405.1000061035156,434.79998779296875,23342,2023-07-31
2023-08-07,406.5,406.5,428.0,400.70001220703125,415.0,19769,2023-08-07
2023-08-14,407.6000061035156,407.6000061035156,423.0,397.6499938964844,417.95001220703125,18884,2023-08-14
2023-08-21,403.20001220703125,403.20001220703125,413.0,388.8500061035156,400.29998779296875,33054,2023-08-21
2023-08-28,404.04998779296875,404.04998779296875,409.8999938964844,394.0,405.8999938964844,35163,2023-08-28
2023-09-04,416.29998779296875,416.29998779296875,425.6000061035156,395.0,409.0,49904,2023-09-04
2023-09-11,424.6000061035156,424.6000061035156,437.0,406.25,423.8999938964844,46320,2023-09-11
2023-09-18,408.79998779296875,408.79998779296875,436.3999938964844,396.5,436.3999938964844,15241,2023-09-18
2023-09-25,414.3500061035156,414.3500061035156,418.0,393.79998779296875,415.0,20610,2023-09-25
2023-10-02,440.04998779296875,440.04998779296875,444.0,400.0,414.3500061035156,52648,2023-10-02
2023-10-09,443.0,443.0,471.5,438.79998779296875,440.04998779296875,92910,2023-10-09
2023-10-16,442.79998779296875,442.79998779296875,458.45001220703125,437.0,437.0,54264,2023-10-16
2023-10-23,424.8999938964844,424.8999938964844,446.95001220703125,406.04998779296875,435.04998779296875,34769,2023-10-23
2023-10-30,414.8500061035156,414.8500061035156,428.8500061035156,410.29998779296875,424.8999938964844,32436,2023-10-30
2023-11-06,346.70001220703125,346.70001220703125,379.79998779296875,339.79998779296875,350.0,299186,2023-11-06
2023-11-13,345.45001220703125,345.45001220703125,369.95001220703125,343.0,359.1499938964844,73157,2023-11-13
2023-11-20,344.29998779296875,344.29998779296875,356.8999938964844,335.1000061035156,346.0,67689,2023-11-20
2023-11-27,350.5,350.5,355.0,335.04998779296875,344.29998779296875,43930,2023-11-27
2023-12-04,339.1000061035156,339.1000061035156,358.5,336.54998779296875,358.5,60536,2023-12-04
