Date,Adj Close_DEVIT.NS,Close_DEVIT.NS,High_DEVIT.NS,Low_DEVIT.NS,Open_DEVIT.NS,Volume_DEVIT.NS,Date
2020-07-13,20.790735244750977,21.125,22.75,21.0,21.0,42000,2020-07-13
2020-07-20,25.281042098999023,25.6875,28.487499237060547,21.987499237060547,21.987499237060547,480000,2020-07-20
2020-07-27,24.604419708251953,25.0,26.25,25.0,25.6875,48000,2020-07-27
2020-08-03,27.9260196685791,28.375,30.0,25.25,25.75,276000,2020-08-03
2020-08-10,26.597379684448242,27.024999618530273,28.5,27.0,28.5,138000,2020-08-10
2020-08-17,26.080686569213867,26.5,27.25,26.5,27.024999618530273,42000,2020-08-17
2020-08-24,26.326730728149414,26.75,27.3125,26.5,26.5,72000,2020-08-24
2020-08-31,26.326730728149414,26.75,26.75,26.75,26.75,6000,2020-08-31
2020-09-07,26.81882095336914,27.25,27.25,27.0,27.0,90000,2020-09-07
2020-09-14,27.310909271240234,27.75,27.75,27.0,27.25,90000,2020-09-14
2020-09-21,27.43393325805664,27.875,27.875,26.5,27.75,66000,2020-09-21
2020-09-28,31.49365997314453,32.0,32.0,28.0,28.0,114000,2020-09-28
2020-10-05,32.10877227783203,32.625,32.625,30.299999237060547,32.0,60000,2020-10-05
2020-10-12,31.321428298950195,31.825000762939453,32.23749923706055,31.0,31.25,42000,2020-10-12
2020-10-19,31.592077255249023,32.099998474121094,32.099998474121094,32.099998474121094,32.099998474121094,6000,2020-10-19
2020-10-26,31.18610382080078,31.6875,31.75,27.5,27.5,66000,2020-10-26
2020-11-02,32.31790542602539,32.837501525878906,32.837501525878906,31.6875,31.6875,42000,2020-11-02
2020-11-09,32.74848556518555,33.275001525878906,33.275001525878906,32.837501525878906,32.837501525878906,6000,2020-11-09
2020-11-16,32.74848556518555,33.275001525878906,33.275001525878906,33.275001525878906,33.275001525878906,0,2020-11-16
2020-11-23,31.24761390686035,31.75,33.625,31.0,32.8125,78000,2020-11-23
2020-11-30,31.24761390686035,31.75,31.75,31.75,31.75,0,2020-11-30
2020-12-07,31.24761390686035,31.75,31.75,31.75,31.75,0,2020-12-07
2020-12-14,31.985750198364258,32.5,33.67499923706055,31.0,31.75,72000,2020-12-14
