Date,Adj Close_WEIZMANIND.NS,Close_WEIZMANIND.NS,High_WEIZMANIND.NS,Low_WEIZMANIND.NS,Open_WEIZMANIND.NS,Volume_WEIZMANIND.NS,Date
2020-07-13,23.920194625854492,24.649999618530273,27.5,24.5,27.5,10279,2020-07-13
2020-07-20,24.64798927307129,25.399999618530273,26.700000762939453,23.0,25.950000762939453,20570,2020-07-20
2020-07-27,31.731861114501953,32.70000076293945,33.25,23.799999237060547,26.100000381469727,164217,2020-07-27
2020-08-03,29.64551544189453,30.549999237060547,34.25,26.700000762939453,34.150001525878906,52244,2020-08-03
2020-08-10,29.305879592895508,30.200000762939453,31.850000381469727,28.200000762939453,31.850000381469727,39911,2020-08-10
2020-08-17,30.809986114501953,31.75,32.0,27.950000762939453,30.200000762939453,80868,2020-08-17
2020-08-24,33.769683837890625,34.79999923706055,34.900001525878906,31.149999618530273,31.850000381469727,69386,2020-08-24
2020-08-31,30.6644287109375,31.600000381469727,35.900001525878906,31.100000381469727,35.900001525878906,30179,2020-08-31
2020-09-07,30.13071060180664,31.049999237060547,33.75,30.549999237060547,32.650001525878906,45645,2020-09-07
2020-09-14,28.238445281982422,29.100000381469727,31.899999618530273,28.700000762939453,31.0,53035,2020-09-14
2020-09-21,27.704729080200195,28.549999237060547,30.200000762939453,27.700000762939453,29.899999618530273,26522,2020-09-21
2020-09-28,28.04436683654785,28.899999618530273,30.950000762939453,28.399999618530273,29.399999618530273,16878,2020-09-28
2020-10-05,28.723642349243164,29.600000381469727,30.399999618530273,27.549999237060547,29.0,24307,2020-10-05
2020-10-12,28.820680618286133,29.700000762939453,31.950000762939453,28.350000381469727,28.5,37727,2020-10-12
2020-10-19,28.675121307373047,29.549999237060547,31.0,29.0,31.0,6598,2020-10-19
2020-10-26,28.286964416503906,29.149999618530273,32.5,27.200000762939453,30.950000762939453,40778,2020-10-26
2020-11-02,29.111799240112305,30.0,30.649999618530273,28.649999618530273,30.450000762939453,8434,2020-11-02
2020-11-09,29.063282012939453,29.950000762939453,33.349998474121094,29.049999237060547,30.0,39646,2020-11-09
2020-11-16,31.731861114501953,32.70000076293945,34.45000076293945,29.950000762939453,31.549999237060547,67016,2020-11-16
2020-11-23,31.052587509155273,32.0,35.0,30.600000381469727,32.70000076293945,36152,2020-11-23
2020-11-30,32.07149887084961,33.04999923706055,33.900001525878906,30.899999618530273,32.0,42511,2020-11-30
2020-12-07,57.88396453857422,59.650001525878906,59.650001525878906,33.099998474121094,34.400001525878906,460949,2020-12-07
2020-12-14,51.916046142578125,53.5,68.8499984741211,53.5,64.69999694824219,100603,2020-12-14
2020-12-21,49.247459411621094,50.75,50.849998474121094,45.95000076293945,50.849998474121094,70744,2020-12-21
2020-12-28,44.97772979736328,46.349998474121094,52.95000076293945,45.599998474121094,51.04999923706055,80073,2020-12-28
2021-01-04,43.4736213684082,44.79999923706055,48.45000076293945,43.79999923706055,48.45000076293945,65449,2021-01-04
2021-01-11,43.81325912475586,45.150001525878906,46.599998474121094,42.04999923706055,46.0,57826,2021-01-11
2021-01-18,41.58135223388672,42.849998474121094,45.45000076293945,40.349998474121094,43.54999923706055,47961,2021-01-18
2021-01-25,40.07724380493164,41.29999923706055,44.849998474121094,39.54999923706055,44.849998474121094,32642,2021-01-25
2021-02-01,43.376583099365234,44.70000076293945,45.95000076293945,39.75,40.20000076293945,44759,2021-02-01
2021-02-08,47.16111373901367,48.599998474121094,54.70000076293945,43.650001525878906,47.849998474121094,225098,2021-02-08
2021-02-15,43.716217041015625,45.04999923706055,50.900001525878906,42.04999923706055,49.54999923706055,69940,2021-02-15
2021-02-22,45.02625274658203,46.400001525878906,47.54999923706055,43.099998474121094,44.150001525878906,33346,2021-02-22
2021-03-01,46.869998931884766,48.29999923706055,48.75,45.5,47.45000076293945,56988,2021-03-01
2021-03-08,46.38479995727539,47.79999923706055,51.599998474121094,46.75,48.29999923706055,82915,2021-03-08
2021-03-15,43.376583099365234,44.70000076293945,49.349998474121094,41.0,48.20000076293945,61841,2021-03-15
2021-03-22,41.48431396484375,42.75,46.75,42.25,44.79999923706055,34891,2021-03-22
2021-03-29,43.03693771362305,44.349998474121094,45.0,42.70000076293945,42.75,13261,2021-03-29
2021-04-05,42.40618896484375,43.70000076293945,46.400001525878906,42.79999923706055,46.400001525878906,26120,2021-04-05
2021-04-12,39.54352569580078,40.75,46.20000076293945,40.349998474121094,44.70000076293945,40224,2021-04-12
2021-04-19,40.46540451049805,41.70000076293945,42.650001525878906,37.150001525878906,40.75,43956,2021-04-19
2021-04-26,41.48431396484375,42.75,44.5,38.150001525878906,44.5,30500,2021-04-26
