Date,Adj Close_CPCAP.NS,Close_CPCAP.NS,High_CPCAP.NS,Low_CPCAP.NS,Open_CPCAP.NS,Volume_CPCAP.NS,Date
2025-03-10,357.04998779296875,357.04998779296875,370.8999938964844,339.75,351.6499938964844,553107,2025-03-10
2025-03-17,380.8500061035156,380.8500061035156,407.75,358.0,360.6000061035156,128781,2025-03-17
2025-03-24,419.8500061035156,419.8500061035156,427.8999938964844,374.5,374.5,183516,2025-03-24
2025-03-31,420.3999938964844,420.3999938964844,438.0,414.95001220703125,424.8500061035156,68484,2025-03-31
2025-04-07,409.54998779296875,409.54998779296875,420.8500061035156,380.75,417.54998779296875,94868,2025-04-07
2025-04-14,396.3999938964844,396.3999938964844,413.79998779296875,395.20001220703125,411.3500061035156,23121,2025-04-14
2025-04-21,410.75,410.75,427.70001220703125,385.1000061035156,390.5,85419,2025-04-21
2025-04-28,388.45001220703125,388.45001220703125,422.0,384.0,414.8999938964844,175867,2025-04-28
2025-05-05,246.0500030517578,246.0500030517578,409.79998779296875,246.0500030517578,390.1000061035156,102476,2025-05-05
2025-05-12,201.60000610351562,201.60000610351562,246.0500030517578,198.0,246.0500030517578,44903,2025-05-12
2025-05-19,195.4499969482422,195.4499969482422,210.0,194.6999969482422,201.89999389648438,63277,2025-05-19
2025-05-26,166.0,166.0,199.0,158.5,199.0,274361,2025-05-26
2025-06-02,174.72000122070312,174.72000122070312,180.0,165.2100067138672,166.0,116971,2025-06-02
2025-06-09,170.3699951171875,170.3699951171875,182.0,167.97999572753906,174.3000030517578,74028,2025-06-09
2025-06-16,159.67999267578125,159.67999267578125,173.39999389648438,156.91000366210938,166.60000610351562,52053,2025-06-16
2025-06-23,158.33999633789062,158.33999633789062,167.0,154.5,160.0,34065,2025-06-23
2025-06-30,163.52000427246094,163.52000427246094,167.0800018310547,158.0,162.0,49036,2025-06-30
2025-07-07,171.13999938964844,171.13999938964844,174.25,161.10000610351562,163.60000610351562,32523,2025-07-07
2025-07-14,169.1199951171875,169.1199951171875,171.49000549316406,166.1999969482422,166.1999969482422,4985,2025-07-14
