Date,Adj Close_INDSWFTLAB.NS,Close_INDSWFTLAB.NS,High_INDSWFTLAB.NS,Low_INDSWFTLAB.NS,Open_INDSWFTLAB.NS,Volume_INDSWFTLAB.NS,Date
2020-07-13,34.04999923706055,34.04999923706055,35.900001525878906,33.29999923706055,35.650001525878906,91733,2020-07-13
2020-07-20,36.04999923706055,36.04999923706055,36.400001525878906,34.099998474121094,35.650001525878906,135950,2020-07-20
2020-07-27,34.099998474121094,34.099998474121094,37.849998474121094,32.650001525878906,37.849998474121094,240471,2020-07-27
2020-08-03,38.20000076293945,38.20000076293945,39.20000076293945,34.099998474121094,35.25,352071,2020-08-03
2020-08-10,37.150001525878906,37.150001525878906,41.900001525878906,36.79999923706055,39.0,228297,2020-08-10
2020-08-17,38.29999923706055,38.29999923706055,39.0,37.099998474121094,39.0,158510,2020-08-17
2020-08-24,36.150001525878906,36.150001525878906,40.54999923706055,35.849998474121094,39.849998474121094,321179,2020-08-24
2020-08-31,35.25,35.25,36.95000076293945,33.29999923706055,36.95000076293945,111579,2020-08-31
2020-09-07,34.04999923706055,34.04999923706055,35.95000076293945,32.54999923706055,35.900001525878906,88094,2020-09-07
2020-09-14,43.349998474121094,43.349998474121094,43.349998474121094,34.45000076293945,35.5,483463,2020-09-14
2020-09-21,45.04999923706055,45.04999923706055,47.29999923706055,41.45000076293945,45.5,706530,2020-09-21
2020-09-28,51.349998474121094,51.349998474121094,52.099998474121094,46.599998474121094,47.0,544475,2020-09-28
2020-10-05,59.0,59.0,60.0,52.0,52.04999923706055,720432,2020-10-05
2020-10-12,51.25,51.25,60.0,51.25,58.95000076293945,249357,2020-10-12
2020-10-19,53.54999923706055,53.54999923706055,53.54999923706055,44.0,50.20000076293945,490991,2020-10-19
2020-10-26,52.849998474121094,52.849998474121094,56.20000076293945,46.849998474121094,56.0,328382,2020-10-26
2020-11-02,50.70000076293945,50.70000076293945,54.29999923706055,47.75,54.29999923706055,251197,2020-11-02
2020-11-09,53.849998474121094,53.849998474121094,54.5,48.099998474121094,50.95000076293945,444367,2020-11-09
2020-11-16,65.19999694824219,65.19999694824219,65.19999694824219,52.0,52.0,732298,2020-11-16
2020-11-23,60.79999923706055,60.79999923706055,72.9000015258789,60.79999923706055,67.44999694824219,958690,2020-11-23
2020-11-30,65.30000305175781,65.30000305175781,67.44999694824219,60.20000076293945,60.79999923706055,448985,2020-11-30
2020-12-07,62.0,62.0,66.8499984741211,59.349998474121094,66.8499984741211,462964,2020-12-07
2020-12-14,61.25,61.25,63.45000076293945,59.25,61.849998474121094,301095,2020-12-14
2020-12-21,61.150001525878906,61.150001525878906,63.0,55.29999923706055,60.29999923706055,286277,2020-12-21
2020-12-28,65.3499984741211,65.3499984741211,65.3499984741211,60.5,62.79999923706055,562256,2020-12-28
2021-01-04,83.30000305175781,83.30000305175781,83.30000305175781,67.5,68.5999984741211,1809067,2021-01-04
2021-01-11,74.9000015258789,74.9000015258789,87.44999694824219,72.5,87.44999694824219,1346257,2021-01-11
2021-01-18,70.19999694824219,70.19999694824219,76.44999694824219,67.9000015258789,73.1500015258789,316571,2021-01-18
2021-01-25,70.25,70.25,73.5,67.30000305175781,71.5999984741211,340080,2021-01-25
2021-02-01,69.5,69.5,72.94999694824219,67.5999984741211,71.05000305175781,336162,2021-02-01
2021-02-08,78.0999984741211,78.0999984741211,82.25,69.30000305175781,70.0,1147454,2021-02-08
2021-02-15,75.3499984741211,75.3499984741211,81.94999694824219,69.44999694824219,81.94999694824219,686059,2021-02-15
2021-02-22,76.19999694824219,76.19999694824219,80.9000015258789,72.0,78.4000015258789,782602,2021-02-22
2021-03-01,74.80000305175781,74.80000305175781,78.44999694824219,72.5999984741211,78.44999694824219,357055,2021-03-01
2021-03-08,82.44999694824219,82.44999694824219,82.44999694824219,74.0999984741211,76.30000305175781,451580,2021-03-08
2021-03-15,76.69999694824219,76.69999694824219,90.0,74.69999694824219,86.55000305175781,1032658,2021-03-15
2021-03-22,73.19999694824219,73.19999694824219,82.0,72.1500015258789,76.69999694824219,360482,2021-03-22
2021-03-29,74.9000015258789,74.9000015258789,75.6500015258789,70.5999984741211,73.19999694824219,224660,2021-03-29
2021-04-05,75.5999984741211,75.5999984741211,81.9000015258789,74.0,75.4000015258789,478655,2021-04-05
2021-04-12,72.30000305175781,72.30000305175781,77.9000015258789,71.5,77.5,220354,2021-04-12
2021-04-19,80.55000305175781,80.55000305175781,83.5,67.30000305175781,72.30000305175781,2062602,2021-04-19
2021-04-26,80.5,80.5,92.3499984741211,80.0,81.75,2762922,2021-04-26
2021-05-03,79.3499984741211,79.3499984741211,84.05000305175781,77.44999694824219,81.4000015258789,907847,2021-05-03
2021-05-10,78.6500015258789,78.6500015258789,87.25,78.0999984741211,79.6500015258789,1629876,2021-05-10
2021-05-17,83.30000305175781,83.30000305175781,84.9000015258789,78.0,79.3499984741211,1253614,2021-05-17
2021-05-24,85.4000015258789,85.4000015258789,92.94999694824219,85.0999984741211,89.0,3091788,2021-05-24
2021-05-31,86.05000305175781,86.05000305175781,87.25,81.5999984741211,85.5999984741211,710821,2021-05-31
