Date,Adj Close_SHREERAMA.NS,Close_SHREERAMA.NS,High_SHREERAMA.NS,Low_SHREERAMA.NS,Open_SHREERAMA.NS,Volume_SHREERAMA.NS,Date
2020-07-13,4.195298194885254,4.195298194885254,4.3701019287109375,3.8893909454345703,3.8893909454345703,165377,2020-07-13
2020-07-20,4.807112216949463,4.807112216949463,4.850812911987305,3.976793050765991,4.195298194885254,180891,2020-07-20
2020-07-27,4.588606834411621,4.588606834411621,4.9819159507751465,4.151597023010254,4.9819159507751465,218310,2020-07-27
2020-08-03,5.113018989562988,5.113018989562988,5.156720161437988,4.195298194885254,4.719709873199463,574352,2020-08-03
2020-08-10,5.20042085647583,5.20042085647583,5.943338871002197,4.9382147789001465,5.156720161437988,849828,2020-08-10
2020-08-17,5.28782320022583,5.28782320022583,5.943338871002197,4.850812911987305,5.28782320022583,358929,2020-08-17
2020-08-24,6.77365779876709,6.77365779876709,6.77365779876709,4.9382147789001465,5.331524848937988,1182962,2020-08-24
2020-08-31,7.07956600189209,7.07956600189209,7.07956600189209,5.8559370040893555,6.948462009429932,609650,2020-08-31
2020-09-07,7.603978157043457,7.603978157043457,7.603978157043457,6.336647987365723,7.385472774505615,559714,2020-09-07
2020-09-14,7.472875118255615,7.472875118255615,8.696502685546875,7.429173946380615,7.866184234619141,367325,2020-09-14
2020-09-21,6.380349159240723,6.380349159240723,7.778781890869141,5.8559370040893555,7.472875118255615,249504,2020-09-21
2020-09-28,6.729957103729248,6.729957103729248,7.07956600189209,6.5114521980285645,6.5114521980285645,54388,2020-09-28
2020-10-05,6.4240498542785645,6.4240498542785645,7.035863876342773,6.292946815490723,6.86106014251709,110255,2020-10-05
2020-10-12,6.074441909790039,6.074441909790039,6.729957103729248,5.8559370040893555,6.729957103729248,111572,2020-10-12
2020-10-19,6.161843776702881,6.161843776702881,6.380349159240723,5.681132793426514,6.074441909790039,112207,2020-10-19
2020-10-26,6.030741214752197,6.030741214752197,6.4240498542785645,5.8122358322143555,5.943338871002197,48092,2020-10-26
2020-11-02,5.987040042877197,5.987040042877197,6.292946815490723,5.8559370040893555,5.8996381759643555,100964,2020-11-02
2020-11-09,5.943338871002197,5.943338871002197,6.118143081665039,5.331524848937988,6.118143081665039,361150,2020-11-09
2020-11-16,6.205544948577881,6.205544948577881,6.729957103729248,5.768535137176514,5.8122358322143555,229551,2020-11-16
2020-11-23,6.249246120452881,6.249246120452881,6.336647987365723,5.8559370040893555,6.336647987365723,106133,2020-11-23
