Date,Adj Close_TATAINVEST.NS,Close_TATAINVEST.NS,High_TATAINVEST.NS,Low_TATAINVEST.NS,Open_TATAINVEST.NS,Volume_TATAINVEST.NS,Date
2020-07-13,674.0968627929688,734.4000244140625,757.0999755859375,733.0,749.0,50405,2020-07-13
2020-07-20,675.3819580078125,735.7999877929688,753.6500244140625,732.0,735.0,93400,2020-07-20
2020-07-27,672.1234741210938,732.25,745.0,726.0999755859375,739.5499877929688,85517,2020-07-27
2020-08-03,706.2229614257812,769.4000244140625,790.0,725.0,737.7999877929688,239710,2020-08-03
2020-08-10,706.819580078125,770.0499877929688,797.0499877929688,761.0,778.7999877929688,107272,2020-08-10
2020-08-17,761.2503662109375,829.3499755859375,840.0,767.0,778.9000244140625,228121,2020-08-17
2020-08-24,764.4170532226562,832.7999877929688,869.0,822.25,838.0,272138,2020-08-24
2020-08-31,749.8226928710938,816.9000244140625,889.0999755859375,799.75,840.0,140746,2020-08-31
2020-09-07,732.6122436523438,798.1500244140625,831.0,780.0,811.0499877929688,94724,2020-09-07
2020-09-14,810.5408935546875,883.0499877929688,927.5999755859375,802.1500244140625,802.1500244140625,595531,2020-09-14
2020-09-21,761.6175537109375,829.75,905.0,812.5,891.0,164255,2020-09-21
2020-09-28,774.0089721679688,843.25,859.0,823.5999755859375,839.7000122070312,50449,2020-09-28
2020-10-05,802.4176635742188,874.2000122070312,910.0,845.0999755859375,857.0999755859375,191599,2020-10-05
2020-10-12,777.6346435546875,847.2000122070312,877.0,843.5,874.2000122070312,71037,2020-10-12
2020-10-19,784.2893676757812,854.4500122070312,862.0,842.7000122070312,847.2000122070312,59986,2020-10-19
2020-10-26,775.9365234375,845.3499755859375,864.7999877929688,830.0,858.5,65273,2020-10-26
2020-11-02,784.4729614257812,854.6500244140625,865.0,831.25,849.5999755859375,91080,2020-11-02
2020-11-09,806.2268676757812,878.3499755859375,900.0,849.9000244140625,858.0,117396,2020-11-09
2020-11-16,848.08251953125,923.9500122070312,947.9000244140625,870.5499877929688,870.5499877929688,282729,2020-11-16
2020-11-23,863.8703002929688,941.1500244140625,950.0,905.2999877929688,929.8499755859375,121587,2020-11-23
2020-11-30,903.84423828125,984.7000122070312,990.0,936.0,941.1500244140625,143786,2020-11-30
2020-12-07,916.0062866210938,997.9500122070312,1100.0,988.2000122070312,996.7999877929688,595991,2020-12-07
2020-12-14,918.025634765625,1000.1500244140625,1054.5,995.3499755859375,1009.0,291080,2020-12-14
2020-12-21,914.3541259765625,996.1500244140625,1026.050048828125,930.0,1005.2000122070312,148862,2020-12-21
2020-12-28,921.0087280273438,1003.4000244140625,1039.8499755859375,991.2999877929688,1001.1500244140625,139892,2020-12-28
