Date,Adj Close_BANSALWIRE.NS,Close_BANSALWIRE.NS,High_BANSALWIRE.NS,Low_BANSALWIRE.NS,Open_BANSALWIRE.NS,Volume_BANSALWIRE.NS,Date
2024-07-08,356.75,356.75,372.0,336.0,356.0,35851385,2024-07-08
2024-07-15,346.79998779296875,346.79998779296875,360.0,345.0,359.75,4149074,2024-07-15
2024-07-22,357.29998779296875,357.29998779296875,359.54998779296875,325.1000061035156,345.0,2145323,2024-07-22
2024-07-29,375.54998779296875,375.54998779296875,386.0,350.1000061035156,362.70001220703125,3962600,2024-07-29
2024-08-05,351.8500061035156,351.8500061035156,367.8999938964844,343.54998779296875,365.54998779296875,2295313,2024-08-05
2024-08-12,333.25,333.25,352.3999938964844,325.95001220703125,349.6000061035156,1019953,2024-08-12
2024-08-19,352.29998779296875,352.29998779296875,370.25,333.3999938964844,335.79998779296875,2333314,2024-08-19
2024-08-26,404.70001220703125,404.70001220703125,415.70001220703125,360.45001220703125,362.8999938964844,4776491,2024-08-26
2024-09-02,429.3999938964844,429.3999938964844,450.20001220703125,397.54998779296875,407.5,3930210,2024-09-02
2024-09-09,441.75,441.75,460.8999938964844,419.20001220703125,429.0,2309571,2024-09-09
2024-09-16,427.70001220703125,427.70001220703125,448.8999938964844,408.20001220703125,444.5,1181529,2024-09-16
2024-09-23,446.20001220703125,446.20001220703125,456.0,416.25,427.70001220703125,1489231,2024-09-23
2024-09-30,428.25,428.25,468.6499938964844,417.0,447.5,1468181,2024-09-30
2024-10-07,424.45001220703125,424.45001220703125,438.20001220703125,401.6499938964844,428.79998779296875,1050016,2024-10-07
2024-10-14,424.75,424.75,442.0,414.5,422.0,716121,2024-10-14
2024-10-21,389.95001220703125,389.95001220703125,438.75,373.5,427.6499938964844,777661,2024-10-21
2024-10-28,411.95001220703125,411.95001220703125,415.0,382.1499938964844,390.0,347200,2024-10-28
2024-11-04,412.8500061035156,412.8500061035156,431.0,395.70001220703125,411.95001220703125,737157,2024-11-04
2024-11-11,413.1000061035156,413.1000061035156,448.0,401.3500061035156,412.3500061035156,1168779,2024-11-11
2024-11-18,413.29998779296875,413.29998779296875,420.0,397.3500061035156,404.6000061035156,672516,2024-11-18
2024-11-25,455.04998779296875,455.04998779296875,465.0,411.0,421.0,1339981,2024-11-25
2024-12-02,488.25,488.25,496.95001220703125,445.04998779296875,455.0,1382914,2024-12-02
2024-12-09,462.3500061035156,462.3500061035156,503.95001220703125,456.29998779296875,497.0,1179648,2024-12-09
2024-12-16,441.8999938964844,441.8999938964844,473.45001220703125,432.0,462.3500061035156,638000,2024-12-16
2024-12-23,454.29998779296875,454.29998779296875,461.5,435.1000061035156,453.8500061035156,318858,2024-12-23
2024-12-30,452.79998779296875,452.79998779296875,466.70001220703125,437.20001220703125,452.0,301806,2024-12-30
2025-01-06,420.75,420.75,455.70001220703125,402.3999938964844,446.0,371467,2025-01-06
2025-01-13,404.29998779296875,404.29998779296875,418.04998779296875,387.20001220703125,412.0,412123,2025-01-13
2025-01-20,396.45001220703125,396.45001220703125,409.70001220703125,377.1499938964844,406.95001220703125,592446,2025-01-20
2025-01-27,398.45001220703125,398.45001220703125,429.95001220703125,354.04998779296875,394.0,1212788,2025-01-27
2025-02-03,387.45001220703125,387.45001220703125,404.95001220703125,376.29998779296875,397.95001220703125,973146,2025-02-03
2025-02-10,352.3999938964844,352.3999938964844,394.0,339.70001220703125,394.0,853823,2025-02-10
2025-02-17,365.75,365.75,368.75,328.04998779296875,352.45001220703125,749504,2025-02-17
2025-02-24,337.6000061035156,337.6000061035156,367.20001220703125,335.5,366.8999938964844,305052,2025-02-24
2025-03-03,362.45001220703125,362.45001220703125,365.0,323.1499938964844,341.0,467992,2025-03-03
2025-03-10,361.79998779296875,361.79998779296875,374.0,343.1000061035156,374.0,239923,2025-03-10
2025-03-17,364.3500061035156,364.3500061035156,380.95001220703125,336.0,361.5,998327,2025-03-17
2025-03-24,387.1499938964844,387.1499938964844,395.8999938964844,349.3500061035156,360.0,833839,2025-03-24
2025-03-31,360.0,360.0,386.20001220703125,356.25,377.25,224499,2025-03-31
2025-04-07,349.75,349.75,354.0,331.0,340.0,295120,2025-04-07
2025-04-14,354.25,354.25,368.0,350.20001220703125,364.3500061035156,202570,2025-04-14
2025-04-21,366.0,366.0,396.0,351.54998779296875,354.0,764248,2025-04-21
2025-04-28,358.6000061035156,358.6000061035156,377.95001220703125,353.29998779296875,366.0,205909,2025-04-28
2025-05-05,351.6499938964844,351.6499938964844,365.0,340.0,364.0,287153,2025-05-05
2025-05-12,396.6000061035156,396.6000061035156,405.0,358.0,358.0,448695,2025-05-12
2025-05-19,363.0,363.0,420.0,361.0,398.54998779296875,840746,2025-05-19
2025-05-26,362.54998779296875,362.54998779296875,369.8999938964844,355.5,364.0,271568,2025-05-26
2025-06-02,378.75,378.75,382.95001220703125,349.1000061035156,362.54998779296875,575278,2025-06-02
2025-06-09,381.3999938964844,381.3999938964844,406.45001220703125,372.95001220703125,383.1000061035156,1450391,2025-06-09
2025-06-16,381.6000061035156,381.6000061035156,390.54998779296875,364.5,376.0,753947,2025-06-16
2025-06-23,390.45001220703125,390.45001220703125,395.0,377.1499938964844,381.0,550519,2025-06-23
2025-06-30,382.8999938964844,382.8999938964844,395.95001220703125,379.8500061035156,390.5,548838,2025-06-30
2025-07-07,405.6499938964844,405.6499938964844,409.79998779296875,379.04998779296875,382.8999938964844,898049,2025-07-07
2025-07-14,408.6499938964844,408.6499938964844,422.8500061035156,406.1000061035156,411.04998779296875,686023,2025-07-14
