Date,Adj Close_PGHH.NS,Close_PGHH.NS,High_PGHH.NS,Low_PGHH.NS,Open_PGHH.NS,Volume_PGHH.NS,Date
2020-07-13,9828.826171875,10486.7001953125,10512.0,10120.0,10295.0,28123,2020-07-13
2020-07-20,10131.185546875,10809.2998046875,10899.0,10281.7001953125,10511.9501953125,45438,2020-07-20
2020-07-27,9702.4345703125,10351.849609375,10859.9501953125,10150.0,10810.0,25875,2020-07-27
2020-08-03,9664.5234375,10311.400390625,10480.0,10225.0498046875,10389.9501953125,23107,2020-08-03
2020-08-10,9414.7412109375,10044.900390625,10380.0,9987.0,10301.0,39202,2020-08-10
2020-08-17,9530.3984375,10168.2998046875,10300.0,9925.0,10111.0,56586,2020-08-17
2020-08-24,9497.548828125,10133.25,10707.099609375,9991.0498046875,10249.0,95037,2020-08-24
2020-08-31,9444.4521484375,10076.599609375,10270.0,9949.7998046875,10270.0,89844,2020-08-31
2020-09-07,9397.025390625,10026.0,10184.7998046875,9950.2001953125,10016.0498046875,18157,2020-09-07
2020-09-14,9281.3193359375,9902.5498046875,10161.9501953125,9861.25,10100.0,20895,2020-09-14
2020-09-21,9275.4619140625,9896.2998046875,10100.0,9691.400390625,9895.0,27585,2020-09-21
2020-09-28,9247.533203125,9866.5,10010.099609375,9780.5498046875,9940.0,21126,2020-09-28
2020-10-05,9345.8974609375,9971.4501953125,10000.0,9825.0,9910.0,44662,2020-10-05
2020-10-12,9478.0986328125,10112.5,10168.0,9938.0,9961.150390625,25141,2020-10-12
2020-10-19,9663.1162109375,10309.900390625,10325.0,10000.0,10180.0,21614,2020-10-19
2020-10-26,9557.3935546875,10197.099609375,10460.0,10100.2001953125,10301.0,14086,2020-10-26
2020-11-02,9617.8447265625,10261.599609375,10395.849609375,10100.099609375,10200.0,39174,2020-11-02
2020-11-09,10170.97265625,10851.75,11716.0,9981.0,10260.7998046875,116314,2020-11-09
2020-11-16,9938.3623046875,10500.349609375,10927.349609375,10361.0,10707.7001953125,48777,2020-11-16
2020-11-23,9956.8671875,10519.900390625,10818.7001953125,10494.2998046875,10600.0,61756,2020-11-23
2020-11-30,10355.0966796875,10940.650390625,11429.5,10490.349609375,10519.900390625,54241,2020-11-30
2020-12-07,10727.30078125,11333.900390625,11398.75,10845.599609375,11000.0,37372,2020-12-07
2020-12-14,10409.42578125,10998.0498046875,11544.0,10977.849609375,11206.0,32643,2020-12-14
2020-12-21,10493.56640625,11086.9501953125,11198.0,10755.0498046875,11069.0498046875,46096,2020-12-21
2020-12-28,10423.0087890625,11012.400390625,11900.0,10743.349609375,11250.9501953125,166194,2020-12-28
2021-01-04,10654.5634765625,11257.0498046875,11350.0,10960.0,11175.0,42173,2021-01-04
2021-01-11,10761.9873046875,11370.5498046875,11484.900390625,11130.0,11260.0,42510,2021-01-11
2021-01-18,10685.2763671875,11289.5,11449.0,11152.849609375,11330.0,32449,2021-01-18
2021-01-25,10701.03515625,11306.150390625,11389.9501953125,11139.400390625,11340.400390625,19857,2021-01-25
2021-02-01,11695.3115234375,12356.650390625,12600.0,11100.0,11307.0,189879,2021-02-01
2021-02-08,12734.3564453125,13454.4501953125,13600.0,12355.650390625,12356.650390625,117054,2021-02-08
