Date,Adj Close_TI.NS,Close_TI.NS,High_TI.NS,Low_TI.NS,Open_TI.NS,Volume_TI.NS,Date
2020-07-13,17.228498458862305,17.299999237060547,17.350000381469727,16.299999237060547,17.350000381469727,114994,2020-07-13
2020-07-20,18.473331451416016,18.549999237060547,18.950000762939453,17.299999237060547,18.0,326802,2020-07-20
2020-07-27,17.27829360961914,17.350000381469727,19.350000381469727,17.149999618530273,17.950000762939453,331423,2020-07-27
2020-08-03,17.377880096435547,17.450000762939453,18.049999237060547,17.149999618530273,17.350000381469727,159243,2020-08-03
2020-08-10,17.676637649536133,17.75,18.850000381469727,17.100000381469727,17.700000762939453,505356,2020-08-10
2020-08-17,17.676637649536133,17.75,18.75,17.399999618530273,17.5,238671,2020-08-17
2020-08-24,16.431806564331055,16.5,18.450000762939453,16.5,17.700000762939453,382390,2020-08-24
2020-08-31,15.93387222290039,16.0,17.25,15.300000190734863,17.25,359398,2020-08-31
2020-09-07,16.282426834106445,16.350000381469727,16.75,15.25,16.0,504238,2020-09-07
2020-09-14,17.079118728637695,17.149999618530273,17.600000381469727,16.0,16.049999237060547,404841,2020-09-14
2020-09-21,16.53139305114746,16.600000381469727,17.399999618530273,15.600000381469727,17.399999618530273,230466,2020-09-21
2020-09-28,15.93387222290039,16.0,17.399999618530273,15.850000381469727,17.350000381469727,207071,2020-09-28
2020-10-05,17.27829360961914,17.350000381469727,17.899999618530273,15.800000190734863,16.450000762939453,1220473,2020-10-05
2020-10-12,18.323951721191406,18.399999618530273,19.450000762939453,16.649999618530273,17.299999237060547,1406566,2020-10-12
2020-10-19,17.776226043701172,17.850000381469727,19.25,17.149999618530273,17.899999618530273,551567,2020-10-19
2020-10-26,17.228498458862305,17.299999237060547,18.149999618530273,17.0,17.899999618530273,129862,2020-10-26
2020-11-02,16.83015251159668,16.899999618530273,18.0,16.0,17.649999618530273,252346,2020-11-02
2020-11-09,17.27829360961914,17.350000381469727,17.5,16.5,16.850000381469727,120376,2020-11-09
2020-11-16,17.427671432495117,17.5,18.5,17.100000381469727,17.100000381469727,270828,2020-11-16
2020-11-23,17.32808494567871,17.399999618530273,18.200000762939453,16.649999618530273,17.399999618530273,358584,2020-11-23
2020-11-30,21.261760711669922,21.350000381469727,21.350000381469727,17.049999237060547,17.399999618530273,1563594,2020-11-30
2020-12-07,22.95473289489746,23.049999237060547,25.799999237060547,21.75,22.0,2365419,2020-12-07
2020-12-14,21.909072875976562,22.0,25.049999237060547,21.149999618530273,23.200000762939453,1280443,2020-12-14
2020-12-21,26.987995147705078,27.100000381469727,27.649999618530273,20.799999237060547,22.399999618530273,3498421,2020-12-21
2020-12-28,28.780555725097656,28.899999618530273,32.5,27.799999237060547,27.899999618530273,5315687,2020-12-28
2021-01-04,29.477664947509766,29.600000381469727,31.75,27.200000762939453,29.299999237060547,2432560,2021-01-04
