Date,Adj Close_KNRCON.NS,Close_KNRCON.NS,High_KNRCON.NS,Low_KNRCON.NS,Open_KNRCON.NS,Volume_KNRCON.NS,Date
2020-07-13,104.1070785522461,104.4749984741211,113.30000305175781,101.5250015258789,102.8499984741211,645978,2020-07-13
2020-07-20,104.00743865966797,104.375,110.0,102.5999984741211,104.5,1400866,2020-07-20
2020-07-27,104.92919158935547,105.30000305175781,107.0,100.57499694824219,105.5,1287942,2020-07-27
2020-08-03,101.44151306152344,101.80000305175781,106.0,100.75,106.0,604174,2020-08-03
2020-08-10,106.7975845336914,107.17500305175781,111.4000015258789,100.2750015258789,102.5,2133134,2020-08-10
2020-08-17,129.69166564941406,130.14999389648438,132.39999389648438,107.69999694824219,109.5,7885622,2020-08-17
2020-08-24,134.62425231933594,135.10000610351562,140.3000030517578,130.5,134.97500610351562,5708684,2020-08-24
2020-08-31,122.14334869384766,122.57499694824219,135.89999389648438,115.07499694824219,135.3249969482422,1846398,2020-08-31
2020-09-07,124.53489685058594,124.9749984741211,130.0,117.7750015258789,122.57499694824219,1236164,2020-09-07
2020-09-14,134.4997100830078,134.97500610351562,136.60000610351562,127.75,127.94999694824219,2602636,2020-09-14
2020-09-21,124.21105194091797,124.6500015258789,134.97500610351562,119.0,134.4250030517578,909218,2020-09-21
2020-09-28,127.7236328125,128.1750030517578,131.5,122.75,124.6500015258789,815368,2020-09-28
2020-10-05,127.6738052368164,128.125,132.77499389648438,126.0,128.1750030517578,712488,2020-10-05
2020-10-12,122.19317626953125,122.625,129.39999389648438,120.5,128.22500610351562,475442,2020-10-12
2020-10-19,124.06156921386719,124.5,130.3249969482422,119.0,124.3499984741211,841500,2020-10-19
2020-10-26,124.73419952392578,125.17500305175781,128.39999389648438,120.875,125.44999694824219,780620,2020-10-26
2020-11-02,126.50293731689453,126.94999694824219,128.9499969482422,121.57499694824219,125.1500015258789,523516,2020-11-02
2020-11-09,127.87310028076172,128.3249969482422,129.875,124.75,127.7249984741211,650234,2020-11-09
2020-11-16,145.7598876953125,146.27499389648438,148.9499969482422,127.375,127.375,3318998,2020-11-16
2020-11-23,142.04800415039062,142.5500030517578,146.9250030517578,136.35000610351562,145.5,1467852,2020-11-23
2020-11-30,156.42221069335938,156.97500610351562,159.9250030517578,142.5,142.5500030517578,4107250,2020-11-30
2020-12-07,147.22970581054688,147.75,158.9499969482422,145.5500030517578,156.97500610351562,1852132,2020-12-07
2020-12-14,162.67510986328125,163.25,173.5,147.52499389648438,149.64999389648438,12579796,2020-12-14
2020-12-21,163.24807739257812,163.8249969482422,173.8000030517578,150.125,163.25,6146928,2020-12-21
2020-12-28,163.42245483398438,164.0,167.25,161.6750030517578,166.375,1648862,2020-12-28
2021-01-04,172.14166259765625,172.75,175.875,164.8249969482422,166.5500030517578,6057960,2021-01-04
2021-01-11,182.8538055419922,183.5,193.64999389648438,167.5,173.5,6692974,2021-01-11
