Date,Adj Close_TCI.NS,Close_TCI.NS,High_TCI.NS,Low_TCI.NS,Open_TCI.NS,Volume_TCI.NS,Date
2020-07-13,160.05845642089844,166.89999389648438,174.4499969482422,162.25,170.5,66709,2020-07-13
2020-07-20,168.54566955566406,175.75,176.89999389648438,166.4499969482422,166.5500030517578,189780,2020-07-20
2020-07-27,166.19610595703125,173.3000030517578,179.9499969482422,165.9499969482422,175.0,151533,2020-07-27
2020-08-03,166.96328735351562,174.10000610351562,176.8000030517578,169.85000610351562,176.0,95090,2020-08-03
2020-08-10,198.89825439453125,207.39999389648438,222.89999389648438,173.3000030517578,176.89999389648438,871453,2020-08-10
2020-08-17,226.1341094970703,235.8000030517578,239.0,204.0,208.10000610351562,588850,2020-08-17
2020-08-24,215.92066955566406,225.14999389648438,241.75,222.0,235.8000030517578,193691,2020-08-24
2020-08-31,211.74896240234375,220.8000030517578,226.5,202.0,225.5,119994,2020-08-31
2020-09-07,228.6754608154297,238.4499969482422,243.0,201.9499969482422,221.10000610351562,2001887,2020-09-07
2020-09-14,229.298828125,239.10000610351562,246.8000030517578,230.10000610351562,242.0,183052,2020-09-14
2020-09-21,223.06527709960938,232.60000610351562,242.0,213.0500030517578,240.3000030517578,106553,2020-09-21
2020-09-28,218.8936004638672,228.25,240.75,226.14999389648438,232.60000610351562,49070,2020-09-28
2020-10-05,219.85260009765625,229.25,231.0,220.5,229.39999389648438,461807,2020-10-05
2020-10-12,224.3599395751953,233.9499969482422,244.35000610351562,220.10000610351562,232.8000030517578,1610745,2020-10-12
2020-10-19,220.7156982421875,230.14999389648438,235.0,226.0,235.0,64009,2020-10-19
2020-10-26,215.15345764160156,224.35000610351562,231.39999389648438,222.35000610351562,228.0500030517578,51419,2020-10-26
2020-11-02,218.6058807373047,227.9499969482422,236.35000610351562,223.5500030517578,225.5,228599,2020-11-02
2020-11-09,228.6754608154297,238.4499969482422,240.0,224.10000610351562,229.10000610351562,226963,2020-11-09
2020-11-16,243.06057739257812,253.4499969482422,267.0,234.10000610351562,234.10000610351562,255744,2020-11-16
2020-11-23,241.38233947753906,251.6999969482422,257.5,247.10000610351562,255.0,79552,2020-11-23
2020-11-30,250.5887908935547,261.29998779296875,266.0,249.5,251.6999969482422,181980,2020-11-30
2020-12-07,244.49908447265625,254.9499969482422,280.0,250.14999389648438,261.29998779296875,426996,2020-12-07
2020-12-14,241.3343505859375,251.64999389648438,265.5,245.10000610351562,255.6999969482422,175667,2020-12-14
2020-12-21,233.90203857421875,243.89999389648438,252.8000030517578,232.1999969482422,252.8000030517578,299752,2020-12-21
2020-12-28,241.5740966796875,251.89999389648438,256.0,240.10000610351562,247.0,142796,2020-12-28
2021-01-04,245.0265655517578,255.5,258.6000061035156,240.85000610351562,253.14999389648438,192119,2021-01-04
2021-01-11,238.21759033203125,248.39999389648438,262.0,244.0,256.79998779296875,206880,2021-01-11
2021-01-18,237.2106475830078,247.35000610351562,254.39999389648438,240.5,248.39999389648438,169984,2021-01-18
2021-01-25,238.40939331054688,248.60000610351562,257.0,238.64999389648438,247.0,146614,2021-01-25
2021-02-01,246.03350830078125,256.54998779296875,260.0,243.0,249.0,185849,2021-02-01
2021-02-08,239.65609741210938,249.89999389648438,257.79998779296875,235.0,256.6000061035156,491497,2021-02-08
2021-02-15,238.62615966796875,247.64999389648438,252.89999389648438,245.10000610351562,251.89999389648438,367732,2021-02-15
2021-02-22,234.1455841064453,243.0,255.60000610351562,240.25,248.89999389648438,162364,2021-02-22
2021-03-01,237.03627014160156,246.0,263.0,242.10000610351562,244.25,493379,2021-03-01
2021-03-08,235.4464111328125,244.35000610351562,265.0,243.35000610351562,247.25,758188,2021-03-08
2021-03-15,232.84475708007812,241.64999389648438,249.39999389648438,240.0,249.39999389648438,435488,2021-03-15
2021-03-22,250.9597930908203,260.45001220703125,272.3500061035156,241.0,244.89999389648438,1468134,2021-03-22
2021-03-29,254.81402587890625,264.45001220703125,267.6499938964844,254.0,260.45001220703125,180481,2021-03-29
2021-04-05,271.58001708984375,281.8500061035156,288.5,255.0,267.79998779296875,590461,2021-04-05
2021-04-12,259.1982421875,269.0,277.95001220703125,254.10000610351562,273.95001220703125,276588,2021-04-12
2021-04-19,257.4156188964844,267.1499938964844,274.8999938964844,257.0,262.25,141709,2021-04-19
2021-04-26,254.86219787597656,264.5,269.0,261.95001220703125,269.0,116818,2021-04-26
2021-05-03,272.83258056640625,283.1499938964844,291.0,262.8500061035156,263.70001220703125,252982,2021-05-03
2021-05-10,264.06414794921875,274.04998779296875,300.75,271.0,283.1499938964844,235413,2021-05-10
2021-05-17,299.66778564453125,311.0,318.0,274.20001220703125,275.45001220703125,1257266,2021-05-17
2021-05-24,406.3341369628906,421.70001220703125,424.3500061035156,300.1000061035156,309.6000061035156,8023338,2021-05-24
2021-05-31,422.61834716796875,438.6000061035156,509.95001220703125,426.0,426.0,10335985,2021-05-31
