Date,Adj Close_ICEMAKE.NS,Close_ICEMAKE.NS,High_ICEMAKE.NS,Low_ICEMAKE.NS,Open_ICEMAKE.NS,Volume_ICEMAKE.NS,Date
2020-07-13,39.92428207397461,42.0,42.0,42.0,42.0,0,2020-07-13
2020-07-20,39.591583251953125,41.650001525878906,43.29999923706055,40.20000076293945,42.0,56000,2020-07-20
2020-07-27,40.779808044433594,42.900001525878906,42.95000076293945,39.0,40.0,204000,2020-07-27
2020-08-03,40.63721466064453,42.75,42.75,39.70000076293945,41.79999923706055,36000,2020-08-03
2020-08-10,39.401466369628906,41.45000076293945,42.45000076293945,38.95000076293945,41.650001525878906,48000,2020-08-10
2020-08-17,45.6752815246582,48.04999923706055,48.04999923706055,42.0,42.0,26000,2020-08-17
2020-08-24,58.175384521484375,61.20000076293945,61.20000076293945,48.79999923706055,49.650001525878906,36000,2020-08-24
2020-08-31,55.1335334777832,58.0,64.25,55.25,64.25,72000,2020-08-31
2020-09-07,52.23426818847656,54.95000076293945,57.75,53.20000076293945,57.04999923706055,66000,2020-09-07
2020-09-14,51.616390228271484,54.29999923706055,54.29999923706055,51.650001525878906,53.79999923706055,14000,2020-09-14
2020-09-21,50.866943359375,52.29999923706055,54.95000076293945,52.099998474121094,52.900001525878906,16000,2020-09-21
2020-09-28,53.930633544921875,55.45000076293945,55.45000076293945,52.29999923706055,52.29999923706055,6000,2020-09-28
2020-10-05,53.78474426269531,55.29999923706055,55.45000076293945,52.0,55.45000076293945,40000,2020-10-05
2020-10-12,67.83880615234375,69.75,70.0999984741211,58.04999923706055,58.04999923706055,92308,2020-10-12
2020-10-19,65.79634094238281,67.6500015258789,73.19999694824219,63.5,73.19999694824219,60205,2020-10-19
2020-10-26,79.46135711669922,81.69999694824219,84.4000015258789,65.69999694824219,71.0,178119,2020-10-26
2020-11-02,71.43741607666016,73.44999694824219,83.3499984741211,73.0,83.3499984741211,85514,2020-11-02
2020-11-09,69.92990112304688,71.9000015258789,76.5,64.8499984741211,74.9000015258789,81342,2020-11-09
2020-11-16,83.15724182128906,85.5,89.0,71.9000015258789,71.9000015258789,133983,2020-11-16
2020-11-23,84.08121490478516,86.44999694824219,88.8499984741211,78.55000305175781,88.8499984741211,105309,2020-11-23
2020-11-30,95.46062469482422,98.1500015258789,98.1500015258789,86.19999694824219,86.44999694824219,146723,2020-11-30
2020-12-07,104.50579833984375,107.44999694824219,118.9000015258789,99.94999694824219,103.05000305175781,329736,2020-12-07
2020-12-14,111.36263275146484,114.5,117.69999694824219,102.0999984741211,106.0,306613,2020-12-14
2020-12-21,100.90718078613281,103.75,120.19999694824219,101.1500015258789,117.0,191112,2020-12-21
2020-12-28,98.9133529663086,101.69999694824219,110.0,96.3499984741211,105.8499984741211,212460,2020-12-28
2021-01-04,93.80720520019531,96.44999694824219,105.80000305175781,95.0,104.9000015258789,179373,2021-01-04
2021-01-11,88.65243530273438,91.1500015258789,100.0,88.80000305175781,96.9000015258789,190536,2021-01-11
2021-01-18,77.1757583618164,79.3499984741211,92.8499984741211,71.9000015258789,90.55000305175781,318632,2021-01-18
2021-01-25,71.14564514160156,73.1500015258789,83.30000305175781,72.0999984741211,83.30000305175781,94713,2021-01-25
2021-02-01,74.79289245605469,76.9000015258789,77.94999694824219,70.05000305175781,76.44999694824219,91386,2021-02-01
2021-02-08,82.37915802001953,84.69999694824219,84.69999694824219,74.05000305175781,79.19999694824219,154462,2021-02-08
2021-02-15,73.96617889404297,76.05000305175781,85.69999694824219,75.5999984741211,85.0,133705,2021-02-15
2021-02-22,69.44359588623047,71.4000015258789,79.0,70.19999694824219,78.94999694824219,126800,2021-02-22
2021-03-01,70.56208038330078,72.55000305175781,76.0,71.3499984741211,73.94999694824219,58945,2021-03-01
2021-03-08,69.97852325439453,71.94999694824219,74.5,70.55000305175781,74.5,65089,2021-03-08
2021-03-15,66.28263854980469,68.1500015258789,74.4000015258789,65.30000305175781,73.3499984741211,80057,2021-03-15
2021-03-22,64.92101287841797,66.75,71.9000015258789,66.0999984741211,70.94999694824219,72388,2021-03-22
2021-03-29,65.65045928955078,67.5,68.75,63.25,66.75,22020,2021-03-29
2021-04-05,69.10318756103516,71.05000305175781,73.5,64.5,70.8499984741211,51618,2021-04-05
2021-04-12,64.48333740234375,66.30000305175781,72.0,65.0,71.55000305175781,39689,2021-04-12
2021-04-19,69.39496612548828,71.3499984741211,73.0,60.0,66.30000305175781,67750,2021-04-19
2021-04-26,66.57441711425781,68.44999694824219,77.44999694824219,66.25,74.3499984741211,125597,2021-04-26
2021-05-03,68.86003875732422,70.80000305175781,73.0,68.25,71.44999694824219,40525,2021-05-03
2021-05-10,66.91484069824219,68.80000305175781,71.94999694824219,66.0999984741211,69.4000015258789,57131,2021-05-10
2021-05-17,71.14564514160156,73.1500015258789,74.0,68.0,69.8499984741211,91518,2021-05-17
2021-05-24,75.47370910644531,77.5999984741211,82.44999694824219,72.9000015258789,74.4000015258789,191477,2021-05-24
2021-05-31,79.16958618164062,81.4000015258789,83.0,73.0,76.05000305175781,127526,2021-05-31
2021-06-07,81.50382232666016,83.80000305175781,86.94999694824219,79.25,86.94999694824219,209778,2021-06-07
2021-06-14,81.3093032836914,83.5999984741211,94.1500015258789,80.5,87.0999984741211,396853,2021-06-14
2021-06-21,81.69834899902344,84.0,86.5999984741211,80.19999694824219,84.5,94319,2021-06-21
2021-06-28,77.71068572998047,79.9000015258789,85.5999984741211,77.94999694824219,84.55000305175781,98316,2021-06-28
2021-07-05,89.333251953125,91.8499984741211,95.44999694824219,78.05000305175781,80.3499984741211,523136,2021-07-05
2021-07-12,83.400390625,85.75,93.94999694824219,84.5999984741211,93.44999694824219,181958,2021-07-12
2021-07-19,86.36682891845703,88.80000305175781,93.94999694824219,83.55000305175781,85.25,258016,2021-07-19
2021-07-26,83.15724182128906,85.5,90.0,80.0,90.0,128930,2021-07-26
2021-08-02,79.55863952636719,81.80000305175781,90.75,77.3499984741211,86.94999694824219,281142,2021-08-02
2021-08-09,75.47370910644531,77.5999984741211,83.9000015258789,72.0999984741211,83.9000015258789,107507,2021-08-09
2021-08-16,71.48605346679688,73.5,80.44999694824219,73.0,78.05000305175781,42690,2021-08-16
2021-08-23,68.86003875732422,70.80000305175781,76.0,68.1500015258789,75.0,44345,2021-08-23
2021-08-30,74.06344604492188,76.1500015258789,77.0,69.0999984741211,69.0999984741211,55712,2021-08-30
2021-09-06,76.00863647460938,78.1500015258789,81.25,74.55000305175781,75.1500015258789,231724,2021-09-06
2021-09-13,73.57714080810547,75.6500015258789,81.4000015258789,73.55000305175781,78.1500015258789,149092,2021-09-13
2021-09-20,73.58423614501953,74.44999694824219,77.94999694824219,73.0,77.94999694824219,50888,2021-09-20
2021-09-27,72.24993896484375,73.0999984741211,75.0,72.0,74.5,71434,2021-09-27
2021-10-04,72.0522689819336,72.9000015258789,75.5,72.0,72.05000305175781,76079,2021-10-04
2021-10-11,70.71796417236328,71.55000305175781,74.6500015258789,70.5,72.5,85924,2021-10-11
2021-10-18,67.70343017578125,68.5,73.94999694824219,67.5999984741211,73.94999694824219,85992,2021-10-18
2021-10-25,64.09587860107422,64.8499984741211,71.69999694824219,62.70000076293945,71.69999694824219,73064,2021-10-25
2021-11-01,69.68017578125,70.5,71.3499984741211,63.150001525878906,67.8499984741211,78185,2021-11-01
2021-11-08,64.24413299560547,65.0,72.0,63.70000076293945,72.0,119871,2021-11-08
2021-11-15,63.404014587402344,64.1500015258789,66.55000305175781,61.70000076293945,65.0,46991,2021-11-15
2021-11-22,60.290645599365234,61.0,64.9000015258789,57.29999923706055,64.25,61635,2021-11-22
2021-11-29,59.89529800415039,60.599998474121094,62.900001525878906,57.95000076293945,58.599998474121094,61512,2021-11-29
2021-12-06,60.8836669921875,61.599998474121094,63.75,58.79999923706055,62.900001525878906,59108,2021-12-06
2021-12-13,73.43598937988281,74.30000305175781,86.9000015258789,61.04999923706055,63.849998474121094,758834,2021-12-13
2021-12-20,72.4476089477539,73.30000305175781,76.5,68.25,71.05000305175781,232573,2021-12-20
2021-12-27,71.16272735595703,72.0,75.9000015258789,71.0,71.0999984741211,92206,2021-12-27
2022-01-03,70.42144775390625,71.25,74.6500015258789,70.0,73.9000015258789,141324,2022-01-03
2022-01-10,75.3633041381836,76.25,83.80000305175781,69.0999984741211,73.94999694824219,897305,2022-01-10
2022-01-17,77.24121856689453,78.1500015258789,90.75,74.0999984741211,74.0999984741211,840647,2022-01-17
2022-01-24,72.29935455322266,73.1500015258789,78.1500015258789,67.8499984741211,76.1500015258789,185630,2022-01-24
2022-01-31,81.83714294433594,82.80000305175781,87.0,72.69999694824219,76.0,363546,2022-01-31
2022-02-07,78.08132934570312,79.0,85.0,77.3499984741211,83.94999694824219,178055,2022-02-07
2022-02-14,78.92144775390625,79.8499984741211,80.6500015258789,73.69999694824219,78.0,144985,2022-02-14
