Date,Adj Close_GTECJAINX.NS,Close_GTECJAINX.NS,High_GTECJAINX.NS,Low_GTECJAINX.NS,Open_GTECJAINX.NS,Volume_GTECJAINX.NS,Date
2023-09-04,72.5999984741211,72.5999984741211,72.5999984741211,68.55000305175781,68.55000305175781,28725,2023-09-04
2023-09-11,73.80000305175781,73.80000305175781,73.80000305175781,70.55000305175781,71.1500015258789,8665,2023-09-11
2023-09-18,78.25,78.25,79.75,74.5,74.5,99179,2023-09-18
2023-09-25,91.3499984741211,91.3499984741211,91.3499984741211,76.0,80.1500015258789,262563,2023-09-25
2023-10-02,98.55000305175781,98.55000305175781,101.6500015258789,92.0,95.5,76324,2023-10-02
2023-10-09,103.0,103.0,104.0,96.55000305175781,99.0,9932,2023-10-09
2023-10-16,101.0,101.0,103.5,100.8499984741211,103.5,4163,2023-10-16
2023-10-23,99.0,99.0,101.0,99.0,101.0,4759,2023-10-23
2023-10-30,93.1500015258789,93.1500015258789,97.05000305175781,91.3499984741211,97.05000305175781,13264,2023-10-30
2023-11-06,94.19999694824219,94.19999694824219,101.5999984741211,91.25,95.0,3168,2023-11-06
2023-11-13,91.5,91.5,103.80000305175781,91.5,96.0999984741211,8847,2023-11-13
2023-11-20,93.5999984741211,93.5999984741211,96.05000305175781,84.75,91.5,5702,2023-11-20
2023-11-27,95.8499984741211,95.8499984741211,97.0,91.0,93.5999984741211,3157,2023-11-27
2023-12-04,93.69999694824219,93.69999694824219,101.0,91.05000305175781,93.25,4110,2023-12-04
2023-12-11,93.05000305175781,93.05000305175781,102.0,91.6500015258789,93.69999694824219,3219,2023-12-11
2023-12-18,93.5,93.5,100.80000305175781,86.0,93.05000305175781,2705,2023-12-18
2023-12-25,121.5,121.5,140.64999389648438,96.0,97.0,228633,2023-12-25
2024-01-01,106.1500015258789,106.1500015258789,119.0,99.0,119.0,37561,2024-01-01
2024-01-08,94.19999694824219,94.19999694824219,104.94999694824219,92.5999984741211,101.0,11657,2024-01-08
2024-01-15,90.0,90.0,97.25,85.30000305175781,94.19999694824219,23635,2024-01-15
2024-01-22,80.0,80.0,90.0,79.69999694824219,90.0,3898,2024-01-22
2024-01-29,77.5999984741211,77.5999984741211,78.4000015258789,70.80000305175781,76.0,37630,2024-01-29
2024-02-05,85.5,85.5,94.5,79.0,81.44999694824219,6444,2024-02-05
2024-02-12,92.4000015258789,92.4000015258789,96.5,81.25,85.5,8376,2024-02-12
2024-02-19,85.0,85.0,95.44999694824219,77.69999694824219,87.80000305175781,10643,2024-02-19
2024-02-26,82.5,82.5,89.0999984741211,80.3499984741211,86.0,4316,2024-02-26
2024-03-04,85.9000015258789,85.9000015258789,86.69999694824219,78.69999694824219,82.5,14067,2024-03-04
2024-03-11,72.30000305175781,72.30000305175781,90.1500015258789,72.1500015258789,85.9000015258789,12532,2024-03-11
2024-03-18,71.80000305175781,71.80000305175781,75.9000015258789,68.4000015258789,72.30000305175781,15432,2024-03-18
2024-03-25,72.44999694824219,72.44999694824219,76.5,72.19999694824219,75.3499984741211,6660,2024-03-25
2024-04-01,89.5,89.5,90.9000015258789,72.44999694824219,72.44999694824219,8887,2024-04-01
2024-04-08,87.19999694824219,87.19999694824219,93.94999694824219,85.05000305175781,89.9000015258789,6469,2024-04-08
2024-04-15,85.44999694824219,85.44999694824219,85.44999694824219,85.44999694824219,85.44999694824219,2336,2024-04-15
2024-04-22,83.44999694824219,83.44999694824219,85.44999694824219,83.44999694824219,85.44999694824219,260,2024-04-22
2024-04-29,78.3499984741211,78.3499984741211,83.4000015258789,78.3499984741211,83.4000015258789,10638,2024-04-29
2024-05-06,73.80000305175781,73.80000305175781,78.3499984741211,73.80000305175781,78.3499984741211,1618,2024-05-06
2024-05-13,74.30000305175781,74.30000305175781,74.3499984741211,67.5,73.80000305175781,15981,2024-05-13
2024-05-20,79.3499984741211,79.3499984741211,83.0,75.80000305175781,75.80000305175781,6657,2024-05-20
2024-05-27,74.5,74.5,79.05000305175781,74.5,79.05000305175781,1421,2024-05-27
2024-06-03,70.5999984741211,70.5999984741211,74.5999984741211,70.5999984741211,74.5999984741211,1921,2024-06-03
2024-06-10,66.55000305175781,66.55000305175781,69.19999694824219,66.44999694824219,69.19999694824219,7402,2024-06-10
2024-06-17,66.5199966430664,66.5199966430664,66.55000305175781,65.20999908447266,66.55000305175781,4333,2024-06-17
2024-06-24,67.0,67.0,69.19999694824219,67.0,67.8499984741211,5571,2024-06-24
2024-07-01,84.88999938964844,84.88999938964844,84.88999938964844,70.0,70.0,26261,2024-07-01
2024-07-08,77.5,77.5,86.58999633789062,76.5999984741211,84.0,18180,2024-07-08
2024-07-15,80.0,80.0,82.94999694824219,73.0999984741211,81.3499984741211,8698,2024-07-15
2024-07-22,78.79000091552734,78.79000091552734,83.19999694824219,73.0,83.19999694824219,3836,2024-07-22
2024-07-29,75.36000061035156,75.36000061035156,81.9000015258789,72.0,79.80000305175781,3968,2024-07-29
2024-08-05,67.0,67.0,75.25,66.0,75.25,3227,2024-08-05
2024-08-12,65.0,65.0,70.30000305175781,63.0,68.3499984741211,5127,2024-08-12
2024-08-19,63.95000076293945,63.95000076293945,66.30000305175781,59.09000015258789,66.30000305175781,32464,2024-08-19
2024-08-26,65.83000183105469,65.83000183105469,67.45999908447266,62.70000076293945,63.95000076293945,4498,2024-08-26
2024-09-02,61.20000076293945,61.20000076293945,69.0,58.599998474121094,65.83000183105469,14200,2024-09-02
