Date,Adj Close_DOLATALGO.NS,Close_DOLATALGO.NS,High_DOLATALGO.NS,Low_DOLATALGO.NS,Open_DOLATALGO.NS,Volume_DOLATALGO.NS,Date
2020-07-13,53.08796310424805,53.79999923706055,55.0,48.599998474121094,50.20000076293945,793632,2020-07-13
2020-07-20,50.7197265625,51.400001525878906,54.5,50.5,52.5,373138,2020-07-20
2020-07-27,46.87134552001953,47.5,51.849998474121094,46.5,51.849998474121094,214997,2020-07-27
2020-08-03,56.14693832397461,56.900001525878906,57.0,46.0,49.79999923706055,1474831,2020-08-03
2020-08-10,54.46944046020508,55.20000076293945,57.0,54.400001525878906,57.0,637257,2020-08-10
2020-08-17,58.31782531738281,59.099998474121094,60.5,54.0,55.25,4545830,2020-08-17
2020-08-24,56.59098434448242,57.349998474121094,64.4000015258789,56.54999923706055,60.5,1670110,2020-08-24
2020-08-31,52.693267822265625,53.400001525878906,57.349998474121094,51.400001525878906,57.349998474121094,604107,2020-08-31
2020-09-07,51.112037658691406,51.650001525878906,54.400001525878906,50.5,53.400001525878906,192033,2020-09-07
2020-09-14,51.75526809692383,52.29999923706055,53.900001525878906,51.650001525878906,52.20000076293945,161843,2020-09-14
2020-09-21,47.30213928222656,47.79999923706055,53.900001525878906,46.25,53.900001525878906,252427,2020-09-21
2020-09-28,50.61724853515625,51.150001525878906,52.45000076293945,47.29999923706055,47.29999923706055,164482,2020-09-28
2020-10-05,48.34120178222656,48.849998474121094,52.0,48.54999923706055,51.75,239275,2020-10-05
2020-10-12,46.16411590576172,46.650001525878906,52.45000076293945,45.5,52.45000076293945,236590,2020-10-12
2020-10-19,46.51047134399414,47.0,49.5,46.349998474121094,49.5,241697,2020-10-19
2020-10-26,45.52088165283203,46.0,48.0,45.20000076293945,47.900001525878906,141738,2020-10-26
2020-11-02,43.4427604675293,43.900001525878906,46.599998474121094,41.79999923706055,46.599998474121094,206779,2020-11-02
2020-11-09,47.05474090576172,47.54999923706055,47.900001525878906,44.0,44.400001525878906,352845,2020-11-09
2020-11-16,46.658912658691406,47.150001525878906,50.400001525878906,46.099998474121094,46.650001525878906,372191,2020-11-16
2020-11-23,46.16411590576172,46.650001525878906,48.75,45.95000076293945,48.75,246805,2020-11-23
2020-11-30,47.94536590576172,48.45000076293945,49.70000076293945,46.20000076293945,46.650001525878906,453280,2020-11-30
2020-12-07,45.9661979675293,46.45000076293945,49.900001525878906,45.95000076293945,49.900001525878906,543065,2020-12-07
2020-12-14,55.71360778808594,56.29999923706055,61.400001525878906,45.75,46.150001525878906,2971202,2020-12-14
2020-12-21,52.39849853515625,52.95000076293945,58.0,50.849998474121094,56.0,889314,2020-12-21
2020-12-28,56.90110778808594,57.5,62.04999923706055,52.0,53.0,1671806,2020-12-28
2021-01-04,58.9792366027832,59.599998474121094,63.0,57.0,58.20000076293945,2232718,2021-01-04
2021-01-11,60.3151741027832,60.95000076293945,69.5,59.900001525878906,60.0,4440525,2021-01-11
2021-01-18,56.01048278808594,56.599998474121094,62.900001525878906,55.599998474121094,62.0,930049,2021-01-18
2021-01-25,56.01048278808594,56.599998474121094,59.29999923706055,55.20000076293945,57.54999923706055,1307760,2021-01-25
2021-02-01,57.44538116455078,58.04999923706055,61.0,54.79999923706055,57.400001525878906,1451261,2021-02-01
2021-02-08,57.24746322631836,57.849998474121094,61.0,57.0,59.900001525878906,1604799,2021-02-08
2021-02-15,54.77349853515625,55.349998474121094,59.25,55.150001525878906,58.0,1136985,2021-02-15
2021-02-22,53.487037658691406,54.04999923706055,56.650001525878906,52.54999923706055,56.29999923706055,3216396,2021-02-22
2021-03-01,60.46361541748047,61.099998474121094,62.5,51.349998474121094,54.150001525878906,3425913,2021-03-01
2021-03-08,56.653717041015625,57.25,66.9000015258789,56.04999923706055,62.0,3562247,2021-03-08
