Date,Adj Close_ZENSARTECH.NS,Close_ZENSARTECH.NS,High_ZENSARTECH.NS,Low_ZENSARTECH.NS,Open_ZENSARTECH.NS,Volume_ZENSARTECH.NS,Date
2020-07-13,128.9157257080078,138.14999389648438,141.6999969482422,123.05000305175781,125.0,2055153,2020-07-13
2020-07-20,134.74795532226562,144.39999389648438,149.85000610351562,137.0,138.89999389648438,3199185,2020-07-20
2020-07-27,149.258544921875,159.9499969482422,170.25,139.0,145.0,3197014,2020-07-27
2020-08-03,160.87637329101562,172.39999389648438,181.39999389648438,160.0,160.0,1644771,2020-08-03
2020-08-10,161.85617065429688,173.4499969482422,176.9499969482422,170.3000030517578,175.64999389648438,1765817,2020-08-10
2020-08-17,167.54843139648438,179.5500030517578,186.0,171.64999389648438,175.8000030517578,1591731,2020-08-17
2020-08-24,164.65565490722656,176.4499969482422,182.85000610351562,175.0,181.10000610351562,2320362,2020-08-24
2020-08-31,159.42999267578125,170.85000610351562,180.64999389648438,162.1999969482422,177.0,885024,2020-08-31
2020-09-07,161.80950927734375,173.39999389648438,176.35000610351562,160.5,172.89999389648438,1201471,2020-09-07
2020-09-14,173.8006134033203,186.25,197.6999969482422,173.64999389648438,175.5,1816903,2020-09-14
2020-09-21,184.8585205078125,198.10000610351562,211.6999969482422,171.9499969482422,187.1999969482422,3443550,2020-09-21
2020-09-28,179.4928741455078,192.35000610351562,200.5,188.4499969482422,198.10000610351562,799003,2020-09-28
2020-10-05,177.71987915039062,190.4499969482422,200.3000030517578,189.0,197.0,1662589,2020-10-05
2020-10-12,170.48788452148438,182.6999969482422,198.39999389648438,176.5500030517578,191.6999969482422,1316013,2020-10-12
2020-10-19,176.7400360107422,189.39999389648438,192.5,182.0,182.25,615771,2020-10-19
2020-10-26,165.96206665039062,177.85000610351562,194.0,176.1999969482422,189.39999389648438,806786,2020-10-26
2020-11-02,172.02760314941406,184.35000610351562,186.8000030517578,172.3000030517578,177.0,437740,2020-11-02
2020-11-09,180.65933227539062,193.60000610351562,197.6999969482422,181.5,188.0,838867,2020-11-09
2020-11-16,194.79666137695312,208.75,210.0,192.5,196.6999969482422,993403,2020-11-16
2020-11-23,212.47996520996094,227.6999969482422,237.4499969482422,209.0,209.0,2665878,2020-11-23
2020-11-30,204.2215576171875,218.85000610351562,234.75,213.3000030517578,227.6999969482422,581997,2020-11-30
2020-12-07,237.62860107421875,254.64999389648438,267.0,216.3000030517578,221.8000030517578,3197299,2020-12-07
2020-12-14,222.27813720703125,238.1999969482422,257.79998779296875,234.4499969482422,257.79998779296875,921505,2020-12-14
2020-12-21,220.45846557617188,236.25,243.0,200.0,242.6999969482422,1244341,2020-12-21
2020-12-28,226.71063232421875,242.9499969482422,247.8000030517578,234.8000030517578,240.89999389648438,873389,2020-12-28
2021-01-04,222.13816833496094,238.0500030517578,245.5,234.0,242.9499969482422,812747,2021-01-04
2021-01-11,220.5518035888672,236.35000610351562,245.0,234.0,240.5,685049,2021-01-11
2021-01-18,224.98426818847656,241.10000610351562,248.5,230.5,237.0,2094027,2021-01-18
2021-01-25,219.99188232421875,235.75,246.3000030517578,232.8000030517578,243.85000610351562,570375,2021-01-25
2021-02-01,222.9368133544922,237.6999969482422,241.1999969482422,223.39999389648438,235.0,896834,2021-02-01
2021-02-08,214.5895538330078,228.8000030517578,239.4499969482422,225.0,238.9499969482422,458812,2021-02-08
2021-02-15,236.4893035888672,252.14999389648438,259.0,227.5500030517578,229.39999389648438,3261074,2021-02-15
2021-02-22,276.9124755859375,295.25,309.0,254.0,254.60000610351562,8787595,2021-02-22
