Date,Adj Close_HIRECT.NS,Close_HIRECT.NS,High_HIRECT.NS,Low_HIRECT.NS,Open_HIRECT.NS,Volume_HIRECT.NS,Date
2020-07-13,116.82135009765625,118.30000305175781,119.6500015258789,112.0,117.4000015258789,48843,2020-07-13
2020-07-20,116.62384796142578,118.0999984741211,121.94999694824219,115.69999694824219,120.0,49046,2020-07-20
2020-07-27,110.64946746826172,112.05000305175781,121.5,108.5,117.19999694824219,109747,2020-07-27
2020-08-03,116.62384796142578,118.0999984741211,123.0,110.0999984741211,110.0999984741211,74866,2020-08-03
2020-08-10,144.3726043701172,146.1999969482422,148.5,114.94999694824219,120.05000305175781,554137,2020-08-10
2020-08-17,142.99012756347656,144.8000030517578,166.25,131.10000610351562,154.0,951854,2020-08-17
2020-08-24,134.64573669433594,136.35000610351562,148.0,135.5,147.8000030517578,188037,2020-08-24
2020-08-31,128.22698974609375,129.85000610351562,135.75,124.3499984741211,134.75,95537,2020-08-31
2020-09-07,127.73323059082031,129.35000610351562,132.14999389648438,120.05000305175781,128.0500030517578,50447,2020-09-07
2020-09-14,127.92889404296875,128.75,132.5,126.0,126.4000015258789,43812,2020-09-14
2020-09-21,121.32130432128906,122.0999984741211,131.0,115.5,131.0,74778,2020-09-21
2020-09-28,123.40791320800781,124.19999694824219,128.1999969482422,121.05000305175781,122.0999984741211,22382,2020-09-28
2020-10-05,125.941650390625,126.75,137.1999969482422,125.3499984741211,128.35000610351562,108665,2020-10-05
2020-10-12,120.82449340820312,121.5999984741211,139.0,117.5,130.0,43737,2020-10-12
2020-10-19,123.95440673828125,124.75,127.0,120.30000305175781,120.30000305175781,26332,2020-10-19
2020-10-26,121.2219467163086,122.0,129.39999389648438,120.55000305175781,126.0,25497,2020-10-26
2020-11-02,124.20281982421875,125.0,128.5,121.05000305175781,124.6500015258789,79909,2020-11-02
2020-11-09,128.37603759765625,129.1999969482422,134.8000030517578,124.0,126.69999694824219,126481,2020-11-09
2020-11-16,129.66773986816406,130.5,134.5500030517578,123.80000305175781,127.05000305175781,104894,2020-11-16
2020-11-23,143.7274932861328,144.64999389648438,153.89999389648438,128.5,129.25,396032,2020-11-23
2020-11-30,142.634521484375,143.5500030517578,149.75,141.10000610351562,144.64999389648438,93682,2020-11-30
2020-12-07,148.64593505859375,149.60000610351562,163.5,145.5,148.0,393732,2020-12-07
2020-12-14,148.7452850341797,149.6999969482422,158.0,140.5,150.5,182103,2020-12-14
2020-12-21,143.08164978027344,144.0,158.0,131.5500030517578,150.0,265794,2020-12-21
2020-12-28,150.33509826660156,151.3000030517578,157.0,143.0,146.5,191754,2020-12-28
2021-01-04,166.382080078125,167.4499969482422,180.14999389648438,149.10000610351562,153.5500030517578,2480591,2021-01-04
2021-01-11,157.19107055664062,158.1999969482422,171.85000610351562,157.14999389648438,169.3000030517578,440340,2021-01-11
2021-01-18,157.78726196289062,158.8000030517578,167.89999389648438,152.1999969482422,159.75,230280,2021-01-18
2021-01-25,152.7197723388672,153.6999969482422,163.5500030517578,150.3000030517578,158.8000030517578,163113,2021-01-25
2021-02-01,151.62680053710938,152.60000610351562,158.5,149.0,153.5,127178,2021-02-01
2021-02-08,143.7274932861328,144.64999389648438,163.0,143.9499969482422,154.0,238647,2021-02-08
2021-02-15,140.05108642578125,140.9499969482422,146.0,140.0,145.4499969482422,116157,2021-02-15
2021-02-22,135.77850341796875,136.64999389648438,162.0,134.75,144.0,68421,2021-02-22
2021-03-01,140.29949951171875,141.1999969482422,149.60000610351562,136.0,136.6999969482422,235126,2021-03-01
2021-03-08,137.07022094726562,137.9499969482422,146.0,137.5,145.0,64412,2021-03-08
2021-03-15,128.37603759765625,129.1999969482422,139.39999389648438,121.1500015258789,137.5,101891,2021-03-15
2021-03-22,121.17225646972656,121.94999694824219,133.6999969482422,121.1500015258789,130.85000610351562,69793,2021-03-22
2021-03-29,124.45121765136719,125.25,126.0,118.05000305175781,121.94999694824219,67161,2021-03-29
2021-04-05,128.37603759765625,129.1999969482422,130.85000610351562,122.19999694824219,128.39999389648438,58443,2021-04-05
2021-04-12,126.28942108154297,127.0999984741211,131.39999389648438,120.3499984741211,124.25,73994,2021-04-12
2021-04-19,119.97991180419922,120.75,128.5,120.0999984741211,128.39999389648438,39384,2021-04-19
2021-04-26,121.61940002441406,122.4000015258789,126.8499984741211,116.94999694824219,121.19999694824219,75798,2021-04-26
2021-05-03,128.82315063476562,129.64999389648438,133.0,120.0,122.4000015258789,156643,2021-05-03
2021-05-10,136.02691650390625,136.89999389648438,137.9499969482422,126.19999694824219,131.5,140689,2021-05-10
2021-05-17,136.0766143798828,136.9499969482422,150.9499969482422,133.1999969482422,137.9499969482422,465138,2021-05-17
2021-05-24,138.4613037109375,139.35000610351562,154.3000030517578,137.0,138.89999389648438,574591,2021-05-24
2021-05-31,147.8510284423828,148.8000030517578,152.0,133.4499969482422,142.64999389648438,296084,2021-05-31
2021-06-07,169.61134338378906,170.6999969482422,173.60000610351562,147.0,149.1999969482422,1326081,2021-06-07
2021-06-14,150.4344482421875,151.39999389648438,177.0,146.4499969482422,170.75,313714,2021-06-14
2021-06-21,158.43310546875,159.4499969482422,165.0,149.4499969482422,150.0,152057,2021-06-21
2021-06-28,156.39617919921875,157.39999389648438,164.0,153.0,159.0,135926,2021-06-28
2021-07-05,159.4763946533203,160.5,163.5,154.25,156.5500030517578,101167,2021-07-05
2021-07-12,168.3693389892578,169.4499969482422,175.0,158.25,163.0,289617,2021-07-12
2021-07-19,156.39617919921875,157.39999389648438,170.1999969482422,154.0,169.0,102203,2021-07-19
2021-07-26,158.1846923828125,159.1999969482422,164.64999389648438,150.3000030517578,160.0,127646,2021-07-26
2021-08-02,159.22801208496094,160.25,169.0,153.9499969482422,162.60000610351562,221286,2021-08-02
2021-08-09,161.1665496826172,161.8000030517578,167.10000610351562,144.0,160.64999389648438,233398,2021-08-09
2021-08-16,156.18612670898438,156.8000030517578,167.5,147.25,158.60000610351562,231179,2021-08-16
2021-08-23,185.8196563720703,186.5500030517578,209.89999389648438,151.8000030517578,157.5,2459149,2021-08-23
2021-08-30,187.6623992919922,188.39999389648438,209.39999389648438,175.14999389648438,185.10000610351562,782256,2021-08-30
2021-09-06,205.29312133789062,206.10000610351562,233.0,185.14999389648438,188.39999389648438,1059044,2021-09-06
2021-09-13,197.22483825683594,198.0,219.0500030517578,185.5,207.0,356273,2021-09-13
2021-09-20,196.32835388183594,197.10000610351562,215.35000610351562,187.89999389648438,199.0,245194,2021-09-20
2021-09-27,190.94949340820312,191.6999969482422,203.0,190.0,193.39999389648438,74597,2021-09-27
