Date,Adj Close_DEN.NS,Close_DEN.NS,High_DEN.NS,Low_DEN.NS,Open_DEN.NS,Volume_DEN.NS,Date
2020-07-13,90.5999984741211,90.5999984741211,96.8499984741211,78.55000305175781,90.80000305175781,5198092,2020-07-13
2020-07-20,97.0999984741211,97.0999984741211,115.05000305175781,92.5,92.9000015258789,8502509,2020-07-20
2020-07-27,78.30000305175781,78.30000305175781,96.0999984741211,77.94999694824219,92.25,2556562,2020-07-27
2020-08-03,83.3499984741211,83.3499984741211,88.0999984741211,74.5,76.0,1439195,2020-08-03
2020-08-10,81.94999694824219,81.94999694824219,86.0,78.69999694824219,83.0,919675,2020-08-10
2020-08-17,82.69999694824219,82.69999694824219,87.4000015258789,81.05000305175781,82.80000305175781,826106,2020-08-17
2020-08-24,79.8499984741211,79.8499984741211,84.0,79.6500015258789,82.69999694824219,449035,2020-08-24
2020-08-31,76.4000015258789,76.4000015258789,81.19999694824219,74.0,81.0,518869,2020-08-31
2020-09-07,73.5,73.5,77.9000015258789,69.0999984741211,77.9000015258789,361249,2020-09-07
2020-09-14,74.5999984741211,74.5999984741211,78.19999694824219,73.0,74.0,336000,2020-09-14
2020-09-21,67.69999694824219,67.69999694824219,74.25,66.5,74.0,253645,2020-09-21
2020-09-28,72.0999984741211,72.0999984741211,74.9000015258789,68.0999984741211,68.80000305175781,340143,2020-09-28
2020-10-05,81.4000015258789,81.4000015258789,84.94999694824219,70.5,73.0999984741211,1381638,2020-10-05
2020-10-12,78.0,78.0,94.4000015258789,77.5,83.5,5513103,2020-10-12
2020-10-19,73.4000015258789,73.4000015258789,80.9000015258789,70.94999694824219,78.19999694824219,962656,2020-10-19
2020-10-26,71.05000305175781,71.05000305175781,76.4000015258789,70.05000305175781,73.94999694824219,581703,2020-10-26
2020-11-02,69.3499984741211,69.3499984741211,71.6500015258789,66.19999694824219,70.0,390253,2020-11-02
2020-11-09,69.25,69.25,70.44999694824219,68.0999984741211,70.0,340069,2020-11-09
2020-11-16,71.05000305175781,71.05000305175781,79.25,68.0999984741211,68.44999694824219,1991578,2020-11-16
2020-11-23,69.94999694824219,69.94999694824219,74.0,68.0,71.9000015258789,830348,2020-11-23
2020-11-30,69.9000015258789,69.9000015258789,71.94999694824219,69.5,69.94999694824219,903171,2020-11-30
2020-12-07,68.9000015258789,68.9000015258789,71.5999984741211,68.55000305175781,70.05000305175781,2379998,2020-12-07
2020-12-14,67.5,67.5,70.94999694824219,67.25,69.4000015258789,2026092,2020-12-14
