Date,Adj Close_ATAM.NS,Close_ATAM.NS,High_ATAM.NS,Low_ATAM.NS,Open_ATAM.NS,Volume_ATAM.NS,Date
2023-05-08,236.79986572265625,240.0,270.0,211.0,240.0,457349,2023-05-08
2023-05-15,235.22119140625,238.39999389648438,252.0,223.60000610351562,239.9499969482422,317408,2023-05-15
2023-05-22,226.63719177246094,229.6999969482422,241.0,218.0500030517578,241.0,139384,2023-05-22
2023-05-29,222.2465362548828,225.25,240.0,218.25,234.89999389648438,50200,2023-05-29
2023-06-05,215.43853759765625,218.35000610351562,236.5,215.0,230.0,73539,2023-06-05
2023-06-12,243.80519104003906,247.10000610351562,247.10000610351562,215.0,220.0,81046,2023-06-12
2023-06-19,228.16653442382812,231.25,259.0,228.0500030517578,255.0,53730,2023-06-19
2023-06-26,218.0038604736328,220.9499969482422,237.0,217.0,235.0,38103,2023-06-26
2023-07-03,217.80653381347656,220.75,228.89999389648438,219.0,228.89999389648438,31136,2023-07-03
2023-07-10,209.27186584472656,212.10000610351562,226.3000030517578,209.0,220.75,29348,2023-07-10
2023-07-17,204.7332000732422,207.5,222.60000610351562,203.0,222.60000610351562,34821,2023-07-17
2023-07-24,196.29721069335938,198.9499969482422,208.9499969482422,194.39999389648438,207.60000610351562,69839,2023-07-24
2023-07-31,211.98521423339844,214.85000610351562,219.25,201.89999389648438,201.9499969482422,36572,2023-07-31
2023-08-07,208.67987060546875,211.5,219.0,200.1999969482422,214.85000610351562,30903,2023-08-07
2023-08-14,189.63722229003906,192.1999969482422,211.39999389648438,182.35000610351562,211.35000610351562,84765,2023-08-14
2023-08-21,195.35987854003906,198.0,211.39999389648438,188.25,194.9499969482422,54526,2023-08-21
2023-08-28,185.59188842773438,188.10000610351562,202.0,186.0,202.0,225384,2023-08-28
2023-09-04,179.5238800048828,181.9499969482422,193.0,178.85000610351562,188.10000610351562,129053,2023-09-04
2023-09-11,175.0345458984375,177.39999389648438,186.0,169.5,184.9499969482422,103480,2023-09-11
2023-09-18,178.68524169921875,181.10000610351562,184.60000610351562,174.14999389648438,182.9499969482422,41345,2023-09-18
2023-09-25,177.77145385742188,178.64999389648438,185.8000030517578,173.75,185.8000030517578,40022,2023-09-25
2023-10-02,179.0153045654297,179.89999389648438,186.25,174.10000610351562,178.64999389648438,66373,2023-10-02
2023-10-09,178.0202178955078,178.89999389648438,195.5,172.5,180.5500030517578,258029,2023-10-09
2023-10-16,169.5122833251953,170.35000610351562,196.75,170.0,179.0,356161,2023-10-16
2023-10-23,164.8851318359375,165.6999969482422,179.9499969482422,162.10000610351562,179.9499969482422,59634,2023-10-23
2023-10-30,161.2530975341797,162.0500030517578,172.0,158.10000610351562,172.0,63708,2023-10-30
