Date,Adj Close_MICEL.NS,Close_MICEL.NS,High_MICEL.NS,Low_MICEL.NS,Open_MICEL.NS,Volume_MICEL.NS,Date
2021-11-22,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,0,2021-11-22
2021-11-29,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,0,2021-11-29
2021-12-06,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,0,2021-12-06
2021-12-13,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,0,2021-12-13
2021-12-20,17.950000762939453,17.950000762939453,17.950000762939453,5.199999809265137,5.199999809265137,131705,2021-12-20
2021-12-27,22.700000762939453,22.700000762939453,22.700000762939453,18.799999237060547,18.799999237060547,141405,2021-12-27
2022-01-03,33.150001525878906,33.150001525878906,33.150001525878906,23.149999618530273,24.950000762939453,2864971,2022-01-03
2022-01-10,31.600000381469727,31.600000381469727,38.29999923706055,31.600000381469727,34.79999923706055,3297527,2022-01-10
2022-01-17,29.5,29.5,33.79999923706055,27.100000381469727,30.049999237060547,1940609,2022-01-17
2022-01-24,24.100000381469727,24.100000381469727,29.0,24.100000381469727,28.049999237060547,746121,2022-01-24
2022-01-31,22.600000381469727,22.600000381469727,22.950000762939453,20.75,22.899999618530273,1254270,2022-01-31
2022-02-07,19.5,19.5,23.25,17.700000762939453,23.049999237060547,714427,2022-02-07
2022-02-14,21.200000762939453,21.200000762939453,23.600000381469727,20.450000762939453,20.450000762939453,782237,2022-02-14
2022-02-21,17.549999237060547,17.549999237060547,21.649999618530273,16.899999618530273,20.200000762939453,344193,2022-02-21
2022-02-28,18.200000762939453,18.200000762939453,19.200000762939453,16.549999237060547,17.350000381469727,267137,2022-02-28
2022-03-07,20.0,20.0,20.0,17.0,18.75,252699,2022-03-07
2022-03-14,22.149999618530273,22.149999618530273,22.950000762939453,20.799999237060547,20.899999618530273,374433,2022-03-14
2022-03-21,19.25,19.25,22.799999237060547,19.149999618530273,21.25,637009,2022-03-21
2022-03-28,17.0,17.0,20.200000762939453,16.600000381469727,19.899999618530273,1029660,2022-03-28
2022-04-04,18.700000762939453,18.700000762939453,19.700000762939453,16.149999618530273,17.700000762939453,1356412,2022-04-04
2022-04-11,17.899999618530273,17.899999618530273,19.450000762939453,17.549999237060547,19.450000762939453,455949,2022-04-11
2022-04-18,17.649999618530273,17.649999618530273,18.5,17.149999618530273,18.5,623967,2022-04-18
2022-04-25,17.600000381469727,17.600000381469727,19.399999618530273,17.25,17.799999237060547,1357180,2022-04-25
2022-05-02,16.950000762939453,16.950000762939453,18.75,16.600000381469727,17.850000381469727,747966,2022-05-02
2022-05-09,14.850000381469727,14.850000381469727,17.200000762939453,13.899999618530273,16.75,635391,2022-05-09
2022-05-16,16.100000381469727,16.100000381469727,17.100000381469727,15.0,15.5,442940,2022-05-16
2022-05-23,15.899999618530273,15.899999618530273,17.200000762939453,15.449999809265137,16.0,490941,2022-05-23
2022-05-30,16.75,16.75,17.899999618530273,16.0,16.649999618530273,540373,2022-05-30
2022-06-06,16.149999618530273,16.149999618530273,17.5,15.25,16.75,349246,2022-06-06
2022-06-13,15.449999809265137,15.449999809265137,16.899999618530273,14.699999809265137,16.0,316942,2022-06-13
2022-06-20,14.949999809265137,14.949999809265137,15.850000381469727,14.0,15.600000381469727,208161,2022-06-20
2022-06-27,14.449999809265137,14.449999809265137,15.600000381469727,14.25,15.449999809265137,217115,2022-06-27
2022-07-04,14.449999809265137,14.449999809265137,15.300000190734863,13.899999618530273,14.449999809265137,177783,2022-07-04
2022-07-11,13.399999618530273,13.399999618530273,14.850000381469727,13.050000190734863,14.449999809265137,491563,2022-07-11
2022-07-18,12.25,12.25,13.75,12.0,13.5,533869,2022-07-18
2022-07-25,12.399999618530273,12.399999618530273,13.449999809265137,11.699999809265137,11.699999809265137,414079,2022-07-25
2022-08-01,13.350000381469727,13.350000381469727,13.350000381469727,12.300000190734863,12.75,350256,2022-08-01
2022-08-08,16.149999618530273,16.149999618530273,16.149999618530273,14.0,14.0,542951,2022-08-08
2022-08-15,16.950000762939453,16.950000762939453,16.950000762939453,16.149999618530273,16.149999618530273,84767,2022-08-15
2022-08-22,16.149999618530273,16.149999618530273,16.149999618530273,16.149999618530273,16.149999618530273,24158,2022-08-22
2022-08-29,15.350000381469727,15.350000381469727,15.350000381469727,15.350000381469727,15.350000381469727,8789,2022-08-29
2022-09-05,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,30286,2022-09-05
2022-09-12,13.899999618530273,13.899999618530273,13.899999618530273,13.899999618530273,13.899999618530273,58441,2022-09-12
2022-09-19,13.25,13.25,13.25,13.25,13.25,94734,2022-09-19
2022-09-26,12.600000381469727,12.600000381469727,12.600000381469727,12.600000381469727,12.600000381469727,13975,2022-09-26
2022-10-03,13.850000381469727,13.850000381469727,13.850000381469727,11.399999618530273,12.0,544748,2022-10-03
2022-10-10,11.949999809265137,11.949999809265137,14.5,11.550000190734863,14.149999618530273,586921,2022-10-10
2022-10-17,11.600000381469727,11.600000381469727,12.800000190734863,11.5,12.199999809265137,401651,2022-10-17
2022-10-24,11.800000190734863,11.800000190734863,12.300000190734863,11.199999809265137,11.850000381469727,164118,2022-10-24
2022-10-31,11.0,11.0,12.149999618530273,10.850000381469727,11.75,440216,2022-10-31
2022-11-07,11.399999618530273,11.399999618530273,12.0,10.949999809265137,11.399999618530273,554233,2022-11-07
2022-11-14,11.199999809265137,11.199999809265137,11.949999809265137,11.0,11.0,299444,2022-11-14
2022-11-21,11.350000381469727,11.350000381469727,11.75,10.949999809265137,11.449999809265137,302540,2022-11-21
2022-11-28,11.350000381469727,11.350000381469727,11.75,11.050000190734863,11.699999809265137,320276,2022-11-28
2022-12-05,13.75,13.75,13.75,11.350000381469727,11.600000381469727,534581,2022-12-05
2022-12-12,15.100000381469727,15.100000381469727,15.100000381469727,14.399999618530273,14.399999618530273,126514,2022-12-12
2022-12-19,14.350000381469727,14.350000381469727,14.350000381469727,14.350000381469727,14.350000381469727,16943,2022-12-19
2022-12-26,13.649999618530273,13.649999618530273,13.649999618530273,13.649999618530273,13.649999618530273,11988,2022-12-26
2023-01-02,13.0,13.0,13.0,13.0,13.0,8941,2023-01-02
2023-01-09,13.399999618530273,13.399999618530273,13.600000381469727,12.350000381469727,12.399999618530273,439806,2023-01-09
2023-01-16,12.75,12.75,13.199999809265137,12.75,12.75,56284,2023-01-16
2023-01-23,12.149999618530273,12.149999618530273,12.149999618530273,12.149999618530273,12.149999618530273,41576,2023-01-23
2023-01-30,13.300000190734863,13.300000190734863,13.300000190734863,11.0,11.550000190734863,325171,2023-01-30
2023-02-06,12.399999618530273,12.399999618530273,13.949999809265137,11.899999618530273,13.949999809265137,707294,2023-02-06
2023-02-13,12.600000381469727,12.600000381469727,13.050000190734863,11.75,12.0,284307,2023-02-13
2023-02-20,12.100000381469727,12.100000381469727,12.949999809265137,11.350000381469727,12.949999809265137,404563,2023-02-20
2023-02-27,13.100000381469727,13.100000381469727,14.100000381469727,11.600000381469727,11.600000381469727,493318,2023-02-27
2023-03-06,12.5,12.5,13.100000381469727,11.800000190734863,13.0,321417,2023-03-06
