Date,Adj Close_CARBORUNIV.NS,Close_CARBORUNIV.NS,High_CARBORUNIV.NS,Low_CARBORUNIV.NS,Open_CARBORUNIV.NS,Volume_CARBORUNIV.NS,Date
2020-07-13,236.5650634765625,240.64999389648438,255.75,233.0500030517578,244.60000610351562,525236,2020-07-13
2020-07-20,240.49717712402344,244.64999389648438,249.1999969482422,231.60000610351562,240.64999389648438,4253737,2020-07-20
2020-07-27,243.88861083984375,248.10000610351562,249.5,232.6999969482422,245.0,1282952,2020-07-27
2020-08-03,239.36669921875,243.5,249.89999389648438,240.1999969482422,246.10000610351562,664044,2020-08-03
2020-08-10,249.09866333007812,253.39999389648438,269.95001220703125,242.75,245.5,3032399,2020-08-10
2020-08-17,275.5912170410156,280.3500061035156,293.75,250.5,254.0,2662628,2020-08-17
2020-08-24,269.3981018066406,274.04998779296875,290.25,272.29998779296875,290.0,1085241,2020-08-24
2020-08-31,251.21214294433594,255.5500030517578,276.0,253.39999389648438,275.0,1331170,2020-08-31
2020-09-07,249.09866333007812,253.39999389648438,259.8999938964844,243.0500030517578,257.6000061035156,638254,2020-09-07
2020-09-14,268.8574523925781,273.5,284.8500061035156,257.1000061035156,261.75,1853745,2020-09-14
2020-09-21,244.822509765625,249.0500030517578,274.8999938964844,241.10000610351562,274.8999938964844,1034271,2020-09-21
2020-09-28,259.6661682128906,264.1499938964844,275.54998779296875,248.25,251.5,757362,2020-09-28
2020-10-05,245.36314392089844,249.60000610351562,271.54998779296875,248.10000610351562,264.29998779296875,491228,2020-10-05
2020-10-12,235.1888427734375,239.25,252.85000610351562,236.0500030517578,250.85000610351562,446795,2020-10-12
2020-10-19,232.53466796875,236.5500030517578,251.0,232.0,240.10000610351562,895264,2020-10-19
2020-10-26,279.3758544921875,284.20001220703125,285.79998779296875,237.0,237.8000030517578,4768228,2020-10-26
2020-11-02,288.6654052734375,293.6499938964844,305.0,282.45001220703125,283.0,3296646,2020-11-02
2020-11-09,291.7128601074219,296.75,308.8999938964844,286.6499938964844,293.0,1263930,2020-11-09
2020-11-16,346.22161865234375,352.20001220703125,354.70001220703125,294.1499938964844,294.1499938964844,2531157,2020-11-16
2020-11-23,341.0606994628906,346.95001220703125,363.75,329.0,356.45001220703125,2110951,2020-11-23
2020-11-30,369.0277099609375,375.3999938964844,401.5,332.79998779296875,346.95001220703125,3215993,2020-11-30
2020-12-07,370.1091003417969,376.5,390.0,360.5,376.0,1451895,2020-12-07
2020-12-14,374.09033203125,380.54998779296875,389.0,371.0,378.79998779296875,739568,2020-12-14
2020-12-21,380.6766662597656,387.25,388.8999938964844,354.0,382.8999938964844,902061,2020-12-21
2020-12-28,395.5202941894531,402.3500061035156,423.5,386.1000061035156,387.0,2843922,2020-12-28
2021-01-04,401.61505126953125,408.54998779296875,415.70001220703125,398.0,400.5,943586,2021-01-04
2021-01-11,409.5775146484375,416.6499938964844,431.0,400.8500061035156,408.0,2230583,2021-01-11
2021-01-18,410.3148498535156,417.3999938964844,422.0,401.25,419.3500061035156,739733,2021-01-18
2021-01-25,397.0439147949219,403.8999938964844,438.0,395.54998779296875,415.0,1592337,2021-01-25
2021-02-01,466.8879699707031,474.95001220703125,494.45001220703125,385.75,404.1000061035156,3295870,2021-02-01
2021-02-08,503.9972229003906,512.7000122070312,543.2000122070312,478.5,478.5,2221292,2021-02-08
2021-02-15,539.74853515625,547.5,571.9500122070312,485.8999938964844,515.0999755859375,1798744,2021-02-15
2021-02-22,500.4134826660156,507.6000061035156,550.0,476.25,548.0,1497508,2021-02-22
2021-03-01,497.20953369140625,504.3500061035156,539.0,501.0,514.7999877929688,739391,2021-03-01
2021-03-08,493.4632568359375,500.54998779296875,517.5,485.25,516.2000122070312,575094,2021-03-08
2021-03-15,459.69818115234375,466.29998779296875,523.5,457.3999938964844,506.1499938964844,1204441,2021-03-15
2021-03-22,468.17645263671875,474.8999938964844,482.0,438.95001220703125,467.25,934836,2021-03-22
2021-03-29,499.5262145996094,506.70001220703125,519.0,474.8999938964844,474.8999938964844,554865,2021-03-29
2021-04-05,518.355712890625,525.7999877929688,539.0,488.1000061035156,509.0,960062,2021-04-05
2021-04-12,487.9918212890625,495.0,525.0,486.75,515.0,395170,2021-04-12
2021-04-19,472.71136474609375,479.5,494.6499938964844,462.1499938964844,486.0,713819,2021-04-19
