Date,Adj Close_SAMBHAAV.NS,Close_SAMBHAAV.NS,High_SAMBHAAV.NS,Low_SAMBHAAV.NS,Open_SAMBHAAV.NS,Volume_SAMBHAAV.NS,Date
2020-07-13,2.1500000953674316,2.1500000953674316,2.450000047683716,2.1500000953674316,2.4000000953674316,40467,2020-07-13
2020-07-20,2.4000000953674316,2.4000000953674316,2.450000047683716,2.1500000953674316,2.1500000953674316,29894,2020-07-20
2020-07-27,2.200000047683716,2.200000047683716,2.5,2.049999952316284,2.299999952316284,25594,2020-07-27
2020-08-03,2.0999999046325684,2.0999999046325684,2.299999952316284,2.049999952316284,2.299999952316284,76132,2020-08-03
2020-08-10,2.0,2.0,2.200000047683716,1.9500000476837158,2.049999952316284,106088,2020-08-10
2020-08-17,2.200000047683716,2.200000047683716,2.200000047683716,1.9500000476837158,1.9500000476837158,119990,2020-08-17
2020-08-24,2.0999999046325684,2.0999999046325684,2.299999952316284,2.049999952316284,2.299999952316284,57770,2020-08-24
2020-08-31,2.049999952316284,2.049999952316284,2.200000047683716,2.0,2.0999999046325684,105106,2020-08-31
2020-09-07,2.049999952316284,2.049999952316284,2.1500000953674316,2.0,2.1500000953674316,50729,2020-09-07
2020-09-14,2.0,2.0,2.1500000953674316,2.0,2.049999952316284,88091,2020-09-14
2020-09-21,1.9500000476837158,1.9500000476837158,2.0999999046325684,1.899999976158142,2.0999999046325684,75396,2020-09-21
2020-09-28,2.0,2.0,2.0999999046325684,1.899999976158142,1.9500000476837158,99298,2020-09-28
2020-10-05,1.899999976158142,1.899999976158142,2.0,1.7000000476837158,1.899999976158142,104381,2020-10-05
2020-10-12,1.7999999523162842,1.7999999523162842,2.0,1.4500000476837158,2.0,306886,2020-10-12
2020-10-19,2.0,2.0,2.0999999046325684,1.7000000476837158,1.850000023841858,430633,2020-10-19
2020-10-26,1.899999976158142,1.899999976158142,2.049999952316284,1.850000023841858,2.049999952316284,183524,2020-10-26
2020-11-02,1.899999976158142,1.899999976158142,1.9500000476837158,1.850000023841858,1.899999976158142,241085,2020-11-02
2020-11-09,1.9500000476837158,1.9500000476837158,2.0,1.850000023841858,1.9500000476837158,244569,2020-11-09
2020-11-16,1.899999976158142,1.899999976158142,2.0,1.850000023841858,1.899999976158142,175630,2020-11-16
2020-11-23,1.9500000476837158,1.9500000476837158,1.9500000476837158,1.7999999523162842,1.899999976158142,235406,2020-11-23
2020-11-30,1.9500000476837158,1.9500000476837158,2.0,1.850000023841858,1.9500000476837158,139996,2020-11-30
2020-12-07,2.3499999046325684,2.3499999046325684,2.4000000953674316,1.9500000476837158,2.0,309912,2020-12-07
2020-12-14,2.299999952316284,2.299999952316284,2.450000047683716,2.0999999046325684,2.450000047683716,248836,2020-12-14
2020-12-21,2.0999999046325684,2.0999999046325684,2.3499999046325684,2.049999952316284,2.3499999046325684,105600,2020-12-21
2020-12-28,2.25,2.25,2.25,1.9500000476837158,2.0999999046325684,275829,2020-12-28
2021-01-04,2.549999952316284,2.549999952316284,2.549999952316284,2.200000047683716,2.3499999046325684,487958,2021-01-04
2021-01-11,3.0,3.0,3.049999952316284,2.6500000953674316,2.6500000953674316,340946,2021-01-11
2021-01-18,2.549999952316284,2.549999952316284,3.1500000953674316,2.5,3.1500000953674316,241256,2021-01-18
2021-01-25,2.75,2.75,2.75,2.4000000953674316,2.450000047683716,154029,2021-01-25
2021-02-01,2.799999952316284,2.799999952316284,3.049999952316284,2.75,2.8499999046325684,474504,2021-02-01
2021-02-08,2.799999952316284,2.799999952316284,2.9000000953674316,2.5999999046325684,2.799999952316284,872939,2021-02-08
2021-02-15,2.549999952316284,2.549999952316284,2.9000000953674316,2.549999952316284,2.9000000953674316,105920,2021-02-15
2021-02-22,2.75,2.75,2.8499999046325684,2.3499999046325684,2.549999952316284,140747,2021-02-22
2021-03-01,2.549999952316284,2.549999952316284,2.8499999046325684,2.549999952316284,2.8499999046325684,144411,2021-03-01
2021-03-08,2.549999952316284,2.549999952316284,2.75,2.450000047683716,2.6500000953674316,87779,2021-03-08
2021-03-15,2.5,2.5,2.6500000953674316,2.3499999046325684,2.549999952316284,78411,2021-03-15
2021-03-22,2.0999999046325684,2.0999999046325684,2.5999999046325684,2.0999999046325684,2.5,104775,2021-03-22
2021-03-29,2.049999952316284,2.049999952316284,2.200000047683716,1.899999976158142,2.0999999046325684,196007,2021-03-29
2021-04-05,2.25,2.25,2.25,1.9500000476837158,2.049999952316284,103854,2021-04-05
2021-04-12,2.049999952316284,2.049999952316284,2.3499999046325684,1.9500000476837158,2.3499999046325684,232572,2021-04-12
2021-04-19,2.0,2.0,2.1500000953674316,2.0,2.1500000953674316,133846,2021-04-19
2021-04-26,2.049999952316284,2.049999952316284,2.0999999046325684,1.9500000476837158,2.0999999046325684,157103,2021-04-26
2021-05-03,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.0,2.049999952316284,351871,2021-05-03
2021-05-10,2.75,2.75,2.75,2.4000000953674316,2.450000047683716,282622,2021-05-10
2021-05-17,2.700000047683716,2.700000047683716,2.950000047683716,2.549999952316284,2.8499999046325684,458435,2021-05-17
2021-05-24,2.6500000953674316,2.6500000953674316,2.8499999046325684,2.5999999046325684,2.75,162976,2021-05-24
2021-05-31,2.700000047683716,2.700000047683716,2.75,2.5,2.5999999046325684,292515,2021-05-31
2021-06-07,3.299999952316284,3.299999952316284,3.299999952316284,2.799999952316284,2.799999952316284,151568,2021-06-07
2021-06-14,4.050000190734863,4.050000190734863,4.050000190734863,3.1500000953674316,3.450000047683716,427078,2021-06-14
2021-06-21,3.8499999046325684,3.8499999046325684,4.650000095367432,3.8499999046325684,4.25,416763,2021-06-21
2021-06-28,4.099999904632568,4.099999904632568,4.099999904632568,3.549999952316284,3.700000047683716,233718,2021-06-28
2021-07-05,4.199999809265137,4.199999809265137,4.5,3.9000000953674316,4.300000190734863,293313,2021-07-05
2021-07-12,3.9000000953674316,3.9000000953674316,4.400000095367432,3.6500000953674316,4.400000095367432,163928,2021-07-12
2021-07-19,3.799999952316284,3.799999952316284,4.199999809265137,3.75,3.9000000953674316,237787,2021-07-19
2021-07-26,3.4000000953674316,3.4000000953674316,3.950000047683716,3.4000000953674316,3.950000047683716,164804,2021-07-26
2021-08-02,3.299999952316284,3.299999952316284,3.5999999046325684,3.1500000953674316,3.25,285600,2021-08-02
2021-08-09,3.1500000953674316,3.1500000953674316,3.5,3.049999952316284,3.450000047683716,132711,2021-08-09
2021-08-16,3.049999952316284,3.049999952316284,3.3499999046325684,3.0,3.1500000953674316,58556,2021-08-16
2021-08-23,2.9000000953674316,2.9000000953674316,3.1500000953674316,2.75,3.1500000953674316,144654,2021-08-23
2021-08-30,2.799999952316284,2.799999952316284,3.0,2.5999999046325684,2.9000000953674316,159624,2021-08-30
2021-09-06,2.9000000953674316,2.9000000953674316,2.950000047683716,2.700000047683716,2.799999952316284,82707,2021-09-06
2021-09-13,2.9000000953674316,2.9000000953674316,3.0,2.700000047683716,2.9000000953674316,143990,2021-09-13
2021-09-20,2.9000000953674316,2.9000000953674316,3.0,2.75,2.9000000953674316,119156,2021-09-20
2021-09-27,3.0,3.0,3.049999952316284,2.799999952316284,3.0,188875,2021-09-27
2021-10-04,2.9000000953674316,2.9000000953674316,3.299999952316284,2.8499999046325684,3.1500000953674316,211645,2021-10-04
2021-10-11,2.9000000953674316,2.9000000953674316,3.1500000953674316,2.8499999046325684,3.0,207628,2021-10-11
2021-10-18,2.799999952316284,2.799999952316284,3.0,2.75,2.950000047683716,307395,2021-10-18
2021-10-25,2.799999952316284,2.799999952316284,2.8499999046325684,2.6500000953674316,2.799999952316284,167980,2021-10-25
2021-11-01,3.0,3.0,3.0,2.700000047683716,2.799999952316284,199179,2021-11-01
2021-11-08,3.75,3.75,3.75,3.1500000953674316,3.1500000953674316,215633,2021-11-08
2021-11-15,3.700000047683716,3.700000047683716,4.25,3.700000047683716,3.9000000953674316,649923,2021-11-15
2021-11-22,3.8499999046325684,3.8499999046325684,3.8499999046325684,3.25,3.549999952316284,232872,2021-11-22
2021-11-29,4.800000190734863,4.800000190734863,4.800000190734863,3.8499999046325684,4.0,664441,2021-11-29
2021-12-06,4.550000190734863,4.550000190734863,5.5,4.550000190734863,5.0,434175,2021-12-06
2021-12-13,5.5,5.5,5.5,4.349999904632568,4.349999904632568,925342,2021-12-13
2021-12-20,5.349999904632568,5.349999904632568,5.75,4.699999809265137,5.75,486563,2021-12-20
2021-12-27,6.650000095367432,6.650000095367432,6.650000095367432,5.150000095367432,5.599999904632568,652885,2021-12-27
2022-01-03,6.900000095367432,6.900000095367432,7.25,6.050000190734863,6.949999809265137,804371,2022-01-03
2022-01-10,6.5,6.5,7.75,6.5,7.199999809265137,986254,2022-01-10
2022-01-17,6.150000095367432,6.150000095367432,6.400000095367432,5.400000095367432,6.199999809265137,382256,2022-01-17
2022-01-24,5.349999904632568,5.349999904632568,6.449999809265137,5.300000190734863,6.449999809265137,284704,2022-01-24
2022-01-31,4.900000095367432,4.900000095367432,5.599999904632568,4.75,5.5,447892,2022-01-31
2022-02-07,4.900000095367432,4.900000095367432,5.599999904632568,4.800000190734863,5.050000190734863,337678,2022-02-07
2022-02-14,4.599999904632568,4.599999904632568,5.099999904632568,4.400000095367432,5.099999904632568,169609,2022-02-14
2022-02-21,3.799999952316284,3.799999952316284,4.699999809265137,3.799999952316284,4.400000095367432,176879,2022-02-21
2022-02-28,4.5,4.5,4.5,3.6500000953674316,3.8499999046325684,84951,2022-02-28
2022-03-07,4.650000095367432,4.650000095367432,4.75,3.950000047683716,4.699999809265137,194649,2022-03-07
2022-03-14,4.699999809265137,4.699999809265137,5.050000190734863,4.449999809265137,4.599999904632568,263564,2022-03-14
2022-03-21,4.150000095367432,4.150000095367432,4.800000190734863,4.0,4.800000190734863,159642,2022-03-21
2022-03-28,4.050000190734863,4.050000190734863,4.300000190734863,3.799999952316284,4.25,188597,2022-03-28
2022-04-04,4.300000190734863,4.300000190734863,4.400000095367432,3.8499999046325684,4.199999809265137,758310,2022-04-04
2022-04-11,4.699999809265137,4.699999809265137,5.099999904632568,4.349999904632568,4.400000095367432,544079,2022-04-11
2022-04-18,4.400000095367432,4.400000095367432,5.0,4.25,4.25,450208,2022-04-18
2022-04-25,4.099999904632568,4.099999904632568,4.699999809265137,3.950000047683716,4.050000190734863,816248,2022-04-25
2022-05-02,4.099999904632568,4.099999904632568,4.800000190734863,3.950000047683716,4.099999904632568,601205,2022-05-02
2022-05-09,4.150000095367432,4.150000095367432,4.599999904632568,3.8499999046325684,4.199999809265137,538320,2022-05-09
2022-05-16,4.150000095367432,4.150000095367432,4.699999809265137,3.9000000953674316,4.400000095367432,759464,2022-05-16
2022-05-23,3.950000047683716,3.950000047683716,4.449999809265137,3.6500000953674316,3.9000000953674316,441517,2022-05-23
2022-05-30,3.950000047683716,3.950000047683716,4.150000095367432,3.5999999046325684,4.050000190734863,527238,2022-05-30
2022-06-06,3.8499999046325684,3.8499999046325684,4.099999904632568,3.5999999046325684,4.050000190734863,347112,2022-06-06
2022-06-13,3.4000000953674316,3.4000000953674316,3.9000000953674316,3.200000047683716,3.549999952316284,311043,2022-06-13
2022-06-20,3.3499999046325684,3.3499999046325684,3.5999999046325684,2.799999952316284,3.0,221180,2022-06-20
2022-06-27,3.700000047683716,3.700000047683716,3.950000047683716,3.4000000953674316,3.549999952316284,771089,2022-06-27
2022-07-04,3.5999999046325684,3.5999999046325684,3.9000000953674316,3.4000000953674316,3.8499999046325684,203828,2022-07-04
2022-07-11,3.5999999046325684,3.5999999046325684,3.8499999046325684,3.4000000953674316,3.8499999046325684,145398,2022-07-11
2022-07-18,3.549999952316284,3.549999952316284,3.75,3.4000000953674316,3.5,169922,2022-07-18
2022-07-25,3.5,3.5,3.700000047683716,3.299999952316284,3.5999999046325684,206921,2022-07-25
2022-08-01,3.75,3.75,4.0,3.4000000953674316,3.4000000953674316,372510,2022-08-01
2022-08-08,3.6500000953674316,3.6500000953674316,4.0,3.549999952316284,3.799999952316284,370455,2022-08-08
