Date,Adj Close_KSOLVES.NS,Close_KSOLVES.NS,High_KSOLVES.NS,Low_KSOLVES.NS,Open_KSOLVES.NS,Volume_KSOLVES.NS,Date
2020-08-03,6.2855658531188965,6.9375,6.9375,6.9375,6.9375,19200,2020-08-03
2020-08-10,6.3988189697265625,7.0625,8.4375,7.0625,7.1875,96000,2020-08-10
2020-08-17,7.644606590270996,8.4375,8.475000381469727,8.4375,8.475000381469727,57600,2020-08-17
2020-08-24,12.061492919921875,13.3125,13.3125,8.4375,8.4375,172800,2020-08-24
2020-08-31,13.590414047241211,15.0,15.0,11.5625,12.378125190734863,134400,2020-08-31
2020-09-07,13.194024085998535,14.5625,16.25,14.546875,15.0,192000,2020-09-07
2020-09-14,11.495224952697754,12.6875,14.050000190734863,12.053125381469727,13.834375381469727,249600,2020-09-14
2020-09-21,12.571131706237793,13.875,13.875,12.6875,12.6875,38400,2020-09-21
2020-09-28,12.797637939453125,14.125,14.5625,13.875,13.875,96000,2020-09-28
2020-10-05,12.797637939453125,14.125,14.125,14.125,14.125,0,2020-10-05
2020-10-12,12.797637939453125,14.125,14.125,14.125,14.125,19200,2020-10-12
2020-10-19,12.854265213012695,14.1875,14.1875,14.125,14.125,19200,2020-10-19
2020-10-26,15.620479583740234,17.240625381469727,17.240625381469727,14.1875,14.1875,76800,2020-10-26
2020-11-02,19.9042911529541,21.96875,21.96875,18.100000381469727,18.100000381469727,134400,2020-11-02
2020-11-09,22.65068817138672,25.0,25.0,21.96875,21.96875,105600,2020-11-09
2020-11-16,23.8398494720459,26.3125,26.3125,24.1875,24.1875,57600,2020-11-16
2020-11-23,24.63262176513672,27.1875,27.375,23.75,26.3125,192000,2020-11-23
2020-11-30,23.783222198486328,26.25,27.1875,25.9375,27.1875,48000,2020-11-30
2020-12-07,23.95310401916504,26.4375,26.4375,26.3125,26.3125,28800,2020-12-07
2020-12-14,23.95310401916504,26.4375,26.4375,26.4375,26.4375,9600,2020-12-14
2020-12-21,24.63262176513672,27.1875,27.1875,25.3125,26.125,76800,2020-12-21
2020-12-28,27.010944366455078,29.8125,29.8125,27.1875,27.1875,28800,2020-12-28
2021-01-04,32.396141052246094,35.756248474121094,35.756248474121094,31.25,31.25,144000,2021-01-04
2021-01-11,32.27722930908203,35.625,41.34375,35.625,37.54375076293945,76800,2021-01-11
2021-01-18,33.276695251464844,36.728126525878906,37.209373474121094,33.84375,33.84375,86400,2021-01-18
2021-01-25,33.71271896362305,37.209373474121094,37.5,36.728126525878906,36.728126525878906,9600,2021-01-25
2021-02-01,30.861560821533203,34.0625,37.46875,34.0625,36.5625,57600,2021-02-01
2021-02-08,37.01476287841797,40.171875,40.171875,35.0,35.0,100800,2021-02-08
2021-02-15,36.136539459228516,39.21875,40.171875,39.0625,40.171875,19200,2021-02-15
2021-02-22,36.136539459228516,39.21875,39.21875,39.21875,39.21875,0,2021-02-22
