Date,Adj Close_CHAMBLFERT.NS,Close_CHAMBLFERT.NS,High_CHAMBLFERT.NS,Low_CHAMBLFERT.NS,Open_CHAMBLFERT.NS,Volume_CHAMBLFERT.NS,Date
2020-07-13,137.12974548339844,153.0,155.60000610351562,148.14999389648438,152.39999389648438,1709866,2020-07-13
2020-07-20,140.89410400390625,157.1999969482422,162.5,152.39999389648438,152.4499969482422,6189042,2020-07-20
2020-07-27,141.83518981933594,158.25,172.9499969482422,155.25,158.10000610351562,11701642,2020-07-27
2020-08-03,139.37042236328125,155.5,159.8000030517578,154.25,159.6999969482422,3646335,2020-08-03
2020-08-10,137.174560546875,153.0500030517578,162.0,151.5,156.60000610351562,8772547,2020-08-10
2020-08-17,136.4575653076172,152.25,154.89999389648438,149.39999389648438,153.9499969482422,3902979,2020-08-17
2020-08-24,137.62271118164062,153.5500030517578,160.75,152.10000610351562,153.4499969482422,7652272,2020-08-24
2020-08-31,130.63180541992188,145.75,155.6999969482422,145.10000610351562,155.0500030517578,3759660,2020-08-31
2020-09-07,127.85331726074219,142.64999389648438,146.5,133.25,146.0500030517578,5239038,2020-09-07
2020-09-14,140.4907989501953,156.75,157.9499969482422,144.75,145.0,8760440,2020-09-14
2020-09-21,135.24757385253906,150.89999389648438,157.0,145.0,156.75,3247372,2020-09-21
2020-09-28,144.34478759765625,161.0500030517578,161.89999389648438,151.39999389648438,154.0,3008115,2020-09-28
2020-10-05,149.90164184570312,167.25,168.85000610351562,159.5,160.0,3881032,2020-10-05
2020-10-12,143.00033569335938,159.5500030517578,169.5,157.64999389648438,167.0,2956581,2020-10-12
2020-10-19,150.84274291992188,168.3000030517578,174.4499969482422,159.75,161.14999389648438,3596237,2020-10-19
2020-10-26,145.73399353027344,162.60000610351562,170.0,161.25,169.0,2163705,2020-10-26
2020-11-02,147.6161651611328,164.6999969482422,171.8000030517578,156.0500030517578,163.0,3785374,2020-11-02
2020-11-09,164.60052490234375,183.64999389648438,185.89999389648438,163.60000610351562,166.5,7362982,2020-11-09
2020-11-16,169.6474609375,185.89999389648438,189.60000610351562,177.4499969482422,181.39999389648438,2678351,2020-11-16
2020-11-23,186.02816772460938,203.85000610351562,205.0,183.0500030517578,188.14999389648438,5959471,2020-11-23
2020-11-30,180.55271911621094,197.85000610351562,207.75,194.0,203.85000610351562,4171463,2020-11-30
2020-12-07,214.13543701171875,234.64999389648438,239.0,198.5,200.85000610351562,13982319,2020-12-07
2020-12-14,204.5077667236328,224.10000610351562,242.8000030517578,220.89999389648438,238.0,7804989,2020-12-14
2020-12-21,210.074462890625,230.1999969482422,233.39999389648438,212.5,223.10000610351562,4158334,2020-12-21
2020-12-28,207.83868408203125,227.75,239.5,225.1999969482422,232.0,4303661,2020-12-28
2021-01-04,219.0177001953125,240.0,247.89999389648438,226.5500030517578,227.75,5022570,2021-01-04
2021-01-11,209.4356689453125,229.5,242.39999389648438,226.89999389648438,241.89999389648438,2834265,2021-01-11
2021-01-18,220.4322052001953,241.5500030517578,248.0,220.5,229.0500030517578,4715880,2021-01-18
2021-01-25,216.96441650390625,237.75,243.75,226.14999389648438,243.39999389648438,3319590,2021-01-25
2021-02-01,225.26882934570312,246.85000610351562,267.0,232.35000610351562,239.89999389648438,8440405,2021-02-01
2021-02-08,220.75157165527344,241.89999389648438,249.5,230.14999389648438,249.39999389648438,8901255,2021-02-08
2021-02-15,214.31793212890625,234.85000610351562,245.10000610351562,229.0,243.10000610351562,3390949,2021-02-15
2021-02-22,222.94175720214844,244.3000030517578,249.8000030517578,200.35000610351562,237.0,5935041,2021-02-22
2021-03-01,217.5575714111328,238.39999389648438,264.5,233.0,246.25,7400053,2021-03-01
2021-03-08,214.36355590820312,234.89999389648438,240.6999969482422,231.3000030517578,235.0,4084584,2021-03-08
2021-03-15,196.4771270751953,215.3000030517578,241.64999389648438,207.0,234.8000030517578,5734895,2021-03-15
2021-03-22,207.24549865722656,227.10000610351562,231.1999969482422,217.10000610351562,217.3000030517578,2687854,2021-03-22
