Date,Adj Close_HLEGLAS.NS,Close_HLEGLAS.NS,High_HLEGLAS.NS,Low_HLEGLAS.NS,Open_HLEGLAS.NS,Volume_HLEGLAS.NS,Date
2021-02-22,395.8143005371094,398.6000061035156,424.0,351.0,351.0,153690,2021-02-22
2021-03-01,484.5697021484375,487.9800109863281,504.0,396.20001220703125,398.20001220703125,499685,2021-03-01
2021-03-08,564.080078125,568.0499877929688,590.4400024414062,501.0,501.0,447240,2021-03-08
2021-03-15,482.42474365234375,485.82000732421875,586.0499877929688,439.55999755859375,586.0,451520,2021-03-15
2021-03-22,442.3468017578125,445.4599914550781,514.010009765625,442.3999938964844,498.0,246625,2021-03-22
2021-03-29,476.8340759277344,480.19000244140625,480.19000244140625,443.0,445.4599914550781,78155,2021-03-29
2021-04-05,486.7145690917969,490.1400146484375,502.0,442.20001220703125,483.79998779296875,208845,2021-04-05
2021-04-12,471.5214538574219,474.8399963378906,488.9800109863281,444.0400085449219,484.9800109863281,190080,2021-04-12
2021-04-19,444.6903076171875,447.82000732421875,476.0,445.0,471.0,114125,2021-04-19
2021-04-26,519.0072631835938,522.6599731445312,529.6699829101562,433.1499938964844,448.3999938964844,318930,2021-04-26
2021-05-03,563.8119506835938,567.780029296875,595.739990234375,504.0,524.0,559625,2021-05-03
2021-05-10,588.2599487304688,592.4000244140625,625.9600219726562,545.010009765625,575.010009765625,640820,2021-05-10
2021-05-17,670.5010986328125,675.219970703125,675.5800170898438,588.0,605.7999877929688,540945,2021-05-17
2021-05-24,673.5098876953125,678.25,704.0,641.4600219726562,680.25,426405,2021-05-24
2021-05-31,671.454345703125,676.1799926757812,695.0,648.0,668.010009765625,253535,2021-05-31
2021-06-07,735.066650390625,740.239990234375,758.1900024414062,632.010009765625,689.7999877929688,501440,2021-06-07
2021-06-14,715.0276489257812,720.0599975585938,758.3900146484375,697.9099731445312,744.010009765625,236110,2021-06-14
2021-06-21,683.539306640625,688.3499755859375,726.0,682.4400024414062,719.989990234375,123315,2021-06-21
2021-06-28,710.7974243164062,715.7999877929688,720.010009765625,665.6500244140625,699.4000244140625,180490,2021-06-28
2021-07-05,712.3565063476562,717.3699951171875,734.4000244140625,702.2000122070312,720.0,149000,2021-07-05
2021-07-12,688.0574951171875,692.9000244140625,727.9600219726562,686.8900146484375,727.9600219726562,92365,2021-07-12
2021-07-19,699.0899047851562,704.010009765625,714.8800048828125,672.2000122070312,695.8499755859375,92140,2021-07-19
2021-07-26,683.658447265625,688.469970703125,712.0,673.22998046875,712.0,116515,2021-07-26
2021-08-02,653.1829833984375,657.780029296875,697.7999877929688,632.4600219726562,697.7999877929688,146625,2021-08-02
2021-08-09,625.0807495117188,629.47998046875,662.719970703125,590.0,662.719970703125,181085,2021-08-09
2021-08-16,681.265380859375,686.0599975585938,700.0,617.8099975585938,628.0,241105,2021-08-16
2021-08-23,836.4630737304688,842.3499755859375,873.7999877929688,682.0,716.0,1400935,2021-08-23
2021-08-30,954.462646484375,961.1799926757812,998.0,829.97998046875,859.2000122070312,1264480,2021-08-30
2021-09-06,936.3555297851562,942.0499877929688,986.0,882.0,986.0,416550,2021-09-06
2021-09-13,1028.783447265625,1035.0400390625,1046.0,910.0,957.7999877929688,924780,2021-09-13
2021-09-20,1268.396240234375,1276.1099853515625,1350.0,1062.02001953125,1076.4000244140625,2606880,2021-09-20
2021-09-27,1295.4815673828125,1303.3599853515625,1312.0,1171.780029296875,1290.0,721045,2021-09-27
2021-10-04,1353.5484619140625,1361.780029296875,1417.4000244140625,1316.010009765625,1340.0,848295,2021-10-04
2021-10-11,1453.232177734375,1462.0699462890625,1486.5999755859375,1332.0,1378.8800048828125,595955,2021-10-11
2021-10-18,1313.770263671875,1321.760009765625,1510.0,1302.0,1480.0,666610,2021-10-18
2021-10-25,1285.79052734375,1293.6099853515625,1390.0,1180.0,1330.0,578485,2021-10-25
2021-11-01,1328.779052734375,1336.8599853515625,1375.5999755859375,1304.239990234375,1319.800048828125,181655,2021-11-01
2021-11-08,1272.9486083984375,1280.68994140625,1430.0,1254.0,1337.0,320840,2021-11-08
2021-11-15,1183.43310546875,1190.6300048828125,1270.010009765625,1182.0,1260.0,256620,2021-11-15
2021-11-22,1181.246337890625,1188.4300537109375,1254.489990234375,1020.030029296875,1191.0,648810,2021-11-22
2021-11-29,1210.130615234375,1217.489990234375,1252.0,1100.0,1180.030029296875,255250,2021-11-29
2021-12-06,1195.1319580078125,1202.4000244140625,1261.0,1188.4100341796875,1221.0,237190,2021-12-06
2021-12-13,1167.58935546875,1174.68994140625,1228.0,1146.47998046875,1228.0,165360,2021-12-13
2021-12-20,1139.8282470703125,1146.760009765625,1174.0,1103.030029296875,1164.199951171875,169765,2021-12-20
2021-12-27,1161.814453125,1168.8800048828125,1186.0,1120.0,1146.760009765625,176445,2021-12-27
2022-01-03,1226.908447265625,1234.3699951171875,1259.9599609375,1145.050048828125,1175.77001953125,408915,2022-01-03
2022-01-10,1307.4189453125,1315.3699951171875,1320.0,1202.1400146484375,1234.3699951171875,292285,2022-01-10
2022-01-17,1298.9405517578125,1306.8399658203125,1347.050048828125,1245.4100341796875,1336.0,272735,2022-01-17
2022-01-24,1291.0782470703125,1298.9300537109375,1340.010009765625,1173.27001953125,1338.0,225520,2022-01-24
2022-01-31,1273.9326171875,1281.6800537109375,1326.0,1236.0999755859375,1319.989990234375,120740,2022-01-31
2022-02-07,1255.196533203125,1262.8299560546875,1340.0,1256.0,1279.989990234375,165615,2022-02-07
2022-02-14,1095.468017578125,1102.1300048828125,1176.25,1060.0,1170.199951171875,363100,2022-02-14
2022-02-21,1074.5550537109375,1081.0899658203125,1099.97998046875,980.0,1099.949951171875,295860,2022-02-21
2022-02-28,1088.3212890625,1094.93994140625,1138.0,1030.4100341796875,1073.800048828125,134295,2022-02-28
2022-03-07,1149.569091796875,1156.56005859375,1170.0,1045.0,1060.1800537109375,266870,2022-03-07
