Date,Adj Close_DBEIL.NS,Close_DBEIL.NS,High_DBEIL.NS,Low_DBEIL.NS,Open_DBEIL.NS,Volume_DBEIL.NS,Date
2024-10-28,160.97000122070312,160.97000122070312,200.0,155.0,200.0,10146269,2024-10-28
2024-11-04,155.6999969482422,155.6999969482422,165.22000122070312,152.6999969482422,162.9499969482422,1910475,2024-11-04
2024-11-11,148.13999938964844,148.13999938964844,156.94000244140625,144.5800018310547,155.38999938964844,752362,2024-11-11
2024-11-18,150.4199981689453,150.4199981689453,155.44000244140625,139.10000610351562,148.14999389648438,815876,2024-11-18
2024-11-25,171.02000427246094,171.02000427246094,174.0,151.61000061035156,154.99000549316406,3876325,2024-11-25
2024-12-02,193.83999633789062,193.83999633789062,198.5,168.0500030517578,170.75,8401146,2024-12-02
2024-12-09,198.7899932861328,198.7899932861328,206.0,178.0,194.85000610351562,9059523,2024-12-09
2024-12-16,189.60000610351562,189.60000610351562,210.0,187.0,200.00999450683594,5091350,2024-12-16
2024-12-23,201.8699951171875,201.8699951171875,214.0,181.5500030517578,193.13999938964844,5537793,2024-12-23
2024-12-30,189.94000244140625,189.94000244140625,203.0,189.0,201.99000549316406,2156875,2024-12-30
2025-01-06,178.86000061035156,178.86000061035156,199.6999969482422,172.4199981689453,195.1999969482422,1781904,2025-01-06
2025-01-13,170.8300018310547,170.8300018310547,177.80999755859375,164.50999450683594,175.0,1035021,2025-01-13
2025-01-20,172.44000244140625,172.44000244140625,183.0,163.1699981689453,171.0,2008157,2025-01-20
2025-01-27,170.97999572753906,170.97999572753906,177.38999938964844,155.0,170.8000030517578,898875,2025-01-27
2025-02-03,168.97999572753906,168.97999572753906,178.47000122070312,166.3300018310547,169.97999572753906,514159,2025-02-03
2025-02-10,142.6699981689453,142.6699981689453,169.5800018310547,141.0,168.88999938964844,514168,2025-02-10
2025-02-17,157.1300048828125,157.1300048828125,162.77999877929688,144.99000549316406,145.0,803378,2025-02-17
2025-02-24,144.0500030517578,144.0500030517578,156.0,137.3699951171875,154.75,291564,2025-02-24
2025-03-03,146.17999267578125,146.17999267578125,149.25,133.38999938964844,146.85000610351562,642187,2025-03-03
2025-03-10,136.5399932861328,136.5399932861328,148.35000610351562,135.89999389648438,148.35000610351562,360911,2025-03-10
2025-03-17,143.0399932861328,143.0399932861328,145.42999267578125,131.30999755859375,137.63999938964844,645409,2025-03-17
2025-03-24,143.07000732421875,143.07000732421875,153.89999389648438,136.0500030517578,143.10000610351562,2007591,2025-03-24
2025-03-31,140.83999633789062,140.83999633789062,152.5,140.0,142.0,426864,2025-03-31
2025-04-07,141.94000244140625,141.94000244140625,143.89999389648438,129.0500030517578,131.0,283511,2025-04-07
2025-04-14,142.0500030517578,142.0500030517578,146.69000244140625,140.61000061035156,142.80999755859375,231444,2025-04-14
2025-04-21,140.3000030517578,140.3000030517578,154.89999389648438,139.25999450683594,143.89999389648438,716746,2025-04-21
2025-04-28,137.5,137.5,141.63999938964844,135.60000610351562,140.25,203689,2025-04-28
2025-05-05,130.22999572753906,130.22999572753906,141.58999633789062,128.5,136.25,273345,2025-05-05
2025-05-12,142.8000030517578,142.8000030517578,146.0,133.05999755859375,133.05999755859375,342708,2025-05-12
2025-05-19,143.25999450683594,143.25999450683594,147.0,139.41000366210938,142.8000030517578,297798,2025-05-19
2025-05-26,156.27000427246094,156.27000427246094,158.1999969482422,142.5500030517578,143.1999969482422,531981,2025-05-26
2025-06-02,148.5,148.5,159.5,135.10000610351562,140.0,1513956,2025-06-02
2025-06-09,142.22000122070312,142.22000122070312,151.89999389648438,141.5500030517578,150.0,465893,2025-06-09
2025-06-16,138.64999389648438,138.64999389648438,143.8699951171875,135.89999389648438,141.35000610351562,575720,2025-06-16
2025-06-23,146.1699981689453,146.1699981689453,151.6999969482422,136.8800048828125,138.49000549316406,1272012,2025-06-23
2025-06-30,139.69000244140625,139.69000244140625,147.6999969482422,139.5,145.5500030517578,280498,2025-06-30
2025-07-07,138.6999969482422,138.6999969482422,141.77999877929688,138.10000610351562,139.0500030517578,502633,2025-07-07
2025-07-14,140.57000732421875,140.57000732421875,141.39999389648438,137.75,139.8000030517578,84877,2025-07-14
