Date,Adj Close_APCOTEXIND.NS,Close_APCOTEXIND.NS,High_APCOTEXIND.NS,Low_APCOTEXIND.NS,Open_APCOTEXIND.NS,Volume_APCOTEXIND.NS,Date
2020-07-13,114.73519897460938,122.55000305175781,130.89999389648438,121.5999984741211,127.80000305175781,160466,2020-07-13
2020-07-20,113.6117172241211,121.3499984741211,130.60000610351562,116.6500015258789,123.19999694824219,319304,2020-07-20
2020-07-27,105.98141479492188,113.19999694824219,127.0,110.0999984741211,123.5999984741211,347099,2020-07-27
2020-08-03,113.98619842529297,121.75,122.69999694824219,110.0,114.69999694824219,345882,2020-08-03
2020-08-10,122.64635467529297,131.0,144.6999969482422,117.0,121.75,1508056,2020-08-10
2020-08-17,153.35475158691406,163.8000030517578,179.89999389648438,125.80000305175781,131.9499969482422,5342335,2020-08-17
2020-08-24,149.9375,160.14999389648438,175.0,159.9499969482422,164.9499969482422,1411118,2020-08-24
2020-08-31,141.88592529296875,151.5500030517578,160.0,146.0,157.5,495157,2020-08-31
2020-09-07,138.3750457763672,147.8000030517578,160.0,146.0,152.0,744313,2020-09-07
2020-09-14,140.8092041015625,150.39999389648438,157.9499969482422,148.5,149.4499969482422,331639,2020-09-14
2020-09-21,130.9788055419922,139.89999389648438,153.35000610351562,136.10000610351562,151.64999389648438,224435,2020-09-21
2020-09-28,135.84718322753906,145.10000610351562,146.85000610351562,140.14999389648438,142.5,134245,2020-09-28
2020-10-05,132.80447387695312,141.85000610351562,149.4499969482422,140.10000610351562,146.0,184858,2020-10-05
2020-10-12,125.36139678955078,133.89999389648438,144.0,133.0,141.60000610351562,161869,2020-10-12
2020-10-19,144.83502197265625,154.6999969482422,157.4499969482422,133.0,134.35000610351562,340048,2020-10-19
2020-10-26,140.99649047851562,150.60000610351562,171.0,145.75,154.39999389648438,1747227,2020-10-26
2020-11-02,139.7793731689453,149.3000030517578,154.14999389648438,136.10000610351562,151.5,354153,2020-11-02
2020-11-09,154.89952087402344,165.4499969482422,172.89999389648438,146.5,150.4499969482422,1526370,2020-11-09
2020-11-16,167.35140991210938,178.75,182.0,156.5,167.14999389648438,1546297,2020-11-16
2020-11-23,161.35952758789062,172.35000610351562,183.25,167.14999389648438,174.89999389648438,1089128,2020-11-23
2020-11-30,162.62344360351562,173.6999969482422,184.0,170.0,172.35000610351562,419996,2020-11-30
2020-12-07,159.2998046875,170.14999389648438,175.6999969482422,164.25,172.0500030517578,305802,2020-12-07
2020-12-14,154.01010131835938,164.5,172.5,161.75,170.3000030517578,395086,2020-12-14
2020-12-21,148.39273071289062,158.5,165.35000610351562,146.8000030517578,164.5,354207,2020-12-21
2020-12-28,154.85272216796875,165.39999389648438,170.89999389648438,156.8000030517578,159.0,468553,2020-12-28
2021-01-04,155.74212646484375,166.35000610351562,171.75,161.3000030517578,168.39999389648438,424479,2021-01-04
2021-01-11,165.1044464111328,176.35000610351562,179.8000030517578,162.5500030517578,167.3000030517578,1496381,2021-01-11
2021-01-18,172.03257751464844,183.75,196.6999969482422,171.35000610351562,176.8000030517578,2680759,2021-01-18
2021-01-25,168.70895385742188,180.1999969482422,197.0,175.9499969482422,187.5,1291658,2021-01-25
2021-02-01,170.34732055664062,181.9499969482422,188.0,176.25,182.0,678614,2021-02-01
2021-02-08,171.61126708984375,183.3000030517578,188.5500030517578,172.25,183.0,512989,2021-02-08
2021-02-15,170.8332061767578,180.89999389648438,190.0,174.60000610351562,183.85000610351562,507281,2021-02-15
2021-02-22,166.1114501953125,175.89999389648438,183.39999389648438,173.0500030517578,181.89999389648438,452406,2021-02-22
2021-03-01,169.558349609375,179.5500030517578,191.3000030517578,174.0500030517578,177.0,1007760,2021-03-01
2021-03-08,167.6223907470703,177.5,183.85000610351562,174.5,180.64999389648438,437361,2021-03-08
2021-03-15,169.27500915527344,179.25,194.39999389648438,171.0,178.0,1185322,2021-03-15
2021-03-22,167.0085906982422,176.85000610351562,185.89999389648438,168.6999969482422,178.0,450223,2021-03-22
2021-03-29,173.57180786132812,183.8000030517578,185.0,175.0,176.85000610351562,204734,2021-03-29
2021-04-05,173.28851318359375,183.5,184.9499969482422,177.0,183.64999389648438,293425,2021-04-05
2021-04-12,170.36102294921875,180.39999389648438,186.3000030517578,172.0,183.0,307641,2021-04-12
2021-04-19,190.09796142578125,201.3000030517578,207.8000030517578,174.0,180.5,1480653,2021-04-19
2021-04-26,219.8450469970703,232.8000030517578,235.8000030517578,202.1999969482422,202.1999969482422,2990529,2021-04-26
2021-05-03,277.4504699707031,293.79998779296875,307.79998779296875,230.0,232.0,4137588,2021-05-03
2021-05-10,293.74053955078125,311.04998779296875,325.0,282.75,296.95001220703125,1086102,2021-05-10
2021-05-17,341.8552551269531,362.0,385.0,312.0,312.0,1414165,2021-05-17
2021-05-24,329.059326171875,348.45001220703125,369.75,340.0,369.75,502996,2021-05-24
2021-05-31,310.31396484375,328.6000061035156,353.79998779296875,313.25,351.8500061035156,634414,2021-05-31
2021-06-07,301.9092102050781,319.70001220703125,334.75,316.1499938964844,331.1000061035156,347864,2021-06-07
2021-06-14,284.9580993652344,301.75,338.75,286.54998779296875,322.79998779296875,640529,2021-06-14
2021-06-21,293.1739807128906,310.45001220703125,316.0,298.04998779296875,304.20001220703125,296568,2021-06-21
