Date,Adj Close_3IINFOLTD.NS,Close_3IINFOLTD.NS,High_3IINFOLTD.NS,Low_3IINFOLTD.NS,Open_3IINFOLTD.NS,Volume_3IINFOLTD.NS,Date
2020-07-13,26.0,26.0,28.0,25.0,25.5,1749932,2020-07-13
2020-07-20,24.5,24.5,26.5,24.5,25.5,2004880,2020-07-20
2020-07-27,24.0,24.0,25.5,23.5,25.0,1769636,2020-07-27
2020-08-03,23.5,23.5,24.5,22.0,24.0,2869794,2020-08-03
2020-08-10,28.5,28.5,28.5,23.0,24.0,3248759,2020-08-10
2020-08-17,35.0,35.0,35.0,29.5,29.5,350300,2020-08-17
2020-08-24,38.5,38.5,41.0,36.5,36.5,1990866,2020-08-24
2020-08-31,37.0,37.0,37.0,32.5,37.0,1851434,2020-08-31
2020-09-07,37.0,37.0,40.0,34.5,38.5,3031070,2020-09-07
2020-09-14,34.0,34.0,38.5,34.0,37.0,2654737,2020-09-14
2020-09-21,29.0,29.0,34.0,29.0,33.5,2597937,2020-09-21
2020-09-28,34.5,34.5,34.5,29.0,29.0,1640025,2020-09-28
2020-10-05,32.5,32.5,36.0,32.0,36.0,2247179,2020-10-05
2020-10-12,31.5,31.5,33.5,31.0,31.5,1584248,2020-10-12
2020-10-19,31.5,31.5,32.5,29.5,32.0,3878306,2020-10-19
2020-10-26,30.0,30.0,32.0,29.5,32.0,1396455,2020-10-26
2020-11-02,29.5,29.5,30.0,29.0,30.0,760453,2020-11-02
2020-11-09,32.0,32.0,32.5,29.0,29.5,1369204,2020-11-09
2020-11-16,34.0,34.0,35.0,31.0,31.0,3518955,2020-11-16
2020-11-23,34.0,34.0,37.0,31.0,35.0,4290164,2020-11-23
2020-11-30,38.0,38.0,40.0,34.0,34.0,2717514,2020-11-30
2020-12-07,47.0,47.0,47.0,39.0,39.0,1251237,2020-12-07
2020-12-14,50.0,50.0,56.0,47.5,49.0,7965487,2020-12-14
2020-12-21,54.0,54.0,54.0,45.5,50.0,4849023,2020-12-21
2020-12-28,67.5,67.5,67.5,55.0,56.5,10386611,2020-12-28
2021-01-04,85.0,85.0,85.0,70.5,70.5,4509246,2021-01-04
2021-01-11,84.0,84.0,93.0,77.5,89.0,23581993,2021-01-11
2021-01-18,74.0,74.0,88.0,74.0,86.0,12735838,2021-01-18
2021-01-25,66.5,66.5,74.0,64.0,73.5,11350780,2021-01-25
2021-02-01,70.0,70.0,75.5,63.5,68.5,7575683,2021-02-01
2021-02-08,69.0,69.0,71.0,62.5,71.0,3222851,2021-02-08
2021-02-15,66.0,66.0,72.0,66.0,72.0,5869850,2021-02-15
2021-02-22,61.5,61.5,67.0,60.0,66.5,9321262,2021-02-22
2021-03-01,70.0,70.0,73.0,60.5,63.0,4391229,2021-03-01
2021-03-08,84.5,84.5,84.5,70.5,71.0,8944270,2021-03-08
2021-03-15,80.0,80.0,91.5,73.0,87.0,12588020,2021-03-15
2021-03-22,74.0,74.0,81.5,70.5,78.5,4303045,2021-03-22
2021-03-29,78.0,78.0,78.0,72.0,74.0,942046,2021-03-29
2021-04-05,80.5,80.5,85.5,76.0,81.5,6717141,2021-04-05
2021-04-12,70.5,70.5,79.5,69.0,79.0,4681261,2021-04-12
2021-04-19,68.5,68.5,72.0,67.0,69.0,4146332,2021-04-19
2021-04-26,79.5,79.5,81.0,70.5,71.0,11825990,2021-04-26
2021-05-03,77.5,77.5,86.0,74.0,80.0,10489994,2021-05-03
2021-05-10,92.5,92.5,92.5,79.5,80.0,13438997,2021-05-10
2021-05-17,89.0,89.0,98.0,84.0,97.0,31116953,2021-05-17
2021-05-24,90.0,90.0,96.5,86.5,89.5,19580615,2021-05-24
2021-05-31,88.5,88.5,93.0,84.5,93.0,12136695,2021-05-31
2021-06-07,91.0,91.0,95.0,86.0,89.0,6675268,2021-06-07
2021-06-14,105.0,105.0,105.0,87.5,90.0,7658000,2021-06-14
2021-06-21,96.0,96.0,115.5,96.0,107.0,11124836,2021-06-21
2021-06-28,99.5,99.5,104.0,95.5,95.5,5567843,2021-06-28
2021-07-05,98.0,98.0,102.5,95.0,101.5,4695619,2021-07-05
2021-07-12,91.5,91.5,100.5,90.5,98.0,3103649,2021-07-12
2021-07-19,87.5,87.5,95.0,87.0,91.5,2355674,2021-07-19
2021-07-26,93.0,93.0,100.5,84.5,88.0,2907548,2021-07-26
2021-08-02,89.5,89.5,96.0,86.0,93.0,2698400,2021-08-02
2021-08-09,79.5,79.5,91.0,79.5,90.0,3473404,2021-08-09
2021-08-16,73.0,73.0,82.0,73.0,79.5,1800262,2021-08-16
2021-08-23,84.5,84.5,84.5,66.5,73.5,2489032,2021-08-23
2021-08-30,84.5,84.5,84.5,84.5,84.5,0,2021-08-30
2021-09-06,84.5,84.5,84.5,84.5,84.5,0,2021-09-06
2021-09-13,84.5,84.5,84.5,84.5,84.5,0,2021-09-13
2021-09-20,84.5,84.5,84.5,84.5,84.5,0,2021-09-20
2021-09-27,84.5,84.5,84.5,84.5,84.5,0,2021-09-27
2021-10-04,84.5,84.5,84.5,84.5,84.5,0,2021-10-04
2021-10-11,84.5,84.5,84.5,84.5,84.5,0,2021-10-11
2021-10-18,31.0,31.0,84.5,29.549999237060547,84.5,96393,2021-10-18
2021-10-25,39.45000076293945,39.45000076293945,39.45000076293945,32.54999923706055,32.54999923706055,160071,2021-10-25
2021-11-01,47.849998474121094,47.849998474121094,47.849998474121094,41.400001525878906,41.400001525878906,717618,2021-11-01
2021-11-08,70.05000305175781,70.05000305175781,70.05000305175781,52.599998474121094,52.599998474121094,526235,2021-11-08
2021-11-15,85.0999984741211,85.0999984741211,85.0999984741211,73.55000305175781,73.55000305175781,2041569,2021-11-15
2021-11-22,108.5,108.5,108.5,89.3499984741211,89.3499984741211,9721093,2021-11-22
2021-11-29,102.5999984741211,102.5999984741211,113.9000015258789,93.0999984741211,113.9000015258789,26009716,2021-11-29
2021-12-06,100.8499984741211,100.8499984741211,113.05000305175781,98.6500015258789,107.69999694824219,20130589,2021-12-06
2021-12-13,105.3499984741211,105.3499984741211,119.30000305175781,99.5999984741211,101.94999694824219,20700835,2021-12-13
2021-12-20,91.75,91.75,100.0999984741211,89.69999694824219,100.0999984741211,22582684,2021-12-20
2021-12-27,94.6500015258789,94.6500015258789,95.8499984741211,90.05000305175781,91.9000015258789,10396582,2021-12-27
2022-01-03,91.6500015258789,91.6500015258789,96.9000015258789,89.0999984741211,94.55000305175781,8776850,2022-01-03
2022-01-10,90.9000015258789,90.9000015258789,92.8499984741211,85.44999694824219,92.5,11431945,2022-01-10
2022-01-17,81.55000305175781,81.55000305175781,91.80000305175781,81.19999694824219,91.44999694824219,6039329,2022-01-17
2022-01-24,78.80000305175781,78.80000305175781,81.80000305175781,73.69999694824219,81.3499984741211,3461173,2022-01-24
2022-01-31,76.0,76.0,81.3499984741211,75.80000305175781,79.25,2585556,2022-01-31
2022-02-07,66.5999984741211,66.5999984741211,76.9000015258789,66.5999984741211,76.0999984741211,4636595,2022-02-07
2022-02-14,62.150001525878906,62.150001525878906,65.44999694824219,59.0,63.29999923706055,7166340,2022-02-14
2022-02-21,51.599998474121094,51.599998474121094,63.400001525878906,49.650001525878906,62.0,3917186,2022-02-21
2022-02-28,52.5,52.5,52.5,49.099998474121094,50.79999923706055,3796212,2022-02-28
2022-03-07,61.75,61.75,65.1500015258789,51.0,52.25,5941881,2022-03-07
2022-03-14,56.599998474121094,56.599998474121094,63.45000076293945,56.0,62.599998474121094,3395853,2022-03-14
2022-03-21,54.25,54.25,59.400001525878906,54.099998474121094,57.5,4641340,2022-03-21
2022-03-28,53.79999923706055,53.79999923706055,54.900001525878906,49.54999923706055,54.20000076293945,6057140,2022-03-28
2022-04-04,68.75,68.75,73.0,55.0,55.70000076293945,11374056,2022-04-04
2022-04-11,66.44999694824219,66.44999694824219,69.9000015258789,65.25,68.94999694824219,2870273,2022-04-11
2022-04-18,63.75,63.75,67.0,58.400001525878906,67.0,3238616,2022-04-18
2022-04-25,57.75,57.75,63.0,56.900001525878906,61.20000076293945,2699526,2022-04-25
2022-05-02,52.70000076293945,52.70000076293945,57.349998474121094,49.25,56.900001525878906,1605876,2022-05-02
2022-05-09,49.650001525878906,49.650001525878906,53.5,43.20000076293945,53.0,4808852,2022-05-09
2022-05-16,49.650001525878906,49.650001525878906,52.79999923706055,48.25,52.0,2397152,2022-05-16
2022-05-23,47.0,47.0,50.650001525878906,43.0,50.54999923706055,1655429,2022-05-23
2022-05-30,48.650001525878906,48.650001525878906,52.0,46.75,48.0,2017318,2022-05-30
2022-06-06,45.79999923706055,45.79999923706055,49.0,41.54999923706055,48.650001525878906,1248769,2022-06-06
2022-06-13,40.70000076293945,40.70000076293945,45.849998474121094,40.20000076293945,44.599998474121094,1606006,2022-06-13
2022-06-20,40.79999923706055,40.79999923706055,41.599998474121094,37.25,40.849998474121094,1763171,2022-06-20
2022-06-27,41.25,41.25,43.400001525878906,40.349998474121094,41.599998474121094,1365667,2022-06-27
2022-07-04,41.900001525878906,41.900001525878906,42.849998474121094,40.5,42.150001525878906,1179896,2022-07-04
2022-07-11,42.54999923706055,42.54999923706055,46.400001525878906,41.099998474121094,41.70000076293945,1521525,2022-07-11
2022-07-18,43.099998474121094,43.099998474121094,45.79999923706055,42.70000076293945,42.79999923706055,1461553,2022-07-18
2022-07-25,43.04999923706055,43.04999923706055,43.900001525878906,41.099998474121094,43.099998474121094,1234948,2022-07-25
2022-08-01,40.849998474121094,40.849998474121094,42.70000076293945,39.70000076293945,42.0,3110949,2022-08-01
2022-08-08,40.70000076293945,40.70000076293945,42.20000076293945,40.5,41.0,1376097,2022-08-08
2022-08-15,45.70000076293945,45.70000076293945,48.5,40.5,40.70000076293945,5701763,2022-08-15
2022-08-22,44.45000076293945,44.45000076293945,46.04999923706055,43.0,45.70000076293945,2048113,2022-08-22
2022-08-29,47.54999923706055,47.54999923706055,49.45000076293945,41.5,41.5,4565567,2022-08-29
2022-09-05,52.54999923706055,52.54999923706055,53.29999923706055,46.25,47.5,6131670,2022-09-05
2022-09-12,49.70000076293945,49.70000076293945,54.20000076293945,48.599998474121094,53.29999923706055,6390592,2022-09-12
2022-09-19,45.29999923706055,45.29999923706055,50.400001525878906,45.04999923706055,49.650001525878906,2355436,2022-09-19
2022-09-26,43.849998474121094,43.849998474121094,46.0,40.20000076293945,44.79999923706055,1556662,2022-09-26
2022-10-03,44.04999923706055,44.04999923706055,44.95000076293945,43.0,43.849998474121094,1373206,2022-10-03
2022-10-10,42.349998474121094,42.349998474121094,43.900001525878906,42.0,43.599998474121094,1304589,2022-10-10
2022-10-17,41.849998474121094,41.849998474121094,43.0,41.5,42.29999923706055,1324989,2022-10-17
2022-10-24,43.5,43.5,46.349998474121094,41.79999923706055,42.04999923706055,2278637,2022-10-24
2022-10-31,43.900001525878906,43.900001525878906,46.400001525878906,43.45000076293945,44.0,2192363,2022-10-31
2022-11-07,43.599998474121094,43.599998474121094,44.400001525878906,42.04999923706055,44.20000076293945,2176897,2022-11-07
2022-11-14,41.95000076293945,41.95000076293945,43.650001525878906,41.400001525878906,43.599998474121094,1715445,2022-11-14
2022-11-21,42.25,42.25,44.0,41.599998474121094,43.54999923706055,2300667,2022-11-21
2022-11-28,43.099998474121094,43.099998474121094,44.849998474121094,42.04999923706055,42.25,3021608,2022-11-28
2022-12-05,41.650001525878906,41.650001525878906,43.5,41.5,43.349998474121094,1718064,2022-12-05
2022-12-12,42.5,42.5,45.45000076293945,40.599998474121094,41.650001525878906,5351209,2022-12-12
2022-12-19,38.79999923706055,38.79999923706055,45.0,38.54999923706055,44.650001525878906,4369096,2022-12-19
2022-12-26,40.75,40.75,41.599998474121094,39.0,39.0,1884158,2022-12-26
2023-01-02,41.099998474121094,41.099998474121094,41.95000076293945,40.54999923706055,40.70000076293945,1532243,2023-01-02
2023-01-09,40.54999923706055,40.54999923706055,41.599998474121094,40.099998474121094,41.5,1328590,2023-01-09
2023-01-16,39.95000076293945,39.95000076293945,40.900001525878906,39.75,40.79999923706055,1231402,2023-01-16
2023-01-23,37.900001525878906,37.900001525878906,40.25,37.400001525878906,40.0,1772952,2023-01-23
2023-01-30,36.29999923706055,36.29999923706055,39.20000076293945,36.04999923706055,37.900001525878906,1935417,2023-01-30
2023-02-06,36.70000076293945,36.70000076293945,38.5,36.0,36.0,1473417,2023-02-06
2023-02-13,36.25,36.25,37.599998474121094,35.45000076293945,36.849998474121094,1313495,2023-02-13
2023-02-20,34.20000076293945,34.20000076293945,36.45000076293945,34.04999923706055,36.45000076293945,1449155,2023-02-20
2023-02-27,33.400001525878906,33.400001525878906,34.5,32.0,34.099998474121094,2287532,2023-02-27
2023-03-06,33.75,33.75,34.650001525878906,32.75,33.54999923706055,1599051,2023-03-06
2023-03-13,30.5,30.5,33.599998474121094,30.299999237060547,33.5,1740598,2023-03-13
2023-03-20,29.850000381469727,29.850000381469727,31.049999237060547,29.649999618530273,30.5,2757905,2023-03-20
2023-03-27,27.450000762939453,27.450000762939453,30.399999618530273,26.25,30.399999618530273,3244555,2023-03-27
