Date,Adj Close_3IINFOLTD.NS,Close_3IINFOLTD.NS,High_3IINFOLTD.NS,Low_3IINFOLTD.NS,Open_3IINFOLTD.NS,Volume_3IINFOLTD.NS,Date
2023-04-03,35.25,35.25,36.900001525878906,27.25,27.25,6703571,2023-04-03
2023-04-10,33.0,33.0,35.20000076293945,32.900001525878906,34.29999923706055,1463037,2023-04-10
2023-04-17,33.20000076293945,33.20000076293945,33.79999923706055,30.100000381469727,33.0,2024880,2023-04-17
2023-04-24,32.849998474121094,32.849998474121094,33.29999923706055,32.25,33.150001525878906,1318496,2023-04-24
2023-05-01,35.95000076293945,35.95000076293945,37.29999923706055,32.849998474121094,32.849998474121094,3037859,2023-05-01
2023-05-08,32.75,32.75,33.70000076293945,31.299999237060547,33.0,3335820,2023-05-08
2023-05-15,32.04999923706055,32.04999923706055,33.0,31.799999237060547,32.849998474121094,1243091,2023-05-15
2023-05-22,31.450000762939453,31.450000762939453,33.29999923706055,30.700000762939453,33.29999923706055,1683323,2023-05-22
2023-05-29,32.5,32.5,33.150001525878906,30.950000762939453,31.5,1933623,2023-05-29
2023-06-05,32.099998474121094,32.099998474121094,33.150001525878906,31.700000762939453,32.75,1464053,2023-06-05
2023-06-12,34.45000076293945,34.45000076293945,35.599998474121094,32.150001525878906,32.349998474121094,5651280,2023-06-12
2023-06-19,35.150001525878906,35.150001525878906,38.20000076293945,33.75,34.29999923706055,6524666,2023-06-19
2023-06-26,33.75,33.75,35.400001525878906,33.5,35.0,1744708,2023-06-26
2023-07-03,33.400001525878906,33.400001525878906,34.79999923706055,33.29999923706055,34.0,2055569,2023-07-03
2023-07-10,34.099998474121094,34.099998474121094,34.75,32.25,33.45000076293945,5085354,2023-07-10
2023-07-17,34.099998474121094,34.099998474121094,35.45000076293945,34.0,34.29999923706055,3396246,2023-07-17
2023-07-24,33.25,33.25,35.349998474121094,33.04999923706055,34.400001525878906,2824828,2023-07-24
2023-07-31,34.04999923706055,34.04999923706055,36.79999923706055,32.75,33.29999923706055,5102230,2023-07-31
2023-08-07,32.599998474121094,32.599998474121094,34.349998474121094,32.400001525878906,33.849998474121094,2435874,2023-08-07
2023-08-14,32.25,32.25,32.79999923706055,31.799999237060547,32.54999923706055,1318737,2023-08-14
2023-08-21,32.5,32.5,33.45000076293945,32.0,32.25,2197609,2023-08-21
2023-08-28,32.79999923706055,32.79999923706055,33.45000076293945,31.5,32.70000076293945,3344245,2023-08-28
2023-09-04,39.150001525878906,39.150001525878906,44.45000076293945,33.0,33.0,36862116,2023-09-04
2023-09-11,38.400001525878906,38.400001525878906,40.45000076293945,34.54999923706055,39.599998474121094,4259935,2023-09-11
2023-09-18,40.349998474121094,40.349998474121094,40.849998474121094,37.20000076293945,38.599998474121094,4739719,2023-09-18
2023-09-25,40.45000076293945,40.45000076293945,42.900001525878906,40.099998474121094,40.79999923706055,7448576,2023-09-25
2023-10-02,41.25,41.25,43.20000076293945,39.650001525878906,40.45000076293945,5591373,2023-10-02
2023-10-09,38.5,38.5,41.0,38.400001525878906,40.20000076293945,3169474,2023-10-09
2023-10-16,38.70000076293945,38.70000076293945,39.849998474121094,38.349998474121094,38.599998474121094,2984387,2023-10-16
2023-10-23,36.599998474121094,36.599998474121094,39.20000076293945,34.650001525878906,38.900001525878906,3130945,2023-10-23
2023-10-30,37.5,37.5,38.099998474121094,36.20000076293945,36.79999923706055,2347130,2023-10-30
2023-11-06,35.400001525878906,35.400001525878906,38.5,35.20000076293945,37.95000076293945,3371347,2023-11-06
2023-11-13,36.95000076293945,36.95000076293945,37.79999923706055,35.650001525878906,36.20000076293945,3093645,2023-11-13
2023-11-20,47.099998474121094,47.099998474121094,50.95000076293945,36.95000076293945,36.95000076293945,59024721,2023-11-20
2023-11-27,44.599998474121094,44.599998474121094,49.849998474121094,44.099998474121094,47.099998474121094,10219726,2023-11-27
2023-12-04,44.900001525878906,44.900001525878906,47.79999923706055,43.349998474121094,45.099998474121094,6307124,2023-12-04
2023-12-11,47.400001525878906,47.400001525878906,48.45000076293945,43.79999923706055,45.04999923706055,13695540,2023-12-11
2023-12-18,45.20000076293945,45.20000076293945,48.599998474121094,42.70000076293945,48.099998474121094,10190405,2023-12-18
2023-12-25,48.95000076293945,48.95000076293945,51.900001525878906,44.5,45.20000076293945,22481751,2023-12-25
2024-01-01,53.650001525878906,53.650001525878906,60.099998474121094,49.20000076293945,49.20000076293945,37598173,2024-01-01
2024-01-08,55.0,55.0,57.900001525878906,51.650001525878906,53.849998474121094,12410018,2024-01-08
2024-01-15,54.0,54.0,56.849998474121094,51.5,55.0,6770748,2024-01-15
2024-01-22,57.75,57.75,60.79999923706055,54.0,54.0,17021848,2024-01-22
2024-01-29,56.900001525878906,56.900001525878906,63.900001525878906,56.29999923706055,57.45000076293945,23724440,2024-01-29
2024-02-05,50.25,50.25,61.20000076293945,48.849998474121094,57.150001525878906,19983145,2024-02-05
2024-02-12,53.25,53.25,55.5,44.849998474121094,50.5,16712770,2024-02-12
2024-02-19,52.04999923706055,52.04999923706055,54.150001525878906,50.400001525878906,53.5,6172171,2024-02-19
2024-02-26,49.150001525878906,49.150001525878906,53.0,47.349998474121094,52.29999923706055,5401408,2024-02-26
2024-03-04,45.75,45.75,49.900001525878906,44.849998474121094,49.5,3479822,2024-03-04
2024-03-11,40.900001525878906,40.900001525878906,46.5,38.54999923706055,45.95000076293945,12739207,2024-03-11
2024-03-18,41.849998474121094,41.849998474121094,42.45000076293945,39.400001525878906,41.79999923706055,5895772,2024-03-18
2024-03-25,39.5,39.5,42.150001525878906,39.0,41.849998474121094,6164029,2024-03-25
2024-04-01,44.849998474121094,44.849998474121094,46.0,39.95000076293945,39.95000076293945,7406817,2024-04-01
2024-04-08,41.599998474121094,41.599998474121094,45.45000076293945,41.400001525878906,45.150001525878906,3661793,2024-04-08
2024-04-15,38.79999923706055,38.79999923706055,41.25,38.5,40.25,4133129,2024-04-15
2024-04-22,40.0,40.0,41.95000076293945,37.900001525878906,39.099998474121094,7642826,2024-04-22
2024-04-29,38.900001525878906,38.900001525878906,40.75,38.349998474121094,40.29999923706055,3592562,2024-04-29
2024-05-06,36.849998474121094,36.849998474121094,39.25,35.45000076293945,39.25,4118779,2024-05-06
2024-05-13,39.400001525878906,39.400001525878906,39.79999923706055,35.75,36.79999923706055,4072611,2024-05-13
2024-05-20,38.150001525878906,38.150001525878906,39.400001525878906,37.29999923706055,39.29999923706055,2154587,2024-05-20
2024-05-27,34.849998474121094,34.849998474121094,38.45000076293945,34.54999923706055,38.099998474121094,3069483,2024-05-27
2024-06-03,37.900001525878906,37.900001525878906,38.29999923706055,30.25,35.54999923706055,14731999,2024-06-03
2024-06-10,36.709999084472656,36.709999084472656,38.34000015258789,36.099998474121094,37.849998474121094,7483150,2024-06-10
2024-06-17,37.119998931884766,37.119998931884766,39.20000076293945,36.0099983215332,36.709999084472656,7884029,2024-06-17
2024-06-24,36.459999084472656,36.459999084472656,37.5,34.95000076293945,37.0,5732293,2024-06-24
2024-07-01,40.209999084472656,40.209999084472656,41.5099983215332,35.91999816894531,36.75,14411715,2024-07-01
2024-07-08,38.279998779296875,38.279998779296875,42.59000015258789,37.599998474121094,40.400001525878906,8671277,2024-07-08
2024-07-15,37.08000183105469,37.08000183105469,39.70000076293945,37.0,38.470001220703125,4746782,2024-07-15
2024-07-22,37.56999969482422,37.56999969482422,39.08000183105469,35.31999969482422,36.95000076293945,5167587,2024-07-22
2024-07-29,35.689998626708984,35.689998626708984,38.380001068115234,35.22999954223633,37.88999938964844,4806660,2024-07-29
2024-08-05,34.0,34.0,35.45000076293945,33.79999923706055,35.0,4260164,2024-08-05
2024-08-12,33.61000061035156,33.61000061035156,34.38999938964844,32.400001525878906,34.060001373291016,3233796,2024-08-12
2024-08-19,35.459999084472656,35.459999084472656,35.939998626708984,33.65999984741211,33.75,3763262,2024-08-19
2024-08-26,35.099998474121094,35.099998474121094,38.16999816894531,34.95000076293945,35.470001220703125,7185840,2024-08-26
2024-09-02,33.040000915527344,33.040000915527344,35.25,32.810001373291016,35.25,3808694,2024-09-02
2024-09-09,33.66999816894531,33.66999816894531,34.20000076293945,32.529998779296875,33.040000915527344,2996394,2024-09-09
2024-09-16,32.470001220703125,32.470001220703125,33.9900016784668,32.310001373291016,33.79999923706055,2777750,2024-09-16
2024-09-23,32.130001068115234,32.130001068115234,34.5,31.719999313354492,32.66999816894531,5385009,2024-09-23
2024-09-30,31.670000076293945,31.670000076293945,33.45000076293945,31.5,32.130001068115234,3543292,2024-09-30
2024-10-07,30.329999923706055,30.329999923706055,32.0,29.520000457763672,31.899999618530273,3352089,2024-10-07
2024-10-14,28.969999313354492,28.969999313354492,30.690000534057617,28.010000228881836,30.489999771118164,2735918,2024-10-14
2024-10-21,26.06999969482422,26.06999969482422,29.190000534057617,25.229999542236328,29.049999237060547,3751967,2024-10-21
2024-10-28,28.350000381469727,28.350000381469727,28.450000762939453,25.90999984741211,26.149999618530273,2660617,2024-10-28
2024-11-04,28.510000228881836,28.510000228881836,29.8799991607666,27.309999465942383,28.479999542236328,2402951,2024-11-04
2024-11-11,26.979999542236328,26.979999542236328,28.389999389648438,26.75,28.389999389648438,1501569,2024-11-11
2024-11-18,26.389999389648438,26.389999389648438,27.239999771118164,25.950000762939453,26.979999542236328,1332660,2024-11-18
2024-11-25,28.670000076293945,28.670000076293945,29.399999618530273,26.1299991607666,27.270000457763672,3516626,2024-11-25
2024-12-02,28.90999984741211,28.90999984741211,29.3799991607666,28.31999969482422,28.8799991607666,2222790,2024-12-02
2024-12-09,32.689998626708984,32.689998626708984,33.400001525878906,28.75,29.0,9233641,2024-12-09
2024-12-16,29.100000381469727,29.100000381469727,33.189998626708984,29.0,32.65999984741211,3193640,2024-12-16
2024-12-23,28.31999969482422,28.31999969482422,29.940000534057617,28.239999771118164,29.59000015258789,1426617,2024-12-23
2024-12-30,31.780000686645508,31.780000686645508,34.880001068115234,27.75,28.450000762939453,18521906,2024-12-30
2025-01-06,28.079999923706055,28.079999923706055,31.770000457763672,27.899999618530273,31.770000457763672,2877402,2025-01-06
2025-01-13,28.399999618530273,28.399999618530273,28.84000015258789,26.8799991607666,27.5,2269825,2025-01-13
2025-01-20,27.059999465942383,27.059999465942383,29.299999237060547,26.8799991607666,28.459999084472656,2084272,2025-01-20
2025-01-27,28.950000762939453,28.950000762939453,31.440000534057617,25.049999237060547,27.059999465942383,15722385,2025-01-27
2025-02-03,29.68000030517578,29.68000030517578,31.700000762939453,28.079999923706055,28.219999313354492,6299913,2025-02-03
2025-02-10,26.1299991607666,26.1299991607666,29.940000534057617,25.940000534057617,29.81999969482422,3387228,2025-02-10
2025-02-17,25.670000076293945,25.670000076293945,26.8799991607666,24.299999237060547,26.049999237060547,3106371,2025-02-17
2025-02-24,23.729999542236328,23.729999542236328,25.8799991607666,23.540000915527344,25.670000076293945,1786652,2025-02-24
2025-03-03,24.450000762939453,24.450000762939453,24.93000030517578,22.5,23.5,3797719,2025-03-03
2025-03-10,22.280000686645508,22.280000686645508,24.75,21.600000381469727,24.40999984741211,2387719,2025-03-10
2025-03-17,22.920000076293945,22.920000076293945,23.639999389648438,22.0,22.280000686645508,4824043,2025-03-17
2025-03-24,21.149999618530273,21.149999618530273,24.100000381469727,21.100000381469727,23.0,8061181,2025-03-24
2025-03-31,22.200000762939453,22.200000762939453,22.950000762939453,21.059999465942383,21.149999618530273,2184694,2025-03-31
2025-04-07,21.079999923706055,21.079999923706055,21.979999542236328,20.219999313354492,21.479999542236328,2058866,2025-04-07
2025-04-14,22.25,22.25,22.56999969482422,21.229999542236328,21.229999542236328,1278121,2025-04-14
2025-04-21,23.829999923706055,23.829999923706055,25.770000457763672,22.15999984741211,22.440000534057617,6108717,2025-04-21
2025-04-28,23.399999618530273,23.399999618530273,24.799999237060547,22.809999465942383,23.610000610351562,1653393,2025-04-28
2025-05-05,22.549999237060547,22.549999237060547,24.600000381469727,21.670000076293945,23.459999084472656,1928943,2025-05-05
2025-05-12,25.469999313354492,25.469999313354492,27.450000762939453,23.0,23.0,4887072,2025-05-12
2025-05-19,25.239999771118164,25.239999771118164,26.200000762939453,24.5,25.399999618530273,2584408,2025-05-19
2025-05-26,24.829999923706055,24.829999923706055,25.600000381469727,24.75,25.1200008392334,1635169,2025-05-26
2025-06-02,24.68000030517578,24.68000030517578,25.969999313354492,24.3799991607666,24.829999923706055,2056126,2025-06-02
2025-06-09,25.510000228881836,25.510000228881836,27.399999618530273,24.719999313354492,24.719999313354492,5165075,2025-06-09
2025-06-16,24.530000686645508,24.530000686645508,26.850000381469727,24.110000610351562,25.0,2862982,2025-06-16
2025-06-23,25.229999542236328,25.229999542236328,26.18000030517578,24.059999465942383,24.290000915527344,1990455,2025-06-23
2025-06-30,24.389999389648438,24.389999389648438,25.600000381469727,24.209999084472656,25.209999084472656,2407209,2025-06-30
2025-07-07,23.799999237060547,23.799999237060547,24.739999771118164,23.600000381469727,24.3799991607666,1981630,2025-07-07
2025-07-14,23.81999969482422,23.81999969482422,24.0,23.43000030517578,23.799999237060547,649568,2025-07-14
