Date,Adj Close_KABRAEXTRU.NS,Close_KABRAEXTRU.NS,High_KABRAEXTRU.NS,Low_KABRAEXTRU.NS,Open_KABRAEXTRU.NS,Volume_KABRAEXTRU.NS,Date
2020-07-13,46.68312454223633,48.70000076293945,51.5,48.099998474121094,51.25,50424,2020-07-13
2020-07-20,45.38903045654297,47.349998474121094,51.5,47.25,48.849998474121094,55683,2020-07-20
2020-07-27,50.61332702636719,52.79999923706055,53.25,45.099998474121094,47.54999923706055,90993,2020-07-27
2020-08-03,54.8790283203125,57.25,57.79999923706055,50.099998474121094,53.5,107225,2020-08-03
2020-08-10,61.78084182739258,64.44999694824219,70.4000015258789,54.54999923706055,57.849998474121094,842686,2020-08-10
2020-08-17,74.57796478271484,77.80000305175781,83.80000305175781,63.400001525878906,64.44999694824219,539458,2020-08-17
2020-08-24,70.50397491455078,73.55000305175781,81.80000305175781,72.0999984741211,79.80000305175781,192116,2020-08-24
2020-08-31,66.52584075927734,69.4000015258789,75.55000305175781,68.0,74.19999694824219,107981,2020-08-31
2020-09-07,63.554229736328125,66.30000305175781,69.75,62.20000076293945,69.25,49263,2020-09-07
2020-09-14,59.81574630737305,62.400001525878906,69.4000015258789,62.0,66.3499984741211,142633,2020-09-14
2020-09-21,60.390899658203125,63.0,65.4000015258789,55.150001525878906,62.45000076293945,117985,2020-09-21
2020-09-28,73.66730499267578,76.8499984741211,81.0,65.94999694824219,66.0,334225,2020-09-28
2020-10-05,66.86134338378906,69.75,77.75,67.5999984741211,76.1500015258789,130602,2020-10-05
2020-10-12,69.40160369873047,72.4000015258789,75.0,67.0,69.4000015258789,97086,2020-10-12
2020-10-19,76.97442626953125,80.30000305175781,81.94999694824219,70.94999694824219,73.30000305175781,204773,2020-10-19
2020-10-26,71.75012969970703,74.8499984741211,85.0,72.80000305175781,80.1500015258789,90742,2020-10-26
2020-11-02,75.728271484375,79.0,79.44999694824219,73.9000015258789,75.05000305175781,72706,2020-11-02
2020-11-09,73.8590316772461,77.05000305175781,83.0,73.0,79.0,127057,2020-11-09
2020-11-16,74.76968383789062,78.0,79.5,74.9000015258789,77.05000305175781,54947,2020-11-16
2020-11-23,75.48863220214844,78.75,83.0,75.19999694824219,79.05000305175781,101272,2020-11-23
2020-11-30,86.89579010009766,90.6500015258789,93.0,76.0999984741211,78.75,445699,2020-11-30
2020-12-07,89.77155303955078,93.6500015258789,108.0,90.0,93.4000015258789,1798535,2020-12-07
2020-12-14,88.66918182373047,92.5,96.1500015258789,90.0,94.44999694824219,165695,2020-12-14
2020-12-21,93.36624908447266,97.4000015258789,103.0,82.0999984741211,90.55000305175781,263142,2020-12-21
2020-12-28,92.26387786865234,96.25,101.0,95.05000305175781,99.94999694824219,204536,2020-12-28
2021-01-04,101.22665405273438,105.5999984741211,111.0999984741211,93.8499984741211,98.9000015258789,1039103,2021-01-04
2021-01-11,108.12847137451172,112.80000305175781,116.0,99.5999984741211,106.1500015258789,730211,2021-01-11
2021-01-18,98.30296325683594,102.55000305175781,114.75,102.0,111.5,440823,2021-01-18
2021-01-25,97.82368469238281,102.05000305175781,105.5,92.30000305175781,105.5,184276,2021-01-25
2021-02-01,109.42256164550781,114.1500015258789,119.55000305175781,99.30000305175781,102.0,484643,2021-02-01
2021-02-08,127.92323303222656,133.4499969482422,135.0,108.55000305175781,115.19999694824219,927828,2021-02-08
2021-02-15,121.2610855102539,126.5,141.9499969482422,123.3499984741211,134.5,1005128,2021-02-15
2021-02-22,125.23921966552734,130.64999389648438,138.6999969482422,124.0,128.0,647069,2021-02-22
2021-03-01,136.8860321044922,142.8000030517578,157.3000030517578,130.5,130.5,1818800,2021-03-01
2021-03-08,171.92234802246094,179.35000610351562,179.8000030517578,142.9499969482422,142.9499969482422,2531980,2021-03-08
2021-03-15,180.5975341796875,188.39999389648438,194.39999389648438,158.0500030517578,181.0,2981569,2021-03-15
2021-03-22,179.54310607910156,187.3000030517578,215.0,181.25,190.25,2391936,2021-03-22
2021-03-29,171.29925537109375,178.6999969482422,192.0,173.3000030517578,187.3000030517578,448377,2021-03-29
2021-04-05,170.6282501220703,178.0,198.6999969482422,165.0,179.8000030517578,1008489,2021-04-05
2021-04-12,162.3843994140625,169.39999389648438,176.0,161.0,176.0,378103,2021-04-12
2021-04-19,157.87904357910156,164.6999969482422,177.3000030517578,159.5,163.5,278727,2021-04-19
2021-04-26,157.4477081298828,164.25,174.35000610351562,161.0,165.5,282851,2021-04-26
2021-05-03,156.10569763183594,162.85000610351562,172.8000030517578,156.8000030517578,168.0,292552,2021-05-03
2021-05-10,174.22293090820312,181.75,189.85000610351562,160.14999389648438,165.14999389648438,709017,2021-05-10
2021-05-17,170.05308532714844,177.39999389648438,200.0,175.0,188.6999969482422,1529991,2021-05-17
2021-05-24,187.83485412597656,195.9499969482422,208.89999389648438,186.0,190.0,2022190,2021-05-24
2021-05-31,183.80882263183594,191.75,201.0,186.75,197.39999389648438,786165,2021-05-31
2021-06-07,177.86557006835938,185.5500030517578,194.5,180.0,194.5,891548,2021-06-07
2021-06-14,173.69570922851562,181.1999969482422,190.60000610351562,175.0,188.0,977091,2021-06-14
2021-06-21,184.28810119628906,192.25,200.8000030517578,175.5,178.10000610351562,1458722,2021-06-21
2021-06-28,199.14617919921875,207.75,219.5,192.75,196.6999969482422,2938878,2021-06-28
2021-07-05,200.34439086914062,209.0,222.0,200.0,209.64999389648438,1544244,2021-07-05
2021-07-12,198.5231170654297,207.10000610351562,215.0,203.10000610351562,211.5,790262,2021-07-12
2021-07-19,222.29600524902344,231.89999389648438,242.0,208.0,209.5,4223145,2021-07-19
2021-07-26,205.82101440429688,212.39999389648438,234.60000610351562,195.39999389648438,232.89999389648438,2072067,2021-07-26
2021-08-02,207.9044189453125,214.5500030517578,217.35000610351562,198.39999389648438,213.5,863527,2021-08-02
2021-08-09,219.24203491210938,226.25,230.0,180.60000610351562,214.0,1585959,2021-08-09
2021-08-16,216.14114379882812,223.0500030517578,244.6999969482422,209.0,227.85000610351562,2650341,2021-08-16
2021-08-23,248.65196228027344,256.6000061035156,269.70001220703125,207.0,227.1999969482422,3864827,2021-08-23
2021-08-30,232.46922302246094,239.89999389648438,267.20001220703125,237.0,261.0,1113495,2021-08-30
2021-09-06,235.86080932617188,243.39999389648438,248.5,234.0,240.0,621672,2021-09-06
2021-09-13,234.64952087402344,242.14999389648438,262.0,235.25,243.39999389648438,1288329,2021-09-13
2021-09-20,239.10704040527344,246.75,257.3999938964844,229.9499969482422,240.0,671622,2021-09-20
2021-09-27,250.832275390625,258.8500061035156,265.8999938964844,240.0,249.4499969482422,768139,2021-09-27
2021-10-04,243.41920471191406,251.1999969482422,275.0,249.0,259.0,1166751,2021-10-04
2021-10-11,241.6265106201172,249.35000610351562,262.75,241.60000610351562,250.0500030517578,483734,2021-10-11
2021-10-18,237.02365112304688,244.60000610351562,259.79998779296875,231.0,251.39999389648438,677162,2021-10-18
2021-10-25,226.5097198486328,233.75,247.4499969482422,230.89999389648438,246.60000610351562,310350,2021-10-25
2021-11-01,233.34136962890625,240.8000030517578,250.0,231.8000030517578,233.10000610351562,152045,2021-11-01
2021-11-08,244.38821411132812,252.1999969482422,254.9499969482422,238.89999389648438,244.8000030517578,403248,2021-11-08
