Date,Adj Close_IGPL.NS,Close_IGPL.NS,High_IGPL.NS,Low_IGPL.NS,Open_IGPL.NS,Volume_IGPL.NS,Date
2020-07-13,149.2281951904297,160.14999389648438,163.14999389648438,148.9499969482422,158.85000610351562,110617,2020-07-13
2020-07-20,147.50436401367188,158.3000030517578,174.8000030517578,154.8000030517578,166.5,208611,2020-07-20
2020-07-27,147.2714080810547,158.0500030517578,163.4499969482422,150.10000610351562,153.64999389648438,90927,2020-07-27
2020-08-03,177.92770385742188,190.9499969482422,200.0,156.0,160.6999969482422,295869,2020-08-03
2020-08-10,174.3402862548828,187.10000610351562,205.0,181.5500030517578,190.9499969482422,207359,2020-08-10
2020-08-17,240.17213439941406,257.75,284.3999938964844,183.39999389648438,187.10000610351562,1566278,2020-08-17
2020-08-24,230.30752563476562,244.5500030517578,270.0,240.60000610351562,258.0,497835,2020-08-24
2020-08-31,226.5875701904297,240.60000610351562,254.89999389648438,220.10000610351562,245.0,255677,2020-08-31
2020-09-07,222.4909210205078,236.25,245.75,225.0,241.3000030517578,115501,2020-09-07
2020-09-14,242.8329315185547,257.8500061035156,270.0,239.9499969482422,239.9499969482422,482437,2020-09-14
2020-09-21,271.46246337890625,288.25,310.0,243.3000030517578,261.79998779296875,836178,2020-09-21
2020-09-28,304.5182800292969,323.3500061035156,337.95001220703125,293.0,297.95001220703125,783815,2020-09-28
2020-10-05,276.9246520996094,294.04998779296875,334.0,290.29998779296875,327.0,240049,2020-10-05
2020-10-12,278.80816650390625,296.04998779296875,317.75,292.29998779296875,296.1000061035156,165571,2020-10-12
2020-10-19,285.1650695800781,302.79998779296875,319.3999938964844,296.0,302.8999938964844,137394,2020-10-19
2020-10-26,274.3819274902344,291.3500061035156,308.8999938964844,282.0,306.3500061035156,129154,2020-10-26
2020-11-02,295.7127685546875,314.0,315.0,266.0,292.04998779296875,242681,2020-11-02
2020-11-09,402.8380432128906,427.75,428.1499938964844,301.45001220703125,317.04998779296875,799856,2020-11-09
2020-11-16,421.7674560546875,447.8500061035156,449.1000061035156,389.25,389.25,555388,2020-11-16
2020-11-23,418.9421691894531,444.8500061035156,459.79998779296875,424.0,455.79998779296875,240171,2020-11-23
2020-11-30,460.8975524902344,489.3999938964844,503.95001220703125,437.1000061035156,444.8500061035156,230465,2020-11-30
2020-12-07,443.8987731933594,471.3500061035156,497.0,453.0,496.0,153392,2020-12-07
2020-12-14,402.6968078613281,427.6000061035156,479.8999938964844,425.0,470.0,141873,2020-12-14
2020-12-21,394.3622131347656,418.75,442.0,385.95001220703125,427.0,159945,2020-12-21
2020-12-28,399.02392578125,423.70001220703125,439.04998779296875,412.8500061035156,418.75,196215,2020-12-28
2021-01-04,365.12054443359375,387.70001220703125,432.8999938964844,386.45001220703125,424.0,285391,2021-01-04
2021-01-11,367.80450439453125,390.54998779296875,406.0,386.0,396.0,130459,2021-01-11
2021-01-18,346.0027770996094,367.3999938964844,405.0,355.3500061035156,405.0,101390,2021-01-18
2021-01-25,362.7661437988281,385.20001220703125,398.0,367.45001220703125,369.0,83632,2021-01-25
2021-02-01,412.44403076171875,437.95001220703125,470.3500061035156,387.1499938964844,387.1499938964844,646268,2021-02-01
2021-02-08,416.1168518066406,441.8500061035156,499.8999938964844,431.75,444.54998779296875,1178301,2021-02-08
2021-02-15,407.1230163574219,432.29998779296875,455.6000061035156,414.8999938964844,443.0,333239,2021-02-15
2021-02-22,411.1255187988281,436.54998779296875,451.3999938964844,423.0,435.0,264007,2021-02-22
2021-03-01,491.22222900390625,521.5999755859375,558.5,442.0,442.0,1233903,2021-03-01
2021-03-08,473.6584167480469,502.95001220703125,540.9000244140625,495.0,530.9500122070312,305073,2021-03-08
