Date,Adj Close_EIHOTEL.NS,Close_EIHOTEL.NS,High_EIHOTEL.NS,Low_EIHOTEL.NS,Open_EIHOTEL.NS,Volume_EIHOTEL.NS,Date
2020-07-13,59.84048843383789,60.320491790771484,63.06679153442383,60.12432861328125,62.282135009765625,1724921,2020-07-13
2020-07-20,59.305328369140625,59.78104019165039,62.184051513671875,58.60405731201172,61.5465202331543,5209849,2020-07-20
2020-07-27,63.100093841552734,63.60624313354492,66.05829620361328,58.16268539428711,59.830081939697266,10800684,2020-07-27
2020-08-03,66.89485168457031,67.43144226074219,68.657470703125,62.772544860839844,63.06679153442383,6487561,2020-08-03
2020-08-10,73.17080688476562,73.75774383544922,78.8580093383789,65.42076110839844,68.16706085205078,15601479,2020-08-10
2020-08-17,89.80937957763672,90.52977752685547,94.45306396484375,75.76842498779297,77.48486328125,24164401,2020-08-17
2020-08-24,90.97699737548828,91.7067642211914,93.07991790771484,85.87088012695312,91.5105972290039,12316073,2020-08-24
2020-08-31,85.28485870361328,85.96896362304688,94.25689697265625,81.65335083007812,94.25689697265625,7340684,2020-08-31
2020-09-07,82.90097045898438,83.56594848632812,86.80265808105469,77.68102264404297,86.80265808105469,5945896,2020-09-07
2020-09-14,84.26319885253906,84.93910217285156,90.03936767578125,83.66403198242188,84.25252532958984,8377971,2020-09-14
2020-09-21,77.67692565917969,78.30000305175781,85.28238677978516,67.97089385986328,84.69389343261719,5954592,2020-09-21
2020-09-28,82.93474578857422,83.5999984741211,84.69999694824219,78.75,78.9000015258789,2434239,2020-09-28
2020-10-05,77.57771301269531,78.19999694824219,83.9000015258789,77.0,83.9000015258789,2236112,2020-10-05
2020-10-12,76.18885803222656,76.80000305175781,79.44999694824219,74.0,79.0,2432129,2020-10-12
2020-10-19,78.27214813232422,78.9000015258789,80.3499984741211,74.6500015258789,77.0,1802873,2020-10-19
2020-10-26,74.50238037109375,75.0999984741211,80.0,74.55000305175781,80.0,1232419,2020-10-26
2020-11-02,75.54403686523438,76.1500015258789,79.5999984741211,71.9000015258789,75.0999984741211,2437827,2020-11-02
2020-11-09,81.69468688964844,82.3499984741211,83.9000015258789,76.0,77.0,6800745,2020-11-09
2020-11-16,88.29177856445312,89.0,90.4000015258789,81.5999984741211,81.5999984741211,7092711,2020-11-16
2020-11-23,89.135009765625,89.8499984741211,91.5,85.0999984741211,89.8499984741211,3937080,2020-11-23
