Date,Adj Close_AXISCADES.NS,Close_AXISCADES.NS,High_AXISCADES.NS,Low_AXISCADES.NS,Open_AXISCADES.NS,Volume_AXISCADES.NS,Date
2020-07-13,58.0,58.0,61.79999923706055,54.099998474121094,59.29999923706055,339499,2020-07-13
2020-07-20,55.150001525878906,55.150001525878906,59.79999923706055,51.95000076293945,59.79999923706055,440002,2020-07-20
2020-07-27,53.349998474121094,53.349998474121094,57.400001525878906,52.650001525878906,55.150001525878906,182866,2020-07-27
2020-08-03,53.650001525878906,53.650001525878906,57.599998474121094,50.70000076293945,53.349998474121094,193583,2020-08-03
2020-08-10,60.099998474121094,60.099998474121094,65.1500015258789,55.0,55.900001525878906,359453,2020-08-10
2020-08-17,67.80000305175781,67.80000305175781,68.9000015258789,60.25,60.25,408298,2020-08-17
2020-08-24,70.30000305175781,70.30000305175781,73.75,64.5,66.0,546029,2020-08-24
2020-08-31,61.75,61.75,72.9000015258789,61.54999923706055,72.9000015258789,323364,2020-08-31
2020-09-07,54.04999923706055,54.04999923706055,63.0,53.150001525878906,62.29999923706055,201695,2020-09-07
2020-09-14,55.349998474121094,55.349998474121094,56.75,48.150001525878906,56.29999923706055,569734,2020-09-14
2020-09-21,51.25,51.25,57.45000076293945,49.70000076293945,57.45000076293945,234519,2020-09-21
2020-09-28,50.29999923706055,50.29999923706055,54.0,47.54999923706055,51.25,157329,2020-09-28
2020-10-05,49.650001525878906,49.650001525878906,54.54999923706055,49.5,50.79999923706055,225927,2020-10-05
2020-10-12,44.599998474121094,44.599998474121094,50.79999923706055,44.25,50.79999923706055,152526,2020-10-12
2020-10-19,47.25,47.25,50.400001525878906,42.5,45.900001525878906,383211,2020-10-19
2020-10-26,43.349998474121094,43.349998474121094,48.5,41.0,47.70000076293945,235110,2020-10-26
2020-11-02,43.849998474121094,43.849998474121094,44.95000076293945,41.25,43.79999923706055,147186,2020-11-02
2020-11-09,43.849998474121094,43.849998474121094,46.400001525878906,41.900001525878906,43.349998474121094,458616,2020-11-09
2020-11-16,58.54999923706055,58.54999923706055,58.54999923706055,43.0,43.5,1091800,2020-11-16
2020-11-23,50.25,50.25,61.45000076293945,48.0,61.45000076293945,999298,2020-11-23
2020-11-30,54.400001525878906,54.400001525878906,54.400001525878906,48.349998474121094,50.25,534397,2020-11-30
2020-12-07,53.79999923706055,53.79999923706055,56.349998474121094,52.349998474121094,54.70000076293945,603028,2020-12-07
2020-12-14,57.599998474121094,57.599998474121094,61.5,53.0,53.79999923706055,647343,2020-12-14
2020-12-21,55.79999923706055,55.79999923706055,58.0,52.04999923706055,58.0,277980,2020-12-21
2020-12-28,57.95000076293945,57.95000076293945,61.0,54.54999923706055,57.0,572961,2020-12-28
2021-01-04,57.75,57.75,60.29999923706055,57.349998474121094,60.20000076293945,377650,2021-01-04
2021-01-11,54.900001525878906,54.900001525878906,58.79999923706055,54.400001525878906,58.599998474121094,254151,2021-01-11
2021-01-18,52.400001525878906,52.400001525878906,56.45000076293945,52.0,54.75,281444,2021-01-18
2021-01-25,50.849998474121094,50.849998474121094,53.900001525878906,50.25,53.900001525878906,89089,2021-01-25
2021-02-01,53.599998474121094,53.599998474121094,54.900001525878906,50.0,50.0,146908,2021-02-01
2021-02-08,49.900001525878906,49.900001525878906,54.79999923706055,49.5,53.29999923706055,467568,2021-02-08
2021-02-15,47.75,47.75,51.20000076293945,47.349998474121094,50.0,335943,2021-02-15
2021-02-22,48.04999923706055,48.04999923706055,50.0,46.400001525878906,48.349998474121094,144647,2021-02-22
2021-03-01,47.70000076293945,47.70000076293945,49.95000076293945,45.0,48.150001525878906,353841,2021-03-01
2021-03-08,45.849998474121094,45.849998474121094,48.900001525878906,45.0,48.0,385035,2021-03-08
2021-03-15,45.79999923706055,45.79999923706055,48.0,42.29999923706055,46.04999923706055,249678,2021-03-15
2021-03-22,40.20000076293945,40.20000076293945,47.650001525878906,39.5,47.650001525878906,608311,2021-03-22
2021-03-29,42.70000076293945,42.70000076293945,42.900001525878906,39.5,40.20000076293945,216639,2021-03-29
2021-04-05,53.599998474121094,53.599998474121094,56.400001525878906,41.45000076293945,43.0,1793613,2021-04-05
2021-04-12,57.45000076293945,57.45000076293945,63.400001525878906,48.150001525878906,52.04999923706055,2356361,2021-04-12
2021-04-19,66.6500015258789,66.6500015258789,71.55000305175781,53.099998474121094,57.0,2112160,2021-04-19
2021-04-26,60.29999923706055,60.29999923706055,69.0,59.20000076293945,68.80000305175781,1094887,2021-04-26
2021-05-03,59.849998474121094,59.849998474121094,62.900001525878906,57.54999923706055,60.0,627755,2021-05-03
2021-05-10,61.650001525878906,61.650001525878906,71.0,59.599998474121094,60.25,1113491,2021-05-10
2021-05-17,63.349998474121094,63.349998474121094,64.69999694824219,60.099998474121094,62.099998474121094,468286,2021-05-17
2021-05-24,73.0999984741211,73.0999984741211,84.69999694824219,63.5,63.5,6534715,2021-05-24
2021-05-31,79.8499984741211,79.8499984741211,84.25,71.5,73.6500015258789,1776162,2021-05-31
2021-06-07,100.8499984741211,100.8499984741211,105.5,79.75,79.80000305175781,4675435,2021-06-07
2021-06-14,83.1500015258789,83.1500015258789,96.9000015258789,82.5999984741211,96.9000015258789,1221023,2021-06-14
2021-06-21,78.30000305175781,78.30000305175781,88.25,76.69999694824219,81.0,261199,2021-06-21
2021-06-28,81.55000305175781,81.55000305175781,83.9000015258789,76.5,78.94999694824219,213651,2021-06-28
2021-07-05,96.30000305175781,96.30000305175781,96.30000305175781,82.0,82.0,626847,2021-07-05
2021-07-12,97.3499984741211,97.3499984741211,106.0999984741211,90.5,101.0999984741211,856272,2021-07-12
2021-07-19,99.69999694824219,99.69999694824219,102.0,91.8499984741211,97.0,550319,2021-07-19
2021-07-26,92.94999694824219,92.94999694824219,101.9000015258789,90.30000305175781,99.0,555573,2021-07-26
2021-08-02,89.55000305175781,89.55000305175781,96.9000015258789,88.30000305175781,93.80000305175781,354742,2021-08-02
2021-08-09,82.80000305175781,82.80000305175781,93.1500015258789,77.19999694824219,92.80000305175781,462516,2021-08-09
2021-08-16,71.8499984741211,71.8499984741211,82.80000305175781,70.05000305175781,82.80000305175781,349940,2021-08-16
2021-08-23,73.05000305175781,73.05000305175781,77.80000305175781,66.05000305175781,72.80000305175781,392202,2021-08-23
2021-08-30,72.94999694824219,72.94999694824219,76.0,70.05000305175781,73.80000305175781,477516,2021-08-30
2021-09-06,71.19999694824219,71.19999694824219,74.94999694824219,70.25,73.75,170557,2021-09-06
2021-09-13,71.94999694824219,71.94999694824219,77.9000015258789,67.75,67.75,324353,2021-09-13
2021-09-20,69.75,69.75,74.1500015258789,68.4000015258789,71.80000305175781,303274,2021-09-20
2021-09-27,84.44999694824219,84.44999694824219,84.44999694824219,69.0,71.4000015258789,330011,2021-09-27
2021-10-04,85.94999694824219,85.94999694824219,93.05000305175781,83.80000305175781,88.6500015258789,1699321,2021-10-04
2021-10-11,90.75,90.75,90.75,80.80000305175781,85.94999694824219,312791,2021-10-11
2021-10-18,85.4000015258789,85.4000015258789,95.25,81.55000305175781,95.25,821829,2021-10-18
2021-10-25,78.0999984741211,78.0999984741211,85.55000305175781,77.0,85.55000305175781,332794,2021-10-25
2021-11-01,85.1500015258789,85.1500015258789,85.1500015258789,77.9000015258789,79.5,180809,2021-11-01
2021-11-08,83.75,83.75,93.8499984741211,82.19999694824219,89.4000015258789,762042,2021-11-08
2021-11-15,82.05000305175781,82.05000305175781,87.8499984741211,81.0,84.30000305175781,412366,2021-11-15
2021-11-22,79.0999984741211,79.0999984741211,86.0,78.19999694824219,82.05000305175781,268043,2021-11-22
2021-11-29,77.9000015258789,77.9000015258789,80.0,74.0,79.19999694824219,298788,2021-11-29
2021-12-06,92.1500015258789,92.1500015258789,92.1500015258789,76.5,77.80000305175781,885104,2021-12-06
2021-12-13,100.0999984741211,100.0999984741211,104.80000305175781,87.5,94.0,2542204,2021-12-13
2021-12-20,106.5999984741211,106.5999984741211,120.4000015258789,94.5,99.9000015258789,2880538,2021-12-20
2021-12-27,107.4000015258789,107.4000015258789,116.0,103.0,106.4000015258789,1047584,2021-12-27
2022-01-03,108.4000015258789,108.4000015258789,108.9000015258789,100.3499984741211,107.80000305175781,479431,2022-01-03
2022-01-10,112.25,112.25,113.80000305175781,105.80000305175781,109.44999694824219,331283,2022-01-10
2022-01-17,124.19999694824219,124.19999694824219,131.14999389648438,113.5,113.69999694824219,688236,2022-01-17
2022-01-24,102.44999694824219,102.44999694824219,124.4000015258789,102.0,124.4000015258789,295997,2022-01-24
2022-01-31,106.9000015258789,106.9000015258789,113.9000015258789,102.05000305175781,102.44999694824219,251599,2022-01-31
2022-02-07,110.75,110.75,110.75,99.4000015258789,107.0,210260,2022-02-07
2022-02-14,105.69999694824219,105.69999694824219,114.30000305175781,102.5,108.5,320107,2022-02-14
2022-02-21,88.75,88.75,105.0,82.5999984741211,104.19999694824219,274316,2022-02-21
2022-02-28,88.69999694824219,88.69999694824219,90.6500015258789,84.5,85.30000305175781,148434,2022-02-28
2022-03-07,93.55000305175781,93.55000305175781,96.9000015258789,84.0,88.0,197943,2022-03-07
2022-03-14,95.9000015258789,95.9000015258789,99.0,91.55000305175781,95.0,103996,2022-03-14
2022-03-21,105.75,105.75,107.30000305175781,93.75,96.0,233038,2022-03-21
2022-03-28,130.0,130.0,132.5500030517578,101.0999984741211,107.80000305175781,857794,2022-03-28
2022-04-04,133.60000610351562,133.60000610351562,149.89999389648438,130.0,130.0,1079307,2022-04-04
2022-04-11,154.60000610351562,154.60000610351562,154.60000610351562,134.0,134.89999389648438,405259,2022-04-11
2022-04-18,145.0500030517578,145.0500030517578,170.39999389648438,142.75,153.0,1288449,2022-04-18
2022-04-25,168.0,168.0,177.5,140.35000610351562,141.39999389648438,1459280,2022-04-25
2022-05-02,144.25,144.25,167.89999389648438,142.10000610351562,167.0500030517578,377782,2022-05-02
2022-05-09,137.60000610351562,137.60000610351562,145.75,125.1500015258789,139.10000610351562,485892,2022-05-09
