Date,Adj Close_FDC.NS,Close_FDC.NS,High_FDC.NS,Low_FDC.NS,Open_FDC.NS,Volume_FDC.NS,Date
2020-07-13,266.5760498046875,269.3500061035156,273.8999938964844,251.0500030517578,265.79998779296875,2651903,2020-07-13
2020-07-20,269.4461975097656,272.25,279.8500061035156,261.3500061035156,271.20001220703125,4297953,2020-07-20
2020-07-27,296.06915283203125,299.1499938964844,302.0,260.0,272.25,6966930,2020-07-27
2020-08-03,332.7870788574219,336.25,347.20001220703125,300.5,301.0,9335467,2020-08-03
2020-08-10,320.3663330078125,323.70001220703125,354.0,317.54998779296875,350.0,3767999,2020-08-10
2020-08-17,323.8797607421875,327.25,341.0,321.0,323.70001220703125,1706998,2020-08-17
2020-08-24,325.6612243652344,329.04998779296875,340.0,314.6499938964844,328.0,2522934,2020-08-24
2020-08-31,315.26934814453125,318.54998779296875,332.29998779296875,292.79998779296875,329.70001220703125,1530580,2020-08-31
2020-09-07,323.3849182128906,326.75,339.8999938964844,314.8500061035156,314.8500061035156,2427580,2020-09-07
2020-09-14,354.214111328125,357.8999938964844,367.3500061035156,327.70001220703125,327.70001220703125,2986511,2020-09-14
2020-09-21,331.2530517578125,334.70001220703125,364.5,310.0,359.79998779296875,2013663,2020-09-21
2020-09-28,345.3562927246094,348.95001220703125,379.0,336.6000061035156,337.0,1783025,2020-09-28
2020-10-05,347.13775634765625,350.75,373.0,340.5,348.1000061035156,1493444,2020-10-05
2020-10-12,344.614013671875,348.20001220703125,361.3500061035156,337.0,352.0,1207199,2020-10-12
2020-10-19,343.327392578125,346.8999938964844,356.95001220703125,340.0,348.8999938964844,553818,2020-10-19
2020-10-26,341.4964294433594,345.04998779296875,355.0,338.1000061035156,347.54998779296875,523353,2020-10-26
2020-11-02,328.9767150878906,332.3999938964844,348.6000061035156,317.8999938964844,348.5,736918,2020-11-02
2020-11-09,331.8468322753906,335.29998779296875,340.45001220703125,319.75,340.0,1138348,2020-11-09
2020-11-16,320.5147705078125,323.8500061035156,336.95001220703125,320.1499938964844,334.04998779296875,581812,2020-11-16
2020-11-23,339.9129333496094,343.45001220703125,346.6499938964844,324.1000061035156,325.25,1190962,2020-11-23
2020-11-30,341.3974914550781,344.95001220703125,353.70001220703125,340.79998779296875,343.45001220703125,845970,2020-11-30
2020-12-07,342.7830505371094,346.3500061035156,369.70001220703125,343.0,345.8999938964844,1895028,2020-12-07
2020-12-14,341.84283447265625,345.3999938964844,356.54998779296875,340.04998779296875,348.79998779296875,601249,2020-12-14
2020-12-21,327.59112548828125,331.0,346.54998779296875,319.0,345.0,800555,2020-12-21
2020-12-28,329.3231201171875,332.75,338.0,323.0,332.6000061035156,742961,2020-12-28
2021-01-04,325.51275634765625,328.8999938964844,336.0,328.0,334.45001220703125,599500,2021-01-04
2021-01-11,321.4549865722656,324.79998779296875,334.20001220703125,322.3999938964844,329.3999938964844,778053,2021-01-11
2021-01-18,298.5928955078125,301.70001220703125,327.8500061035156,300.29998779296875,325.3999938964844,820091,2021-01-18
2021-01-25,288.3494873046875,291.3500061035156,309.0,284.8500061035156,300.04998779296875,673754,2021-01-25
2021-02-01,284.8855285644531,287.8500061035156,309.0,284.1000061035156,291.3500061035156,1386519,2021-02-01
2021-02-08,286.7659606933594,289.75,294.5,272.8500061035156,294.20001220703125,1219799,2021-02-08
2021-02-15,292.3577575683594,295.3999938964844,306.79998779296875,288.29998779296875,291.0,1555204,2021-02-15
2021-02-22,274.7905578613281,277.6499938964844,301.3500061035156,275.04998779296875,296.6000061035156,737539,2021-02-22
2021-03-01,280.38238525390625,283.29998779296875,292.0,275.79998779296875,283.0,1136780,2021-03-01
2021-03-08,290.7247619628906,293.75,303.0,282.6000061035156,284.0,1284479,2021-03-08
2021-03-15,269.4461975097656,272.25,298.3500061035156,255.1999969482422,294.29998779296875,695565,2021-03-15
2021-03-22,272.3658142089844,275.20001220703125,289.0,269.5,277.8500061035156,831665,2021-03-22
2021-03-29,284.8360290527344,287.79998779296875,291.95001220703125,275.20001220703125,275.20001220703125,470411,2021-03-29
2021-04-05,307.5991516113281,310.79998779296875,318.0,282.5,283.8500061035156,2846171,2021-04-05
2021-04-12,309.4796142578125,312.70001220703125,320.0,296.0,308.0,2860233,2021-04-12
2021-04-19,302.94757080078125,306.1000061035156,328.75,303.0,314.0,2939625,2021-04-19
2021-04-26,300.9681701660156,304.1000061035156,314.54998779296875,302.0,309.0,1005514,2021-04-26
2021-05-03,327.0962829589844,330.5,337.0,303.79998779296875,304.0,3489480,2021-05-03
2021-05-10,331.1540832519531,334.6000061035156,344.0,330.1000061035156,332.0,1879757,2021-05-10
2021-05-17,350.7501525878906,354.3999938964844,357.0,331.20001220703125,333.1000061035156,1463119,2021-05-17
2021-05-24,332.1437683105469,335.6000061035156,369.3999938964844,323.04998779296875,356.0,4091583,2021-05-24
2021-05-31,333.43035888671875,336.8999938964844,345.0,331.20001220703125,335.95001220703125,1178401,2021-05-31
2021-06-07,334.0242004394531,337.5,344.5,332.25,336.8999938964844,1372377,2021-06-07
2021-06-14,341.892333984375,345.45001220703125,404.8999938964844,337.5,338.0,15421377,2021-06-14
2021-06-21,347.92950439453125,351.54998779296875,370.0,333.29998779296875,342.0,2237716,2021-06-21
2021-06-28,355.84710693359375,359.54998779296875,369.0,348.0,358.0,1050640,2021-06-28
2021-07-05,363.4183349609375,367.20001220703125,379.8500061035156,352.5,362.70001220703125,2223010,2021-07-05
2021-07-12,374.9978332519531,378.8999938964844,388.70001220703125,360.6000061035156,366.5,2717698,2021-07-12
