Date,Adj Close_TREEHOUSE.NS,Close_TREEHOUSE.NS,High_TREEHOUSE.NS,Low_TREEHOUSE.NS,Open_TREEHOUSE.NS,Volume_TREEHOUSE.NS,Date
2020-07-13,4.75,4.75,4.800000190734863,4.5,4.599999904632568,143917,2020-07-13
2020-07-20,5.099999904632568,5.099999904632568,5.150000095367432,4.599999904632568,4.599999904632568,247334,2020-07-20
2020-07-27,6.150000095367432,6.150000095367432,6.150000095367432,4.900000095367432,5.300000190734863,320808,2020-07-27
2020-08-03,6.800000190734863,6.800000190734863,7.050000190734863,6.150000095367432,6.25,580266,2020-08-03
2020-08-10,8.550000190734863,8.550000190734863,8.550000190734863,6.800000190734863,7.099999904632568,713808,2020-08-10
2020-08-17,8.100000381469727,8.100000381469727,9.800000190734863,8.100000381469727,8.949999809265137,702412,2020-08-17
2020-08-24,7.800000190734863,7.800000190734863,8.5,6.75,8.100000381469727,524902,2020-08-24
2020-08-31,7.5,7.5,7.900000095367432,6.849999904632568,7.800000190734863,329396,2020-08-31
2020-09-07,8.550000190734863,8.550000190734863,8.850000381469727,7.25,7.800000190734863,396150,2020-09-07
2020-09-14,7.550000190734863,7.550000190734863,8.850000381469727,7.449999809265137,8.550000190734863,97143,2020-09-14
2020-09-21,7.050000190734863,7.050000190734863,7.900000095367432,6.849999904632568,7.699999809265137,110047,2020-09-21
2020-09-28,7.0,7.0,7.400000095367432,6.699999809265137,7.099999904632568,77020,2020-09-28
2020-10-05,6.599999904632568,6.599999904632568,7.199999809265137,6.25,6.849999904632568,90742,2020-10-05
2020-10-12,6.5,6.5,6.900000095367432,6.050000190734863,6.599999904632568,91150,2020-10-12
2020-10-19,6.449999809265137,6.449999809265137,6.699999809265137,6.050000190734863,6.650000095367432,54720,2020-10-19
2020-10-26,6.099999904632568,6.099999904632568,6.75,6.0,6.599999904632568,41033,2020-10-26
2020-11-02,7.099999904632568,7.099999904632568,7.300000190734863,6.0,6.099999904632568,151942,2020-11-02
2020-11-09,6.400000095367432,6.400000095367432,7.25,6.099999904632568,7.25,63586,2020-11-09
2020-11-16,6.75,6.75,7.25,6.099999904632568,6.349999904632568,191300,2020-11-16
2020-11-23,6.349999904632568,6.349999904632568,7.050000190734863,6.25,6.849999904632568,638853,2020-11-23
2020-11-30,6.300000190734863,6.300000190734863,6.400000095367432,5.550000190734863,6.349999904632568,850537,2020-11-30
2020-12-07,7.050000190734863,7.050000190734863,7.050000190734863,6.300000190734863,6.599999904632568,587505,2020-12-07
2020-12-14,6.800000190734863,6.800000190734863,7.400000095367432,6.400000095367432,7.050000190734863,912693,2020-12-14
2020-12-21,6.650000095367432,6.650000095367432,7.099999904632568,6.300000190734863,7.050000190734863,185850,2020-12-21
2020-12-28,6.800000190734863,6.800000190734863,7.0,6.5,6.849999904632568,352561,2020-12-28
2021-01-04,6.849999904632568,6.849999904632568,7.150000095367432,6.650000095367432,6.949999809265137,259189,2021-01-04
2021-01-11,7.5,7.5,7.5,6.650000095367432,7.050000190734863,323876,2021-01-11
2021-01-18,7.800000190734863,7.800000190734863,8.800000190734863,7.599999904632568,7.650000095367432,557896,2021-01-18
2021-01-25,6.949999809265137,6.949999809265137,8.0,6.849999904632568,8.0,105059,2021-01-25
2021-02-01,7.150000095367432,7.150000095367432,8.100000381469727,6.75,7.050000190734863,309952,2021-02-01
2021-02-08,7.400000095367432,7.400000095367432,8.25,7.050000190734863,7.400000095367432,186293,2021-02-08
2021-02-15,7.900000095367432,7.900000095367432,8.050000190734863,6.900000095367432,7.25,220137,2021-02-15
2021-02-22,7.199999809265137,7.199999809265137,7.900000095367432,7.0,7.900000095367432,59184,2021-02-22
2021-03-01,7.349999904632568,7.349999904632568,7.699999809265137,6.849999904632568,7.650000095367432,323676,2021-03-01
2021-03-08,7.5,7.5,7.599999904632568,7.099999904632568,7.599999904632568,216780,2021-03-08
2021-03-15,6.900000095367432,6.900000095367432,8.25,6.300000190734863,7.849999904632568,295686,2021-03-15
2021-03-22,7.25,7.25,8.199999809265137,6.849999904632568,6.900000095367432,374060,2021-03-22
2021-03-29,7.849999904632568,7.849999904632568,7.949999809265137,6.75,7.25,206698,2021-03-29
