Date,Adj Close_BHARATSE.NS,Close_BHARATSE.NS,High_BHARATSE.NS,Low_BHARATSE.NS,Open_BHARATSE.NS,Volume_BHARATSE.NS,Date
2025-03-24,75.57097625732422,76.33000183105469,86.69999694824219,75.05000305175781,80.0,443014,2025-03-24
2025-03-31,77.0362548828125,77.80999755859375,81.98999786376953,76.83000183105469,78.97000122070312,118190,2025-03-31
2025-04-07,76.16500854492188,76.93000030517578,80.18000030517578,69.83999633789062,77.48999786376953,132595,2025-04-07
2025-04-14,80.28363800048828,81.08999633789062,82.0,78.2699966430664,80.33000183105469,68329,2025-04-14
2025-04-21,74.90764617919922,75.66000366210938,85.29000091552734,72.80999755859375,81.19999694824219,193535,2025-04-21
2025-04-28,73.89778137207031,74.63999938964844,77.30000305175781,74.0,76.0199966430664,68289,2025-04-28
2025-05-05,99.5600357055664,100.55999755859375,107.4000015258789,73.02999877929688,74.75,3816286,2025-05-05
2025-05-12,102.91632080078125,103.94999694824219,116.44999694824219,102.0999984741211,103.08999633789062,1987612,2025-05-12
2025-05-19,101.14412689208984,102.16000366210938,114.33999633789062,100.41000366210938,105.9000015258789,1081598,2025-05-19
2025-05-26,102.25298309326172,103.27999877929688,106.0,99.0,104.9000015258789,209085,2025-05-26
2025-06-02,101.95597076416016,102.9800033569336,107.0,101.19999694824219,103.3499984741211,200154,2025-06-02
2025-06-09,98.59967803955078,99.58999633789062,104.77999877929688,96.55000305175781,104.77999877929688,146637,2025-06-09
2025-06-16,101.59955596923828,102.62000274658203,106.0,98.5,99.0,184850,2025-06-16
2025-06-23,101.02532196044922,102.04000091552734,103.80000305175781,98.61000061035156,103.4800033569336,125051,2025-06-23
2025-06-30,106.78744506835938,107.86000061035156,114.0,100.69999694824219,102.80000305175781,472301,2025-06-30
2025-07-07,104.41999816894531,104.41999816894531,109.5,101.0,107.86000061035156,104489,2025-07-07
2025-07-14,102.27999877929688,102.27999877929688,103.94999694824219,101.0999984741211,103.05000305175781,47490,2025-07-14
