Date,Adj Close_MAANALU.NS,Close_MAANALU.NS,High_MAANALU.NS,Low_MAANALU.NS,Open_MAANALU.NS,Volume_MAANALU.NS,Date
2020-07-13,6.546161651611328,6.8125,7.199999809265137,6.618750095367432,7.018750190734863,317112,2020-07-13
2020-07-20,6.4560770988464355,6.71875,7.168749809265137,6.612500190734863,6.90625,361536,2020-07-20
2020-07-27,6.137777328491211,6.387499809265137,6.856249809265137,6.25,6.837500095367432,312528,2020-07-27
2020-08-03,7.1887664794921875,7.481249809265137,8.237500190734863,6.0,6.375,3924776,2020-08-03
2020-08-10,7.693242073059082,8.006250381469727,8.237500190734863,7.212500095367432,7.737500190734863,856896,2020-08-10
2020-08-17,8.371880531311035,8.712499618530273,9.862500190734863,8.024999618530273,8.024999618530273,3931848,2020-08-17
2020-08-24,9.18864917755127,9.5625,10.024999618530273,8.125,8.712499618530273,2873384,2020-08-24
2020-08-31,8.624116897583008,8.975000381469727,9.875,8.362500190734863,9.875,860064,2020-08-31
2020-09-07,8.269784927368164,8.606249809265137,9.175000190734863,8.1875,8.875,294152,2020-09-07
2020-09-14,8.347857475280762,8.6875,9.21875,8.25,8.693750381469727,1326264,2020-09-14
2020-09-21,7.561117649078369,7.868750095367432,8.84375,7.368750095367432,8.6875,742648,2020-09-21
2020-09-28,8.696186065673828,9.050000190734863,9.40625,7.868750095367432,7.868750095367432,1599912,2020-09-28
2020-10-05,8.323835372924805,8.662500381469727,9.600000381469727,8.518750190734863,9.087499618530273,1517280,2020-10-05
2020-10-12,7.9394731521606445,8.262499809265137,8.987500190734863,8.081250190734863,8.625,329920,2020-10-12
2020-10-19,8.029558181762695,8.356249809265137,8.90625,8.131250381469727,8.487500190734863,441000,2020-10-19
2020-10-26,8.10763168334961,8.4375,8.625,8.149999618530273,8.362500190734863,233552,2020-10-26
2020-11-02,9.008479118347168,9.375,9.612500190734863,7.918749809265137,8.40625,1061376,2020-11-02
2020-11-09,8.882360458374023,9.243749618530273,9.931249618530273,8.787500381469727,9.75,1835448,2020-11-09
2020-11-16,8.882360458374023,9.243749618530273,9.443750381469727,8.875,9.043749809265137,413328,2020-11-16
2020-11-23,10.500711441040039,10.774999618530273,11.0,9.118749618530273,9.318750381469727,1793272,2020-11-23
2020-11-30,10.464166641235352,10.737500190734863,11.46875,10.393750190734863,10.774999618530273,1348552,2020-11-30
2020-12-07,10.171802520751953,10.4375,11.431249618530273,10.274999618530273,10.693750381469727,886504,2020-12-07
2020-12-14,10.799165725708008,11.081250190734863,11.899999618530273,10.393750190734863,10.518750190734863,2385376,2020-12-14
2020-12-21,10.17789363861084,10.443750381469727,11.225000381469727,9.631250381469727,11.0625,1264336,2020-12-21
2020-12-28,14.453705787658691,14.831250190734863,15.449999809265137,10.46875,10.606249809265137,6705424,2020-12-28
2021-01-04,14.478069305419922,14.856249809265137,16.3125,13.818750381469727,15.0,3272936,2021-01-04
2021-01-11,13.205071449279785,13.550000190734863,15.0,13.393750190734863,14.856249809265137,1111360,2021-01-11
2021-01-18,13.052799224853516,13.393750190734863,14.59375,13.212499618530273,14.125,1251136,2021-01-18
2021-01-25,12.851799011230469,13.1875,13.868749618530273,12.143750190734863,13.512499809265137,599384,2021-01-25
2021-02-01,14.002979278564453,14.368749618530273,14.631250381469727,12.881250381469727,13.487500190734863,1020920,2021-02-01
2021-02-08,15.610977172851562,16.018749237060547,16.431249618530273,13.262499809265137,14.737500190734863,6355696,2021-02-08
2021-02-15,19.3934268951416,19.899999618530273,21.875,14.568750381469727,16.1875,15052200,2021-02-15
2021-02-22,19.673606872558594,20.1875,20.893749237060547,18.75,20.181249618530273,4547192,2021-02-22
2021-03-01,19.16197395324707,19.662500381469727,21.875,19.006250381469727,20.125,2282560,2021-03-01
2021-03-08,18.485881805419922,18.96875,20.25,18.774999618530273,19.575000762939453,862808,2021-03-08
2021-03-15,17.3834285736084,17.837499618530273,19.450000762939453,16.725000381469727,19.0,1104608,2021-03-15
2021-03-22,17.06670379638672,17.512500762939453,20.4375,17.075000762939453,18.118749618530273,1949600,2021-03-22
2021-03-29,18.680789947509766,19.168750762939453,19.793750762939453,17.512500762939453,17.512500762939453,982136,2021-03-29
2021-04-05,19.82588005065918,20.34375,22.368749618530273,18.0625,19.106250762939453,2822568,2021-04-05
2021-04-12,20.197423934936523,20.725000381469727,21.75,18.137500762939453,19.899999618530273,2668096,2021-04-12
2021-04-19,19.813697814941406,20.331249237060547,21.0,18.756250381469727,20.5,2007840,2021-04-19
2021-04-26,22.639875411987305,23.231250762939453,24.787500381469727,19.5,20.625,7988376,2021-04-26
2021-05-03,22.968786239624023,23.568750381469727,24.487499237060547,22.012500762939453,23.256250381469727,3659640,2021-05-03
2021-05-10,24.394054412841797,25.03125,27.25,23.768749237060547,23.862499237060547,6766016,2021-05-10
2021-05-17,22.938329696655273,23.537500381469727,25.943750381469727,23.149999618530273,25.625,1826736,2021-05-17
