Date,Adj Close_OMINFRAL.NS,Close_OMINFRAL.NS,High_OMINFRAL.NS,Low_OMINFRAL.NS,Open_OMINFRAL.NS,Volume_OMINFRAL.NS,Date
2020-07-13,13.512457847595215,14.100000381469727,14.199999809265137,12.850000381469727,14.149999618530273,106770,2020-07-13
2020-07-20,13.224958419799805,13.800000190734863,14.800000190734863,13.300000190734863,14.25,191783,2020-07-20
2020-07-27,12.602043151855469,13.149999618530273,14.5,12.899999618530273,14.25,102174,2020-07-27
2020-08-03,12.889541625976562,13.449999809265137,13.949999809265137,12.800000190734863,13.25,135097,2020-08-03
2020-08-10,13.943706512451172,14.550000190734863,15.25,12.800000190734863,13.5,240587,2020-08-10
2020-08-17,15.141618728637695,15.800000190734863,16.450000762939453,14.75,15.0,253595,2020-08-17
2020-08-24,16.866613388061523,17.600000381469727,18.799999237060547,16.299999237060547,16.399999618530273,450407,2020-08-24
2020-08-31,16.579113006591797,17.299999237060547,18.399999618530273,15.449999809265137,18.0,302614,2020-08-31
2020-09-07,16.09994888305664,16.799999237060547,18.100000381469727,15.949999809265137,17.799999237060547,291747,2020-09-07
2020-09-14,16.914527893066406,17.649999618530273,17.950000762939453,16.25,17.5,274969,2020-09-14
2020-09-21,15.65858268737793,16.149999618530273,18.25,15.399999618530273,18.100000381469727,266806,2020-09-21
2020-09-28,17.112937927246094,17.649999618530273,17.950000762939453,16.200000762939453,16.850000381469727,224201,2020-09-28
2020-10-05,17.161418914794922,17.700000762939453,18.850000381469727,17.350000381469727,17.649999618530273,192331,2020-10-05
2020-10-12,16.72511100769043,17.25,18.850000381469727,16.299999237060547,17.350000381469727,200849,2020-10-12
2020-10-19,16.870546340942383,17.399999618530273,18.0,16.399999618530273,17.25,128233,2020-10-19
2020-10-26,16.240325927734375,16.75,17.799999237060547,16.549999237060547,17.799999237060547,88813,2020-10-26
2020-11-02,17.69468116760254,18.25,18.450000762939453,16.5,16.649999618530273,237890,2020-11-02
2020-11-09,16.240325927734375,16.75,18.700000762939453,15.899999618530273,18.350000381469727,262927,2020-11-09
2020-11-16,16.72511100769043,17.25,18.75,16.5,16.649999618530273,468499,2020-11-16
2020-11-23,17.597726821899414,18.149999618530273,19.0,16.5,17.600000381469727,471829,2020-11-23
2020-11-30,20.70035743713379,21.350000381469727,22.950000762939453,18.149999618530273,18.149999618530273,845365,2020-11-30
2020-12-07,20.021656036376953,20.649999618530273,22.200000762939453,19.950000762939453,21.75,369565,2020-12-07
2020-12-14,20.554920196533203,21.200000762939453,22.350000381469727,19.799999237060547,21.649999618530273,361420,2020-12-14
2020-12-21,18.858171463012695,19.450000762939453,21.899999618530273,19.149999618530273,21.049999237060547,223571,2020-12-21
2020-12-28,19.97317886352539,20.600000381469727,20.950000762939453,18.950000762939453,19.5,530844,2020-12-28
2021-01-04,23.221240997314453,23.950000762939453,23.950000762939453,20.100000381469727,20.950000762939453,1376712,2021-01-04
2021-01-11,23.754507064819336,24.5,26.75,24.049999237060547,25.100000381469727,1621059,2021-01-11
2021-01-18,23.948421478271484,24.700000762939453,26.200000762939453,22.600000381469727,24.350000381469727,843885,2021-01-18
2021-01-25,22.009279251098633,22.700000762939453,25.25,22.049999237060547,25.200000762939453,307719,2021-01-25
2021-02-01,23.172761917114258,23.899999618530273,24.75,22.149999618530273,23.5,510467,2021-02-01
2021-02-08,23.89994239807129,24.649999618530273,25.149999618530273,22.100000381469727,23.899999618530273,606569,2021-02-08
2021-02-15,23.8029842376709,24.549999237060547,26.5,23.100000381469727,24.649999618530273,668583,2021-02-15
2021-02-22,24.04537582397461,24.799999237060547,25.049999237060547,23.0,24.600000381469727,284401,2021-02-22
2021-03-01,23.318199157714844,24.049999237060547,25.0,23.700000762939453,24.799999237060547,272976,2021-03-01
2021-03-08,23.706029891967773,24.450000762939453,25.75,24.25,24.549999237060547,240642,2021-03-08
2021-03-15,22.009279251098633,22.700000762939453,24.549999237060547,21.600000381469727,24.5,146928,2021-03-15
2021-03-22,20.506441116333008,21.149999618530273,24.799999237060547,20.200000762939453,24.799999237060547,228824,2021-03-22
2021-03-29,22.154714584350586,22.850000381469727,23.399999618530273,21.100000381469727,21.149999618530273,169743,2021-03-29
2021-04-05,22.978851318359375,23.700000762939453,24.299999237060547,21.649999618530273,22.649999618530273,481184,2021-04-05
2021-04-12,21.572969436645508,22.25,23.5,20.75,23.5,436267,2021-04-12
2021-04-19,20.07013511657715,20.700000762939453,21.700000762939453,20.149999618530273,21.149999618530273,469366,2021-04-19
2021-04-26,20.2155704498291,20.850000381469727,21.399999618530273,20.600000381469727,21.200000762939453,351876,2021-04-26
2021-05-03,19.730783462524414,20.350000381469727,21.200000762939453,18.950000762939453,20.899999618530273,392865,2021-05-03
2021-05-10,21.766883850097656,22.450000762939453,23.100000381469727,20.350000381469727,20.350000381469727,579956,2021-05-10
2021-05-17,22.154714584350586,22.850000381469727,24.100000381469727,21.25,22.600000381469727,437950,2021-05-17
2021-05-24,25.354297637939453,26.149999618530273,26.25,21.049999237060547,23.25,4507801,2021-05-24
2021-05-31,28.117578506469727,29.0,30.200000762939453,24.299999237060547,26.100000381469727,5193082,2021-05-31
2021-06-07,26.517786026000977,27.350000381469727,29.700000762939453,24.100000381469727,29.200000762939453,1235361,2021-06-07
2021-06-14,24.142333984375,24.899999618530273,28.799999237060547,22.600000381469727,27.899999618530273,1104362,2021-06-14
2021-06-21,26.954092025756836,27.799999237060547,30.899999618530273,24.549999237060547,25.0,2152804,2021-06-21
2021-06-28,31.511079788208008,32.5,34.0,26.100000381469727,29.0,3530450,2021-06-28
2021-07-05,29.66889190673828,30.600000381469727,34.0,30.100000381469727,32.95000076293945,1426619,2021-07-05
2021-07-12,35.14697265625,36.25,37.70000076293945,30.450000762939453,32.5,3796172,2021-07-12
2021-07-19,32.81999969482422,33.849998474121094,37.45000076293945,32.849998474121094,36.0,1037517,2021-07-19
2021-07-26,32.28673553466797,33.29999923706055,38.75,28.100000381469727,34.5,1603082,2021-07-26
2021-08-02,31.511079788208008,32.5,34.95000076293945,31.049999237060547,33.79999923706055,957850,2021-08-02
2021-08-09,32.6260871887207,33.650001525878906,35.79999923706055,29.25,32.25,1471066,2021-08-09
2021-08-16,30.05672264099121,31.0,34.0,30.700000762939453,34.0,701807,2021-08-16
2021-08-23,28.456928253173828,29.350000381469727,32.20000076293945,28.0,31.25,704840,2021-08-23
2021-08-30,28.02062225341797,28.899999618530273,31.100000381469727,28.0,29.049999237060547,454086,2021-08-30
2021-09-06,27.53583526611328,28.399999618530273,29.25,27.700000762939453,28.899999618530273,421192,2021-09-06
2021-09-13,27.875185012817383,28.75,29.75,28.149999618530273,28.399999618530273,408762,2021-09-13
2021-09-20,28.26301383972168,29.149999618530273,30.5,26.100000381469727,28.75,691310,2021-09-20
2021-09-27,28.099102020263672,28.549999237060547,29.600000381469727,27.299999237060547,29.350000381469727,849547,2021-09-27
2021-10-04,31.150142669677734,31.649999618530273,32.70000076293945,27.950000762939453,29.25,1159371,2021-10-04
2021-10-11,32.33119201660156,32.849998474121094,33.95000076293945,30.600000381469727,32.04999923706055,1112877,2021-10-11
2021-10-18,32.18355941772461,32.70000076293945,34.79999923706055,32.25,32.70000076293945,972301,2021-10-18
2021-10-25,31.248563766479492,31.75,33.70000076293945,31.0,33.70000076293945,438318,2021-10-25
2021-11-01,32.281978607177734,32.79999923706055,34.349998474121094,31.549999237060547,31.549999237060547,490176,2021-11-01
2021-11-08,35.23460006713867,35.79999923706055,39.29999923706055,32.099998474121094,32.5,2204494,2021-11-08
2021-11-15,32.52803039550781,33.04999923706055,36.849998474121094,32.75,36.400001525878906,554685,2021-11-15
2021-11-22,31.248563766479492,31.75,33.54999923706055,30.5,33.54999923706055,518961,2021-11-22
2021-11-29,32.08513641357422,32.599998474121094,33.099998474121094,31.149999618530273,31.350000381469727,332432,2021-11-29
2021-12-06,32.33119201660156,32.849998474121094,33.95000076293945,30.899999618530273,33.0,451691,2021-12-06
2021-12-13,30.461196899414062,30.950000762939453,33.900001525878906,30.549999237060547,33.400001525878906,337415,2021-12-13
2021-12-20,32.52803039550781,33.04999923706055,37.0,30.0,31.299999237060547,1824310,2021-12-20
2021-12-27,35.6282844543457,36.20000076293945,37.79999923706055,32.849998474121094,33.099998474121094,1024838,2021-12-27
2022-01-03,48.37376022338867,49.150001525878906,49.650001525878906,35.5,37.25,5989202,2022-01-03
2022-01-10,44.53535461425781,45.25,52.95000076293945,43.54999923706055,50.75,2712928,2022-01-10
2022-01-17,50.83427810668945,51.650001525878906,56.45000076293945,44.900001525878906,45.25,4369735,2022-01-17
2022-01-24,45.814823150634766,46.54999923706055,53.95000076293945,38.79999923706055,50.900001525878906,1791184,2022-01-24
2022-01-31,45.814823150634766,46.54999923706055,50.5,43.599998474121094,47.0,1145297,2022-01-31
2022-02-07,50.53901290893555,51.349998474121094,54.0,44.099998474121094,47.400001525878906,2985493,2022-02-07
