Date,Adj Close_AHLUCONT.NS,Close_AHLUCONT.NS,High_AHLUCONT.NS,Low_AHLUCONT.NS,Open_AHLUCONT.NS,Volume_AHLUCONT.NS,Date
2020-07-13,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-07-13
2020-07-20,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-07-20
2020-07-27,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-07-27
2020-08-03,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-08-03
2020-08-10,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-08-10
2020-08-17,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-08-17
2020-08-24,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-08-24
2020-08-31,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-08-31
2020-09-07,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-09-07
2020-09-14,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-09-14
2020-09-21,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-09-21
2020-09-28,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-09-28
2020-10-05,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-10-05
2020-10-12,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-10-12
2020-10-19,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-10-19
2020-10-26,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-10-26
2020-11-02,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-11-02
2020-11-09,230.01559448242188,230.39999389648438,326.5,228.8000030517578,326.5,5764,2020-11-09
2020-11-16,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-11-16
2020-11-23,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-11-23
2020-11-30,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-11-30
2020-12-07,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-12-07
2020-12-14,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-12-14
2020-12-21,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-12-21
2020-12-28,325.95526123046875,326.5,326.5,326.5,326.5,0,2020-12-28
2021-01-04,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-01-04
2021-01-11,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-01-11
2021-01-18,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-01-18
2021-01-25,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-01-25
2021-02-01,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-02-01
2021-02-08,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-02-08
2021-02-15,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-02-15
2021-02-22,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-02-22
2021-03-01,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-03-01
2021-03-08,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-03-08
2021-03-15,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-03-15
2021-03-22,325.95526123046875,326.5,326.5,326.5,326.5,0,2021-03-22
2021-03-29,301.7457275390625,302.25,326.5,297.1000061035156,326.5,9336,2021-03-29
2021-04-05,294.0585632324219,294.54998779296875,301.95001220703125,289.04998779296875,299.5,29366,2021-04-05
2021-04-12,291.26324462890625,291.75,298.95001220703125,278.25,292.0,206386,2021-04-12
2021-04-19,285.37310791015625,285.8500061035156,294.25,279.95001220703125,290.0,37537,2021-04-19
2021-04-26,284.0752258300781,284.54998779296875,296.0,282.45001220703125,283.6000061035156,36986,2021-04-26
2021-05-03,292.5111389160156,293.0,298.79998779296875,280.0,281.54998779296875,211432,2021-05-03
2021-05-10,288.41802978515625,288.8999938964844,296.95001220703125,283.1000061035156,296.95001220703125,73589,2021-05-10
2021-05-17,296.70416259765625,297.20001220703125,302.0,286.0,290.04998779296875,121791,2021-05-17
2021-05-24,308.4844665527344,309.0,312.5,297.0,302.70001220703125,96826,2021-05-24
2021-05-31,324.20819091796875,324.75,334.5,305.0,310.95001220703125,163500,2021-05-31
2021-06-07,320.6641540527344,321.20001220703125,329.75,309.95001220703125,329.75,102629,2021-06-07
2021-06-14,317.71905517578125,318.25,324.20001220703125,297.04998779296875,318.04998779296875,47661,2021-06-14
2021-06-21,330.9469299316406,331.5,339.3999938964844,307.04998779296875,319.8999938964844,93228,2021-06-21
2021-06-28,403.4757080078125,404.1499938964844,427.0,351.0,359.0,1377190,2021-06-28
2021-07-05,377.2196044921875,377.8500061035156,417.0,372.0,404.8500061035156,81198,2021-07-05
2021-07-12,400.1812438964844,400.8500061035156,408.95001220703125,363.79998779296875,373.0,141491,2021-07-12
2021-07-19,384.8069152832031,385.45001220703125,430.0,383.0,399.8999938964844,220892,2021-07-19
2021-07-26,390.64715576171875,391.29998779296875,420.0,373.04998779296875,389.70001220703125,177637,2021-07-26
2021-08-02,378.8169250488281,379.45001220703125,411.0,371.20001220703125,399.0,85250,2021-08-02
2021-08-09,380.0648498535156,380.70001220703125,400.0,337.1000061035156,381.04998779296875,338565,2021-08-09
2021-08-16,369.4326171875,370.04998779296875,393.70001220703125,365.8999938964844,385.0,126710,2021-08-16
2021-08-23,370.23126220703125,370.8500061035156,375.95001220703125,367.3500061035156,375.95001220703125,70669,2021-08-23
2021-08-30,382.31109619140625,382.95001220703125,409.0,370.0,374.5,206316,2021-08-30
2021-09-06,390.79693603515625,391.45001220703125,408.0,384.0,384.0,400184,2021-09-06
2021-09-13,382.5606994628906,383.20001220703125,405.79998779296875,382.0,394.0,118433,2021-09-13
2021-09-20,376.8702087402344,377.5,388.25,361.1000061035156,383.0,2853758,2021-09-20
2021-09-27,353.05999755859375,353.6499938964844,381.95001220703125,351.79998779296875,381.95001220703125,179240,2021-09-27
2021-10-04,364.0915832519531,364.70001220703125,382.0,353.0,362.8999938964844,354383,2021-10-04
2021-10-11,357.6023864746094,358.20001220703125,380.0,354.0,362.0,202105,2021-10-11
2021-10-18,360.6473083496094,361.25,368.0,345.5,362.79998779296875,229217,2021-10-18
2021-10-25,376.3710021972656,377.0,387.8999938964844,351.3500061035156,361.3500061035156,229342,2021-10-25
2021-11-01,388.35101318359375,389.0,395.0,370.0,383.8999938964844,108287,2021-11-01
2021-11-08,449.6485595703125,450.3999938964844,455.0,395.0,397.0,714256,2021-11-08
2021-11-15,433.77508544921875,434.5,540.4500122070312,420.75,459.0,647586,2021-11-15
2021-11-22,411.1628723144531,411.8500061035156,441.70001220703125,403.8999938964844,432.8999938964844,295227,2021-11-22
2021-11-29,410.6138000488281,411.29998779296875,424.3999938964844,389.0,410.95001220703125,136227,2021-11-29
2021-12-06,403.4757080078125,404.1499938964844,425.0,401.04998779296875,410.1000061035156,138161,2021-12-06
2021-12-13,413.65869140625,414.3500061035156,427.6000061035156,403.1000061035156,406.0,92210,2021-12-13
2021-12-20,407.7186279296875,408.3999938964844,426.54998779296875,402.0,412.0,149963,2021-12-20
2021-12-27,401.6288146972656,402.29998779296875,410.0,397.04998779296875,401.0,31797,2021-12-27
