Date,Adj Close_RSYSTEMS.NS,Close_RSYSTEMS.NS,High_RSYSTEMS.NS,Low_RSYSTEMS.NS,Open_RSYSTEMS.NS,Volume_RSYSTEMS.NS,Date
2020-07-13,87.85658264160156,98.44999694824219,103.8499984741211,95.9000015258789,100.80000305175781,120622,2020-07-13
2020-07-20,85.49172973632812,95.80000305175781,100.0,95.5,98.5,49285,2020-07-20
2020-07-27,84.86705017089844,95.0999984741211,99.94999694824219,92.9000015258789,99.94999694824219,58036,2020-07-27
2020-08-03,90.04296875,100.9000015258789,109.94999694824219,92.19999694824219,95.0999984741211,391435,2020-08-03
2020-08-10,93.12174224853516,104.3499984741211,120.1500015258789,99.94999694824219,102.9000015258789,1897002,2020-08-10
2020-08-17,93.83566284179688,105.1500015258789,110.25,104.0,106.80000305175781,180562,2020-08-17
2020-08-24,93.30022430419922,104.55000305175781,113.94999694824219,104.0,106.0,376439,2020-08-24
2020-08-31,92.72016143798828,103.9000015258789,109.0,100.05000305175781,107.5,149292,2020-08-31
2020-09-07,92.7647705078125,103.94999694824219,108.0,102.19999694824219,106.80000305175781,102863,2020-09-07
2020-09-14,100.21630859375,112.30000305175781,117.55000305175781,103.55000305175781,104.3499984741211,346225,2020-09-14
2020-09-21,94.50495910644531,105.9000015258789,113.3499984741211,101.5,113.0999984741211,116900,2020-09-21
2020-09-28,99.9485855102539,112.0,115.0,104.5,105.9000015258789,104060,2020-09-28
2020-10-05,105.6599349975586,118.4000015258789,135.6999969482422,113.05000305175781,113.05000305175781,1241534,2020-10-05
2020-10-12,101.37641906738281,113.5999984741211,124.69999694824219,112.0,116.30000305175781,249254,2020-10-12
2020-10-19,102.4026870727539,114.75,123.0,112.80000305175781,114.55000305175781,216666,2020-10-19
2020-10-26,100.3055419921875,112.4000015258789,116.80000305175781,109.25,114.44999694824219,102834,2020-10-26
2020-11-02,109.631103515625,122.8499984741211,125.30000305175781,112.0999984741211,113.5,552283,2020-11-02
2020-11-09,106.73081970214844,119.5999984741211,124.69999694824219,113.5,124.69999694824219,107637,2020-11-09
2020-11-16,103.38431549072266,115.8499984741211,122.05000305175781,114.55000305175781,118.44999694824219,81832,2020-11-16
2020-11-23,105.07986450195312,117.75,119.19999694824219,112.30000305175781,112.30000305175781,135246,2020-11-23
2020-11-30,104.76753234863281,117.4000015258789,123.0,117.0,117.75,158943,2020-11-30
2020-12-07,104.0536117553711,116.5999984741211,123.0,115.0,117.19999694824219,348521,2020-12-07
2020-12-14,112.08519744873047,125.5999984741211,131.6999969482422,115.5,117.19999694824219,576669,2020-12-14
2020-12-21,107.89093017578125,120.9000015258789,128.0,109.0,123.5,271647,2020-12-21
2020-12-28,107.3554916381836,120.30000305175781,125.0,116.25,120.9000015258789,189989,2020-12-28
2021-01-04,109.94344329833984,123.19999694824219,127.5,117.5,120.3499984741211,283618,2021-01-04
2021-01-11,106.5077133178711,119.3499984741211,125.94999694824219,118.05000305175781,123.19999694824219,155964,2021-01-11
2021-01-18,103.20584106445312,115.6500015258789,122.80000305175781,114.55000305175781,119.94999694824219,156128,2021-01-18
2021-01-25,103.47354888916016,115.94999694824219,120.0,111.3499984741211,115.25,97537,2021-01-25
2021-02-01,101.91184997558594,114.19999694824219,119.0,112.0999984741211,116.55000305175781,81258,2021-02-01
2021-02-08,105.83840942382812,118.5999984741211,119.0,113.25,114.80000305175781,88447,2021-02-08
2021-02-15,107.26625061035156,120.19999694824219,128.0,118.0,122.44999694824219,982636,2021-02-15
2021-02-22,103.83052062988281,116.3499984741211,124.4000015258789,115.0,122.0,128032,2021-02-22
2021-03-01,103.91975402832031,116.44999694824219,119.8499984741211,115.0,117.0,130026,2021-03-01
2021-03-08,103.65203857421875,116.1500015258789,118.5,115.0999984741211,117.05000305175781,57694,2021-03-08
2021-03-15,100.43939971923828,112.55000305175781,126.0,112.0,116.1500015258789,279984,2021-03-15
2021-03-22,101.82261657714844,114.0999984741211,122.19999694824219,111.0,112.55000305175781,134583,2021-03-22
2021-03-29,102.09033966064453,114.4000015258789,116.94999694824219,112.0,114.0999984741211,29618,2021-03-29
2021-04-05,102.2688217163086,114.5999984741211,117.0,113.55000305175781,115.0,66296,2021-04-05
2021-04-12,101.86724853515625,114.1500015258789,119.0,109.0,111.05000305175781,81617,2021-04-12
2021-04-19,104.00899505615234,116.55000305175781,120.0,110.80000305175781,113.05000305175781,172428,2021-04-19
2021-04-26,103.9643783569336,116.5,118.80000305175781,113.0,118.80000305175781,94348,2021-04-26
2021-05-03,124.62339782714844,139.64999389648438,155.0,113.1500015258789,117.0999984741211,2261965,2021-05-03
2021-05-10,114.85163116455078,128.6999969482422,143.35000610351562,126.0999984741211,142.35000610351562,321949,2021-05-10
2021-05-17,121.1876449584961,135.8000030517578,147.0,127.0,130.89999389648438,514180,2021-05-17
2021-05-24,122.43701171875,137.1999969482422,145.0,130.1999969482422,137.89999389648438,445286,2021-05-24
2021-05-31,118.68893432617188,133.0,142.75,130.4499969482422,139.89999389648438,241469,2021-05-31
2021-06-07,127.56830596923828,142.9499969482422,147.4499969482422,131.64999389648438,133.0,861423,2021-06-07
2021-06-14,124.44490814208984,139.4499969482422,147.6999969482422,136.0,144.60000610351562,434275,2021-06-14
