Date,Adj Close_AARTIDRUGS.NS,Close_AARTIDRUGS.NS,High_AARTIDRUGS.NS,Low_AARTIDRUGS.NS,Open_AARTIDRUGS.NS,Volume_AARTIDRUGS.NS,Date
2020-07-13,367.56195068359375,372.2124938964844,376.75,338.75,338.75,1311448,2020-07-13
2020-07-20,391.6817626953125,396.63751220703125,399.4750061035156,357.5,375.5625,2078500,2020-07-20
2020-07-27,429.6266784667969,435.0625,451.25,408.0874938964844,419.25,5582168,2020-07-27
2020-08-03,581.751953125,589.1124877929688,637.5,425.25,442.75,10097864,2020-08-03
2020-08-10,522.2423095703125,528.8499755859375,618.7249755859375,510.25,592.5,5549364,2020-08-10
2020-08-17,773.6365966796875,783.4249877929688,783.4249877929688,525.0,537.5,20753160,2020-08-17
2020-08-24,723.607177734375,732.7625122070312,929.75,688.75,812.5,20807176,2020-08-24
2020-08-31,705.3135986328125,714.2374877929688,762.25,650.0,742.5,7914704,2020-08-31
2020-09-07,702.9312133789062,711.8250122070312,733.75,670.0250244140625,719.75,4054272,2020-09-07
2020-09-14,732.5687255859375,741.8375244140625,767.5999755859375,713.75,714.9749755859375,5030048,2020-09-14
2020-09-21,728.593994140625,737.8125,753.5,688.0750122070312,751.1749877929688,4644804,2020-09-21
2020-09-28,799.7314453125,809.8499755859375,809.8499755859375,727.8375244140625,756.25,2740353,2020-09-28
2020-10-05,972.1005859375,984.4000244140625,1026.949951171875,815.1500244140625,821.0,7232714,2020-10-05
2020-10-12,780.4257202148438,790.2999877929688,920.0,770.0,916.0499877929688,4775638,2020-10-12
2020-10-19,740.9254760742188,750.2999877929688,805.0,735.0999755859375,793.3499755859375,3406159,2020-10-19
2020-10-26,672.4420166015625,680.9500122070312,770.0,615.6500244140625,770.0,8870591,2020-10-26
2020-11-02,650.4700317382812,658.7000122070312,678.4000244140625,634.0,678.4000244140625,3685625,2020-11-02
2020-11-09,710.0606689453125,716.2999877929688,723.9500122070312,619.5499877929688,666.8499755859375,5298851,2020-11-09
2020-11-16,671.945556640625,677.8499755859375,719.5,654.3499755859375,692.3499755859375,3217956,2020-11-16
2020-11-23,708.8214721679688,715.0499877929688,738.4000244140625,675.6500244140625,685.0,4020480,2020-11-23
2020-11-30,745.44970703125,752.0,756.9500122070312,685.0999755859375,715.0499877929688,3938735,2020-11-30
2020-12-07,780.5909423828125,787.4500122070312,811.0,751.2999877929688,759.9000244140625,5451407,2020-12-07
2020-12-14,735.2394409179688,741.7000122070312,798.7000122070312,740.0,787.4500122070312,1930849,2020-12-14
2020-12-21,699.30517578125,705.4500122070312,754.2000122070312,645.6500244140625,742.0,2468433,2020-12-21
2020-12-28,728.5977172851562,735.0,747.5,695.5499877929688,713.0,2803309,2020-12-28
2021-01-04,729.638671875,736.0499877929688,756.0,682.5999755859375,751.0,4212669,2021-01-04
2021-01-11,701.0399169921875,707.2000122070312,746.0,703.0,741.9000244140625,1625252,2021-01-11
2021-01-18,680.1236572265625,686.0999755859375,711.7999877929688,684.0999755859375,709.5,1082719,2021-01-18
2021-01-25,667.534423828125,673.4000244140625,734.7999877929688,670.0,692.5,2840341,2021-01-25
2021-02-01,671.400390625,677.2999877929688,695.0,668.2000122070312,674.0,1294267,2021-02-01
2021-02-08,650.2859497070312,656.0,684.75,652.5,680.0,1177536,2021-02-08
2021-02-15,637.0026245117188,642.5999755859375,686.0,638.6500244140625,659.0,2059812,2021-02-15
2021-02-22,625.4046020507812,630.9000244140625,658.0,628.0,645.0,1129211,2021-02-22
2021-03-01,659.9509887695312,665.75,705.0,630.9000244140625,634.0,3181555,2021-03-01
2021-03-08,682.3045654296875,688.2999877929688,713.7999877929688,668.0,708.4500122070312,3636768,2021-03-08
2021-03-15,743.3184204101562,749.8499755859375,786.0,665.0,693.4500122070312,10027904,2021-03-15
2021-03-22,708.2764282226562,714.5,770.0,710.0,763.0,7436163,2021-03-22
2021-03-29,712.3902587890625,718.6500244140625,728.0,690.0,714.5,1755407,2021-03-29
2021-04-05,727.11083984375,733.5,745.0,693.0,710.0,3427961,2021-04-05
2021-04-12,695.736572265625,701.8499755859375,729.9000244140625,691.0499877929688,729.9000244140625,1879031,2021-04-12
2021-04-19,708.77197265625,715.0,747.9500122070312,671.0499877929688,696.0,3287910,2021-04-19
2021-04-26,703.7659912109375,709.9500122070312,733.0,705.5999755859375,721.75,1633839,2021-04-26
2021-05-03,774.9901123046875,781.7999877929688,836.5499877929688,706.0999755859375,706.0999755859375,11110564,2021-05-03
2021-05-10,810.3792114257812,817.5,841.7999877929688,779.25,785.9000244140625,6513409,2021-05-10
2021-05-17,742.7732543945312,749.2999877929688,779.0499877929688,740.0,765.0,4506876,2021-05-17
2021-05-24,717.1483764648438,723.4500122070312,757.9000244140625,719.4000244140625,753.0,2173932,2021-05-24
2021-05-31,753.0826416015625,759.7000122070312,778.5,720.5999755859375,725.0999755859375,4037247,2021-05-31
2021-06-07,726.4664916992188,732.8499755859375,766.9000244140625,731.0,764.7000122070312,1656013,2021-06-07
2021-06-14,713.8275146484375,720.0999755859375,748.0,709.0,732.8499755859375,1659276,2021-06-14
2021-06-21,700.3460693359375,706.5,727.75,704.0499877929688,709.0,1131870,2021-06-21
2021-06-28,722.8978881835938,729.25,734.5499877929688,702.9500122070312,709.7999877929688,1590515,2021-06-28
2021-07-05,715.8596801757812,722.1500244140625,749.75,719.0,734.9500122070312,1550348,2021-07-05
2021-07-12,724.2857666015625,730.6500244140625,735.0,711.5,726.5,1036743,2021-07-12
2021-07-19,710.9033203125,717.1500244140625,728.5,707.0,728.5,848092,2021-07-19
2021-07-26,661.586669921875,667.4000244140625,734.9000244140625,662.75,717.1500244140625,2937200,2021-07-26
2021-08-02,659.20751953125,665.0,687.7999877929688,653.0,670.0,1283489,2021-08-02
2021-08-09,643.4955444335938,649.1500244140625,669.4500122070312,632.0499877929688,667.7999877929688,828376,2021-08-09
2021-08-16,598.044921875,603.2999877929688,647.9500122070312,602.0,647.9500122070312,928909,2021-08-16
2021-08-23,596.7562866210938,602.0,633.9000244140625,580.0,607.0,1160158,2021-08-23
2021-08-30,615.838623046875,621.25,626.7999877929688,604.1500244140625,605.0,721987,2021-08-30
2021-09-06,602.8527221679688,608.1500244140625,626.1500244140625,606.0499877929688,626.0,432004,2021-09-06
2021-09-13,621.8359375,627.2999877929688,633.2999877929688,605.0,609.0,980125,2021-09-13
2021-09-20,608.4534912109375,613.7999877929688,648.2999877929688,611.5999755859375,626.5,1214727,2021-09-20
2021-09-27,599.2345581054688,604.5,618.0,603.7999877929688,613.7999877929688,637659,2021-09-27
2021-10-04,623.7192993164062,629.2000122070312,645.5999755859375,605.2000122070312,606.0,1632154,2021-10-04
2021-10-11,619.1593627929688,624.5999755859375,634.7000122070312,621.2999877929688,634.7000122070312,625927,2021-10-11
2021-10-18,604.2405395507812,609.5499877929688,638.0,605.5,620.75,939519,2021-10-18
2021-10-25,580.4495239257812,585.5499877929688,644.0,573.1500244140625,634.0,1791443,2021-10-25
2021-11-01,571.7757568359375,576.7999877929688,599.7000122070312,560.0,590.0,667027,2021-11-01
2021-11-08,548.0840454101562,552.9000244140625,583.3499755859375,550.0,583.3499755859375,773007,2021-11-08
2021-11-15,526.8208618164062,531.4500122070312,560.0,530.2000122070312,555.0,644212,2021-11-15
