Date,Adj Close_GHCLTEXTIL.NS,Close_GHCLTEXTIL.NS,High_GHCLTEXTIL.NS,Low_GHCLTEXTIL.NS,Open_GHCLTEXTIL.NS,Volume_GHCLTEXTIL.NS,Date
2023-06-12,61.419456481933594,62.099998474121094,73.5,58.70000076293945,72.0,3880138,2023-06-12
2023-06-19,67.10643768310547,67.8499984741211,71.8499984741211,65.0,65.19999694824219,2914372,2023-06-19
2023-06-26,72.39781188964844,73.19999694824219,76.1500015258789,62.5,69.9000015258789,5632624,2023-06-26
2023-07-03,83.17835998535156,84.0999984741211,86.0,74.0,74.0,8521520,2023-07-03
2023-07-10,77.83753204345703,78.69999694824219,85.4000015258789,77.0999984741211,84.80000305175781,2936448,2023-07-10
2023-07-17,69.2328872680664,70.0,80.4000015258789,69.80000305175781,79.4000015258789,2851574,2023-07-17
2023-07-24,68.9856185913086,69.75,72.30000305175781,68.0,69.5999984741211,2038728,2023-07-24
2023-07-31,75.76055145263672,76.5999984741211,77.5999984741211,69.19999694824219,69.19999694824219,2747238,2023-07-31
2023-08-07,71.06260681152344,71.8499984741211,78.5999984741211,71.0999984741211,77.1500015258789,2414219,2023-08-07
2023-08-14,73.93082427978516,74.75,76.6500015258789,70.05000305175781,71.5,951497,2023-08-14
2023-08-21,77.88699340820312,78.75,80.0,74.0,74.0,1683537,2023-08-21
2023-08-28,78.233154296875,79.0999984741211,81.55000305175781,75.80000305175781,78.75,2437265,2023-08-28
2023-09-04,77.39247131347656,78.25,84.0,76.9000015258789,79.8499984741211,2351096,2023-09-04
2023-09-11,76.60123443603516,77.44999694824219,81.9000015258789,73.30000305175781,78.5,1954265,2023-09-11
2023-09-18,76.20561981201172,77.05000305175781,78.80000305175781,73.75,77.0999984741211,1040534,2023-09-18
2023-09-25,79.12329864501953,80.0,82.8499984741211,75.5,77.55000305175781,2141444,2023-09-25
2023-10-02,78.233154296875,79.0999984741211,81.05000305175781,76.75,80.0,1038836,2023-10-02
2023-10-09,83.12891387939453,84.05000305175781,92.5,77.25,78.55000305175781,5387400,2023-10-09
2023-10-16,77.83753204345703,78.69999694824219,88.19999694824219,78.30000305175781,83.0999984741211,2420860,2023-10-16
2023-10-23,72.49671936035156,73.30000305175781,80.05000305175781,70.5,78.80000305175781,1933991,2023-10-23
2023-10-30,74.02973175048828,74.8499984741211,77.4000015258789,72.5,73.05000305175781,1547913,2023-10-30
2023-11-06,69.18342590332031,69.94999694824219,74.94999694824219,69.0999984741211,74.80000305175781,1318585,2023-11-06
2023-11-13,70.07357025146484,70.8499984741211,72.0,68.80000305175781,71.5,1016240,2023-11-13
2023-11-20,73.28794860839844,74.0999984741211,75.9000015258789,69.19999694824219,71.05000305175781,2829525,2023-11-20
2023-11-27,69.08452606201172,69.8499984741211,75.8499984741211,68.94999694824219,74.0999984741211,1332511,2023-11-27
2023-12-04,72.29891204833984,73.0999984741211,76.5,68.80000305175781,70.6500015258789,1868727,2023-12-04
2023-12-11,70.81534576416016,71.5999984741211,73.75,70.4000015258789,73.0999984741211,1374599,2023-12-11
2023-12-18,68.14493560791016,68.9000015258789,72.9000015258789,68.25,72.6500015258789,1940835,2023-12-18
2023-12-25,68.88671875,69.6500015258789,71.25,68.75,68.9000015258789,917777,2023-12-25
2024-01-01,71.45822143554688,72.25,74.4000015258789,69.75,69.75,1913575,2024-01-01
2024-01-08,81.15083312988281,82.05000305175781,84.94999694824219,71.0,72.0,7634412,2024-01-08
2024-01-15,76.9968490600586,77.8499984741211,82.80000305175781,76.0999984741211,82.05000305175781,2689957,2024-01-15
2024-01-22,78.77713012695312,79.6500015258789,83.0,77.4000015258789,77.8499984741211,1729602,2024-01-22
2024-01-29,86.44219970703125,87.4000015258789,91.25,77.5999984741211,79.9000015258789,9201048,2024-01-29
